station_id,stationname,date,daytype,rides
40120,35th/Archer,12/07/2017,W,3353
40120,35th/Archer,12/11/2017,W,3171
40120,35th/Archer,12/09/2017,A,1521
40120,35th/Archer,12/13/2017,W,3180
40120,35th/Archer,12/08/2017,W,3131
40120,35th/Archer,12/04/2017,W,3375
40120,35th/Archer,12/18/2017,W,2815
40120,35th/Archer,12/28/2017,W,1928
40120,35th/Archer,12/06/2017,W,3350
40120,35th/Archer,12/26/2017,W,1473
40120,35th/Archer,12/01/2017,W,3304
40120,35th/Archer,12/23/2017,A,1479
40120,35th/Archer,12/15/2017,W,2879
40120,35th/Archer,12/24/2017,U,859
40120,35th/Archer,12/31/2017,U,801
40120,35th/Archer,12/29/2017,W,1939
40120,35th/Archer,12/16/2017,A,1591
40120,35th/Archer,12/05/2017,W,3266
40120,35th/Archer,12/10/2017,U,1056
40120,35th/Archer,12/02/2017,A,1906
40120,35th/Archer,12/25/2017,U,388
40120,35th/Archer,12/17/2017,U,1177
40120,35th/Archer,12/30/2017,A,998
40120,35th/Archer,12/12/2017,W,3074
40120,35th/Archer,12/19/2017,W,3020
40120,35th/Archer,12/14/2017,W,3156
40120,35th/Archer,12/20/2017,W,2931
40120,35th/Archer,12/27/2017,W,1756
40120,35th/Archer,12/21/2017,W,2896
40120,35th/Archer,12/22/2017,W,2714
40120,35th/Archer,12/03/2017,U,1373
40120,35th/Archer,01/18/2018,W,3144
40120,35th/Archer,02/09/2018,W,1831
40120,35th/Archer,02/26/2018,W,3051
40120,35th/Archer,03/31/2018,A,1291
40120,35th/Archer,02/22/2018,W,3243
40120,35th/Archer,02/28/2018,W,3181
40120,35th/Archer,03/20/2018,W,3097
40120,35th/Archer,01/20/2018,A,1437
40120,35th/Archer,01/12/2018,W,2667
40120,35th/Archer,03/16/2018,W,2954
40120,35th/Archer,01/23/2018,W,3091
40120,35th/Archer,03/17/2018,A,1803
40120,35th/Archer,02/08/2018,W,2970
40120,35th/Archer,02/13/2018,W,3156
40120,35th/Archer,01/30/2018,W,3181
40120,35th/Archer,01/27/2018,A,1370
40120,35th/Archer,02/12/2018,W,2945
40120,35th/Archer,03/11/2018,U,989
40120,35th/Archer,03/04/2018,U,1006
40120,35th/Archer,01/10/2018,W,2892
40120,35th/Archer,01/09/2018,W,2810
40120,35th/Archer,03/22/2018,W,3116
40120,35th/Archer,02/18/2018,U,995
40120,35th/Archer,01/31/2018,W,3134
40120,35th/Archer,01/16/2018,W,3039
40120,35th/Archer,02/21/2018,W,3202
40120,35th/Archer,01/01/2018,U,563
40120,35th/Archer,03/13/2018,W,3040
40120,35th/Archer,03/09/2018,W,2959
40120,35th/Archer,02/23/2018,W,3007
40120,35th/Archer,03/19/2018,W,3083
40120,35th/Archer,02/01/2018,W,3062
40120,35th/Archer,01/15/2018,W,1586
40120,35th/Archer,03/27/2018,W,2651
40120,35th/Archer,02/03/2018,A,1224
40120,35th/Archer,03/10/2018,A,1426
40120,35th/Archer,02/11/2018,U,848
40120,35th/Archer,03/15/2018,W,3272
40120,35th/Archer,01/14/2018,U,819
40120,35th/Archer,01/03/2018,W,2142
40120,35th/Archer,03/24/2018,A,1344
40120,35th/Archer,03/14/2018,W,3171
40120,35th/Archer,01/04/2018,W,2109
40120,35th/Archer,03/02/2018,W,2827
40120,35th/Archer,03/01/2018,W,3036
40120,35th/Archer,03/12/2018,W,3000
40120,35th/Archer,01/17/2018,W,3029
40120,35th/Archer,02/10/2018,A,1221
40120,35th/Archer,01/26/2018,W,3060
40120,35th/Archer,02/24/2018,A,1380
40120,35th/Archer,03/03/2018,A,1496
40120,35th/Archer,01/19/2018,W,2978
40120,35th/Archer,01/08/2018,W,2703
40120,35th/Archer,01/13/2018,A,1145
40120,35th/Archer,03/18/2018,U,1070
40120,35th/Archer,01/06/2018,A,1043
40120,35th/Archer,02/02/2018,W,2664
40120,35th/Archer,02/15/2018,W,3175
40120,35th/Archer,03/25/2018,U,1028
40120,35th/Archer,02/04/2018,U,736
40120,35th/Archer,02/07/2018,W,3047
40120,35th/Archer,02/06/2018,W,2987
40120,35th/Archer,01/28/2018,U,948
40120,35th/Archer,03/29/2018,W,2615
40120,35th/Archer,01/24/2018,W,3125
40120,35th/Archer,01/29/2018,W,2983
40120,35th/Archer,02/19/2018,W,1909
40120,35th/Archer,03/07/2018,W,3079
40120,35th/Archer,01/22/2018,W,3101
40120,35th/Archer,01/02/2018,W,1792
40120,35th/Archer,01/05/2018,W,2167
40120,35th/Archer,03/06/2018,W,3114
40120,35th/Archer,03/08/2018,W,3121
40120,35th/Archer,02/20/2018,W,3064
40120,35th/Archer,02/27/2018,W,3325
40120,35th/Archer,02/25/2018,U,1008
40120,35th/Archer,01/25/2018,W,3153
40120,35th/Archer,01/11/2018,W,2845
40120,35th/Archer,02/16/2018,W,2924
40120,35th/Archer,03/23/2018,W,2988
40120,35th/Archer,02/14/2018,W,3254
40120,35th/Archer,01/21/2018,U,909
40120,35th/Archer,03/21/2018,W,3238
40120,35th/Archer,03/26/2018,W,2492
40120,35th/Archer,02/05/2018,W,2791
40120,35th/Archer,03/28/2018,W,2725
40120,35th/Archer,02/17/2018,A,1294
40120,35th/Archer,03/05/2018,W,2815
40120,35th/Archer,01/07/2018,U,763
40120,35th/Archer,03/30/2018,W,2376
40120,35th/Archer,05/02/2018,W,3384
40120,35th/Archer,06/17/2018,U,1028
40120,35th/Archer,06/29/2018,W,2835
40120,35th/Archer,06/19/2018,W,3115
40120,35th/Archer,06/12/2018,W,3188
40120,35th/Archer,06/08/2018,W,2998
40120,35th/Archer,05/15/2018,W,3101
40120,35th/Archer,06/28/2018,W,3117
40120,35th/Archer,05/08/2018,W,3315
40120,35th/Archer,05/24/2018,W,3181
40120,35th/Archer,06/11/2018,W,3000
40120,35th/Archer,05/17/2018,W,3231
40120,35th/Archer,06/02/2018,A,1593
40120,35th/Archer,04/17/2018,W,3135
