station_id,stationname,date,daytype,rides
40240,79th,12/17/2017,U,3881
40240,79th,12/15/2017,W,6780
40240,79th,12/31/2017,U,3345
40240,79th,12/27/2017,W,4778
40240,79th,12/30/2017,A,3833
40240,79th,12/21/2017,W,6638
40240,79th,12/26/2017,W,4303
40240,79th,12/22/2017,W,6750
40240,79th,12/01/2017,W,7538
40240,79th,12/06/2017,W,6892
40240,79th,12/28/2017,W,4967
40240,79th,12/14/2017,W,6892
40240,79th,12/19/2017,W,6707
40240,79th,12/11/2017,W,6808
40240,79th,12/20/2017,W,6798
40240,79th,12/09/2017,A,4575
40240,79th,12/10/2017,U,3658
40240,79th,12/13/2017,W,6684
40240,79th,12/02/2017,A,5163
40240,79th,12/25/2017,U,2511
40240,79th,12/29/2017,W,5561
40240,79th,12/24/2017,U,3509
40240,79th,12/07/2017,W,6755
40240,79th,12/08/2017,W,7064
40240,79th,12/18/2017,W,6533
40240,79th,12/04/2017,W,7121
40240,79th,12/03/2017,U,4287
40240,79th,12/12/2017,W,6669
40240,79th,12/05/2017,W,6812
40240,79th,12/23/2017,A,4727
40240,79th,12/16/2017,A,4812
40240,79th,03/07/2018,W,6495
40240,79th,03/02/2018,W,6629
40240,79th,02/07/2018,W,6243
40240,79th,02/05/2018,W,5851
40240,79th,03/23/2018,W,6517
40240,79th,01/16/2018,W,6317
40240,79th,02/14/2018,W,6929
40240,79th,03/08/2018,W,6513
40240,79th,01/30/2018,W,6464
40240,79th,02/09/2018,W,4652
40240,79th,01/03/2018,W,5325
40240,79th,01/15/2018,W,4211
40240,79th,03/15/2018,W,6588
40240,79th,02/11/2018,U,3241
40240,79th,02/25/2018,U,3586
40240,79th,03/29/2018,W,5881
40240,79th,02/20/2018,W,6592
40240,79th,02/04/2018,U,3123
40240,79th,01/24/2018,W,6414
40240,79th,01/26/2018,W,6829
40240,79th,02/08/2018,W,6242
40240,79th,02/18/2018,U,3332
40240,79th,02/06/2018,W,6288
40240,79th,01/07/2018,U,3206
40240,79th,03/04/2018,U,3623
40240,79th,01/09/2018,W,6345
40240,79th,01/12/2018,W,6252
40240,79th,03/03/2018,A,4592
40240,79th,03/13/2018,W,6367
40240,79th,03/12/2018,W,6232
40240,79th,03/10/2018,A,4510
40240,79th,01/08/2018,W,6200
40240,79th,02/15/2018,W,6677
40240,79th,01/11/2018,W,6475
40240,79th,01/17/2018,W,6243
40240,79th,03/24/2018,A,4070
40240,79th,01/25/2018,W,6670
40240,79th,02/10/2018,A,3888
40240,79th,03/19/2018,W,6364
40240,79th,03/16/2018,W,6540
40240,79th,01/18/2018,W,6473
40240,79th,03/25/2018,U,3432
40240,79th,03/17/2018,A,4512
40240,79th,02/24/2018,A,4552
40240,79th,03/22/2018,W,6743
40240,79th,01/31/2018,W,6671
40240,79th,01/10/2018,W,6472
40240,79th,02/22/2018,W,6732
40240,79th,03/01/2018,W,6539
40240,79th,01/02/2018,W,4480
40240,79th,03/21/2018,W,6384
40240,79th,02/26/2018,W,6640
40240,79th,03/11/2018,U,3507
40240,79th,01/22/2018,W,6464
40240,79th,02/21/2018,W,6585
40240,79th,02/27/2018,W,6907
40240,79th,01/21/2018,U,3432
40240,79th,03/09/2018,W,6680
40240,79th,01/29/2018,W,6235
40240,79th,02/16/2018,W,6650
40240,79th,03/18/2018,U,3582
40240,79th,02/12/2018,W,5992
40240,79th,03/14/2018,W,6447
40240,79th,01/01/2018,U,2707
40240,79th,02/17/2018,A,4279
40240,79th,03/20/2018,W,6420
40240,79th,02/23/2018,W,6806
40240,79th,03/28/2018,W,5856
40240,79th,01/20/2018,A,4380
40240,79th,03/05/2018,W,6196
40240,79th,02/03/2018,A,4205
40240,79th,01/23/2018,W,6532
40240,79th,01/13/2018,A,4014
40240,79th,01/06/2018,A,3740
40240,79th,01/14/2018,U,3186
40240,79th,01/04/2018,W,5292
40240,79th,03/27/2018,W,5744
40240,79th,01/19/2018,W,6553
40240,79th,03/26/2018,W,5670
40240,79th,01/27/2018,A,4495
40240,79th,02/19/2018,W,5037
40240,79th,02/28/2018,W,6609
40240,79th,02/13/2018,W,6705
40240,79th,03/06/2018,W,6462
40240,79th,01/28/2018,U,3398
40240,79th,03/30/2018,W,5847
40240,79th,01/05/2018,W,5417
40240,79th,02/02/2018,W,6013
40240,79th,02/01/2018,W,6736
40240,79th,03/31/2018,A,4119
40240,79th,05/10/2018,W,6910
40240,79th,04/22/2018,U,3538
40240,79th,06/14/2018,W,6696
40240,79th,05/05/2018,A,4855
40240,79th,06/24/2018,U,5007
40240,79th,04/07/2018,A,4600
40240,79th,05/26/2018,A,5043
40240,79th,04/12/2018,W,6901
40240,79th,06/26/2018,W,6388
40240,79th,05/13/2018,U,3663
40240,79th,06/07/2018,W,6989
40240,79th,04/14/2018,A,4138
40240,79th,05/24/2018,W,6909
40240,79th,05/09/2018,W,6685
40240,79th,04/09/2018,W,6277
40240,79th,05/31/2018,W,6910
40240,79th,04/25/2018,W,6703
40240,79th,06/13/2018,W,6855
40240,79th,05/12/2018,A,4359
40240,79th,06/01/2018,W,7347
40240,79th,04/06/2018,W,6509
40240,79th,06/02/2018,A,4888
40240,79th,05/02/2018,W,6563
40240,79th,06/23/2018,A,4829
40240,79th,06/20/2018,W,6433
40240,79th,05/16/2018,W,6940
40240,79th,04/17/2018,W,6614
40240,79th,04/04/2018,W,6305
40240,79th,04/05/2018,W,6430
40240,79th,05/01/2018,W,7073
40240,79th,06/21/2018,W,5639
40240,79th,05/20/2018,U,3584
40240,79th,06/27/2018,W,6594
40240,79th,05/17/2018,W,6759
40240,79th,05/14/2018,W,6153
40240,79th,06/22/2018,W,6237
40240,79th,06/08/2018,W,6767
40240,79th,04/15/2018,U,3265
40240,79th,05/06/2018,U,3791
40240,79th,06/03/2018,U,4062
40240,79th,06/04/2018,W,6852
40240,79th,04/13/2018,W,6353
40240,79th,06/11/2018,W,6408
40240,79th,04/20/2018,W,6588
40240,79th,04/30/2018,W,6598
40240,79th,04/27/2018,W,6862
40240,79th,04/11/2018,W,6775
40240,79th,06/10/2018,U,3642
40240,79th,05/29/2018,W,6596
40240,79th,04/10/2018,W,6369
40240,79th,04/16/2018,W,6035
40240,79th,06/30/2018,A,4720
40240,79th,06/12/2018,W,6796
40240,79th,04/01/2018,U,3242
40240,79th,06/25/2018,W,6475
40240,79th,05/19/2018,A,4586
40240,79th,06/29/2018,W,6773
40240,79th,04/19/2018,W,6284
40240,79th,04/18/2018,W,6234
40240,79th,05/07/2018,W,6607
40240,79th,06/15/2018,W,7057
40240,79th,05/08/2018,W,6993
40240,79th,05/22/2018,W,6958
40240,79th,04/29/2018,U,3656
40240,79th,04/26/2018,W,6689
40240,79th,05/11/2018,W,6825
40240,79th,05/30/2018,W,6651
40240,79th,05/04/2018,W,6898
40240,79th,06/18/2018,W,6163
40240,79th,04/02/2018,W,6155
40240,79th,06/19/2018,W,6675
40240,79th,05/28/2018,U,3944
40240,79th,04/08/2018,U,3464
40240,79th,06/05/2018,W,7167
40240,79th,06/17/2018,U,3916
40240,79th,04/03/2018,W,6432
40240,79th,04/21/2018,A,4302
40240,79th,05/27/2018,U,4026
40240,79th,05/15/2018,W,6781
40240,79th,05/18/2018,W,6894
40240,79th,04/24/2018,W,6541
40240,79th,06/09/2018,A,4651
40240,79th,04/23/2018,W,6178
40240,79th,04/28/2018,A,4592
40240,79th,06/16/2018,A,4942
40240,79th,06/06/2018,W,6906
40240,79th,05/21/2018,W,5912
40240,79th,05/23/2018,W,7094
40240,79th,05/25/2018,W,7007
40240,79th,06/28/2018,W,6526
40240,79th,05/03/2018,W,6579
40240,79th,07/01/2018,U,3912
40240,79th,07/02/2018,W,6477
40240,79th,07/03/2018,W,6912
40240,79th,07/04/2018,U,4240
40240,79th,07/05/2018,W,5764
40240,79th,07/06/2018,W,6904
40240,79th,07/07/2018,A,4956
40240,79th,07/08/2018,U,4033
40240,79th,07/09/2018,W,6555
40240,79th,07/10/2018,W,6735
40240,79th,07/11/2018,W,6902
40240,79th,07/12/2018,W,7006
40240,79th,07/13/2018,W,7114
40240,79th,07/14/2018,A,4931
40240,79th,07/15/2018,U,4281
40240,79th,07/16/2018,W,6043
40240,79th,07/17/2018,W,6785
40240,79th,07/18/2018,W,6684
40240,79th,07/19/2018,W,6888
40240,79th,07/20/2018,W,6642
40240,79th,07/21/2018,A,4806
40240,79th,07/22/2018,U,3804
40240,79th,07/23/2018,W,6654
40240,79th,07/24/2018,W,6821
40240,79th,07/25/2018,W,6813
40240,79th,07/26/2018,W,6980
40240,79th,07/27/2018,W,7006
40240,79th,07/28/2018,A,4986
40240,79th,07/29/2018,U,4008
40240,79th,07/30/2018,W,6508
40240,79th,07/31/2018,W,6775
40240,79th,08/01/2018,W,6969
40240,79th,08/02/2018,W,7051
40240,79th,08/03/2018,W,7153
40240,79th,08/04/2018,A,5053
40240,79th,08/05/2018,U,4254
40240,79th,08/06/2018,W,6224
40240,79th,08/07/2018,W,6446
40240,79th,08/08/2018,W,6408
40240,79th,08/09/2018,W,6660
40240,79th,08/10/2018,W,6710
40240,79th,08/11/2018,A,5105
40240,79th,08/12/2018,U,4084
40240,79th,08/13/2018,W,6366
40240,79th,08/14/2018,W,6690
40240,79th,08/15/2018,W,6294
40240,79th,08/16/2018,W,6494
40240,79th,08/17/2018,W,6749
40240,79th,08/18/2018,A,4911
40240,79th,08/19/2018,U,3975
40240,79th,08/20/2018,W,5989
40240,79th,08/21/2018,W,6359
40240,79th,08/22/2018,W,6480
40240,79th,08/23/2018,W,6689
40240,79th,08/24/2018,W,6292
40240,79th,08/25/2018,A,4683
40240,79th,08/26/2018,U,3954
40240,79th,08/27/2018,W,6530
40240,79th,08/28/2018,W,6473
40240,79th,08/29/2018,W,6475
40240,79th,08/30/2018,W,6856
40240,79th,08/31/2018,W,6766
40240,79th,09/01/2018,A,4711
40240,79th,09/02/2018,U,4066
40240,79th,09/03/2018,U,3742
40240,79th,09/04/2018,W,6609
40240,79th,09/05/2018,W,6778
40240,79th,09/06/2018,W,6801
40240,79th,09/07/2018,W,6943
40240,79th,09/08/2018,A,4829
40240,79th,09/09/2018,U,3859
40240,79th,09/10/2018,W,6868
40240,79th,09/11/2018,W,7107
40240,79th,09/12/2018,W,7101
40240,79th,09/13/2018,W,7082
40240,79th,09/14/2018,W,7252
40240,79th,09/15/2018,A,5063
40240,79th,09/16/2018,U,3959
40240,79th,09/17/2018,W,6994
40240,79th,09/18/2018,W,6969
40240,79th,09/19/2018,W,7073
40240,79th,09/20/2018,W,7187
40240,79th,09/21/2018,W,7303
