station_id,stationname,date,daytype,rides
40450,95th/Dan Ryan,12/04/2017,W,10611
40450,95th/Dan Ryan,12/16/2017,A,6458
40450,95th/Dan Ryan,12/17/2017,U,4850
40450,95th/Dan Ryan,12/11/2017,W,10099
40450,95th/Dan Ryan,12/23/2017,A,5946
40450,95th/Dan Ryan,12/19/2017,W,9566
40450,95th/Dan Ryan,12/20/2017,W,10150
40450,95th/Dan Ryan,12/29/2017,W,7656
40450,95th/Dan Ryan,12/21/2017,W,9861
40450,95th/Dan Ryan,12/15/2017,W,9936
40450,95th/Dan Ryan,12/09/2017,A,5759
40450,95th/Dan Ryan,12/13/2017,W,10062
40450,95th/Dan Ryan,12/01/2017,W,11173
40450,95th/Dan Ryan,12/24/2017,U,4329
40450,95th/Dan Ryan,12/22/2017,W,9675
40450,95th/Dan Ryan,12/10/2017,U,4668
40450,95th/Dan Ryan,12/12/2017,W,10025
40450,95th/Dan Ryan,12/14/2017,W,10052
40450,95th/Dan Ryan,12/06/2017,W,10633
40450,95th/Dan Ryan,12/03/2017,U,5431
40450,95th/Dan Ryan,12/26/2017,W,6138
40450,95th/Dan Ryan,12/05/2017,W,10518
40450,95th/Dan Ryan,12/07/2017,W,10389
40450,95th/Dan Ryan,12/08/2017,W,10051
40450,95th/Dan Ryan,12/31/2017,U,4189
40450,95th/Dan Ryan,12/02/2017,A,6654
40450,95th/Dan Ryan,12/28/2017,W,7365
40450,95th/Dan Ryan,12/27/2017,W,6862
40450,95th/Dan Ryan,12/30/2017,A,4820
40450,95th/Dan Ryan,12/18/2017,W,9874
40450,95th/Dan Ryan,12/25/2017,U,3068
40450,95th/Dan Ryan,03/06/2018,W,9948
40450,95th/Dan Ryan,01/25/2018,W,10303
40450,95th/Dan Ryan,02/24/2018,A,5854
40450,95th/Dan Ryan,02/20/2018,W,10016
40450,95th/Dan Ryan,01/31/2018,W,9990
40450,95th/Dan Ryan,03/19/2018,W,9697
40450,95th/Dan Ryan,01/15/2018,W,5726
40450,95th/Dan Ryan,03/14/2018,W,9917
40450,95th/Dan Ryan,03/04/2018,U,4836
40450,95th/Dan Ryan,03/24/2018,A,5212
40450,95th/Dan Ryan,03/13/2018,W,9736
40450,95th/Dan Ryan,02/07/2018,W,9742
40450,95th/Dan Ryan,01/01/2018,U,3258
40450,95th/Dan Ryan,03/29/2018,W,8603
40450,95th/Dan Ryan,03/05/2018,W,9363
40450,95th/Dan Ryan,01/18/2018,W,9702
40450,95th/Dan Ryan,01/28/2018,U,4383
40450,95th/Dan Ryan,01/30/2018,W,9949
40450,95th/Dan Ryan,03/18/2018,U,4746
40450,95th/Dan Ryan,03/28/2018,W,8777
40450,95th/Dan Ryan,01/29/2018,W,9697
40450,95th/Dan Ryan,03/09/2018,W,9899
40450,95th/Dan Ryan,01/19/2018,W,9806
40450,95th/Dan Ryan,01/09/2018,W,9515
40450,95th/Dan Ryan,01/03/2018,W,7698
40450,95th/Dan Ryan,02/26/2018,W,10126
40450,95th/Dan Ryan,01/24/2018,W,9998
40450,95th/Dan Ryan,02/22/2018,W,10345
40450,95th/Dan Ryan,02/09/2018,W,5920
40450,95th/Dan Ryan,02/28/2018,W,10247
40450,95th/Dan Ryan,02/19/2018,W,7157
40450,95th/Dan Ryan,02/27/2018,W,10362
40450,95th/Dan Ryan,02/06/2018,W,9490
40450,95th/Dan Ryan,03/26/2018,W,8447
40450,95th/Dan Ryan,02/10/2018,A,4811
40450,95th/Dan Ryan,03/11/2018,U,4592
40450,95th/Dan Ryan,01/12/2018,W,9236
40450,95th/Dan Ryan,02/25/2018,U,4686
40450,95th/Dan Ryan,01/20/2018,A,5638
40450,95th/Dan Ryan,01/22/2018,W,9836
40450,95th/Dan Ryan,01/27/2018,A,5948
40450,95th/Dan Ryan,02/16/2018,W,9985
40450,95th/Dan Ryan,01/13/2018,A,5173
40450,95th/Dan Ryan,01/14/2018,U,3891
40450,95th/Dan Ryan,01/06/2018,A,4805
40450,95th/Dan Ryan,03/12/2018,W,9577
40450,95th/Dan Ryan,01/08/2018,W,9194
40450,95th/Dan Ryan,02/05/2018,W,8991
40450,95th/Dan Ryan,01/02/2018,W,6446
40450,95th/Dan Ryan,03/31/2018,A,5408
40450,95th/Dan Ryan,01/10/2018,W,9947
40450,95th/Dan Ryan,03/25/2018,U,4363
40450,95th/Dan Ryan,03/20/2018,W,9783
40450,95th/Dan Ryan,02/03/2018,A,5529
40450,95th/Dan Ryan,02/08/2018,W,9810
40450,95th/Dan Ryan,01/17/2018,W,9595
40450,95th/Dan Ryan,03/17/2018,A,5922
40450,95th/Dan Ryan,01/23/2018,W,9972
40450,95th/Dan Ryan,02/18/2018,U,4581
40450,95th/Dan Ryan,02/04/2018,U,4049
40450,95th/Dan Ryan,02/01/2018,W,10037
40450,95th/Dan Ryan,01/05/2018,W,7763
40450,95th/Dan Ryan,03/10/2018,A,5766
40450,95th/Dan Ryan,03/21/2018,W,9869
40450,95th/Dan Ryan,03/02/2018,W,10283
40450,95th/Dan Ryan,03/27/2018,W,8633
40450,95th/Dan Ryan,03/15/2018,W,10088
40450,95th/Dan Ryan,02/17/2018,A,5765
40450,95th/Dan Ryan,02/11/2018,U,4089
40450,95th/Dan Ryan,03/08/2018,W,10081
40450,95th/Dan Ryan,02/13/2018,W,10058
40450,95th/Dan Ryan,02/02/2018,W,8883
40450,95th/Dan Ryan,03/22/2018,W,10032
40450,95th/Dan Ryan,02/12/2018,W,9064
40450,95th/Dan Ryan,01/21/2018,U,4479
40450,95th/Dan Ryan,01/11/2018,W,9975
40450,95th/Dan Ryan,03/01/2018,W,10036
40450,95th/Dan Ryan,03/16/2018,W,9947
40450,95th/Dan Ryan,02/14/2018,W,10528
40450,95th/Dan Ryan,01/16/2018,W,9453
40450,95th/Dan Ryan,02/23/2018,W,10159
40450,95th/Dan Ryan,03/30/2018,W,8399
40450,95th/Dan Ryan,01/26/2018,W,10169
40450,95th/Dan Ryan,01/07/2018,U,4043
40450,95th/Dan Ryan,03/23/2018,W,9618
40450,95th/Dan Ryan,01/04/2018,W,7662
40450,95th/Dan Ryan,02/15/2018,W,10055
40450,95th/Dan Ryan,03/03/2018,A,6075
40450,95th/Dan Ryan,02/21/2018,W,10143
40450,95th/Dan Ryan,03/07/2018,W,10158
40450,95th/Dan Ryan,04/12/2018,W,10326
40450,95th/Dan Ryan,05/28/2018,U,4836
40450,95th/Dan Ryan,05/08/2018,W,10252
40450,95th/Dan Ryan,06/29/2018,W,9506
40450,95th/Dan Ryan,05/23/2018,W,10409
40450,95th/Dan Ryan,04/29/2018,U,4759
