station_id,stationname,date,daytype,rides
40680,Adams/Wabash,12/06/2017,W,7234
40680,Adams/Wabash,12/02/2017,A,3393
40680,Adams/Wabash,12/03/2017,U,2463
40680,Adams/Wabash,12/05/2017,W,7130
40680,Adams/Wabash,12/16/2017,A,2907
40680,Adams/Wabash,12/28/2017,W,4315
40680,Adams/Wabash,12/09/2017,A,2993
40680,Adams/Wabash,12/15/2017,W,6481
40680,Adams/Wabash,12/17/2017,U,1940
40680,Adams/Wabash,12/01/2017,W,7097
40680,Adams/Wabash,12/19/2017,W,6473
40680,Adams/Wabash,12/26/2017,W,2740
40680,Adams/Wabash,12/30/2017,A,1905
40680,Adams/Wabash,12/14/2017,W,7016
40680,Adams/Wabash,12/24/2017,U,1279
40680,Adams/Wabash,12/29/2017,W,4274
40680,Adams/Wabash,12/07/2017,W,7745
40680,Adams/Wabash,12/25/2017,U,483
40680,Adams/Wabash,12/31/2017,U,1419
40680,Adams/Wabash,12/08/2017,W,6938
40680,Adams/Wabash,12/20/2017,W,6225
40680,Adams/Wabash,12/12/2017,W,6798
40680,Adams/Wabash,12/22/2017,W,5129
40680,Adams/Wabash,12/11/2017,W,6518
40680,Adams/Wabash,12/18/2017,W,6141
40680,Adams/Wabash,12/04/2017,W,7056
40680,Adams/Wabash,12/27/2017,W,3842
40680,Adams/Wabash,12/23/2017,A,2410
40680,Adams/Wabash,12/10/2017,U,2089
40680,Adams/Wabash,12/21/2017,W,6146
40680,Adams/Wabash,12/13/2017,W,6806
40680,Adams/Wabash,03/14/2018,W,7766
40680,Adams/Wabash,03/11/2018,U,1985
40680,Adams/Wabash,03/22/2018,W,7086
40680,Adams/Wabash,02/15/2018,W,8046
40680,Adams/Wabash,01/15/2018,W,3588
40680,Adams/Wabash,03/01/2018,W,8138
40680,Adams/Wabash,02/12/2018,W,7341
40680,Adams/Wabash,03/29/2018,W,7870
40680,Adams/Wabash,02/25/2018,U,2062
40680,Adams/Wabash,02/23/2018,W,6860
40680,Adams/Wabash,01/10/2018,W,7474
40680,Adams/Wabash,03/17/2018,A,6277
40680,Adams/Wabash,02/11/2018,U,1566
