station_id,stationname,date,daytype,rides
41200,Argyle,12/30/2017,A,1716
41200,Argyle,12/07/2017,W,3111
41200,Argyle,12/09/2017,A,2349
41200,Argyle,12/29/2017,W,2252
41200,Argyle,12/12/2017,W,3043
41200,Argyle,12/19/2017,W,2905
41200,Argyle,12/16/2017,A,2378
41200,Argyle,12/08/2017,W,3074
41200,Argyle,12/04/2017,W,3077
41200,Argyle,12/17/2017,U,1807
41200,Argyle,12/22/2017,W,2549
41200,Argyle,12/21/2017,W,2818
41200,Argyle,12/20/2017,W,2955
41200,Argyle,12/03/2017,U,1985
41200,Argyle,12/31/2017,U,1523
41200,Argyle,12/28/2017,W,2070
41200,Argyle,12/24/2017,U,1291
41200,Argyle,12/10/2017,U,1532
41200,Argyle,12/23/2017,A,1749
41200,Argyle,12/02/2017,A,2539
41200,Argyle,12/15/2017,W,3069
41200,Argyle,12/25/2017,U,850
41200,Argyle,12/27/2017,W,1840
41200,Argyle,12/26/2017,W,1499
41200,Argyle,12/14/2017,W,3032
41200,Argyle,12/06/2017,W,3043
41200,Argyle,12/18/2017,W,2896
41200,Argyle,12/05/2017,W,3062
41200,Argyle,12/01/2017,W,3326
41200,Argyle,12/13/2017,W,2995
41200,Argyle,12/11/2017,W,2989
41200,Argyle,03/28/2018,W,2941
41200,Argyle,02/07/2018,W,3140
41200,Argyle,01/19/2018,W,3093
41200,Argyle,02/16/2018,W,3233
41200,Argyle,03/03/2018,A,2455
41200,Argyle,02/13/2018,W,3193
41200,Argyle,01/16/2018,W,2951
41200,Argyle,03/05/2018,W,2896
41200,Argyle,02/04/2018,U,1525
41200,Argyle,01/17/2018,W,3045
41200,Argyle,03/26/2018,W,2862
41200,Argyle,02/14/2018,W,3194
41200,Argyle,03/18/2018,U,1708
41200,Argyle,03/22/2018,W,2989
41200,Argyle,02/01/2018,W,3015
41200,Argyle,02/27/2018,W,3134
41200,Argyle,03/10/2018,A,2419
41200,Argyle,03/11/2018,U,1762
41200,Argyle,02/06/2018,W,2923
41200,Argyle,01/21/2018,U,1655
41200,Argyle,03/24/2018,A,1899
41200,Argyle,03/15/2018,W,3254
41200,Argyle,02/17/2018,A,2379
41200,Argyle,03/16/2018,W,3370
41200,Argyle,01/23/2018,W,2997
41200,Argyle,03/06/2018,W,3049
41200,Argyle,02/12/2018,W,2982
41200,Argyle,03/08/2018,W,2932
41200,Argyle,01/03/2018,W,2688
41200,Argyle,01/18/2018,W,2956
41200,Argyle,01/09/2018,W,2914
41200,Argyle,03/25/2018,U,1816
41200,Argyle,03/02/2018,W,3312
41200,Argyle,01/06/2018,A,1746
41200,Argyle,03/01/2018,W,3057
41200,Argyle,02/02/2018,W,2967
41200,Argyle,01/29/2018,W,2959
41200,Argyle,01/31/2018,W,3030
41200,Argyle,02/21/2018,W,3095
41200,Argyle,02/26/2018,W,2994
41200,Argyle,01/28/2018,U,1710
41200,Argyle,01/11/2018,W,3015
41200,Argyle,01/22/2018,W,3021
41200,Argyle,02/10/2018,A,2236
41200,Argyle,02/08/2018,W,3028
41200,Argyle,03/21/2018,W,3022
41200,Argyle,01/25/2018,W,3139
41200,Argyle,02/20/2018,W,3020
41200,Argyle,02/03/2018,A,2177
41200,Argyle,02/24/2018,A,2963
41200,Argyle,03/29/2018,W,2995
41200,Argyle,02/25/2018,U,1852
41200,Argyle,03/09/2018,W,3088
41200,Argyle,01/02/2018,W,2232
41200,Argyle,03/14/2018,W,3160
41200,Argyle,03/13/2018,W,3094
41200,Argyle,01/13/2018,A,2009
41200,Argyle,03/19/2018,W,2944
41200,Argyle,03/04/2018,U,1831
41200,Argyle,01/30/2018,W,3092
