station_id,stationname,date,daytype,rides
40170,Ashland-Lake,12/01/2017,W,2568
40170,Ashland-Lake,12/28/2017,W,1457
40170,Ashland-Lake,12/29/2017,W,1547
40170,Ashland-Lake,12/07/2017,W,2382
40170,Ashland-Lake,12/09/2017,A,1164
40170,Ashland-Lake,12/22/2017,W,1855
40170,Ashland-Lake,12/03/2017,U,930
40170,Ashland-Lake,12/05/2017,W,2530
40170,Ashland-Lake,12/08/2017,W,2455
40170,Ashland-Lake,12/16/2017,A,1249
40170,Ashland-Lake,12/26/2017,W,971
40170,Ashland-Lake,12/13/2017,W,2487
40170,Ashland-Lake,12/11/2017,W,2495
40170,Ashland-Lake,12/30/2017,A,750
40170,Ashland-Lake,12/27/2017,W,1333
40170,Ashland-Lake,12/31/2017,U,519
40170,Ashland-Lake,12/04/2017,W,2629
40170,Ashland-Lake,12/10/2017,U,793
40170,Ashland-Lake,12/18/2017,W,2433
40170,Ashland-Lake,12/23/2017,A,897
40170,Ashland-Lake,12/21/2017,W,2244
40170,Ashland-Lake,12/17/2017,U,808
40170,Ashland-Lake,12/20/2017,W,2398
40170,Ashland-Lake,12/06/2017,W,2447
40170,Ashland-Lake,12/02/2017,A,1295
40170,Ashland-Lake,12/24/2017,U,461
40170,Ashland-Lake,12/14/2017,W,2490
40170,Ashland-Lake,12/12/2017,W,2410
40170,Ashland-Lake,12/25/2017,U,301
40170,Ashland-Lake,12/15/2017,W,2263
40170,Ashland-Lake,12/19/2017,W,2315
40170,Ashland-Lake,02/27/2018,W,2514
40170,Ashland-Lake,02/08/2018,W,2506
40170,Ashland-Lake,02/20/2018,W,2337
40170,Ashland-Lake,03/01/2018,W,2424
40170,Ashland-Lake,03/08/2018,W,2559
40170,Ashland-Lake,03/16/2018,W,2411
40170,Ashland-Lake,03/05/2018,W,2495
40170,Ashland-Lake,03/18/2018,U,993
40170,Ashland-Lake,02/25/2018,U,807
40170,Ashland-Lake,02/01/2018,W,2404
40170,Ashland-Lake,02/05/2018,W,2083
40170,Ashland-Lake,03/31/2018,A,980
40170,Ashland-Lake,03/03/2018,A,1217
40170,Ashland-Lake,03/15/2018,W,2449
40170,Ashland-Lake,02/22/2018,W,2630
40170,Ashland-Lake,03/19/2018,W,2413
40170,Ashland-Lake,01/03/2018,W,1769
40170,Ashland-Lake,03/22/2018,W,2557
40170,Ashland-Lake,02/23/2018,W,2524
40170,Ashland-Lake,02/17/2018,A,1137
40170,Ashland-Lake,02/15/2018,W,2607
40170,Ashland-Lake,03/30/2018,W,1935
40170,Ashland-Lake,03/25/2018,U,782
40170,Ashland-Lake,02/18/2018,U,688
40170,Ashland-Lake,03/10/2018,A,1135
40170,Ashland-Lake,03/26/2018,W,2142
40170,Ashland-Lake,02/13/2018,W,2400
40170,Ashland-Lake,01/17/2018,W,2376
40170,Ashland-Lake,03/21/2018,W,2558
40170,Ashland-Lake,03/20/2018,W,2380
40170,Ashland-Lake,01/12/2018,W,2199
40170,Ashland-Lake,01/23/2018,W,2365
40170,Ashland-Lake,02/19/2018,W,1674
40170,Ashland-Lake,01/19/2018,W,2225
40170,Ashland-Lake,02/03/2018,A,1036
40170,Ashland-Lake,01/15/2018,W,1374
40170,Ashland-Lake,03/02/2018,W,2415
40170,Ashland-Lake,03/09/2018,W,2486
40170,Ashland-Lake,01/31/2018,W,2379
40170,Ashland-Lake,03/13/2018,W,2569
40170,Ashland-Lake,01/29/2018,W,2204
40170,Ashland-Lake,03/04/2018,U,742
40170,Ashland-Lake,01/26/2018,W,2397
40170,Ashland-Lake,02/16/2018,W,2373
40170,Ashland-Lake,02/12/2018,W,2291
40170,Ashland-Lake,01/05/2018,W,1833
40170,Ashland-Lake,03/14/2018,W,2449
40170,Ashland-Lake,01/21/2018,U,747
40170,Ashland-Lake,01/28/2018,U,811
40170,Ashland-Lake,02/10/2018,A,1105
40170,Ashland-Lake,03/12/2018,W,2316
40170,Ashland-Lake,01/24/2018,W,2491
40170,Ashland-Lake,03/24/2018,A,6562
40170,Ashland-Lake,01/16/2018,W,2457
40170,Ashland-Lake,02/02/2018,W,2114
40170,Ashland-Lake,02/11/2018,U,605
40170,Ashland-Lake,01/27/2018,A,1088
40170,Ashland-Lake,01/30/2018,W,2401
40170,Ashland-Lake,02/07/2018,W,2265
40170,Ashland-Lake,03/11/2018,U,864
40170,Ashland-Lake,01/20/2018,A,1280
40170,Ashland-Lake,01/02/2018,W,1440
40170,Ashland-Lake,01/11/2018,W,2395
40170,Ashland-Lake,03/27/2018,W,2195
40170,Ashland-Lake,01/09/2018,W,2238
40170,Ashland-Lake,01/18/2018,W,2345
40170,Ashland-Lake,02/14/2018,W,2602
40170,Ashland-Lake,02/24/2018,A,1113
40170,Ashland-Lake,03/29/2018,W,2242
40170,Ashland-Lake,01/25/2018,W,2434
40170,Ashland-Lake,01/08/2018,W,2338
40170,Ashland-Lake,01/06/2018,A,860
40170,Ashland-Lake,02/09/2018,W,1517
40170,Ashland-Lake,02/06/2018,W,2327
40170,Ashland-Lake,03/17/2018,A,1782
40170,Ashland-Lake,01/10/2018,W,2365
40170,Ashland-Lake,01/01/2018,U,537
40170,Ashland-Lake,01/04/2018,W,1846
40170,Ashland-Lake,02/04/2018,U,565
40170,Ashland-Lake,03/28/2018,W,2307
40170,Ashland-Lake,02/28/2018,W,2370
40170,Ashland-Lake,02/26/2018,W,2379
40170,Ashland-Lake,01/14/2018,U,727
40170,Ashland-Lake,03/23/2018,W,2531
40170,Ashland-Lake,01/22/2018,W,2412
40170,Ashland-Lake,01/07/2018,U,591
40170,Ashland-Lake,03/07/2018,W,2529
40170,Ashland-Lake,01/13/2018,A,1024
40170,Ashland-Lake,03/06/2018,W,2525
40170,Ashland-Lake,02/21/2018,W,2553
40170,Ashland-Lake,06/27/2018,W,2403
40170,Ashland-Lake,04/22/2018,U,745
40170,Ashland-Lake,06/14/2018,W,2550
40170,Ashland-Lake,06/13/2018,W,2562
40170,Ashland-Lake,04/13/2018,W,2119
40170,Ashland-Lake,04/08/2018,U,665
40170,Ashland-Lake,06/08/2018,W,2470
40170,Ashland-Lake,05/22/2018,W,2713
40170,Ashland-Lake,05/27/2018,U,961
40170,Ashland-Lake,05/26/2018,A,1433
40170,Ashland-Lake,06/18/2018,W,2155
40170,Ashland-Lake,05/06/2018,U,781
40170,Ashland-Lake,05/13/2018,U,657
40170,Ashland-Lake,05/07/2018,W,2373
40170,Ashland-Lake,04/26/2018,W,2398
40170,Ashland-Lake,04/25/2018,W,2397
40170,Ashland-Lake,04/11/2018,W,2725
40170,Ashland-Lake,05/01/2018,W,2562
40170,Ashland-Lake,05/09/2018,W,2533
40170,Ashland-Lake,05/31/2018,W,2439
40170,Ashland-Lake,05/03/2018,W,2461
40170,Ashland-Lake,05/24/2018,W,2551
40170,Ashland-Lake,05/10/2018,W,2535
40170,Ashland-Lake,06/16/2018,A,1256
40170,Ashland-Lake,04/14/2018,A,1028
40170,Ashland-Lake,05/14/2018,W,2180
40170,Ashland-Lake,06/17/2018,U,739
40170,Ashland-Lake,06/22/2018,W,2072
40170,Ashland-Lake,04/17/2018,W,2397
40170,Ashland-Lake,06/20/2018,W,2378
40170,Ashland-Lake,04/15/2018,U,606
40170,Ashland-Lake,06/11/2018,W,2325
40170,Ashland-Lake,05/05/2018,A,1537
40170,Ashland-Lake,06/12/2018,W,2459
