station_id,stationname,date,daytype,rides
41060,Ashland-Orange,12/14/2017,W,1648
41060,Ashland-Orange,12/09/2017,A,757
41060,Ashland-Orange,12/17/2017,U,644
41060,Ashland-Orange,12/30/2017,A,558
41060,Ashland-Orange,12/06/2017,W,1675
41060,Ashland-Orange,12/18/2017,W,1490
41060,Ashland-Orange,12/13/2017,W,1625
41060,Ashland-Orange,12/31/2017,U,507
41060,Ashland-Orange,12/04/2017,W,1676
41060,Ashland-Orange,12/02/2017,A,1151
41060,Ashland-Orange,12/25/2017,U,237
41060,Ashland-Orange,12/15/2017,W,1605
41060,Ashland-Orange,12/24/2017,U,526
41060,Ashland-Orange,12/05/2017,W,1678
41060,Ashland-Orange,12/16/2017,A,900
41060,Ashland-Orange,12/19/2017,W,1630
41060,Ashland-Orange,12/07/2017,W,1641
41060,Ashland-Orange,12/23/2017,A,843
41060,Ashland-Orange,12/20/2017,W,1621
41060,Ashland-Orange,12/12/2017,W,1562
41060,Ashland-Orange,12/21/2017,W,1597
41060,Ashland-Orange,12/27/2017,W,1023
41060,Ashland-Orange,12/08/2017,W,1624
41060,Ashland-Orange,12/03/2017,U,835
41060,Ashland-Orange,12/10/2017,U,639
41060,Ashland-Orange,12/26/2017,W,797
41060,Ashland-Orange,12/11/2017,W,1535
41060,Ashland-Orange,12/22/2017,W,1426
41060,Ashland-Orange,12/28/2017,W,1068
41060,Ashland-Orange,12/29/2017,W,1047
41060,Ashland-Orange,12/01/2017,W,1752
41060,Ashland-Orange,01/12/2018,W,1412
41060,Ashland-Orange,03/25/2018,U,629
41060,Ashland-Orange,02/05/2018,W,1434
41060,Ashland-Orange,01/27/2018,A,816
41060,Ashland-Orange,01/03/2018,W,1204
41060,Ashland-Orange,03/15/2018,W,1634
41060,Ashland-Orange,01/16/2018,W,1455
41060,Ashland-Orange,01/28/2018,U,583
41060,Ashland-Orange,03/03/2018,A,946
41060,Ashland-Orange,02/14/2018,W,1659
41060,Ashland-Orange,01/17/2018,W,1539
41060,Ashland-Orange,03/22/2018,W,1615
41060,Ashland-Orange,03/01/2018,W,1570
41060,Ashland-Orange,02/24/2018,A,850
41060,Ashland-Orange,03/21/2018,W,1596
41060,Ashland-Orange,01/15/2018,W,858
41060,Ashland-Orange,02/13/2018,W,1578
41060,Ashland-Orange,01/21/2018,U,513
41060,Ashland-Orange,01/22/2018,W,1598
41060,Ashland-Orange,03/13/2018,W,1585
41060,Ashland-Orange,01/29/2018,W,1519
41060,Ashland-Orange,03/11/2018,U,630
41060,Ashland-Orange,03/23/2018,W,1602
41060,Ashland-Orange,01/30/2018,W,1576
41060,Ashland-Orange,02/18/2018,U,633
41060,Ashland-Orange,02/03/2018,A,763
41060,Ashland-Orange,03/24/2018,A,729
41060,Ashland-Orange,01/31/2018,W,1630
41060,Ashland-Orange,02/08/2018,W,1545
41060,Ashland-Orange,02/23/2018,W,1563
41060,Ashland-Orange,03/26/2018,W,1347
41060,Ashland-Orange,03/19/2018,W,1575
41060,Ashland-Orange,02/15/2018,W,1570
41060,Ashland-Orange,02/11/2018,U,505
41060,Ashland-Orange,02/06/2018,W,1477
41060,Ashland-Orange,01/24/2018,W,1590
41060,Ashland-Orange,02/02/2018,W,1359
41060,Ashland-Orange,01/26/2018,W,1555
41060,Ashland-Orange,01/02/2018,W,983
41060,Ashland-Orange,03/17/2018,A,877
41060,Ashland-Orange,02/21/2018,W,1632
41060,Ashland-Orange,02/20/2018,W,1544
41060,Ashland-Orange,01/20/2018,A,869
41060,Ashland-Orange,02/09/2018,W,997
41060,Ashland-Orange,03/20/2018,W,1560
41060,Ashland-Orange,03/05/2018,W,1503
41060,Ashland-Orange,02/07/2018,W,1487
41060,Ashland-Orange,02/27/2018,W,1655
41060,Ashland-Orange,01/13/2018,A,708
41060,Ashland-Orange,02/01/2018,W,1574
41060,Ashland-Orange,02/19/2018,W,1127
41060,Ashland-Orange,03/29/2018,W,1360
41060,Ashland-Orange,01/09/2018,W,1488
41060,Ashland-Orange,01/19/2018,W,1510
41060,Ashland-Orange,02/22/2018,W,1653
41060,Ashland-Orange,02/26/2018,W,1544
41060,Ashland-Orange,01/01/2018,U,304
41060,Ashland-Orange,02/25/2018,U,598
41060,Ashland-Orange,02/17/2018,A,722
41060,Ashland-Orange,01/08/2018,W,1409
41060,Ashland-Orange,03/14/2018,W,1641
41060,Ashland-Orange,03/09/2018,W,1550
41060,Ashland-Orange,03/28/2018,W,1424
41060,Ashland-Orange,01/07/2018,U,477
41060,Ashland-Orange,03/27/2018,W,1298
41060,Ashland-Orange,02/10/2018,A,753
41060,Ashland-Orange,02/28/2018,W,1660
41060,Ashland-Orange,03/10/2018,A,839
41060,Ashland-Orange,03/07/2018,W,1545
41060,Ashland-Orange,01/18/2018,W,1580
