station_id,stationname,date,daytype,rides
41320,Belmont-North Main,12/28/2017,W,6981
41320,Belmont-North Main,12/12/2017,W,11192
41320,Belmont-North Main,12/11/2017,W,11136
41320,Belmont-North Main,12/21/2017,W,10749
41320,Belmont-North Main,12/24/2017,U,2996
41320,Belmont-North Main,12/09/2017,A,8970
41320,Belmont-North Main,12/29/2017,W,7554
41320,Belmont-North Main,12/19/2017,W,11411
41320,Belmont-North Main,12/30/2017,A,5541
41320,Belmont-North Main,12/23/2017,A,5649
41320,Belmont-North Main,12/25/2017,U,1346
41320,Belmont-North Main,12/18/2017,W,11012
41320,Belmont-North Main,12/10/2017,U,6319
41320,Belmont-North Main,12/05/2017,W,11508
41320,Belmont-North Main,12/04/2017,W,11490
41320,Belmont-North Main,12/13/2017,W,11347
41320,Belmont-North Main,12/14/2017,W,11731
41320,Belmont-North Main,12/06/2017,W,11599
41320,Belmont-North Main,12/07/2017,W,11719
41320,Belmont-North Main,12/17/2017,U,6512
41320,Belmont-North Main,12/27/2017,W,5787
41320,Belmont-North Main,12/03/2017,U,7128
41320,Belmont-North Main,12/01/2017,W,13014
41320,Belmont-North Main,12/08/2017,W,11957
41320,Belmont-North Main,12/31/2017,U,5288
41320,Belmont-North Main,12/16/2017,A,9281
41320,Belmont-North Main,12/20/2017,W,11396
41320,Belmont-North Main,12/26/2017,W,4014
41320,Belmont-North Main,12/22/2017,W,9155
41320,Belmont-North Main,12/15/2017,W,11829
41320,Belmont-North Main,12/02/2017,A,9979
41320,Belmont-North Main,03/16/2018,W,12943
41320,Belmont-North Main,01/04/2018,W,10162
41320,Belmont-North Main,02/12/2018,W,11348
41320,Belmont-North Main,02/07/2018,W,11490
41320,Belmont-North Main,02/19/2018,W,9037
41320,Belmont-North Main,01/09/2018,W,11434
41320,Belmont-North Main,02/26/2018,W,11479
41320,Belmont-North Main,02/09/2018,W,9032
41320,Belmont-North Main,03/27/2018,W,11601
41320,Belmont-North Main,01/24/2018,W,11512
41320,Belmont-North Main,01/05/2018,W,10009
41320,Belmont-North Main,02/01/2018,W,11091
41320,Belmont-North Main,02/23/2018,W,12477
41320,Belmont-North Main,01/31/2018,W,11766
41320,Belmont-North Main,03/28/2018,W,11880
41320,Belmont-North Main,01/02/2018,W,8665
41320,Belmont-North Main,02/13/2018,W,12077
41320,Belmont-North Main,03/08/2018,W,11951
41320,Belmont-North Main,03/17/2018,A,13961
41320,Belmont-North Main,03/13/2018,W,11868
41320,Belmont-North Main,02/18/2018,U,6914
41320,Belmont-North Main,03/24/2018,A,8243
41320,Belmont-North Main,02/08/2018,W,11613
41320,Belmont-North Main,01/17/2018,W,11525
