station_id,stationname,date,daytype,rides
40060,Belmont-O'Hare,12/02/2017,A,3327
40060,Belmont-O'Hare,12/23/2017,A,2821
40060,Belmont-O'Hare,12/27/2017,W,3625
40060,Belmont-O'Hare,12/30/2017,A,2433
40060,Belmont-O'Hare,12/01/2017,W,6151
40060,Belmont-O'Hare,12/25/2017,U,1085
40060,Belmont-O'Hare,12/20/2017,W,5422
40060,Belmont-O'Hare,12/15/2017,W,5543
40060,Belmont-O'Hare,12/07/2017,W,5905
40060,Belmont-O'Hare,12/05/2017,W,5829
40060,Belmont-O'Hare,12/16/2017,A,3152
40060,Belmont-O'Hare,12/09/2017,A,3172
40060,Belmont-O'Hare,12/12/2017,W,5558
40060,Belmont-O'Hare,12/04/2017,W,5757
40060,Belmont-O'Hare,12/26/2017,W,2959
40060,Belmont-O'Hare,12/14/2017,W,5771
40060,Belmont-O'Hare,12/19/2017,W,5400
40060,Belmont-O'Hare,12/24/2017,U,1843
40060,Belmont-O'Hare,12/10/2017,U,2284
40060,Belmont-O'Hare,12/17/2017,U,2391
40060,Belmont-O'Hare,12/31/2017,U,1975
40060,Belmont-O'Hare,12/08/2017,W,6073
40060,Belmont-O'Hare,12/29/2017,W,3952
40060,Belmont-O'Hare,12/18/2017,W,5296
40060,Belmont-O'Hare,12/11/2017,W,5497
40060,Belmont-O'Hare,12/28/2017,W,3849
40060,Belmont-O'Hare,12/22/2017,W,5083
40060,Belmont-O'Hare,12/21/2017,W,5253
40060,Belmont-O'Hare,12/03/2017,U,2600
40060,Belmont-O'Hare,12/13/2017,W,5493
40060,Belmont-O'Hare,12/06/2017,W,5832
40060,Belmont-O'Hare,01/15/2018,W,3527
40060,Belmont-O'Hare,01/14/2018,U,1908
40060,Belmont-O'Hare,01/13/2018,A,2631
40060,Belmont-O'Hare,03/14/2018,W,5707
40060,Belmont-O'Hare,01/26/2018,W,5644
40060,Belmont-O'Hare,03/18/2018,U,2366
40060,Belmont-O'Hare,03/10/2018,A,2932
40060,Belmont-O'Hare,01/04/2018,W,4495
40060,Belmont-O'Hare,01/05/2018,W,4656
40060,Belmont-O'Hare,01/25/2018,W,5698
40060,Belmont-O'Hare,01/16/2018,W,5470
40060,Belmont-O'Hare,02/11/2018,U,2126
40060,Belmont-O'Hare,01/23/2018,W,5616
40060,Belmont-O'Hare,02/20/2018,W,5477
40060,Belmont-O'Hare,03/28/2018,W,5240
40060,Belmont-O'Hare,03/02/2018,W,5564
40060,Belmont-O'Hare,02/24/2018,A,2915
40060,Belmont-O'Hare,02/10/2018,A,2823
40060,Belmont-O'Hare,01/03/2018,W,4375
40060,Belmont-O'Hare,02/19/2018,W,4195
40060,Belmont-O'Hare,02/23/2018,W,5621
40060,Belmont-O'Hare,01/18/2018,W,5434
40060,Belmont-O'Hare,01/29/2018,W,5280
40060,Belmont-O'Hare,03/08/2018,W,5654
40060,Belmont-O'Hare,01/19/2018,W,5446
40060,Belmont-O'Hare,03/31/2018,A,2749
40060,Belmont-O'Hare,03/22/2018,W,5664
40060,Belmont-O'Hare,03/04/2018,U,2155
40060,Belmont-O'Hare,01/20/2018,A,3073
40060,Belmont-O'Hare,02/02/2018,W,5365
40060,Belmont-O'Hare,03/25/2018,U,2323
40060,Belmont-O'Hare,01/08/2018,W,4923
40060,Belmont-O'Hare,01/10/2018,W,5227
40060,Belmont-O'Hare,03/17/2018,A,3824
40060,Belmont-O'Hare,03/11/2018,U,2186
40060,Belmont-O'Hare,02/05/2018,W,5098
40060,Belmont-O'Hare,01/17/2018,W,5516
40060,Belmont-O'Hare,02/06/2018,W,5520
40060,Belmont-O'Hare,03/16/2018,W,5700
40060,Belmont-O'Hare,03/03/2018,A,3092
40060,Belmont-O'Hare,03/23/2018,W,5632
40060,Belmont-O'Hare,02/03/2018,A,2367
40060,Belmont-O'Hare,03/27/2018,W,5282
40060,Belmont-O'Hare,03/09/2018,W,5600
40060,Belmont-O'Hare,03/20/2018,W,5572
40060,Belmont-O'Hare,02/21/2018,W,5583
40060,Belmont-O'Hare,02/12/2018,W,5178
40060,Belmont-O'Hare,02/27/2018,W,5747
40060,Belmont-O'Hare,01/27/2018,A,2876
40060,Belmont-O'Hare,02/01/2018,W,5632
40060,Belmont-O'Hare,02/16/2018,W,5667
40060,Belmont-O'Hare,03/21/2018,W,5669
40060,Belmont-O'Hare,02/09/2018,W,4221
40060,Belmont-O'Hare,01/11/2018,W,5257
40060,Belmont-O'Hare,02/25/2018,U,2268
40060,Belmont-O'Hare,02/22/2018,W,5710
