station_id,stationname,date,daytype,rides
41380,Bryn Mawr,12/16/2017,A,3333
41380,Bryn Mawr,12/26/2017,W,2249
41380,Bryn Mawr,12/04/2017,W,4714
41380,Bryn Mawr,12/14/2017,W,4732
41380,Bryn Mawr,12/31/2017,U,2201
41380,Bryn Mawr,12/06/2017,W,4775
41380,Bryn Mawr,12/07/2017,W,4746
41380,Bryn Mawr,12/09/2017,A,3075
41380,Bryn Mawr,12/25/2017,U,1024
41380,Bryn Mawr,12/24/2017,U,1705
41380,Bryn Mawr,12/11/2017,W,4492
41380,Bryn Mawr,12/18/2017,W,4222
41380,Bryn Mawr,12/17/2017,U,2368
41380,Bryn Mawr,12/19/2017,W,4509
41380,Bryn Mawr,12/10/2017,U,2303
41380,Bryn Mawr,12/22/2017,W,3896
41380,Bryn Mawr,12/03/2017,U,2533
41380,Bryn Mawr,12/13/2017,W,4640
41380,Bryn Mawr,12/15/2017,W,4680
41380,Bryn Mawr,12/02/2017,A,3358
41380,Bryn Mawr,12/29/2017,W,3309
41380,Bryn Mawr,12/08/2017,W,4824
41380,Bryn Mawr,12/12/2017,W,4678
41380,Bryn Mawr,12/20/2017,W,4377
41380,Bryn Mawr,12/21/2017,W,4229
41380,Bryn Mawr,12/23/2017,A,2441
41380,Bryn Mawr,12/30/2017,A,2201
41380,Bryn Mawr,12/28/2017,W,3109
41380,Bryn Mawr,12/01/2017,W,5164
41380,Bryn Mawr,12/05/2017,W,4749
41380,Bryn Mawr,12/27/2017,W,2787
41380,Bryn Mawr,03/16/2018,W,4690
41380,Bryn Mawr,03/23/2018,W,4520
41380,Bryn Mawr,01/12/2018,W,2795
41380,Bryn Mawr,02/15/2018,W,4867
41380,Bryn Mawr,02/11/2018,U,2162
41380,Bryn Mawr,02/27/2018,W,4799
41380,Bryn Mawr,01/15/2018,W,2957
41380,Bryn Mawr,02/21/2018,W,4737
41380,Bryn Mawr,01/02/2018,W,3422
41380,Bryn Mawr,03/13/2018,W,4721
