station_id,stationname,date,daytype,rides
41360,California-Lake,12/07/2017,W,991
41360,California-Lake,12/16/2017,A,527
41360,California-Lake,12/26/2017,W,499
41360,California-Lake,12/29/2017,W,737
41360,California-Lake,12/08/2017,W,953
41360,California-Lake,12/20/2017,W,962
41360,California-Lake,12/11/2017,W,1007
41360,California-Lake,12/25/2017,U,264
41360,California-Lake,12/09/2017,A,478
41360,California-Lake,12/04/2017,W,1095
41360,California-Lake,12/23/2017,A,468
41360,California-Lake,12/10/2017,U,365
41360,California-Lake,12/14/2017,W,1006
41360,California-Lake,12/03/2017,U,438
41360,California-Lake,12/28/2017,W,659
41360,California-Lake,12/31/2017,U,311
41360,California-Lake,12/22/2017,W,887
41360,California-Lake,12/02/2017,A,573
41360,California-Lake,12/17/2017,U,372
41360,California-Lake,12/18/2017,W,1005
41360,California-Lake,12/01/2017,W,1104
41360,California-Lake,12/12/2017,W,1006
41360,California-Lake,12/13/2017,W,956
41360,California-Lake,12/30/2017,A,413
41360,California-Lake,12/15/2017,W,1001
41360,California-Lake,12/19/2017,W,1023
41360,California-Lake,12/06/2017,W,1073
41360,California-Lake,12/27/2017,W,632
41360,California-Lake,12/21/2017,W,943
41360,California-Lake,12/24/2017,U,316
41360,California-Lake,12/05/2017,W,1041
41360,California-Lake,02/08/2018,W,953
41360,California-Lake,03/19/2018,W,952
41360,California-Lake,01/19/2018,W,949
41360,California-Lake,02/09/2018,W,593
41360,California-Lake,01/25/2018,W,1043
41360,California-Lake,01/11/2018,W,977
41360,California-Lake,03/24/2018,A,558
41360,California-Lake,01/12/2018,W,874
41360,California-Lake,01/06/2018,A,426
41360,California-Lake,01/26/2018,W,975
41360,California-Lake,02/15/2018,W,1020
41360,California-Lake,01/09/2018,W,1023
41360,California-Lake,02/27/2018,W,1074
41360,California-Lake,01/03/2018,W,762
41360,California-Lake,02/24/2018,A,537
41360,California-Lake,03/31/2018,A,475
41360,California-Lake,03/28/2018,W,883
41360,California-Lake,02/13/2018,W,1117
41360,California-Lake,01/02/2018,W,650
41360,California-Lake,02/26/2018,W,1035
41360,California-Lake,01/17/2018,W,960
41360,California-Lake,01/16/2018,W,916
41360,California-Lake,02/12/2018,W,859
41360,California-Lake,03/04/2018,U,421
41360,California-Lake,01/28/2018,U,369
41360,California-Lake,03/29/2018,W,853
41360,California-Lake,01/24/2018,W,1035
41360,California-Lake,01/14/2018,U,338
41360,California-Lake,02/16/2018,W,1008
41360,California-Lake,02/01/2018,W,963
41360,California-Lake,02/03/2018,A,474
41360,California-Lake,03/05/2018,W,958
41360,California-Lake,03/01/2018,W,986
41360,California-Lake,02/21/2018,W,1031
41360,California-Lake,02/02/2018,W,859
41360,California-Lake,03/26/2018,W,851
41360,California-Lake,03/08/2018,W,995
41360,California-Lake,03/22/2018,W,947
41360,California-Lake,03/07/2018,W,951
41360,California-Lake,02/28/2018,W,1078
41360,California-Lake,02/23/2018,W,1049
41360,California-Lake,01/15/2018,W,490
41360,California-Lake,02/14/2018,W,1066
41360,California-Lake,02/22/2018,W,1019
41360,California-Lake,02/11/2018,U,289
41360,California-Lake,02/06/2018,W,951
41360,California-Lake,03/13/2018,W,1005
41360,California-Lake,01/29/2018,W,986
41360,California-Lake,03/03/2018,A,540
41360,California-Lake,01/07/2018,U,318
41360,California-Lake,03/12/2018,W,956
41360,California-Lake,02/19/2018,W,672
41360,California-Lake,03/23/2018,W,960
41360,California-Lake,03/20/2018,W,916
41360,California-Lake,03/25/2018,U,365
41360,California-Lake,01/10/2018,W,1052
41360,California-Lake,01/04/2018,W,758
41360,California-Lake,02/25/2018,U,393
41360,California-Lake,03/06/2018,W,1020
41360,California-Lake,01/05/2018,W,777
41360,California-Lake,02/07/2018,W,986
41360,California-Lake,03/18/2018,U,436
41360,California-Lake,02/18/2018,U,421
41360,California-Lake,02/20/2018,W,981
41360,California-Lake,03/10/2018,A,524
41360,California-Lake,01/08/2018,W,948
41360,California-Lake,01/21/2018,U,385
41360,California-Lake,01/20/2018,A,560
41360,California-Lake,03/09/2018,W,967
41360,California-Lake,01/01/2018,U,208
41360,California-Lake,02/05/2018,W,869
41360,California-Lake,01/27/2018,A,544
41360,California-Lake,01/18/2018,W,892
41360,California-Lake,03/15/2018,W,973
41360,California-Lake,01/31/2018,W,978
41360,California-Lake,03/30/2018,W,791
41360,California-Lake,03/14/2018,W,983
41360,California-Lake,01/22/2018,W,964
41360,California-Lake,01/23/2018,W,997
41360,California-Lake,02/17/2018,A,521
41360,California-Lake,03/21/2018,W,979
41360,California-Lake,02/04/2018,U,324
41360,California-Lake,01/30/2018,W,997
41360,California-Lake,03/16/2018,W,959
41360,California-Lake,03/27/2018,W,864
41360,California-Lake,01/13/2018,A,456
41360,California-Lake,02/10/2018,A,402
41360,California-Lake,03/11/2018,U,406
41360,California-Lake,03/02/2018,W,1067
41360,California-Lake,03/17/2018,A,621
41360,California-Lake,04/07/2018,A,582
41360,California-Lake,06/03/2018,U,473
41360,California-Lake,06/19/2018,W,1084
41360,California-Lake,04/30/2018,W,1053
41360,California-Lake,04/22/2018,U,421
41360,California-Lake,05/20/2018,U,404
41360,California-Lake,05/18/2018,W,1052
41360,California-Lake,04/08/2018,U,414
41360,California-Lake,05/25/2018,W,1049
41360,California-Lake,06/02/2018,A,607
41360,California-Lake,06/15/2018,W,1063
41360,California-Lake,04/18/2018,W,913
41360,California-Lake,06/22/2018,W,938
41360,California-Lake,04/28/2018,A,552
41360,California-Lake,06/04/2018,W,1134
41360,California-Lake,05/12/2018,A,489
41360,California-Lake,05/27/2018,U,438
41360,California-Lake,04/05/2018,W,1014
41360,California-Lake,05/01/2018,W,1110
41360,California-Lake,05/14/2018,W,932
41360,California-Lake,06/18/2018,W,1012
41360,California-Lake,05/11/2018,W,978
41360,California-Lake,06/26/2018,W,1072
41360,California-Lake,06/30/2018,A,563
41360,California-Lake,06/08/2018,W,1053
41360,California-Lake,04/14/2018,A,440
41360,California-Lake,04/04/2018,W,1041
41360,California-Lake,06/13/2018,W,1150
41360,California-Lake,04/19/2018,W,1012
41360,California-Lake,04/12/2018,W,1047
41360,California-Lake,05/03/2018,W,1030
41360,California-Lake,06/12/2018,W,1118
41360,California-Lake,04/21/2018,A,524
41360,California-Lake,05/09/2018,W,1058
41360,California-Lake,04/26/2018,W,1025
41360,California-Lake,06/23/2018,A,593
41360,California-Lake,05/21/2018,W,905
41360,California-Lake,05/29/2018,W,1052
41360,California-Lake,04/03/2018,W,965
41360,California-Lake,05/15/2018,W,1073
41360,California-Lake,06/25/2018,W,1056
41360,California-Lake,06/20/2018,W,1069
41360,California-Lake,05/04/2018,W,1034
41360,California-Lake,06/16/2018,A,584
41360,California-Lake,06/09/2018,A,617
41360,California-Lake,06/29/2018,W,1040
41360,California-Lake,04/02/2018,W,903
41360,California-Lake,06/28/2018,W,1065
41360,California-Lake,04/15/2018,U,418
41360,California-Lake,04/17/2018,W,1049
41360,California-Lake,05/16/2018,W,1072
41360,California-Lake,06/27/2018,W,1053
41360,California-Lake,05/24/2018,W,1108
41360,California-Lake,06/01/2018,W,1106
41360,California-Lake,04/29/2018,U,411
41360,California-Lake,04/25/2018,W,1018
41360,California-Lake,05/19/2018,A,546
41360,California-Lake,05/30/2018,W,1066
41360,California-Lake,06/24/2018,U,529
41360,California-Lake,06/21/2018,W,898
41360,California-Lake,04/16/2018,W,909
41360,California-Lake,04/09/2018,W,939
41360,California-Lake,06/07/2018,W,1175
41360,California-Lake,05/26/2018,A,624
41360,California-Lake,05/13/2018,U,422
41360,California-Lake,04/13/2018,W,931
41360,California-Lake,05/08/2018,W,1134
41360,California-Lake,04/23/2018,W,953
41360,California-Lake,06/17/2018,U,412
41360,California-Lake,05/31/2018,W,1093
41360,California-Lake,05/10/2018,W,1098
41360,California-Lake,05/02/2018,W,1076
41360,California-Lake,04/06/2018,W,997
41360,California-Lake,05/28/2018,U,458
41360,California-Lake,04/20/2018,W,981
41360,California-Lake,04/11/2018,W,1039
41360,California-Lake,06/11/2018,W,992
41360,California-Lake,05/06/2018,U,438
41360,California-Lake,06/05/2018,W,1146
41360,California-Lake,05/17/2018,W,1034
41360,California-Lake,06/06/2018,W,1193
41360,California-Lake,04/01/2018,U,353
41360,California-Lake,06/14/2018,W,1125
41360,California-Lake,05/23/2018,W,1005
41360,California-Lake,05/05/2018,A,585
41360,California-Lake,04/27/2018,W,1158
41360,California-Lake,05/07/2018,W,1061
41360,California-Lake,05/22/2018,W,1088
