station_id,stationname,date,daytype,rides
41000,Cermak-Chinatown,12/18/2017,W,3636
41000,Cermak-Chinatown,12/04/2017,W,3842
41000,Cermak-Chinatown,12/21/2017,W,3701
41000,Cermak-Chinatown,12/22/2017,W,3688
41000,Cermak-Chinatown,12/30/2017,A,2518
41000,Cermak-Chinatown,12/05/2017,W,3419
41000,Cermak-Chinatown,12/31/2017,U,2377
41000,Cermak-Chinatown,12/03/2017,U,3052
41000,Cermak-Chinatown,12/25/2017,U,1813
41000,Cermak-Chinatown,12/29/2017,W,2866
41000,Cermak-Chinatown,12/10/2017,U,2514
41000,Cermak-Chinatown,12/12/2017,W,3189
41000,Cermak-Chinatown,12/08/2017,W,3922
41000,Cermak-Chinatown,12/06/2017,W,3608
41000,Cermak-Chinatown,12/24/2017,U,2065
41000,Cermak-Chinatown,12/23/2017,A,2898
41000,Cermak-Chinatown,12/07/2017,W,3473
41000,Cermak-Chinatown,12/19/2017,W,3589
41000,Cermak-Chinatown,12/28/2017,W,2698
41000,Cermak-Chinatown,12/17/2017,U,2669
41000,Cermak-Chinatown,12/13/2017,W,3315
41000,Cermak-Chinatown,12/15/2017,W,3889
41000,Cermak-Chinatown,12/11/2017,W,3467
41000,Cermak-Chinatown,12/14/2017,W,3457
41000,Cermak-Chinatown,12/09/2017,A,3238
41000,Cermak-Chinatown,12/27/2017,W,2560
41000,Cermak-Chinatown,12/01/2017,W,4454
41000,Cermak-Chinatown,12/20/2017,W,3527
41000,Cermak-Chinatown,12/16/2017,A,4209
41000,Cermak-Chinatown,12/26/2017,W,1985
41000,Cermak-Chinatown,12/02/2017,A,4383
41000,Cermak-Chinatown,03/06/2018,W,3602
41000,Cermak-Chinatown,02/17/2018,A,4853
41000,Cermak-Chinatown,02/27/2018,W,3605
41000,Cermak-Chinatown,02/18/2018,U,3650
41000,Cermak-Chinatown,03/19/2018,W,3939
41000,Cermak-Chinatown,01/20/2018,A,4289
41000,Cermak-Chinatown,01/10/2018,W,3337
41000,Cermak-Chinatown,03/20/2018,W,3782
41000,Cermak-Chinatown,02/04/2018,U,1774
41000,Cermak-Chinatown,02/07/2018,W,3361
41000,Cermak-Chinatown,03/04/2018,U,3060
41000,Cermak-Chinatown,01/11/2018,W,3263
41000,Cermak-Chinatown,01/23/2018,W,3479
41000,Cermak-Chinatown,02/23/2018,W,4222
41000,Cermak-Chinatown,01/21/2018,U,2575
41000,Cermak-Chinatown,02/20/2018,W,3296
41000,Cermak-Chinatown,01/15/2018,W,2384
41000,Cermak-Chinatown,03/03/2018,A,4503
41000,Cermak-Chinatown,02/05/2018,W,2954
41000,Cermak-Chinatown,03/21/2018,W,3889
41000,Cermak-Chinatown,02/06/2018,W,3263
41000,Cermak-Chinatown,02/09/2018,W,2540
41000,Cermak-Chinatown,01/28/2018,U,2688
41000,Cermak-Chinatown,01/04/2018,W,2739
41000,Cermak-Chinatown,03/10/2018,A,4393
41000,Cermak-Chinatown,01/13/2018,A,3061
41000,Cermak-Chinatown,01/24/2018,W,3568
41000,Cermak-Chinatown,03/23/2018,W,4410
41000,Cermak-Chinatown,01/30/2018,W,3347
41000,Cermak-Chinatown,01/22/2018,W,3573
41000,Cermak-Chinatown,02/28/2018,W,3661
41000,Cermak-Chinatown,01/27/2018,A,3985
41000,Cermak-Chinatown,01/09/2018,W,3242
41000,Cermak-Chinatown,01/14/2018,U,2366
41000,Cermak-Chinatown,01/26/2018,W,4195
41000,Cermak-Chinatown,02/13/2018,W,3553
41000,Cermak-Chinatown,02/24/2018,A,4163
41000,Cermak-Chinatown,02/11/2018,U,2516
41000,Cermak-Chinatown,02/12/2018,W,3434
41000,Cermak-Chinatown,02/03/2018,A,3249
41000,Cermak-Chinatown,01/05/2018,W,2816
41000,Cermak-Chinatown,03/13/2018,W,4152
41000,Cermak-Chinatown,02/15/2018,W,3983
41000,Cermak-Chinatown,01/25/2018,W,3597
41000,Cermak-Chinatown,03/05/2018,W,3499
41000,Cermak-Chinatown,01/02/2018,W,2446
41000,Cermak-Chinatown,03/12/2018,W,4180
41000,Cermak-Chinatown,02/01/2018,W,3448
41000,Cermak-Chinatown,03/31/2018,A,4046
41000,Cermak-Chinatown,01/17/2018,W,3183
41000,Cermak-Chinatown,03/09/2018,W,4473
41000,Cermak-Chinatown,02/21/2018,W,3446
41000,Cermak-Chinatown,03/18/2018,U,3474
41000,Cermak-Chinatown,01/08/2018,W,3073
41000,Cermak-Chinatown,01/16/2018,W,3016
41000,Cermak-Chinatown,01/03/2018,W,2641
41000,Cermak-Chinatown,01/01/2018,U,1869
41000,Cermak-Chinatown,02/08/2018,W,3341
41000,Cermak-Chinatown,03/11/2018,U,3178
41000,Cermak-Chinatown,03/08/2018,W,3888
41000,Cermak-Chinatown,03/30/2018,W,4585
41000,Cermak-Chinatown,01/18/2018,W,3347
41000,Cermak-Chinatown,03/29/2018,W,3991
41000,Cermak-Chinatown,02/25/2018,U,6121
41000,Cermak-Chinatown,02/14/2018,W,4005
41000,Cermak-Chinatown,01/07/2018,U,1980
41000,Cermak-Chinatown,02/16/2018,W,4729
41000,Cermak-Chinatown,02/26/2018,W,3573
41000,Cermak-Chinatown,02/19/2018,W,3045
41000,Cermak-Chinatown,03/25/2018,U,3071
41000,Cermak-Chinatown,03/16/2018,W,4438
41000,Cermak-Chinatown,01/06/2018,A,2520
41000,Cermak-Chinatown,03/22/2018,W,3777
41000,Cermak-Chinatown,02/22/2018,W,3595
41000,Cermak-Chinatown,03/15/2018,W,4157
41000,Cermak-Chinatown,03/28/2018,W,4104
41000,Cermak-Chinatown,03/27/2018,W,3812
41000,Cermak-Chinatown,01/12/2018,W,3554
41000,Cermak-Chinatown,03/07/2018,W,3881
41000,Cermak-Chinatown,01/29/2018,W,3166
41000,Cermak-Chinatown,01/31/2018,W,3430
41000,Cermak-Chinatown,02/02/2018,W,3655
41000,Cermak-Chinatown,03/02/2018,W,4472
41000,Cermak-Chinatown,03/14/2018,W,4129
41000,Cermak-Chinatown,03/24/2018,A,4034
41000,Cermak-Chinatown,01/19/2018,W,3871
41000,Cermak-Chinatown,03/26/2018,W,3749
41000,Cermak-Chinatown,02/10/2018,A,3479
41000,Cermak-Chinatown,03/17/2018,A,5193
41000,Cermak-Chinatown,03/01/2018,W,3484
41000,Cermak-Chinatown,04/07/2018,A,4982
41000,Cermak-Chinatown,05/27/2018,U,4070
41000,Cermak-Chinatown,04/24/2018,W,3703
41000,Cermak-Chinatown,05/22/2018,W,4340
41000,Cermak-Chinatown,05/09/2018,W,4177
