station_id,stationname,date,daytype,rides
41410,Chicago/Milwaukee,12/28/2017,W,2542
41410,Chicago/Milwaukee,12/31/2017,U,1017
41410,Chicago/Milwaukee,12/07/2017,W,4495
41410,Chicago/Milwaukee,12/05/2017,W,4395
41410,Chicago/Milwaukee,12/23/2017,A,1490
41410,Chicago/Milwaukee,12/01/2017,W,4632
41410,Chicago/Milwaukee,12/02/2017,A,1985
41410,Chicago/Milwaukee,12/24/2017,U,1001
41410,Chicago/Milwaukee,12/06/2017,W,4260
41410,Chicago/Milwaukee,12/04/2017,W,4306
41410,Chicago/Milwaukee,12/29/2017,W,2434
41410,Chicago/Milwaukee,12/21/2017,W,4083
41410,Chicago/Milwaukee,12/22/2017,W,3524
41410,Chicago/Milwaukee,12/25/2017,U,537
41410,Chicago/Milwaukee,12/14/2017,W,4481
41410,Chicago/Milwaukee,12/15/2017,W,4134
41410,Chicago/Milwaukee,12/12/2017,W,4348
41410,Chicago/Milwaukee,12/03/2017,U,1581
41410,Chicago/Milwaukee,12/17/2017,U,1353
41410,Chicago/Milwaukee,12/30/2017,A,1199
41410,Chicago/Milwaukee,12/19/2017,W,4259
41410,Chicago/Milwaukee,12/10/2017,U,1426
41410,Chicago/Milwaukee,12/26/2017,W,1551
41410,Chicago/Milwaukee,12/16/2017,A,1931
41410,Chicago/Milwaukee,12/18/2017,W,4091
41410,Chicago/Milwaukee,12/08/2017,W,4390
41410,Chicago/Milwaukee,12/09/2017,A,1961
41410,Chicago/Milwaukee,12/20/2017,W,4235
41410,Chicago/Milwaukee,12/13/2017,W,4308
41410,Chicago/Milwaukee,12/27/2017,W,2203
41410,Chicago/Milwaukee,12/11/2017,W,4258
41410,Chicago/Milwaukee,03/14/2018,W,4436
41410,Chicago/Milwaukee,02/21/2018,W,4416
41410,Chicago/Milwaukee,01/18/2018,W,4446
41410,Chicago/Milwaukee,01/27/2018,A,1747
41410,Chicago/Milwaukee,02/20/2018,W,4262
41410,Chicago/Milwaukee,02/25/2018,U,1328
41410,Chicago/Milwaukee,01/26/2018,W,4093
41410,Chicago/Milwaukee,02/18/2018,U,1339
41410,Chicago/Milwaukee,03/23/2018,W,4175
41410,Chicago/Milwaukee,01/03/2018,W,3445
41410,Chicago/Milwaukee,01/24/2018,W,4368
41410,Chicago/Milwaukee,01/20/2018,A,2071
41410,Chicago/Milwaukee,03/04/2018,U,1371
41410,Chicago/Milwaukee,03/07/2018,W,4476
41410,Chicago/Milwaukee,03/25/2018,U,1444
41410,Chicago/Milwaukee,03/03/2018,A,1890
41410,Chicago/Milwaukee,02/15/2018,W,4469
41410,Chicago/Milwaukee,03/01/2018,W,4315
41410,Chicago/Milwaukee,02/27/2018,W,4405
41410,Chicago/Milwaukee,02/22/2018,W,4492
41410,Chicago/Milwaukee,03/27/2018,W,3968
41410,Chicago/Milwaukee,01/04/2018,W,3467
41410,Chicago/Milwaukee,02/14/2018,W,4487
41410,Chicago/Milwaukee,01/09/2018,W,4187
41410,Chicago/Milwaukee,01/13/2018,A,1445
41410,Chicago/Milwaukee,02/08/2018,W,4359
41410,Chicago/Milwaukee,01/29/2018,W,4221
41410,Chicago/Milwaukee,03/31/2018,A,1703
41410,Chicago/Milwaukee,03/22/2018,W,4472
41410,Chicago/Milwaukee,02/09/2018,W,2890
41410,Chicago/Milwaukee,01/16/2018,W,4210
41410,Chicago/Milwaukee,02/10/2018,A,1631
41410,Chicago/Milwaukee,03/29/2018,W,4054
41410,Chicago/Milwaukee,01/12/2018,W,4054
41410,Chicago/Milwaukee,03/11/2018,U,1307
41410,Chicago/Milwaukee,03/08/2018,W,4330
41410,Chicago/Milwaukee,01/01/2018,U,1082
41410,Chicago/Milwaukee,02/07/2018,W,4345
41410,Chicago/Milwaukee,01/31/2018,W,4324
41410,Chicago/Milwaukee,01/28/2018,U,1213
41410,Chicago/Milwaukee,01/11/2018,W,4168
41410,Chicago/Milwaukee,02/01/2018,W,4365
41410,Chicago/Milwaukee,01/30/2018,W,4327
41410,Chicago/Milwaukee,03/26/2018,W,3804
41410,Chicago/Milwaukee,01/14/2018,U,1163
41410,Chicago/Milwaukee,02/19/2018,W,3027
41410,Chicago/Milwaukee,03/19/2018,W,4322
41410,Chicago/Milwaukee,01/02/2018,W,2969
41410,Chicago/Milwaukee,02/02/2018,W,3945
41410,Chicago/Milwaukee,02/28/2018,W,4387
41410,Chicago/Milwaukee,01/21/2018,U,1265
41410,Chicago/Milwaukee,02/05/2018,W,4039
41410,Chicago/Milwaukee,01/06/2018,A,1318
41410,Chicago/Milwaukee,01/15/2018,W,2479
41410,Chicago/Milwaukee,02/13/2018,W,4481
41410,Chicago/Milwaukee,03/18/2018,U,1547
41410,Chicago/Milwaukee,01/23/2018,W,4435
41410,Chicago/Milwaukee,03/15/2018,W,4407
41410,Chicago/Milwaukee,02/17/2018,A,1754
41410,Chicago/Milwaukee,01/19/2018,W,4165
41410,Chicago/Milwaukee,03/09/2018,W,4441
41410,Chicago/Milwaukee,02/04/2018,U,1092
41410,Chicago/Milwaukee,03/12/2018,W,4079
41410,Chicago/Milwaukee,03/17/2018,A,2661
41410,Chicago/Milwaukee,03/02/2018,W,4181
41410,Chicago/Milwaukee,03/06/2018,W,4340
41410,Chicago/Milwaukee,03/05/2018,W,4083
41410,Chicago/Milwaukee,01/05/2018,W,3310
41410,Chicago/Milwaukee,02/26/2018,W,4146
41410,Chicago/Milwaukee,02/11/2018,U,1301
41410,Chicago/Milwaukee,01/17/2018,W,4372
41410,Chicago/Milwaukee,01/25/2018,W,4508
41410,Chicago/Milwaukee,01/10/2018,W,4216
41410,Chicago/Milwaukee,03/28/2018,W,3971
41410,Chicago/Milwaukee,02/23/2018,W,4155
41410,Chicago/Milwaukee,03/24/2018,A,1703
41410,Chicago/Milwaukee,02/16/2018,W,4423
41410,Chicago/Milwaukee,03/30/2018,W,3591
41410,Chicago/Milwaukee,02/03/2018,A,1479
41410,Chicago/Milwaukee,02/12/2018,W,4269
41410,Chicago/Milwaukee,01/07/2018,U,976
41410,Chicago/Milwaukee,03/21/2018,W,4360
41410,Chicago/Milwaukee,03/10/2018,A,1853
41410,Chicago/Milwaukee,03/16/2018,W,4484
41410,Chicago/Milwaukee,02/24/2018,A,1795
41410,Chicago/Milwaukee,03/20/2018,W,4445
41410,Chicago/Milwaukee,02/06/2018,W,4251
41410,Chicago/Milwaukee,01/22/2018,W,4215
41410,Chicago/Milwaukee,03/13/2018,W,4368
41410,Chicago/Milwaukee,01/08/2018,W,4032
41410,Chicago/Milwaukee,06/17/2018,U,1488
41410,Chicago/Milwaukee,05/16/2018,W,4483
41410,Chicago/Milwaukee,04/26/2018,W,4466
41410,Chicago/Milwaukee,05/21/2018,W,4265
41410,Chicago/Milwaukee,04/09/2018,W,4245
41410,Chicago/Milwaukee,06/15/2018,W,4168
41410,Chicago/Milwaukee,05/24/2018,W,4530
41410,Chicago/Milwaukee,05/26/2018,A,1927
41410,Chicago/Milwaukee,06/12/2018,W,4567
41410,Chicago/Milwaukee,04/13/2018,W,4049
41410,Chicago/Milwaukee,06/19/2018,W,4351
41410,Chicago/Milwaukee,04/27/2018,W,4333
41410,Chicago/Milwaukee,06/18/2018,W,4109
41410,Chicago/Milwaukee,04/29/2018,U,1381
41410,Chicago/Milwaukee,05/29/2018,W,4395
41410,Chicago/Milwaukee,05/31/2018,W,4464
41410,Chicago/Milwaukee,04/20/2018,W,4544
41410,Chicago/Milwaukee,06/07/2018,W,4530
41410,Chicago/Milwaukee,05/02/2018,W,4399
41410,Chicago/Milwaukee,05/07/2018,W,4258
41410,Chicago/Milwaukee,06/27/2018,W,4367
41410,Chicago/Milwaukee,04/15/2018,U,1310
41410,Chicago/Milwaukee,04/22/2018,U,1318
41410,Chicago/Milwaukee,05/04/2018,W,4412
41410,Chicago/Milwaukee,04/06/2018,W,4250
41410,Chicago/Milwaukee,04/02/2018,W,3943
41410,Chicago/Milwaukee,04/11/2018,W,4439
41410,Chicago/Milwaukee,06/25/2018,W,4206
