station_id,stationname,date,daytype,rides
41450,Chicago/State,12/27/2017,W,9639
41450,Chicago/State,12/14/2017,W,14262
41450,Chicago/State,12/12/2017,W,13980
41450,Chicago/State,12/24/2017,U,5831
41450,Chicago/State,12/04/2017,W,14357
41450,Chicago/State,12/28/2017,W,10866
41450,Chicago/State,12/30/2017,A,8454
41450,Chicago/State,12/05/2017,W,14697
41450,Chicago/State,12/20/2017,W,13605
41450,Chicago/State,12/25/2017,U,2615
41450,Chicago/State,12/29/2017,W,11542
41450,Chicago/State,12/17/2017,U,8301
41450,Chicago/State,12/13/2017,W,13682
41450,Chicago/State,12/23/2017,A,9694
41450,Chicago/State,12/21/2017,W,13508
41450,Chicago/State,12/06/2017,W,14521
41450,Chicago/State,12/26/2017,W,8355
41450,Chicago/State,12/11/2017,W,13384
41450,Chicago/State,12/31/2017,U,6651
41450,Chicago/State,12/02/2017,A,13119
41450,Chicago/State,12/15/2017,W,14374
41450,Chicago/State,12/01/2017,W,16123
41450,Chicago/State,12/16/2017,A,12407
41450,Chicago/State,12/10/2017,U,8176
41450,Chicago/State,12/08/2017,W,15211
41450,Chicago/State,12/03/2017,U,8973
41450,Chicago/State,12/09/2017,A,11287
41450,Chicago/State,12/19/2017,W,14158
41450,Chicago/State,12/18/2017,W,13132
41450,Chicago/State,12/22/2017,W,13364
41450,Chicago/State,12/07/2017,W,14339
41450,Chicago/State,03/28/2018,W,14255
41450,Chicago/State,02/08/2018,W,13524
41450,Chicago/State,03/08/2018,W,12687
41450,Chicago/State,02/21/2018,W,13324
41450,Chicago/State,01/07/2018,U,6099
41450,Chicago/State,03/12/2018,W,13242
41450,Chicago/State,02/06/2018,W,13425
41450,Chicago/State,03/17/2018,A,14463
41450,Chicago/State,03/27/2018,W,14659
41450,Chicago/State,03/07/2018,W,12710
41450,Chicago/State,02/09/2018,W,10912
41450,Chicago/State,01/29/2018,W,12636
41450,Chicago/State,03/20/2018,W,14105
41450,Chicago/State,02/02/2018,W,12991
41450,Chicago/State,03/05/2018,W,11700
41450,Chicago/State,02/17/2018,A,10386
41450,Chicago/State,01/15/2018,W,9166
41450,Chicago/State,03/14/2018,W,14196
41450,Chicago/State,02/18/2018,U,8479
41450,Chicago/State,02/13/2018,W,13932
41450,Chicago/State,03/18/2018,U,8719
41450,Chicago/State,01/17/2018,W,12991
41450,Chicago/State,03/01/2018,W,13390
41450,Chicago/State,03/23/2018,W,13882
41450,Chicago/State,03/26/2018,W,13522
41450,Chicago/State,03/29/2018,W,14381
41450,Chicago/State,03/15/2018,W,14562
41450,Chicago/State,02/14/2018,W,14305
41450,Chicago/State,02/25/2018,U,8001
41450,Chicago/State,02/19/2018,W,11464
41450,Chicago/State,03/03/2018,A,10365
41450,Chicago/State,01/10/2018,W,12352
41450,Chicago/State,02/23/2018,W,13870
41450,Chicago/State,02/12/2018,W,12745
41450,Chicago/State,03/13/2018,W,14334
41450,Chicago/State,02/16/2018,W,14221
41450,Chicago/State,03/21/2018,W,13391
41450,Chicago/State,01/02/2018,W,10222
41450,Chicago/State,01/14/2018,U,6862
41450,Chicago/State,02/22/2018,W,13813
41450,Chicago/State,01/08/2018,W,11925
41450,Chicago/State,03/30/2018,W,14094
41450,Chicago/State,02/20/2018,W,12969
41450,Chicago/State,01/19/2018,W,13641
41450,Chicago/State,01/20/2018,A,10588
41450,Chicago/State,02/01/2018,W,13307
41450,Chicago/State,02/15/2018,W,14099
41450,Chicago/State,03/11/2018,U,7585
41450,Chicago/State,01/03/2018,W,11167
41450,Chicago/State,02/27/2018,W,13930
41450,Chicago/State,03/10/2018,A,10348
41450,Chicago/State,02/28/2018,W,13219
41450,Chicago/State,01/21/2018,U,6800
41450,Chicago/State,03/09/2018,W,12974
41450,Chicago/State,01/04/2018,W,11332
41450,Chicago/State,01/12/2018,W,11921
41450,Chicago/State,01/13/2018,A,8914
41450,Chicago/State,02/26/2018,W,12877
41450,Chicago/State,01/01/2018,U,6038
41450,Chicago/State,01/18/2018,W,13706
41450,Chicago/State,03/19/2018,W,13137
41450,Chicago/State,03/02/2018,W,13968
41450,Chicago/State,01/31/2018,W,13115
41450,Chicago/State,03/24/2018,A,9731
41450,Chicago/State,01/06/2018,A,7692
