station_id,stationname,date,daytype,rides
40420,Cicero-Cermak,12/02/2017,A,932
40420,Cicero-Cermak,12/14/2017,W,1191
40420,Cicero-Cermak,12/27/2017,W,844
40420,Cicero-Cermak,12/28/2017,W,857
40420,Cicero-Cermak,12/03/2017,U,671
40420,Cicero-Cermak,12/10/2017,U,590
40420,Cicero-Cermak,12/29/2017,W,997
40420,Cicero-Cermak,12/08/2017,W,1253
40420,Cicero-Cermak,12/09/2017,A,806
40420,Cicero-Cermak,12/15/2017,W,1208
40420,Cicero-Cermak,12/01/2017,W,1398
40420,Cicero-Cermak,12/05/2017,W,1251
40420,Cicero-Cermak,12/21/2017,W,1214
40420,Cicero-Cermak,12/13/2017,W,1173
40420,Cicero-Cermak,12/22/2017,W,1211
40420,Cicero-Cermak,12/25/2017,U,300
40420,Cicero-Cermak,12/30/2017,A,637
40420,Cicero-Cermak,12/06/2017,W,1256
40420,Cicero-Cermak,12/24/2017,U,467
40420,Cicero-Cermak,12/31/2017,U,501
40420,Cicero-Cermak,12/26/2017,W,720
40420,Cicero-Cermak,12/04/2017,W,1230
40420,Cicero-Cermak,12/11/2017,W,1149
40420,Cicero-Cermak,12/16/2017,A,895
40420,Cicero-Cermak,12/12/2017,W,1074
40420,Cicero-Cermak,12/17/2017,U,644
40420,Cicero-Cermak,12/19/2017,W,1207
40420,Cicero-Cermak,12/18/2017,W,1033
40420,Cicero-Cermak,12/20/2017,W,1144
40420,Cicero-Cermak,12/23/2017,A,796
40420,Cicero-Cermak,12/07/2017,W,1195
40420,Cicero-Cermak,02/14/2018,W,1170
40420,Cicero-Cermak,01/11/2018,W,1175
40420,Cicero-Cermak,03/20/2018,W,1123
40420,Cicero-Cermak,01/07/2018,U,507
40420,Cicero-Cermak,02/16/2018,W,1235
40420,Cicero-Cermak,01/16/2018,W,1039
40420,Cicero-Cermak,02/04/2018,U,444
40420,Cicero-Cermak,01/13/2018,A,661
40420,Cicero-Cermak,01/05/2018,W,950
40420,Cicero-Cermak,03/06/2018,W,1123
40420,Cicero-Cermak,01/02/2018,W,789
40420,Cicero-Cermak,02/24/2018,A,807
40420,Cicero-Cermak,01/31/2018,W,1162
40420,Cicero-Cermak,02/08/2018,W,1107
40420,Cicero-Cermak,03/30/2018,W,1058
40420,Cicero-Cermak,03/11/2018,U,575
40420,Cicero-Cermak,02/17/2018,A,759
40420,Cicero-Cermak,03/15/2018,W,1231
40420,Cicero-Cermak,03/18/2018,U,611
40420,Cicero-Cermak,03/22/2018,W,1205
40420,Cicero-Cermak,02/15/2018,W,1183
40420,Cicero-Cermak,03/28/2018,W,1078
40420,Cicero-Cermak,01/04/2018,W,903
40420,Cicero-Cermak,01/23/2018,W,1056
40420,Cicero-Cermak,02/27/2018,W,1247
40420,Cicero-Cermak,02/11/2018,U,521
40420,Cicero-Cermak,01/14/2018,U,446
40420,Cicero-Cermak,03/04/2018,U,609
40420,Cicero-Cermak,03/26/2018,W,1082
40420,Cicero-Cermak,02/02/2018,W,1132
40420,Cicero-Cermak,01/21/2018,U,582
40420,Cicero-Cermak,02/10/2018,A,699
40420,Cicero-Cermak,03/01/2018,W,1153
40420,Cicero-Cermak,01/09/2018,W,1027
40420,Cicero-Cermak,01/01/2018,U,380
40420,Cicero-Cermak,03/24/2018,A,708
40420,Cicero-Cermak,03/02/2018,W,1330
40420,Cicero-Cermak,01/06/2018,A,648
40420,Cicero-Cermak,02/26/2018,W,1142
40420,Cicero-Cermak,03/16/2018,W,1231
40420,Cicero-Cermak,01/28/2018,U,576
40420,Cicero-Cermak,03/12/2018,W,1038
40420,Cicero-Cermak,02/28/2018,W,1245
40420,Cicero-Cermak,02/13/2018,W,1132
40420,Cicero-Cermak,02/01/2018,W,1159
40420,Cicero-Cermak,03/03/2018,A,837
40420,Cicero-Cermak,01/10/2018,W,1092
40420,Cicero-Cermak,01/26/2018,W,1230
40420,Cicero-Cermak,02/12/2018,W,996
40420,Cicero-Cermak,03/08/2018,W,1199
40420,Cicero-Cermak,02/25/2018,U,655
40420,Cicero-Cermak,01/19/2018,W,1144
40420,Cicero-Cermak,02/22/2018,W,1174
40420,Cicero-Cermak,03/21/2018,W,1167
40420,Cicero-Cermak,02/18/2018,U,635
40420,Cicero-Cermak,01/25/2018,W,1175
40420,Cicero-Cermak,01/15/2018,W,733
40420,Cicero-Cermak,03/23/2018,W,1249
40420,Cicero-Cermak,02/03/2018,A,757
40420,Cicero-Cermak,02/09/2018,W,880
40420,Cicero-Cermak,01/29/2018,W,1049
40420,Cicero-Cermak,03/29/2018,W,1105
40420,Cicero-Cermak,02/07/2018,W,1071
40420,Cicero-Cermak,03/17/2018,A,1013
40420,Cicero-Cermak,02/06/2018,W,1048
40420,Cicero-Cermak,03/13/2018,W,1209
40420,Cicero-Cermak,03/10/2018,A,817
40420,Cicero-Cermak,01/24/2018,W,1122
40420,Cicero-Cermak,01/18/2018,W,1102
40420,Cicero-Cermak,01/20/2018,A,764
40420,Cicero-Cermak,02/19/2018,W,958
40420,Cicero-Cermak,03/19/2018,W,1072
40420,Cicero-Cermak,02/21/2018,W,1198
40420,Cicero-Cermak,01/30/2018,W,1125
40420,Cicero-Cermak,01/27/2018,A,790
40420,Cicero-Cermak,03/07/2018,W,1152
