station_id,stationname,date,daytype,rides
40970,Cicero-Forest Park,12/10/2017,U,635
40970,Cicero-Forest Park,12/04/2017,W,1394
40970,Cicero-Forest Park,12/28/2017,W,939
40970,Cicero-Forest Park,12/05/2017,W,1353
40970,Cicero-Forest Park,12/16/2017,A,933
40970,Cicero-Forest Park,12/13/2017,W,1297
40970,Cicero-Forest Park,12/17/2017,U,700
40970,Cicero-Forest Park,12/30/2017,A,689
40970,Cicero-Forest Park,12/14/2017,W,1394
40970,Cicero-Forest Park,12/22/2017,W,1271
40970,Cicero-Forest Park,12/07/2017,W,1331
40970,Cicero-Forest Park,12/02/2017,A,962
40970,Cicero-Forest Park,12/03/2017,U,766
40970,Cicero-Forest Park,12/15/2017,W,1271
40970,Cicero-Forest Park,12/25/2017,U,492
40970,Cicero-Forest Park,12/01/2017,W,1393
40970,Cicero-Forest Park,12/11/2017,W,1271
40970,Cicero-Forest Park,12/08/2017,W,1369
40970,Cicero-Forest Park,12/21/2017,W,1228
40970,Cicero-Forest Park,12/24/2017,U,554
40970,Cicero-Forest Park,12/26/2017,W,770
40970,Cicero-Forest Park,12/27/2017,W,944
40970,Cicero-Forest Park,12/23/2017,A,761
40970,Cicero-Forest Park,12/20/2017,W,1275
40970,Cicero-Forest Park,12/18/2017,W,1222
40970,Cicero-Forest Park,12/09/2017,A,890
40970,Cicero-Forest Park,12/12/2017,W,1230
40970,Cicero-Forest Park,12/29/2017,W,1058
40970,Cicero-Forest Park,12/31/2017,U,539
40970,Cicero-Forest Park,12/06/2017,W,1370
40970,Cicero-Forest Park,12/19/2017,W,1360
40970,Cicero-Forest Park,01/13/2018,A,715
40970,Cicero-Forest Park,03/18/2018,U,589
40970,Cicero-Forest Park,02/15/2018,W,1252
40970,Cicero-Forest Park,01/01/2018,U,430
40970,Cicero-Forest Park,03/20/2018,W,1249
40970,Cicero-Forest Park,03/04/2018,U,609
40970,Cicero-Forest Park,03/24/2018,A,806
40970,Cicero-Forest Park,03/12/2018,W,1167
40970,Cicero-Forest Park,03/09/2018,W,1176
40970,Cicero-Forest Park,01/18/2018,W,1242
40970,Cicero-Forest Park,03/05/2018,W,1184
40970,Cicero-Forest Park,03/02/2018,W,1276
40970,Cicero-Forest Park,02/11/2018,U,536
40970,Cicero-Forest Park,01/28/2018,U,619
40970,Cicero-Forest Park,01/17/2018,W,1215
40970,Cicero-Forest Park,03/31/2018,A,751
40970,Cicero-Forest Park,03/13/2018,W,1254
40970,Cicero-Forest Park,01/07/2018,U,535
40970,Cicero-Forest Park,01/19/2018,W,1256
40970,Cicero-Forest Park,02/04/2018,U,498
40970,Cicero-Forest Park,03/27/2018,W,1240
40970,Cicero-Forest Park,02/14/2018,W,1299
40970,Cicero-Forest Park,03/16/2018,W,1245
40970,Cicero-Forest Park,03/30/2018,W,1079
40970,Cicero-Forest Park,03/10/2018,A,839
40970,Cicero-Forest Park,02/21/2018,W,1293
40970,Cicero-Forest Park,02/27/2018,W,1270
40970,Cicero-Forest Park,03/11/2018,U,600
40970,Cicero-Forest Park,02/07/2018,W,1191
40970,Cicero-Forest Park,02/18/2018,U,599
40970,Cicero-Forest Park,01/15/2018,W,765
40970,Cicero-Forest Park,01/21/2018,U,630
40970,Cicero-Forest Park,03/28/2018,W,1255
40970,Cicero-Forest Park,01/27/2018,A,843
40970,Cicero-Forest Park,02/28/2018,W,1271
40970,Cicero-Forest Park,03/23/2018,W,1328
40970,Cicero-Forest Park,01/30/2018,W,1268
40970,Cicero-Forest Park,01/08/2018,W,1103
40970,Cicero-Forest Park,01/22/2018,W,1234
40970,Cicero-Forest Park,01/09/2018,W,1198
40970,Cicero-Forest Park,02/02/2018,W,1170
