station_id,stationname,date,daytype,rides
40480,Cicero-Lake,12/10/2017,U,658
40480,Cicero-Lake,12/27/2017,W,781
40480,Cicero-Lake,12/07/2017,W,1188
40480,Cicero-Lake,12/17/2017,U,713
40480,Cicero-Lake,12/05/2017,W,1266
40480,Cicero-Lake,12/13/2017,W,1271
40480,Cicero-Lake,12/04/2017,W,1312
40480,Cicero-Lake,12/29/2017,W,1005
40480,Cicero-Lake,12/11/2017,W,1194
40480,Cicero-Lake,12/26/2017,W,750
40480,Cicero-Lake,12/24/2017,U,625
40480,Cicero-Lake,12/06/2017,W,1298
40480,Cicero-Lake,12/21/2017,W,1219
40480,Cicero-Lake,12/09/2017,A,775
40480,Cicero-Lake,12/02/2017,A,931
40480,Cicero-Lake,12/30/2017,A,599
40480,Cicero-Lake,12/15/2017,W,1291
40480,Cicero-Lake,12/12/2017,W,1229
40480,Cicero-Lake,12/25/2017,U,430
40480,Cicero-Lake,12/28/2017,W,896
40480,Cicero-Lake,12/19/2017,W,1291
40480,Cicero-Lake,12/20/2017,W,1220
40480,Cicero-Lake,12/01/2017,W,1361
40480,Cicero-Lake,12/03/2017,U,710
40480,Cicero-Lake,12/31/2017,U,617
40480,Cicero-Lake,12/23/2017,A,815
40480,Cicero-Lake,12/22/2017,W,1246
40480,Cicero-Lake,12/08/2017,W,1267
40480,Cicero-Lake,12/18/2017,W,1195
40480,Cicero-Lake,12/14/2017,W,1259
40480,Cicero-Lake,12/16/2017,A,898
40480,Cicero-Lake,03/15/2018,W,1188
40480,Cicero-Lake,02/01/2018,W,1255
40480,Cicero-Lake,02/24/2018,A,806
40480,Cicero-Lake,02/19/2018,W,923
40480,Cicero-Lake,03/28/2018,W,1119
40480,Cicero-Lake,02/16/2018,W,1248
40480,Cicero-Lake,01/02/2018,W,836
40480,Cicero-Lake,01/31/2018,W,1270
40480,Cicero-Lake,01/07/2018,U,570
40480,Cicero-Lake,01/23/2018,W,1226
40480,Cicero-Lake,03/24/2018,A,713
40480,Cicero-Lake,03/31/2018,A,720
40480,Cicero-Lake,01/18/2018,W,1177
40480,Cicero-Lake,02/15/2018,W,1272
40480,Cicero-Lake,01/20/2018,A,781
40480,Cicero-Lake,01/06/2018,A,681
40480,Cicero-Lake,02/09/2018,W,835
40480,Cicero-Lake,01/10/2018,W,1249
40480,Cicero-Lake,01/11/2018,W,1180
40480,Cicero-Lake,03/23/2018,W,1214
40480,Cicero-Lake,01/14/2018,U,506
40480,Cicero-Lake,02/08/2018,W,1213
40480,Cicero-Lake,03/27/2018,W,1092
40480,Cicero-Lake,03/14/2018,W,1253
40480,Cicero-Lake,03/02/2018,W,1289
40480,Cicero-Lake,01/19/2018,W,1182
40480,Cicero-Lake,02/27/2018,W,1239
40480,Cicero-Lake,01/16/2018,W,1139
40480,Cicero-Lake,02/23/2018,W,1274
40480,Cicero-Lake,02/06/2018,W,1172
40480,Cicero-Lake,03/13/2018,W,1222
40480,Cicero-Lake,01/27/2018,A,895
40480,Cicero-Lake,03/17/2018,A,822
40480,Cicero-Lake,01/26/2018,W,1359
40480,Cicero-Lake,03/09/2018,W,1241
40480,Cicero-Lake,02/02/2018,W,1130
40480,Cicero-Lake,02/21/2018,W,1180
40480,Cicero-Lake,02/28/2018,W,1235
40480,Cicero-Lake,03/22/2018,W,1251
40480,Cicero-Lake,01/22/2018,W,1220
40480,Cicero-Lake,03/21/2018,W,1238
40480,Cicero-Lake,03/19/2018,W,1219
40480,Cicero-Lake,02/13/2018,W,1303
40480,Cicero-Lake,02/14/2018,W,1200
40480,Cicero-Lake,01/24/2018,W,1257
40480,Cicero-Lake,02/07/2018,W,1202
40480,Cicero-Lake,02/05/2018,W,1093
40480,Cicero-Lake,01/25/2018,W,1276
40480,Cicero-Lake,02/12/2018,W,1074
40480,Cicero-Lake,02/25/2018,U,666
40480,Cicero-Lake,03/25/2018,U,580
40480,Cicero-Lake,01/30/2018,W,1301
40480,Cicero-Lake,01/09/2018,W,1210
40480,Cicero-Lake,01/08/2018,W,1117
40480,Cicero-Lake,03/20/2018,W,1128
40480,Cicero-Lake,03/18/2018,U,729
40480,Cicero-Lake,03/01/2018,W,1211
40480,Cicero-Lake,02/20/2018,W,1217
40480,Cicero-Lake,02/17/2018,A,785
40480,Cicero-Lake,03/05/2018,W,1185
40480,Cicero-Lake,03/07/2018,W,1172
40480,Cicero-Lake,01/21/2018,U,632
40480,Cicero-Lake,02/26/2018,W,1235
40480,Cicero-Lake,01/17/2018,W,1139
40480,Cicero-Lake,03/08/2018,W,1219
40480,Cicero-Lake,02/18/2018,U,605
40480,Cicero-Lake,01/04/2018,W,935
40480,Cicero-Lake,01/03/2018,W,958
40480,Cicero-Lake,03/12/2018,W,1163
40480,Cicero-Lake,02/03/2018,A,745
40480,Cicero-Lake,01/13/2018,A,681
40480,Cicero-Lake,01/15/2018,W,776
40480,Cicero-Lake,03/10/2018,A,822
40480,Cicero-Lake,03/29/2018,W,1062
40480,Cicero-Lake,03/30/2018,W,1039
40480,Cicero-Lake,02/22/2018,W,1298
40480,Cicero-Lake,02/04/2018,U,562
40480,Cicero-Lake,02/10/2018,A,662
40480,Cicero-Lake,01/28/2018,U,626
40480,Cicero-Lake,01/29/2018,W,1164
40480,Cicero-Lake,03/03/2018,A,801
40480,Cicero-Lake,01/01/2018,U,412
40480,Cicero-Lake,01/12/2018,W,1136
40480,Cicero-Lake,03/11/2018,U,587
40480,Cicero-Lake,03/16/2018,W,1204
40480,Cicero-Lake,03/26/2018,W,1069
40480,Cicero-Lake,03/06/2018,W,1200
40480,Cicero-Lake,01/05/2018,W,946
40480,Cicero-Lake,03/04/2018,U,653
40480,Cicero-Lake,02/11/2018,U,524
40480,Cicero-Lake,04/25/2018,W,1269
40480,Cicero-Lake,05/27/2018,U,763
40480,Cicero-Lake,06/11/2018,W,1141
40480,Cicero-Lake,06/16/2018,A,901
40480,Cicero-Lake,04/05/2018,W,1208
40480,Cicero-Lake,05/26/2018,A,968
40480,Cicero-Lake,05/14/2018,W,1064
40480,Cicero-Lake,05/22/2018,W,1345
40480,Cicero-Lake,05/13/2018,U,701
40480,Cicero-Lake,06/24/2018,U,788
40480,Cicero-Lake,05/11/2018,W,1232
40480,Cicero-Lake,04/10/2018,W,1250
40480,Cicero-Lake,06/06/2018,W,1312
40480,Cicero-Lake,05/03/2018,W,1237
40480,Cicero-Lake,05/23/2018,W,1380
40480,Cicero-Lake,04/13/2018,W,1171
40480,Cicero-Lake,05/01/2018,W,1371
40480,Cicero-Lake,04/03/2018,W,1197
40480,Cicero-Lake,05/05/2018,A,951
40480,Cicero-Lake,05/07/2018,W,1317
40480,Cicero-Lake,05/10/2018,W,1295
40480,Cicero-Lake,04/02/2018,W,1095
40480,Cicero-Lake,04/12/2018,W,1294
40480,Cicero-Lake,04/15/2018,U,552
40480,Cicero-Lake,06/30/2018,A,842
40480,Cicero-Lake,06/22/2018,W,1190
40480,Cicero-Lake,06/08/2018,W,1311
40480,Cicero-Lake,05/12/2018,A,826
40480,Cicero-Lake,06/09/2018,A,829
40480,Cicero-Lake,04/24/2018,W,1270
40480,Cicero-Lake,06/02/2018,A,887
40480,Cicero-Lake,05/17/2018,W,1323
40480,Cicero-Lake,06/14/2018,W,1270
40480,Cicero-Lake,05/31/2018,W,1326
40480,Cicero-Lake,06/01/2018,W,1405
40480,Cicero-Lake,05/24/2018,W,1348
40480,Cicero-Lake,05/28/2018,U,656
40480,Cicero-Lake,05/09/2018,W,1258
40480,Cicero-Lake,06/26/2018,W,1133
40480,Cicero-Lake,06/15/2018,W,1326
40480,Cicero-Lake,05/08/2018,W,1366
40480,Cicero-Lake,04/08/2018,U,610
40480,Cicero-Lake,05/20/2018,U,614
40480,Cicero-Lake,04/29/2018,U,630
40480,Cicero-Lake,04/22/2018,U,663
40480,Cicero-Lake,04/30/2018,W,1239
40480,Cicero-Lake,06/13/2018,W,1238
40480,Cicero-Lake,05/21/2018,W,1123
