station_id,stationname,date,daytype,rides
41160,Clinton-Lake,12/31/2017,U,621
41160,Clinton-Lake,12/22/2017,W,2905
41160,Clinton-Lake,12/28/2017,W,2661
41160,Clinton-Lake,12/13/2017,W,4419
41160,Clinton-Lake,12/01/2017,W,4320
41160,Clinton-Lake,12/23/2017,A,968
41160,Clinton-Lake,12/07/2017,W,4548
41160,Clinton-Lake,12/29/2017,W,2451
41160,Clinton-Lake,12/05/2017,W,4585
41160,Clinton-Lake,12/12/2017,W,4476
41160,Clinton-Lake,12/21/2017,W,3837
41160,Clinton-Lake,12/27/2017,W,2535
41160,Clinton-Lake,12/30/2017,A,892
41160,Clinton-Lake,12/11/2017,W,4459
41160,Clinton-Lake,12/06/2017,W,4532
41160,Clinton-Lake,12/09/2017,A,1241
41160,Clinton-Lake,12/19/2017,W,4215
41160,Clinton-Lake,12/03/2017,U,928
41160,Clinton-Lake,12/26/2017,W,1885
41160,Clinton-Lake,12/10/2017,U,814
41160,Clinton-Lake,12/16/2017,A,1270
41160,Clinton-Lake,12/14/2017,W,4365
41160,Clinton-Lake,12/18/2017,W,4094
41160,Clinton-Lake,12/24/2017,U,520
41160,Clinton-Lake,12/08/2017,W,4243
41160,Clinton-Lake,12/02/2017,A,1324
41160,Clinton-Lake,12/17/2017,U,852
41160,Clinton-Lake,12/15/2017,W,3977
41160,Clinton-Lake,12/25/2017,U,371
41160,Clinton-Lake,12/04/2017,W,4499
41160,Clinton-Lake,12/20/2017,W,3985
41160,Clinton-Lake,03/21/2018,W,4444
41160,Clinton-Lake,03/06/2018,W,4434
41160,Clinton-Lake,03/11/2018,U,851
41160,Clinton-Lake,03/27/2018,W,4176
41160,Clinton-Lake,01/11/2018,W,4250
41160,Clinton-Lake,02/02/2018,W,4003
41160,Clinton-Lake,01/09/2018,W,4226
41160,Clinton-Lake,03/26/2018,W,4102
41160,Clinton-Lake,01/13/2018,A,1029
41160,Clinton-Lake,03/05/2018,W,4468
41160,Clinton-Lake,01/14/2018,U,739
41160,Clinton-Lake,02/16/2018,W,4147
41160,Clinton-Lake,03/12/2018,W,4293
41160,Clinton-Lake,02/21/2018,W,4647
41160,Clinton-Lake,03/31/2018,A,1103
41160,Clinton-Lake,02/25/2018,U,891
41160,Clinton-Lake,03/15/2018,W,4325
41160,Clinton-Lake,02/08/2018,W,4678
41160,Clinton-Lake,01/27/2018,A,1260
41160,Clinton-Lake,03/29/2018,W,4163
41160,Clinton-Lake,01/10/2018,W,4350
41160,Clinton-Lake,01/12/2018,W,3971
41160,Clinton-Lake,01/29/2018,W,4437
41160,Clinton-Lake,02/14/2018,W,4588
41160,Clinton-Lake,02/15/2018,W,4623
41160,Clinton-Lake,01/21/2018,U,825
41160,Clinton-Lake,03/22/2018,W,4257
41160,Clinton-Lake,03/04/2018,U,844
41160,Clinton-Lake,03/08/2018,W,4502
41160,Clinton-Lake,02/10/2018,A,1028
41160,Clinton-Lake,03/17/2018,A,1589
41160,Clinton-Lake,02/04/2018,U,762
41160,Clinton-Lake,01/15/2018,W,2179
41160,Clinton-Lake,01/05/2018,W,3729
41160,Clinton-Lake,03/03/2018,A,1190
41160,Clinton-Lake,01/18/2018,W,4359
41160,Clinton-Lake,03/24/2018,A,1854
41160,Clinton-Lake,01/04/2018,W,3958
41160,Clinton-Lake,02/03/2018,A,1006
41160,Clinton-Lake,03/20/2018,W,4301
41160,Clinton-Lake,03/09/2018,W,4117
41160,Clinton-Lake,01/23/2018,W,4573
41160,Clinton-Lake,02/11/2018,U,752
41160,Clinton-Lake,01/28/2018,U,769
41160,Clinton-Lake,01/26/2018,W,3961
41160,Clinton-Lake,01/22/2018,W,4434
41160,Clinton-Lake,03/23/2018,W,3926
41160,Clinton-Lake,02/17/2018,A,1136
41160,Clinton-Lake,02/06/2018,W,4483
41160,Clinton-Lake,01/25/2018,W,4333
41160,Clinton-Lake,03/10/2018,A,1107
41160,Clinton-Lake,02/28/2018,W,4478
41160,Clinton-Lake,01/08/2018,W,4380
41160,Clinton-Lake,03/30/2018,W,3250
41160,Clinton-Lake,01/01/2018,U,489
41160,Clinton-Lake,03/28/2018,W,4249
41160,Clinton-Lake,02/22/2018,W,4523
41160,Clinton-Lake,01/07/2018,U,642
41160,Clinton-Lake,02/23/2018,W,4239
41160,Clinton-Lake,03/13/2018,W,4483
41160,Clinton-Lake,01/24/2018,W,4554
41160,Clinton-Lake,01/31/2018,W,4492
41160,Clinton-Lake,03/14/2018,W,4416
41160,Clinton-Lake,02/07/2018,W,4578
41160,Clinton-Lake,01/03/2018,W,3955
41160,Clinton-Lake,01/19/2018,W,4128
41160,Clinton-Lake,03/07/2018,W,4597
41160,Clinton-Lake,01/20/2018,A,1414
41160,Clinton-Lake,03/16/2018,W,4087
41160,Clinton-Lake,02/19/2018,W,3360
41160,Clinton-Lake,01/06/2018,A,911
41160,Clinton-Lake,02/09/2018,W,2949
41160,Clinton-Lake,02/18/2018,U,885
41160,Clinton-Lake,03/02/2018,W,4072
41160,Clinton-Lake,01/16/2018,W,4577
41160,Clinton-Lake,03/25/2018,U,806
41160,Clinton-Lake,03/01/2018,W,4489
41160,Clinton-Lake,03/18/2018,U,922
41160,Clinton-Lake,02/05/2018,W,4510
41160,Clinton-Lake,01/02/2018,W,3482
41160,Clinton-Lake,02/13/2018,W,4739
41160,Clinton-Lake,01/30/2018,W,4533
41160,Clinton-Lake,02/24/2018,A,1287
41160,Clinton-Lake,02/27/2018,W,4490
41160,Clinton-Lake,02/12/2018,W,4625
41160,Clinton-Lake,03/19/2018,W,4404
41160,Clinton-Lake,01/17/2018,W,4553
41160,Clinton-Lake,02/01/2018,W,4469
41160,Clinton-Lake,02/26/2018,W,4388
41160,Clinton-Lake,02/20/2018,W,4537
41160,Clinton-Lake,06/30/2018,A,1317
41160,Clinton-Lake,06/19/2018,W,4697
41160,Clinton-Lake,05/04/2018,W,4016
41160,Clinton-Lake,06/05/2018,W,4674
41160,Clinton-Lake,05/08/2018,W,4411
41160,Clinton-Lake,04/15/2018,U,696
41160,Clinton-Lake,05/25/2018,W,3740
41160,Clinton-Lake,04/07/2018,A,1225
41160,Clinton-Lake,06/25/2018,W,4856
41160,Clinton-Lake,06/20/2018,W,4640
41160,Clinton-Lake,05/17/2018,W,4289
41160,Clinton-Lake,05/28/2018,U,908
41160,Clinton-Lake,05/06/2018,U,879
41160,Clinton-Lake,04/29/2018,U,885
41160,Clinton-Lake,06/24/2018,U,1307
41160,Clinton-Lake,06/17/2018,U,992
41160,Clinton-Lake,04/25/2018,W,4536
41160,Clinton-Lake,04/17/2018,W,4584
41160,Clinton-Lake,04/30/2018,W,4228
41160,Clinton-Lake,05/23/2018,W,4434
41160,Clinton-Lake,05/15/2018,W,4273
41160,Clinton-Lake,06/01/2018,W,4280
41160,Clinton-Lake,05/11/2018,W,4059
41160,Clinton-Lake,04/27/2018,W,4086
41160,Clinton-Lake,04/28/2018,A,1253
41160,Clinton-Lake,04/22/2018,U,836
41160,Clinton-Lake,05/09/2018,W,4372
41160,Clinton-Lake,06/13/2018,W,4497
41160,Clinton-Lake,05/13/2018,U,825
41160,Clinton-Lake,05/03/2018,W,4388
