station_id,stationname,date,daytype,rides
41670,Conservatory,12/16/2017,A,537
41670,Conservatory,12/09/2017,A,494
41670,Conservatory,12/10/2017,U,394
41670,Conservatory,12/23/2017,A,440
41670,Conservatory,12/08/2017,W,862
41670,Conservatory,12/15/2017,W,849
41670,Conservatory,12/22/2017,W,762
41670,Conservatory,12/31/2017,U,328
41670,Conservatory,12/27/2017,W,485
41670,Conservatory,12/25/2017,U,266
41670,Conservatory,12/12/2017,W,756
41670,Conservatory,12/20/2017,W,827
41670,Conservatory,12/06/2017,W,904
41670,Conservatory,12/18/2017,W,828
41670,Conservatory,12/03/2017,U,585
41670,Conservatory,12/26/2017,W,454
41670,Conservatory,12/21/2017,W,793
41670,Conservatory,12/04/2017,W,922
41670,Conservatory,12/24/2017,U,370
41670,Conservatory,12/11/2017,W,814
41670,Conservatory,12/30/2017,A,328
41670,Conservatory,12/29/2017,W,623
41670,Conservatory,12/19/2017,W,812
41670,Conservatory,12/01/2017,W,937
41670,Conservatory,12/07/2017,W,906
41670,Conservatory,12/13/2017,W,883
41670,Conservatory,12/17/2017,U,448
41670,Conservatory,12/02/2017,A,586
41670,Conservatory,12/05/2017,W,861
41670,Conservatory,12/28/2017,W,565
41670,Conservatory,12/14/2017,W,896
41670,Conservatory,02/26/2018,W,824
41670,Conservatory,03/19/2018,W,903
41670,Conservatory,03/01/2018,W,885
41670,Conservatory,02/07/2018,W,856
41670,Conservatory,03/15/2018,W,968
41670,Conservatory,01/04/2018,W,641
41670,Conservatory,03/31/2018,A,690
41670,Conservatory,01/26/2018,W,838
41670,Conservatory,01/20/2018,A,626
41670,Conservatory,02/03/2018,A,523
41670,Conservatory,01/08/2018,W,752
41670,Conservatory,02/02/2018,W,684
41670,Conservatory,03/17/2018,A,593
41670,Conservatory,03/04/2018,U,534
41670,Conservatory,03/27/2018,W,828
41670,Conservatory,01/10/2018,W,827
41670,Conservatory,02/01/2018,W,875
41670,Conservatory,03/29/2018,W,877
41670,Conservatory,03/12/2018,W,837
41670,Conservatory,01/16/2018,W,797
41670,Conservatory,03/24/2018,A,656
41670,Conservatory,03/23/2018,W,946
41670,Conservatory,02/10/2018,A,624
41670,Conservatory,02/04/2018,U,378
41670,Conservatory,01/14/2018,U,361
41670,Conservatory,01/17/2018,W,815
41670,Conservatory,02/15/2018,W,895
41670,Conservatory,03/28/2018,W,933
41670,Conservatory,02/14/2018,W,881
41670,Conservatory,01/29/2018,W,727
