station_id,stationname,date,daytype,rides
40590,Damen/Milwaukee,12/24/2017,U,1552
40590,Damen/Milwaukee,12/28/2017,W,3817
40590,Damen/Milwaukee,12/16/2017,A,4584
40590,Damen/Milwaukee,12/27/2017,W,3383
40590,Damen/Milwaukee,12/29/2017,W,4174
40590,Damen/Milwaukee,12/19/2017,W,6572
40590,Damen/Milwaukee,12/11/2017,W,6167
40590,Damen/Milwaukee,12/08/2017,W,6741
40590,Damen/Milwaukee,12/20/2017,W,6312
40590,Damen/Milwaukee,12/21/2017,W,6250
40590,Damen/Milwaukee,12/13/2017,W,6089
40590,Damen/Milwaukee,12/23/2017,A,3295
40590,Damen/Milwaukee,12/02/2017,A,4952
40590,Damen/Milwaukee,12/01/2017,W,7448
40590,Damen/Milwaukee,12/07/2017,W,6441
40590,Damen/Milwaukee,12/06/2017,W,6334
40590,Damen/Milwaukee,12/31/2017,U,2255
40590,Damen/Milwaukee,12/03/2017,U,3702
40590,Damen/Milwaukee,12/25/2017,U,614
40590,Damen/Milwaukee,12/15/2017,W,6498
40590,Damen/Milwaukee,12/18/2017,W,6245
40590,Damen/Milwaukee,12/04/2017,W,6330
40590,Damen/Milwaukee,12/10/2017,U,3152
40590,Damen/Milwaukee,12/22/2017,W,5533
40590,Damen/Milwaukee,12/09/2017,A,4225
40590,Damen/Milwaukee,12/05/2017,W,6217
40590,Damen/Milwaukee,12/26/2017,W,2256
40590,Damen/Milwaukee,12/12/2017,W,6165
40590,Damen/Milwaukee,12/30/2017,A,2687
40590,Damen/Milwaukee,12/14/2017,W,6400
40590,Damen/Milwaukee,12/17/2017,U,3166
40590,Damen/Milwaukee,03/09/2018,W,6598
40590,Damen/Milwaukee,02/01/2018,W,6024
40590,Damen/Milwaukee,01/14/2018,U,2470
40590,Damen/Milwaukee,01/11/2018,W,6094
40590,Damen/Milwaukee,03/06/2018,W,6242
40590,Damen/Milwaukee,02/27/2018,W,6297
40590,Damen/Milwaukee,03/28/2018,W,6290
40590,Damen/Milwaukee,01/22/2018,W,5929
40590,Damen/Milwaukee,01/21/2018,U,2629
40590,Damen/Milwaukee,02/08/2018,W,6060
40590,Damen/Milwaukee,01/30/2018,W,5855
40590,Damen/Milwaukee,01/08/2018,W,5845
40590,Damen/Milwaukee,03/17/2018,A,6968
40590,Damen/Milwaukee,03/01/2018,W,6111
40590,Damen/Milwaukee,02/03/2018,A,3550
40590,Damen/Milwaukee,02/15/2018,W,6330
40590,Damen/Milwaukee,01/10/2018,W,5923
40590,Damen/Milwaukee,03/07/2018,W,6551
40590,Damen/Milwaukee,01/04/2018,W,5259
40590,Damen/Milwaukee,01/18/2018,W,6140
40590,Damen/Milwaukee,03/04/2018,U,3223
40590,Damen/Milwaukee,01/23/2018,W,6143
40590,Damen/Milwaukee,03/24/2018,A,3847
40590,Damen/Milwaukee,01/03/2018,W,5221
40590,Damen/Milwaukee,02/02/2018,W,5975
40590,Damen/Milwaukee,02/05/2018,W,5418
