station_id,stationname,date,daytype,rides
40140,Dempster-Skokie,12/19/2017,W,1759
40140,Dempster-Skokie,12/10/2017,U,628
40140,Dempster-Skokie,12/06/2017,W,1892
40140,Dempster-Skokie,12/09/2017,A,848
40140,Dempster-Skokie,12/18/2017,W,1689
40140,Dempster-Skokie,12/29/2017,W,1247
40140,Dempster-Skokie,12/23/2017,A,899
40140,Dempster-Skokie,12/24/2017,U,486
40140,Dempster-Skokie,12/31/2017,U,572
40140,Dempster-Skokie,12/20/2017,W,1679
40140,Dempster-Skokie,12/12/2017,W,1787
40140,Dempster-Skokie,12/17/2017,U,619
40140,Dempster-Skokie,12/05/2017,W,1891
40140,Dempster-Skokie,12/21/2017,W,1657
40140,Dempster-Skokie,12/15/2017,W,1701
40140,Dempster-Skokie,12/14/2017,W,1762
40140,Dempster-Skokie,12/07/2017,W,1838
40140,Dempster-Skokie,12/08/2017,W,1758
40140,Dempster-Skokie,12/01/2017,W,1890
40140,Dempster-Skokie,12/16/2017,A,1033
40140,Dempster-Skokie,12/04/2017,W,1935
40140,Dempster-Skokie,12/25/2017,U,258
40140,Dempster-Skokie,12/11/2017,W,1741
40140,Dempster-Skokie,12/27/2017,W,1252
40140,Dempster-Skokie,12/26/2017,W,941
40140,Dempster-Skokie,12/30/2017,A,590
40140,Dempster-Skokie,12/13/2017,W,1779
40140,Dempster-Skokie,12/22/2017,W,2573
40140,Dempster-Skokie,12/03/2017,U,761
40140,Dempster-Skokie,12/28/2017,W,1199
40140,Dempster-Skokie,12/02/2017,A,1020
40140,Dempster-Skokie,02/14/2018,W,1810
40140,Dempster-Skokie,03/05/2018,W,1718
40140,Dempster-Skokie,01/26/2018,W,1703
40140,Dempster-Skokie,03/14/2018,W,1762
40140,Dempster-Skokie,03/23/2018,W,1620
40140,Dempster-Skokie,01/16/2018,W,1822
40140,Dempster-Skokie,03/17/2018,A,1712
40140,Dempster-Skokie,01/31/2018,W,1863
40140,Dempster-Skokie,02/28/2018,W,1807
40140,Dempster-Skokie,02/23/2018,W,1640
40140,Dempster-Skokie,02/10/2018,A,688
40140,Dempster-Skokie,02/11/2018,U,486
40140,Dempster-Skokie,02/18/2018,U,670
40140,Dempster-Skokie,03/15/2018,W,1873
40140,Dempster-Skokie,01/19/2018,W,1681
40140,Dempster-Skokie,01/30/2018,W,1819
40140,Dempster-Skokie,02/17/2018,A,794
40140,Dempster-Skokie,01/06/2018,A,533
40140,Dempster-Skokie,03/13/2018,W,1835
40140,Dempster-Skokie,03/19/2018,W,1736
40140,Dempster-Skokie,03/22/2018,W,1824
40140,Dempster-Skokie,03/04/2018,U,559
40140,Dempster-Skokie,01/08/2018,W,1616
40140,Dempster-Skokie,01/13/2018,A,593
40140,Dempster-Skokie,03/12/2018,W,1920
40140,Dempster-Skokie,03/11/2018,U,587
40140,Dempster-Skokie,03/03/2018,A,833
40140,Dempster-Skokie,02/15/2018,W,1821
40140,Dempster-Skokie,02/05/2018,W,1699
40140,Dempster-Skokie,01/05/2018,W,1286
40140,Dempster-Skokie,01/15/2018,W,1119
40140,Dempster-Skokie,02/04/2018,U,431
40140,Dempster-Skokie,02/01/2018,W,1803
40140,Dempster-Skokie,01/12/2018,W,1355
40140,Dempster-Skokie,01/02/2018,W,1313
40140,Dempster-Skokie,02/07/2018,W,1831
40140,Dempster-Skokie,02/08/2018,W,1755
40140,Dempster-Skokie,02/03/2018,A,709
40140,Dempster-Skokie,03/29/2018,W,1718
40140,Dempster-Skokie,02/02/2018,W,1546
40140,Dempster-Skokie,01/29/2018,W,1795
40140,Dempster-Skokie,01/11/2018,W,1638
40140,Dempster-Skokie,02/24/2018,A,704
40140,Dempster-Skokie,01/04/2018,W,1376
40140,Dempster-Skokie,03/02/2018,W,1721
40140,Dempster-Skokie,03/06/2018,W,1759
40140,Dempster-Skokie,03/31/2018,A,734
40140,Dempster-Skokie,03/20/2018,W,1531
40140,Dempster-Skokie,01/25/2018,W,1844
40140,Dempster-Skokie,01/17/2018,W,1812
40140,Dempster-Skokie,03/26/2018,W,1732
40140,Dempster-Skokie,01/14/2018,U,516
40140,Dempster-Skokie,02/22/2018,W,1859
40140,Dempster-Skokie,02/13/2018,W,1821
40140,Dempster-Skokie,01/21/2018,U,515
40140,Dempster-Skokie,02/19/2018,W,1492
40140,Dempster-Skokie,03/01/2018,W,1763
40140,Dempster-Skokie,02/27/2018,W,1863
40140,Dempster-Skokie,03/25/2018,U,573
40140,Dempster-Skokie,02/09/2018,W,1035
40140,Dempster-Skokie,03/27/2018,W,1827
40140,Dempster-Skokie,01/18/2018,W,1821
40140,Dempster-Skokie,01/24/2018,W,1896
40140,Dempster-Skokie,02/16/2018,W,1644
40140,Dempster-Skokie,01/09/2018,W,1685
40140,Dempster-Skokie,01/20/2018,A,1034
40140,Dempster-Skokie,02/21/2018,W,1863
40140,Dempster-Skokie,02/12/2018,W,1753
40140,Dempster-Skokie,02/25/2018,U,608
40140,Dempster-Skokie,01/28/2018,U,548
40140,Dempster-Skokie,03/08/2018,W,1746
40140,Dempster-Skokie,01/22/2018,W,1838
40140,Dempster-Skokie,02/26/2018,W,1845
40140,Dempster-Skokie,03/18/2018,U,616
40140,Dempster-Skokie,03/30/2018,W,1395
40140,Dempster-Skokie,01/01/2018,U,363
40140,Dempster-Skokie,03/09/2018,W,1566
40140,Dempster-Skokie,01/23/2018,W,1875
40140,Dempster-Skokie,01/27/2018,A,695
