station_id,stationname,date,daytype,rides
40690,Dempster,12/03/2017,U,499
40690,Dempster,12/24/2017,U,326
40690,Dempster,12/18/2017,W,696
40690,Dempster,12/06/2017,W,863
40690,Dempster,12/08/2017,W,884
40690,Dempster,12/21/2017,W,773
40690,Dempster,12/26/2017,W,349
40690,Dempster,12/13/2017,W,846
40690,Dempster,12/22/2017,W,701
40690,Dempster,12/05/2017,W,805
40690,Dempster,12/31/2017,U,430
40690,Dempster,12/09/2017,A,672
40690,Dempster,12/23/2017,A,452
40690,Dempster,12/10/2017,U,498
40690,Dempster,12/17/2017,U,461
40690,Dempster,12/19/2017,W,764
40690,Dempster,12/15/2017,W,851
40690,Dempster,12/04/2017,W,821
40690,Dempster,12/25/2017,U,134
40690,Dempster,12/02/2017,A,665
40690,Dempster,12/20/2017,W,778
40690,Dempster,12/07/2017,W,865
40690,Dempster,12/12/2017,W,780
40690,Dempster,12/16/2017,A,695
40690,Dempster,12/28/2017,W,470
40690,Dempster,12/30/2017,A,400
40690,Dempster,12/11/2017,W,761
40690,Dempster,12/01/2017,W,881
40690,Dempster,12/14/2017,W,817
40690,Dempster,12/29/2017,W,523
40690,Dempster,12/27/2017,W,478
40690,Dempster,02/20/2018,W,773
40690,Dempster,03/27/2018,W,769
40690,Dempster,03/25/2018,U,529
40690,Dempster,01/16/2018,W,757
40690,Dempster,03/11/2018,U,483
40690,Dempster,02/12/2018,W,770
40690,Dempster,01/28/2018,U,480
40690,Dempster,02/26/2018,W,783
40690,Dempster,01/07/2018,U,455
40690,Dempster,03/21/2018,W,853
40690,Dempster,02/02/2018,W,818
40690,Dempster,01/26/2018,W,906
40690,Dempster,01/15/2018,W,584
40690,Dempster,02/22/2018,W,831
40690,Dempster,03/13/2018,W,800
40690,Dempster,01/01/2018,U,246
40690,Dempster,01/25/2018,W,803
40690,Dempster,02/25/2018,U,495
40690,Dempster,03/09/2018,W,872
40690,Dempster,02/14/2018,W,904
40690,Dempster,02/06/2018,W,772
40690,Dempster,01/13/2018,A,576
40690,Dempster,02/23/2018,W,874
40690,Dempster,01/14/2018,U,504
40690,Dempster,01/02/2018,W,553
40690,Dempster,03/26/2018,W,746
40690,Dempster,03/23/2018,W,808
40690,Dempster,03/08/2018,W,810
40690,Dempster,03/22/2018,W,801
40690,Dempster,01/19/2018,W,826
