station_id,stationname,date,daytype,rides
40520,Foster,12/12/2017,W,668
40520,Foster,12/19/2017,W,589
40520,Foster,12/06/2017,W,854
40520,Foster,12/21/2017,W,544
40520,Foster,12/05/2017,W,848
40520,Foster,12/18/2017,W,600
40520,Foster,12/04/2017,W,783
40520,Foster,12/23/2017,A,239
40520,Foster,12/01/2017,W,913
40520,Foster,12/03/2017,U,361
40520,Foster,12/15/2017,W,617
40520,Foster,12/13/2017,W,671
40520,Foster,12/14/2017,W,640
40520,Foster,12/20/2017,W,548
40520,Foster,12/31/2017,U,232
40520,Foster,12/22/2017,W,372
40520,Foster,12/26/2017,W,195
40520,Foster,12/25/2017,U,120
40520,Foster,12/10/2017,U,268
40520,Foster,12/29/2017,W,298
40520,Foster,12/07/2017,W,880
40520,Foster,12/08/2017,W,926
40520,Foster,12/27/2017,W,241
40520,Foster,12/09/2017,A,479
40520,Foster,12/28/2017,W,268
40520,Foster,12/17/2017,U,210
40520,Foster,12/02/2017,A,551
40520,Foster,12/30/2017,A,165
40520,Foster,12/16/2017,A,318
40520,Foster,12/24/2017,U,145
40520,Foster,12/11/2017,W,665
40520,Foster,03/18/2018,U,347
40520,Foster,01/28/2018,U,373
40520,Foster,01/03/2018,W,541
40520,Foster,03/07/2018,W,891
40520,Foster,01/25/2018,W,820
40520,Foster,01/21/2018,U,331
40520,Foster,03/01/2018,W,856
40520,Foster,01/30/2018,W,880
40520,Foster,03/19/2018,W,813
40520,Foster,01/16/2018,W,811
40520,Foster,01/11/2018,W,859
40520,Foster,03/05/2018,W,784
40520,Foster,02/27/2018,W,843
40520,Foster,03/08/2018,W,833
40520,Foster,03/11/2018,U,323
40520,Foster,03/31/2018,A,351
40520,Foster,01/10/2018,W,839
40520,Foster,02/04/2018,U,327
40520,Foster,03/02/2018,W,909
40520,Foster,02/25/2018,U,325
40520,Foster,03/13/2018,W,847
40520,Foster,03/22/2018,W,735
40520,Foster,02/08/2018,W,879
40520,Foster,01/23/2018,W,835
40520,Foster,03/30/2018,W,536
40520,Foster,03/24/2018,A,373
40520,Foster,01/19/2018,W,873
40520,Foster,01/18/2018,W,805
40520,Foster,03/25/2018,U,270
40520,Foster,01/29/2018,W,847
40520,Foster,03/27/2018,W,595
40520,Foster,02/07/2018,W,880
40520,Foster,01/13/2018,A,420
40520,Foster,02/26/2018,W,828
40520,Foster,01/08/2018,W,779
40520,Foster,03/04/2018,U,324
40520,Foster,02/13/2018,W,846
40520,Foster,01/12/2018,W,815
40520,Foster,03/06/2018,W,874
40520,Foster,01/02/2018,W,429
40520,Foster,02/16/2018,W,930
40520,Foster,03/28/2018,W,586
40520,Foster,03/10/2018,A,502
40520,Foster,02/06/2018,W,806
40520,Foster,02/05/2018,W,845
40520,Foster,03/03/2018,A,546
40520,Foster,03/12/2018,W,828
40520,Foster,03/29/2018,W,580
40520,Foster,01/22/2018,W,809
40520,Foster,01/04/2018,W,564
40520,Foster,02/28/2018,W,853
40520,Foster,02/01/2018,W,871
40520,Foster,01/31/2018,W,845
40520,Foster,03/21/2018,W,795
40520,Foster,01/20/2018,A,663
40520,Foster,01/15/2018,W,526
40520,Foster,01/26/2018,W,960
40520,Foster,03/23/2018,W,752
40520,Foster,01/09/2018,W,825
40520,Foster,02/14/2018,W,958
40520,Foster,01/07/2018,U,272
40520,Foster,02/11/2018,U,329
40520,Foster,01/06/2018,A,281
40520,Foster,02/19/2018,W,744
40520,Foster,03/20/2018,W,778
40520,Foster,02/22/2018,W,847
40520,Foster,01/27/2018,A,574
40520,Foster,02/12/2018,W,862
40520,Foster,01/05/2018,W,566
40520,Foster,01/24/2018,W,942
40520,Foster,03/09/2018,W,839
40520,Foster,02/20/2018,W,812
40520,Foster,03/17/2018,A,839
40520,Foster,02/10/2018,A,448
40520,Foster,01/01/2018,U,115
40520,Foster,01/17/2018,W,889
40520,Foster,02/24/2018,A,554
40520,Foster,02/03/2018,A,501
40520,Foster,02/21/2018,W,906
40520,Foster,03/15/2018,W,853
40520,Foster,01/14/2018,U,306
40520,Foster,02/18/2018,U,371
40520,Foster,03/16/2018,W,829
40520,Foster,02/15/2018,W,862
40520,Foster,02/17/2018,A,501
40520,Foster,02/02/2018,W,869
40520,Foster,03/14/2018,W,778
40520,Foster,03/26/2018,W,645
40520,Foster,02/23/2018,W,943
40520,Foster,02/09/2018,W,697
40520,Foster,05/14/2018,W,801
40520,Foster,06/17/2018,U,585
40520,Foster,04/11/2018,W,948
40520,Foster,04/19/2018,W,864
40520,Foster,04/04/2018,W,976
40520,Foster,05/31/2018,W,875
40520,Foster,05/10/2018,W,914
40520,Foster,06/16/2018,A,547
40520,Foster,05/16/2018,W,869
40520,Foster,06/26/2018,W,846
40520,Foster,06/05/2018,W,917
40520,Foster,06/21/2018,W,908
40520,Foster,04/24/2018,W,840
40520,Foster,06/09/2018,A,541
40520,Foster,06/23/2018,A,653
40520,Foster,06/10/2018,U,427
40520,Foster,04/18/2018,W,880
40520,Foster,04/28/2018,A,595
40520,Foster,05/06/2018,U,373
40520,Foster,06/08/2018,W,934
40520,Foster,06/02/2018,A,505
40520,Foster,06/22/2018,W,945
40520,Foster,06/29/2018,W,865
40520,Foster,05/13/2018,U,362
40520,Foster,06/12/2018,W,788
40520,Foster,04/20/2018,W,922
40520,Foster,05/23/2018,W,917
40520,Foster,04/17/2018,W,872
40520,Foster,06/07/2018,W,912
40520,Foster,04/23/2018,W,818
40520,Foster,04/16/2018,W,834
40520,Foster,06/27/2018,W,854
40520,Foster,04/25/2018,W,879
40520,Foster,04/22/2018,U,339
40520,Foster,05/03/2018,W,908
40520,Foster,05/07/2018,W,1027
40520,Foster,06/11/2018,W,806
40520,Foster,04/05/2018,W,905
40520,Foster,05/27/2018,U,433
40520,Foster,04/12/2018,W,868
40520,Foster,06/01/2018,W,908
40520,Foster,05/25/2018,W,906
40520,Foster,06/30/2018,A,478
40520,Foster,05/18/2018,W,906
40520,Foster,06/28/2018,W,882
40520,Foster,05/22/2018,W,912
40520,Foster,05/24/2018,W,952
40520,Foster,05/19/2018,A,549
40520,Foster,05/15/2018,W,897
