station_id,stationname,date,daytype,rides
40870,Francisco,12/19/2017,W,1643
40870,Francisco,12/15/2017,W,1655
40870,Francisco,12/07/2017,W,1674
40870,Francisco,12/04/2017,W,1677
40870,Francisco,12/09/2017,A,825
40870,Francisco,12/02/2017,A,1051
40870,Francisco,12/17/2017,U,669
40870,Francisco,12/13/2017,W,1698
40870,Francisco,12/12/2017,W,1696
40870,Francisco,12/14/2017,W,1687
40870,Francisco,12/31/2017,U,539
40870,Francisco,12/03/2017,U,661
40870,Francisco,12/29/2017,W,1003
40870,Francisco,12/21/2017,W,1585
40870,Francisco,12/01/2017,W,1839
40870,Francisco,12/26/2017,W,699
40870,Francisco,12/11/2017,W,1647
40870,Francisco,12/30/2017,A,572
40870,Francisco,12/24/2017,U,414
40870,Francisco,12/16/2017,A,942
40870,Francisco,12/08/2017,W,1660
40870,Francisco,12/20/2017,W,1628
40870,Francisco,12/06/2017,W,1706
40870,Francisco,12/18/2017,W,1598
40870,Francisco,12/23/2017,A,682
40870,Francisco,12/10/2017,U,594
40870,Francisco,12/22/2017,W,1346
40870,Francisco,12/27/2017,W,972
40870,Francisco,12/05/2017,W,1696
40870,Francisco,12/28/2017,W,1025
40870,Francisco,12/25/2017,U,179
40870,Francisco,03/25/2018,U,588
40870,Francisco,03/21/2018,W,1608
40870,Francisco,03/26/2018,W,1521
40870,Francisco,02/19/2018,W,1099
40870,Francisco,02/20/2018,W,1585
40870,Francisco,01/10/2018,W,1661
40870,Francisco,03/31/2018,A,727
40870,Francisco,02/16/2018,W,1658
40870,Francisco,01/25/2018,W,1629
40870,Francisco,03/02/2018,W,1616
40870,Francisco,03/03/2018,A,830
40870,Francisco,01/19/2018,W,1569
40870,Francisco,03/05/2018,W,1535
40870,Francisco,01/01/2018,U,259
40870,Francisco,02/12/2018,W,1579
40870,Francisco,01/11/2018,W,1667
40870,Francisco,03/14/2018,W,1705
40870,Francisco,01/18/2018,W,1641
40870,Francisco,03/10/2018,A,777
40870,Francisco,02/21/2018,W,1724
40870,Francisco,03/19/2018,W,1547
40870,Francisco,01/31/2018,W,1660
40870,Francisco,03/07/2018,W,1727
40870,Francisco,01/27/2018,A,768
40870,Francisco,02/25/2018,U,572
40870,Francisco,03/12/2018,W,1536
40870,Francisco,01/20/2018,A,1181
40870,Francisco,03/27/2018,W,1536
40870,Francisco,01/04/2018,W,1396
40870,Francisco,03/30/2018,W,1310
40870,Francisco,03/01/2018,W,1642
40870,Francisco,03/22/2018,W,1649
40870,Francisco,02/09/2018,W,1223
40870,Francisco,01/17/2018,W,1646
40870,Francisco,03/13/2018,W,1595
40870,Francisco,02/28/2018,W,1676
40870,Francisco,03/09/2018,W,1576
40870,Francisco,02/18/2018,U,635
40870,Francisco,02/27/2018,W,1688
40870,Francisco,01/24/2018,W,1684
40870,Francisco,01/07/2018,U,461
40870,Francisco,01/23/2018,W,1625
40870,Francisco,01/16/2018,W,1643
40870,Francisco,01/15/2018,W,956
40870,Francisco,01/05/2018,W,1346
40870,Francisco,01/26/2018,W,1623
40870,Francisco,03/23/2018,W,1598
40870,Francisco,02/01/2018,W,1626
40870,Francisco,03/20/2018,W,1580
40870,Francisco,02/11/2018,U,538
40870,Francisco,03/28/2018,W,1611
40870,Francisco,03/11/2018,U,567
40870,Francisco,03/06/2018,W,1705
40870,Francisco,02/14/2018,W,1698
40870,Francisco,02/02/2018,W,1231
40870,Francisco,02/26/2018,W,1610
40870,Francisco,02/17/2018,A,847
40870,Francisco,01/06/2018,A,612
40870,Francisco,09/21/2006,W,0
40870,Francisco,03/29/2018,W,1545
40870,Francisco,03/18/2018,U,586
40870,Francisco,02/04/2018,U,491
40870,Francisco,01/09/2018,W,1675
40870,Francisco,01/02/2018,W,1174
40870,Francisco,02/07/2018,W,1655
40870,Francisco,01/03/2018,W,1383
40870,Francisco,03/24/2018,A,883
40870,Francisco,02/15/2018,W,1667
40870,Francisco,01/12/2018,W,1578
40870,Francisco,01/08/2018,W,1553
40870,Francisco,01/30/2018,W,1662
40870,Francisco,02/03/2018,A,751
40870,Francisco,01/13/2018,A,719
40870,Francisco,02/24/2018,A,861
40870,Francisco,02/23/2018,W,1651
40870,Francisco,03/15/2018,W,1680
40870,Francisco,02/22/2018,W,1682
40870,Francisco,02/05/2018,W,1351
40870,Francisco,03/17/2018,A,1122
40870,Francisco,03/04/2018,U,551
40870,Francisco,01/14/2018,U,526
40870,Francisco,02/13/2018,W,1637
40870,Francisco,03/16/2018,W,1580
40870,Francisco,02/10/2018,A,808
40870,Francisco,02/08/2018,W,1678
40870,Francisco,03/08/2018,W,1679
40870,Francisco,01/22/2018,W,1564
40870,Francisco,01/28/2018,U,567
