station_id,stationname,date,daytype,rides
40490,Grand/Milwaukee,12/19/2017,W,2583
40490,Grand/Milwaukee,12/18/2017,W,2579
40490,Grand/Milwaukee,12/25/2017,U,279
40490,Grand/Milwaukee,12/26/2017,W,1017
40490,Grand/Milwaukee,12/12/2017,W,2580
40490,Grand/Milwaukee,12/28/2017,W,1715
40490,Grand/Milwaukee,12/17/2017,U,1171
40490,Grand/Milwaukee,12/16/2017,A,1462
40490,Grand/Milwaukee,12/08/2017,W,2779
40490,Grand/Milwaukee,12/13/2017,W,2571
40490,Grand/Milwaukee,12/07/2017,W,2689
40490,Grand/Milwaukee,12/10/2017,U,1158
40490,Grand/Milwaukee,12/23/2017,A,1186
40490,Grand/Milwaukee,12/02/2017,A,1557
40490,Grand/Milwaukee,12/04/2017,W,2745
40490,Grand/Milwaukee,12/20/2017,W,2519
40490,Grand/Milwaukee,12/03/2017,U,1268
40490,Grand/Milwaukee,12/15/2017,W,2748
40490,Grand/Milwaukee,12/22/2017,W,2277
40490,Grand/Milwaukee,12/01/2017,W,3081
40490,Grand/Milwaukee,12/29/2017,W,1623
40490,Grand/Milwaukee,12/05/2017,W,2716
40490,Grand/Milwaukee,12/30/2017,A,1000
40490,Grand/Milwaukee,12/11/2017,W,2612
40490,Grand/Milwaukee,12/31/2017,U,823
40490,Grand/Milwaukee,12/06/2017,W,2695
40490,Grand/Milwaukee,12/21/2017,W,2563
40490,Grand/Milwaukee,12/27/2017,W,1458
40490,Grand/Milwaukee,12/09/2017,A,1441
40490,Grand/Milwaukee,12/14/2017,W,2761
40490,Grand/Milwaukee,12/24/2017,U,599
40490,Grand/Milwaukee,03/02/2018,W,2701
40490,Grand/Milwaukee,03/30/2018,W,2510
40490,Grand/Milwaukee,01/16/2018,W,2511
40490,Grand/Milwaukee,03/14/2018,W,2864
40490,Grand/Milwaukee,01/03/2018,W,2103
40490,Grand/Milwaukee,02/20/2018,W,2521
40490,Grand/Milwaukee,02/03/2018,A,1284
40490,Grand/Milwaukee,01/27/2018,A,1470
40490,Grand/Milwaukee,02/01/2018,W,2574
40490,Grand/Milwaukee,03/12/2018,W,2612
40490,Grand/Milwaukee,03/31/2018,A,1345
40490,Grand/Milwaukee,01/26/2018,W,2752
40490,Grand/Milwaukee,01/17/2018,W,2551
40490,Grand/Milwaukee,02/17/2018,A,1495
40490,Grand/Milwaukee,03/15/2018,W,2915
40490,Grand/Milwaukee,01/23/2018,W,2610
40490,Grand/Milwaukee,01/13/2018,A,1130
40490,Grand/Milwaukee,02/23/2018,W,2714
40490,Grand/Milwaukee,03/03/2018,A,1480
40490,Grand/Milwaukee,01/22/2018,W,2515
40490,Grand/Milwaukee,02/26/2018,W,2599
40490,Grand/Milwaukee,01/01/2018,U,1032
40490,Grand/Milwaukee,02/05/2018,W,2510
40490,Grand/Milwaukee,01/10/2018,W,2515
40490,Grand/Milwaukee,01/29/2018,W,2469
40490,Grand/Milwaukee,01/02/2018,W,1865
40490,Grand/Milwaukee,03/16/2018,W,2925
40490,Grand/Milwaukee,03/26/2018,W,2451
40490,Grand/Milwaukee,02/10/2018,A,1272
40490,Grand/Milwaukee,03/10/2018,A,1538
40490,Grand/Milwaukee,03/06/2018,W,2637
40490,Grand/Milwaukee,02/28/2018,W,2707
40490,Grand/Milwaukee,01/30/2018,W,2488
40490,Grand/Milwaukee,03/24/2018,A,1580
40490,Grand/Milwaukee,03/29/2018,W,2642
40490,Grand/Milwaukee,01/31/2018,W,2558
40490,Grand/Milwaukee,02/08/2018,W,2747
40490,Grand/Milwaukee,02/19/2018,W,2116
40490,Grand/Milwaukee,01/12/2018,W,2549
40490,Grand/Milwaukee,03/04/2018,U,1165
40490,Grand/Milwaukee,03/23/2018,W,2696
40490,Grand/Milwaukee,01/07/2018,U,859
40490,Grand/Milwaukee,03/17/2018,A,2359
40490,Grand/Milwaukee,01/04/2018,W,2144
40490,Grand/Milwaukee,01/20/2018,A,1524
40490,Grand/Milwaukee,02/06/2018,W,2545
40490,Grand/Milwaukee,03/21/2018,W,2575
40490,Grand/Milwaukee,01/09/2018,W,2460
40490,Grand/Milwaukee,01/08/2018,W,2391
40490,Grand/Milwaukee,03/11/2018,U,1120
40490,Grand/Milwaukee,01/11/2018,W,2522
40490,Grand/Milwaukee,02/04/2018,U,930
40490,Grand/Milwaukee,02/14/2018,W,2792
40490,Grand/Milwaukee,03/18/2018,U,1435
40490,Grand/Milwaukee,03/08/2018,W,2686
40490,Grand/Milwaukee,03/13/2018,W,2690
40490,Grand/Milwaukee,03/28/2018,W,2594
40490,Grand/Milwaukee,03/07/2018,W,2692
40490,Grand/Milwaukee,02/12/2018,W,2661
40490,Grand/Milwaukee,02/25/2018,U,1095
40490,Grand/Milwaukee,02/16/2018,W,2725
40490,Grand/Milwaukee,02/15/2018,W,2812
40490,Grand/Milwaukee,02/18/2018,U,1114
40490,Grand/Milwaukee,01/21/2018,U,969
40490,Grand/Milwaukee,02/24/2018,A,1473
40490,Grand/Milwaukee,01/28/2018,U,1031
40490,Grand/Milwaukee,02/27/2018,W,2742
40490,Grand/Milwaukee,03/20/2018,W,2618
40490,Grand/Milwaukee,03/25/2018,U,1216
40490,Grand/Milwaukee,01/15/2018,W,1718
