station_id,stationname,date,daytype,rides
40330,Grand/State,12/21/2017,W,10683
40330,Grand/State,12/17/2017,U,7405
40330,Grand/State,12/07/2017,W,10763
40330,Grand/State,12/08/2017,W,11954
40330,Grand/State,12/26/2017,W,5863
40330,Grand/State,12/29/2017,W,9681
40330,Grand/State,12/16/2017,A,10131
40330,Grand/State,12/04/2017,W,10431
40330,Grand/State,12/11/2017,W,10184
40330,Grand/State,12/05/2017,W,10706
40330,Grand/State,12/03/2017,U,7887
40330,Grand/State,12/30/2017,A,7529
40330,Grand/State,12/02/2017,A,10555
40330,Grand/State,12/25/2017,U,2034
40330,Grand/State,12/09/2017,A,9512
40330,Grand/State,12/01/2017,W,12289
40330,Grand/State,12/23/2017,A,7395
40330,Grand/State,12/10/2017,U,7240
40330,Grand/State,12/27/2017,W,7677
40330,Grand/State,12/12/2017,W,10391
40330,Grand/State,12/24/2017,U,5026
40330,Grand/State,12/22/2017,W,9884
40330,Grand/State,12/14/2017,W,11250
40330,Grand/State,12/15/2017,W,12144
40330,Grand/State,12/28/2017,W,8798
40330,Grand/State,12/20/2017,W,10979
40330,Grand/State,12/31/2017,U,6084
40330,Grand/State,12/06/2017,W,10715
40330,Grand/State,12/19/2017,W,11011
40330,Grand/State,12/18/2017,W,10651
40330,Grand/State,12/13/2017,W,10691
40330,Grand/State,02/05/2018,W,9397
40330,Grand/State,01/30/2018,W,9684
40330,Grand/State,03/26/2018,W,10289
40330,Grand/State,03/23/2018,W,10904
40330,Grand/State,03/24/2018,A,8503
40330,Grand/State,01/15/2018,W,8128
40330,Grand/State,01/18/2018,W,9718
40330,Grand/State,03/12/2018,W,10351
40330,Grand/State,03/27/2018,W,10732
40330,Grand/State,03/16/2018,W,13081
40330,Grand/State,02/08/2018,W,10339
40330,Grand/State,01/25/2018,W,10099
40330,Grand/State,03/29/2018,W,11284
40330,Grand/State,02/14/2018,W,10456
40330,Grand/State,03/09/2018,W,11406
40330,Grand/State,01/11/2018,W,9849
40330,Grand/State,02/23/2018,W,11024
40330,Grand/State,03/07/2018,W,10270
40330,Grand/State,02/09/2018,W,8403
40330,Grand/State,02/06/2018,W,9485
40330,Grand/State,03/22/2018,W,10432
40330,Grand/State,02/26/2018,W,9419
40330,Grand/State,02/12/2018,W,9529
40330,Grand/State,02/21/2018,W,10114
40330,Grand/State,01/06/2018,A,6781
40330,Grand/State,03/15/2018,W,11303
40330,Grand/State,02/13/2018,W,10185
40330,Grand/State,03/31/2018,A,8351
40330,Grand/State,01/09/2018,W,9731
40330,Grand/State,03/06/2018,W,10024
40330,Grand/State,01/20/2018,A,8776
40330,Grand/State,02/16/2018,W,11778
40330,Grand/State,03/28/2018,W,11047
40330,Grand/State,02/02/2018,W,10274
40330,Grand/State,03/17/2018,A,22893
40330,Grand/State,01/05/2018,W,10117
40330,Grand/State,01/28/2018,U,6286
40330,Grand/State,02/20/2018,W,9666
40330,Grand/State,01/14/2018,U,6376
40330,Grand/State,02/24/2018,A,8853
40330,Grand/State,01/24/2018,W,10137
40330,Grand/State,01/12/2018,W,10331
40330,Grand/State,02/25/2018,U,7273
40330,Grand/State,01/04/2018,W,9606
40330,Grand/State,01/31/2018,W,9813
40330,Grand/State,03/21/2018,W,10349
40330,Grand/State,02/28/2018,W,9804
40330,Grand/State,01/08/2018,W,9400
40330,Grand/State,03/02/2018,W,11000
40330,Grand/State,03/01/2018,W,9975
40330,Grand/State,02/04/2018,U,5516
40330,Grand/State,03/19/2018,W,10164
40330,Grand/State,02/01/2018,W,9893
40330,Grand/State,03/14/2018,W,10926
40330,Grand/State,03/25/2018,U,7272
40330,Grand/State,03/08/2018,W,10716
40330,Grand/State,02/15/2018,W,10643
40330,Grand/State,03/05/2018,W,9669
40330,Grand/State,03/18/2018,U,8253
40330,Grand/State,03/10/2018,A,9167
40330,Grand/State,03/20/2018,W,10303
40330,Grand/State,02/19/2018,W,8634
40330,Grand/State,01/07/2018,U,5445
40330,Grand/State,03/04/2018,U,7143
40330,Grand/State,02/07/2018,W,9695
40330,Grand/State,01/01/2018,U,7839
40330,Grand/State,01/19/2018,W,10658
40330,Grand/State,03/13/2018,W,10473
40330,Grand/State,01/21/2018,U,6126
40330,Grand/State,03/03/2018,A,8789
40330,Grand/State,01/27/2018,A,8595
40330,Grand/State,03/30/2018,W,11411
40330,Grand/State,01/26/2018,W,10618
40330,Grand/State,01/16/2018,W,9560
40330,Grand/State,02/22/2018,W,10288
40330,Grand/State,01/10/2018,W,9802
40330,Grand/State,03/11/2018,U,7013
40330,Grand/State,01/02/2018,W,8603
40330,Grand/State,02/18/2018,U,8013
40330,Grand/State,01/17/2018,W,10012
40330,Grand/State,02/11/2018,U,6308
40330,Grand/State,02/17/2018,A,9673
40330,Grand/State,01/22/2018,W,9599
40330,Grand/State,02/27/2018,W,9829
40330,Grand/State,02/10/2018,A,7899
40330,Grand/State,01/03/2018,W,9395
40330,Grand/State,01/23/2018,W,9956
40330,Grand/State,02/03/2018,A,7669
40330,Grand/State,01/13/2018,A,7512
40330,Grand/State,01/29/2018,W,9378
40330,Grand/State,05/23/2018,W,12762
40330,Grand/State,06/05/2018,W,12372
40330,Grand/State,04/13/2018,W,12280
40330,Grand/State,05/13/2018,U,7651
40330,Grand/State,06/20/2018,W,13637
40330,Grand/State,04/21/2018,A,9369
40330,Grand/State,04/24/2018,W,10191
40330,Grand/State,06/30/2018,A,13441
40330,Grand/State,06/27/2018,W,12266
40330,Grand/State,04/17/2018,W,10776
40330,Grand/State,05/26/2018,A,12972
40330,Grand/State,05/04/2018,W,11559
40330,Grand/State,06/01/2018,W,12335
40330,Grand/State,06/26/2018,W,11993
40330,Grand/State,04/01/2018,U,5781
40330,Grand/State,05/18/2018,W,12221
40330,Grand/State,06/09/2018,A,11872
40330,Grand/State,05/28/2018,U,7768
40330,Grand/State,06/04/2018,W,10845
40330,Grand/State,05/27/2018,U,11491
40330,Grand/State,06/23/2018,A,11096
40330,Grand/State,04/03/2018,W,10025
40330,Grand/State,04/29/2018,U,8274
40330,Grand/State,04/16/2018,W,9894
40330,Grand/State,04/28/2018,A,10571
40330,Grand/State,04/06/2018,W,12312
40330,Grand/State,04/25/2018,W,10432
40330,Grand/State,06/15/2018,W,13007
40330,Grand/State,05/21/2018,W,10330
40330,Grand/State,05/07/2018,W,10514
40330,Grand/State,05/10/2018,W,11332
40330,Grand/State,04/02/2018,W,9630
40330,Grand/State,05/03/2018,W,10895
40330,Grand/State,06/14/2018,W,12117
40330,Grand/State,05/12/2018,A,9704
40330,Grand/State,06/22/2018,W,12294
40330,Grand/State,05/29/2018,W,10716
40330,Grand/State,04/18/2018,W,10559
40330,Grand/State,06/18/2018,W,12591
40330,Grand/State,04/23/2018,W,10109
40330,Grand/State,06/29/2018,W,15633
40330,Grand/State,05/24/2018,W,11615
40330,Grand/State,06/08/2018,W,13997
40330,Grand/State,05/01/2018,W,11292
40330,Grand/State,04/12/2018,W,11140
40330,Grand/State,04/14/2018,A,9309
40330,Grand/State,05/30/2018,W,10710
40330,Grand/State,05/09/2018,W,11004
40330,Grand/State,06/28/2018,W,12476
40330,Grand/State,04/15/2018,U,6255
40330,Grand/State,04/30/2018,W,10668
40330,Grand/State,04/26/2018,W,11567
40330,Grand/State,05/15/2018,W,10580
40330,Grand/State,04/04/2018,W,10525
40330,Grand/State,05/20/2018,U,6990
40330,Grand/State,04/07/2018,A,10132
40330,Grand/State,05/02/2018,W,11160
40330,Grand/State,05/17/2018,W,11343
40330,Grand/State,05/19/2018,A,9420
40330,Grand/State,06/12/2018,W,11522
40330,Grand/State,04/05/2018,W,11299
40330,Grand/State,04/22/2018,U,7115
40330,Grand/State,06/19/2018,W,13925
40330,Grand/State,06/17/2018,U,8409
40330,Grand/State,05/14/2018,W,10466
40330,Grand/State,06/10/2018,U,8681
40330,Grand/State,05/06/2018,U,7579
40330,Grand/State,06/03/2018,U,7318
40330,Grand/State,06/13/2018,W,11886
40330,Grand/State,04/11/2018,W,11076
40330,Grand/State,06/16/2018,A,10706
40330,Grand/State,04/27/2018,W,12912
40330,Grand/State,05/25/2018,W,13208
40330,Grand/State,04/08/2018,U,7111
40330,Grand/State,05/11/2018,W,12534
40330,Grand/State,06/02/2018,A,9643
40330,Grand/State,06/21/2018,W,11493
40330,Grand/State,04/10/2018,W,10806
40330,Grand/State,06/06/2018,W,12719
40330,Grand/State,05/16/2018,W,10880
40330,Grand/State,06/25/2018,W,11391
40330,Grand/State,04/20/2018,W,11850
40330,Grand/State,05/22/2018,W,12158
40330,Grand/State,06/07/2018,W,13230
40330,Grand/State,04/19/2018,W,11111
40330,Grand/State,05/08/2018,W,11587
40330,Grand/State,05/31/2018,W,11195
40330,Grand/State,06/24/2018,U,10552
40330,Grand/State,06/11/2018,W,11647
40330,Grand/State,04/09/2018,W,10110
40330,Grand/State,05/05/2018,A,9869
40330,Grand/State,07/01/2018,U,10049
40330,Grand/State,07/02/2018,W,11194
40330,Grand/State,07/03/2018,W,13275
40330,Grand/State,07/04/2018,U,13101
40330,Grand/State,07/05/2018,W,11220
40330,Grand/State,07/06/2018,W,15039
40330,Grand/State,07/07/2018,A,12304
40330,Grand/State,07/08/2018,U,9570
40330,Grand/State,07/09/2018,W,11306
40330,Grand/State,07/10/2018,W,12320
40330,Grand/State,07/11/2018,W,12628
40330,Grand/State,07/12/2018,W,12670
40330,Grand/State,07/13/2018,W,14606
40330,Grand/State,07/14/2018,A,11545
40330,Grand/State,07/15/2018,U,9122
40330,Grand/State,07/16/2018,W,11286
40330,Grand/State,07/17/2018,W,11968
40330,Grand/State,07/18/2018,W,12102
40330,Grand/State,07/19/2018,W,14454
40330,Grand/State,07/20/2018,W,14963
40330,Grand/State,07/21/2018,A,14896
40330,Grand/State,07/22/2018,U,10320
40330,Grand/State,07/23/2018,W,13970
40330,Grand/State,07/24/2018,W,13895
40330,Grand/State,07/25/2018,W,13510
40330,Grand/State,07/26/2018,W,14271
40330,Grand/State,07/27/2018,W,14026
40330,Grand/State,07/28/2018,A,10683
40330,Grand/State,07/29/2018,U,7148
40330,Grand/State,07/30/2018,W,11852
40330,Grand/State,07/31/2018,W,11897
40330,Grand/State,08/01/2018,W,12812
40330,Grand/State,08/02/2018,W,15676
40330,Grand/State,08/03/2018,W,15770
40330,Grand/State,08/04/2018,A,13061
40330,Grand/State,08/05/2018,U,10486
40330,Grand/State,08/06/2018,W,12143
40330,Grand/State,08/07/2018,W,12110
40330,Grand/State,08/08/2018,W,12567
40330,Grand/State,08/09/2018,W,12429
40330,Grand/State,08/10/2018,W,15649
40330,Grand/State,08/11/2018,A,13804
40330,Grand/State,08/12/2018,U,10379
40330,Grand/State,08/13/2018,W,11392
40330,Grand/State,08/14/2018,W,12819
40330,Grand/State,08/15/2018,W,12519
40330,Grand/State,08/16/2018,W,11751
40330,Grand/State,08/17/2018,W,12695
40330,Grand/State,08/18/2018,A,12833
40330,Grand/State,08/19/2018,U,9212
40330,Grand/State,08/20/2018,W,12798
40330,Grand/State,08/21/2018,W,11542
40330,Grand/State,08/22/2018,W,11471
40330,Grand/State,08/23/2018,W,13489
40330,Grand/State,08/24/2018,W,13211
40330,Grand/State,08/25/2018,A,11717
40330,Grand/State,08/26/2018,U,8872
