station_id,stationname,date,daytype,rides
40940,Halsted/63rd,12/15/2017,W,635
40940,Halsted/63rd,12/29/2017,W,420
40940,Halsted/63rd,12/07/2017,W,644
40940,Halsted/63rd,12/11/2017,W,647
40940,Halsted/63rd,12/02/2017,A,352
40940,Halsted/63rd,12/30/2017,A,236
40940,Halsted/63rd,12/31/2017,U,227
40940,Halsted/63rd,12/25/2017,U,171
40940,Halsted/63rd,12/03/2017,U,283
40940,Halsted/63rd,12/17/2017,U,265
40940,Halsted/63rd,12/06/2017,W,664
40940,Halsted/63rd,12/12/2017,W,611
40940,Halsted/63rd,12/20/2017,W,579
40940,Halsted/63rd,12/24/2017,U,220
40940,Halsted/63rd,12/13/2017,W,660
40940,Halsted/63rd,12/14/2017,W,590
40940,Halsted/63rd,12/27/2017,W,378
40940,Halsted/63rd,12/19/2017,W,612
40940,Halsted/63rd,12/21/2017,W,567
40940,Halsted/63rd,12/23/2017,A,346
40940,Halsted/63rd,12/28/2017,W,386
40940,Halsted/63rd,12/16/2017,A,340
40940,Halsted/63rd,12/09/2017,A,326
40940,Halsted/63rd,12/10/2017,U,219
40940,Halsted/63rd,12/26/2017,W,318
40940,Halsted/63rd,12/08/2017,W,584
40940,Halsted/63rd,12/04/2017,W,707
40940,Halsted/63rd,12/18/2017,W,618
40940,Halsted/63rd,12/01/2017,W,667
40940,Halsted/63rd,12/05/2017,W,699
40940,Halsted/63rd,12/22/2017,W,550
40940,Halsted/63rd,01/18/2018,W,655
40940,Halsted/63rd,03/10/2018,A,322
40940,Halsted/63rd,02/28/2018,W,713
40940,Halsted/63rd,02/05/2018,W,554
40940,Halsted/63rd,01/14/2018,U,179
40940,Halsted/63rd,03/04/2018,U,230
40940,Halsted/63rd,01/01/2018,U,158
40940,Halsted/63rd,03/21/2018,W,680
40940,Halsted/63rd,03/11/2018,U,191
40940,Halsted/63rd,03/01/2018,W,698
40940,Halsted/63rd,03/16/2018,W,580
40940,Halsted/63rd,02/15/2018,W,659
40940,Halsted/63rd,01/06/2018,A,244
40940,Halsted/63rd,02/12/2018,W,560
40940,Halsted/63rd,01/11/2018,W,597
40940,Halsted/63rd,01/04/2018,W,447
40940,Halsted/63rd,03/09/2018,W,581
40940,Halsted/63rd,01/02/2018,W,354
40940,Halsted/63rd,01/21/2018,U,193
40940,Halsted/63rd,03/05/2018,W,598
40940,Halsted/63rd,01/26/2018,W,651
40940,Halsted/63rd,02/17/2018,A,321
40940,Halsted/63rd,03/23/2018,W,573
40940,Halsted/63rd,02/03/2018,A,321
40940,Halsted/63rd,01/31/2018,W,647
40940,Halsted/63rd,01/15/2018,W,268
40940,Halsted/63rd,01/30/2018,W,666
40940,Halsted/63rd,03/02/2018,W,602
40940,Halsted/63rd,02/21/2018,W,694
40940,Halsted/63rd,02/19/2018,W,406
40940,Halsted/63rd,02/01/2018,W,706
40940,Halsted/63rd,01/08/2018,W,496
40940,Halsted/63rd,01/03/2018,W,413
40940,Halsted/63rd,02/06/2018,W,626
40940,Halsted/63rd,03/29/2018,W,456
40940,Halsted/63rd,02/07/2018,W,642
40940,Halsted/63rd,01/24/2018,W,612
40940,Halsted/63rd,02/09/2018,W,367
40940,Halsted/63rd,01/19/2018,W,570
40940,Halsted/63rd,01/27/2018,A,302
40940,Halsted/63rd,02/13/2018,W,670
40940,Halsted/63rd,01/07/2018,U,186
40940,Halsted/63rd,02/16/2018,W,632
40940,Halsted/63rd,01/13/2018,A,252
40940,Halsted/63rd,01/17/2018,W,690
40940,Halsted/63rd,03/14/2018,W,642
40940,Halsted/63rd,01/25/2018,W,693
40940,Halsted/63rd,03/18/2018,U,248
40940,Halsted/63rd,03/28/2018,W,488
40940,Halsted/63rd,01/29/2018,W,636
40940,Halsted/63rd,02/04/2018,U,179
40940,Halsted/63rd,03/31/2018,A,307
40940,Halsted/63rd,01/20/2018,A,354
40940,Halsted/63rd,02/11/2018,U,181
40940,Halsted/63rd,02/23/2018,W,605
40940,Halsted/63rd,02/14/2018,W,677
40940,Halsted/63rd,03/03/2018,A,356
40940,Halsted/63rd,02/18/2018,U,230
40940,Halsted/63rd,03/26/2018,W,539
40940,Halsted/63rd,03/20/2018,W,606
40940,Halsted/63rd,02/26/2018,W,646
40940,Halsted/63rd,02/02/2018,W,558
40940,Halsted/63rd,03/24/2018,A,287
40940,Halsted/63rd,03/12/2018,W,595
40940,Halsted/63rd,03/15/2018,W,641
40940,Halsted/63rd,01/23/2018,W,682
40940,Halsted/63rd,03/19/2018,W,613
40940,Halsted/63rd,02/24/2018,A,314
40940,Halsted/63rd,01/09/2018,W,559
40940,Halsted/63rd,01/05/2018,W,386
40940,Halsted/63rd,03/27/2018,W,478
40940,Halsted/63rd,01/10/2018,W,615
40940,Halsted/63rd,03/07/2018,W,652
40940,Halsted/63rd,01/22/2018,W,609
40940,Halsted/63rd,03/17/2018,A,311
40940,Halsted/63rd,03/13/2018,W,589
40940,Halsted/63rd,01/16/2018,W,630
40940,Halsted/63rd,02/08/2018,W,617
40940,Halsted/63rd,02/22/2018,W,640
40940,Halsted/63rd,02/27/2018,W,676
40940,Halsted/63rd,02/10/2018,A,279
40940,Halsted/63rd,03/06/2018,W,656
40940,Halsted/63rd,03/30/2018,W,437
40940,Halsted/63rd,03/22/2018,W,649
40940,Halsted/63rd,02/25/2018,U,243
40940,Halsted/63rd,03/25/2018,U,221
40940,Halsted/63rd,02/20/2018,W,691
40940,Halsted/63rd,03/08/2018,W,646
40940,Halsted/63rd,01/12/2018,W,554
40940,Halsted/63rd,01/28/2018,U,232
40940,Halsted/63rd,05/31/2018,W,625
40940,Halsted/63rd,04/16/2018,W,553
40940,Halsted/63rd,04/13/2018,W,536
40940,Halsted/63rd,04/12/2018,W,699
40940,Halsted/63rd,05/03/2018,W,623
40940,Halsted/63rd,06/28/2018,W,643
40940,Halsted/63rd,05/07/2018,W,714
40940,Halsted/63rd,05/12/2018,A,350
40940,Halsted/63rd,06/05/2018,W,637
40940,Halsted/63rd,04/17/2018,W,659
40940,Halsted/63rd,06/13/2018,W,713
40940,Halsted/63rd,06/20/2018,W,583
40940,Halsted/63rd,06/30/2018,A,381
40940,Halsted/63rd,04/05/2018,W,647
40940,Halsted/63rd,06/16/2018,A,363
40940,Halsted/63rd,06/10/2018,U,243
40940,Halsted/63rd,04/27/2018,W,588
40940,Halsted/63rd,06/03/2018,U,294
40940,Halsted/63rd,05/09/2018,W,604
40940,Halsted/63rd,06/04/2018,W,588
40940,Halsted/63rd,04/11/2018,W,663
40940,Halsted/63rd,06/24/2018,U,286
40940,Halsted/63rd,04/25/2018,W,667
40940,Halsted/63rd,05/17/2018,W,632
40940,Halsted/63rd,05/11/2018,W,598
40940,Halsted/63rd,06/18/2018,W,564
40940,Halsted/63rd,06/25/2018,W,543
40940,Halsted/63rd,05/18/2018,W,592
40940,Halsted/63rd,05/26/2018,A,318
40940,Halsted/63rd,06/01/2018,W,676
40940,Halsted/63rd,06/11/2018,W,603
40940,Halsted/63rd,06/23/2018,A,394
40940,Halsted/63rd,06/07/2018,W,681
40940,Halsted/63rd,05/19/2018,A,351
40940,Halsted/63rd,05/16/2018,W,647
40940,Halsted/63rd,05/20/2018,U,248
40940,Halsted/63rd,05/23/2018,W,639
40940,Halsted/63rd,05/08/2018,W,707
40940,Halsted/63rd,06/21/2018,W,537
40940,Halsted/63rd,04/22/2018,U,226
40940,Halsted/63rd,05/27/2018,U,232
40940,Halsted/63rd,06/27/2018,W,612
40940,Halsted/63rd,05/04/2018,W,650
40940,Halsted/63rd,04/18/2018,W,628
40940,Halsted/63rd,05/06/2018,U,254
40940,Halsted/63rd,04/28/2018,A,321
40940,Halsted/63rd,05/25/2018,W,640
40940,Halsted/63rd,04/21/2018,A,315
40940,Halsted/63rd,06/15/2018,W,598
40940,Halsted/63rd,05/24/2018,W,656
40940,Halsted/63rd,06/14/2018,W,633
40940,Halsted/63rd,04/02/2018,W,600
40940,Halsted/63rd,04/23/2018,W,669
40940,Halsted/63rd,05/05/2018,A,402
40940,Halsted/63rd,05/28/2018,U,294
40940,Halsted/63rd,04/03/2018,W,612
40940,Halsted/63rd,05/13/2018,U,246
40940,Halsted/63rd,04/08/2018,U,226
40940,Halsted/63rd,05/30/2018,W,586
40940,Halsted/63rd,04/29/2018,U,269
40940,Halsted/63rd,05/29/2018,W,657
40940,Halsted/63rd,04/15/2018,U,238
