station_id,stationname,date,daytype,rides
40020,Harlem-Lake,12/07/2017,W,3785
40020,Harlem-Lake,12/29/2017,W,2757
40020,Harlem-Lake,12/25/2017,U,585
40020,Harlem-Lake,12/23/2017,A,1977
40020,Harlem-Lake,12/06/2017,W,3710
40020,Harlem-Lake,12/22/2017,W,3216
40020,Harlem-Lake,12/20/2017,W,3637
40020,Harlem-Lake,12/13/2017,W,3723
40020,Harlem-Lake,12/31/2017,U,1258
40020,Harlem-Lake,12/19/2017,W,3649
40020,Harlem-Lake,12/04/2017,W,3687
40020,Harlem-Lake,12/18/2017,W,3417
40020,Harlem-Lake,12/16/2017,A,2211
40020,Harlem-Lake,12/12/2017,W,3544
40020,Harlem-Lake,12/27/2017,W,2413
40020,Harlem-Lake,12/21/2017,W,3497
40020,Harlem-Lake,12/30/2017,A,1482
40020,Harlem-Lake,12/28/2017,W,2639
40020,Harlem-Lake,12/02/2017,A,2300
40020,Harlem-Lake,12/15/2017,W,3516
40020,Harlem-Lake,12/03/2017,U,1632
40020,Harlem-Lake,12/10/2017,U,1421
40020,Harlem-Lake,12/26/2017,W,1946
40020,Harlem-Lake,12/09/2017,A,2085
40020,Harlem-Lake,12/24/2017,U,1308
40020,Harlem-Lake,12/11/2017,W,3441
40020,Harlem-Lake,12/08/2017,W,3773
40020,Harlem-Lake,12/17/2017,U,1492
40020,Harlem-Lake,12/14/2017,W,3666
40020,Harlem-Lake,12/05/2017,W,3683
40020,Harlem-Lake,12/01/2017,W,4088
40020,Harlem-Lake,11/01/2018,W,4021
40020,Harlem-Lake,11/02/2018,W,3850
40020,Harlem-Lake,11/03/2018,A,2308
40020,Harlem-Lake,11/04/2018,U,1443
40020,Harlem-Lake,11/05/2018,W,3670
40020,Harlem-Lake,11/06/2018,W,3773
40020,Harlem-Lake,11/07/2018,W,3884
40020,Harlem-Lake,11/08/2018,W,3936
40020,Harlem-Lake,11/09/2018,W,3658
40020,Harlem-Lake,11/10/2018,A,2026
40020,Harlem-Lake,11/11/2018,U,1528
40020,Harlem-Lake,11/12/2018,W,3422
40020,Harlem-Lake,11/13/2018,W,3816
40020,Harlem-Lake,11/14/2018,W,3804
40020,Harlem-Lake,11/15/2018,W,3756
40020,Harlem-Lake,11/16/2018,W,3905
40020,Harlem-Lake,11/17/2018,A,2322
40020,Harlem-Lake,11/18/2018,U,1620
40020,Harlem-Lake,11/19/2018,W,3606
40020,Harlem-Lake,11/20/2018,W,3697
40020,Harlem-Lake,11/21/2018,W,3370
40020,Harlem-Lake,11/22/2018,U,1082
40020,Harlem-Lake,02/06/2018,W,3397
40020,Harlem-Lake,03/25/2018,U,1540
40020,Harlem-Lake,01/23/2018,W,3604
40020,Harlem-Lake,03/05/2018,W,3439
40020,Harlem-Lake,03/09/2018,W,3660
40020,Harlem-Lake,01/12/2018,W,3430
40020,Harlem-Lake,03/03/2018,A,2124
40020,Harlem-Lake,03/29/2018,W,3536
40020,Harlem-Lake,02/28/2018,W,3721
40020,Harlem-Lake,01/05/2018,W,3000
40020,Harlem-Lake,03/17/2018,A,3538
40020,Harlem-Lake,03/22/2018,W,3632
40020,Harlem-Lake,03/24/2018,A,2503
40020,Harlem-Lake,01/04/2018,W,3090
40020,Harlem-Lake,03/20/2018,W,3547
40020,Harlem-Lake,02/07/2018,W,3532
40020,Harlem-Lake,01/13/2018,A,1675
40020,Harlem-Lake,01/31/2018,W,3684
40020,Harlem-Lake,01/20/2018,A,2596
40020,Harlem-Lake,01/28/2018,U,1398
40020,Harlem-Lake,03/30/2018,W,3244
40020,Harlem-Lake,02/21/2018,W,3635
40020,Harlem-Lake,02/20/2018,W,3533
40020,Harlem-Lake,03/11/2018,U,1369
40020,Harlem-Lake,02/05/2018,W,3255
40020,Harlem-Lake,01/25/2018,W,3638
40020,Harlem-Lake,03/27/2018,W,3577
40020,Harlem-Lake,01/07/2018,U,1222
40020,Harlem-Lake,01/17/2018,W,3558
40020,Harlem-Lake,01/27/2018,A,1915
40020,Harlem-Lake,02/23/2018,W,3686
40020,Harlem-Lake,01/26/2018,W,3657
40020,Harlem-Lake,03/16/2018,W,3696
40020,Harlem-Lake,02/04/2018,U,1153
40020,Harlem-Lake,03/12/2018,W,3635
40020,Harlem-Lake,01/22/2018,W,3387
40020,Harlem-Lake,02/11/2018,U,1222
40020,Harlem-Lake,02/27/2018,W,3840
40020,Harlem-Lake,03/07/2018,W,3643
40020,Harlem-Lake,02/13/2018,W,3644
40020,Harlem-Lake,02/01/2018,W,3622
40020,Harlem-Lake,03/23/2018,W,3640
40020,Harlem-Lake,02/26/2018,W,3625
40020,Harlem-Lake,03/15/2018,W,3777
40020,Harlem-Lake,01/15/2018,W,2245
40020,Harlem-Lake,01/11/2018,W,3578
40020,Harlem-Lake,03/31/2018,A,1775
40020,Harlem-Lake,02/14/2018,W,3777
40020,Harlem-Lake,01/19/2018,W,3546
40020,Harlem-Lake,01/14/2018,U,1236
40020,Harlem-Lake,02/02/2018,W,3373
40020,Harlem-Lake,02/19/2018,W,2775
40020,Harlem-Lake,02/12/2018,W,3301
40020,Harlem-Lake,03/08/2018,W,3595
40020,Harlem-Lake,03/10/2018,A,1991
40020,Harlem-Lake,01/16/2018,W,3590
40020,Harlem-Lake,02/10/2018,A,1816
40020,Harlem-Lake,01/02/2018,W,2596
40020,Harlem-Lake,01/10/2018,W,3641
40020,Harlem-Lake,03/06/2018,W,3564
40020,Harlem-Lake,03/13/2018,W,3611
40020,Harlem-Lake,01/09/2018,W,3423
40020,Harlem-Lake,03/19/2018,W,3462
40020,Harlem-Lake,02/03/2018,A,1825
40020,Harlem-Lake,02/22/2018,W,3705
40020,Harlem-Lake,02/08/2018,W,3617
40020,Harlem-Lake,03/28/2018,W,3707
40020,Harlem-Lake,02/18/2018,U,1575
40020,Harlem-Lake,01/03/2018,W,3007
40020,Harlem-Lake,01/29/2018,W,3399
40020,Harlem-Lake,03/02/2018,W,3722
40020,Harlem-Lake,02/17/2018,A,1976
40020,Harlem-Lake,03/21/2018,W,3743
40020,Harlem-Lake,02/09/2018,W,2511
40020,Harlem-Lake,03/14/2018,W,3869
40020,Harlem-Lake,01/21/2018,U,1268
40020,Harlem-Lake,02/25/2018,U,1376
40020,Harlem-Lake,01/18/2018,W,3546
40020,Harlem-Lake,01/06/2018,A,1522
40020,Harlem-Lake,03/26/2018,W,3332
40020,Harlem-Lake,02/15/2018,W,3737
40020,Harlem-Lake,03/04/2018,U,1444
40020,Harlem-Lake,01/01/2018,U,737
40020,Harlem-Lake,03/18/2018,U,1569
40020,Harlem-Lake,01/30/2018,W,3574
40020,Harlem-Lake,02/24/2018,A,2062
40020,Harlem-Lake,03/01/2018,W,3566
40020,Harlem-Lake,02/16/2018,W,3707
40020,Harlem-Lake,01/08/2018,W,3348
40020,Harlem-Lake,01/24/2018,W,3633
40020,Harlem-Lake,11/23/2018,W,2662
40020,Harlem-Lake,11/24/2018,A,2330
40020,Harlem-Lake,06/10/2018,U,1571
40020,Harlem-Lake,06/04/2018,W,3778
40020,Harlem-Lake,04/10/2018,W,3728
40020,Harlem-Lake,04/26/2018,W,3931
40020,Harlem-Lake,05/29/2018,W,3730
40020,Harlem-Lake,06/13/2018,W,4151
40020,Harlem-Lake,06/08/2018,W,3804
40020,Harlem-Lake,06/07/2018,W,4107
40020,Harlem-Lake,05/27/2018,U,1823
40020,Harlem-Lake,04/28/2018,A,2258
40020,Harlem-Lake,04/19/2018,W,3838
40020,Harlem-Lake,06/09/2018,A,2303
40020,Harlem-Lake,04/01/2018,U,1211
40020,Harlem-Lake,04/06/2018,W,3619
40020,Harlem-Lake,04/11/2018,W,3746
40020,Harlem-Lake,04/18/2018,W,3608
40020,Harlem-Lake,06/25/2018,W,3842
40020,Harlem-Lake,06/18/2018,W,3619
40020,Harlem-Lake,05/21/2018,W,3256
40020,Harlem-Lake,04/30/2018,W,3719
40020,Harlem-Lake,06/16/2018,A,2467
40020,Harlem-Lake,04/12/2018,W,3834
40020,Harlem-Lake,05/11/2018,W,3713
40020,Harlem-Lake,05/18/2018,W,3832
40020,Harlem-Lake,04/21/2018,A,2044
40020,Harlem-Lake,05/22/2018,W,4005
40020,Harlem-Lake,06/28/2018,W,4237
40020,Harlem-Lake,05/17/2018,W,3965
40020,Harlem-Lake,05/19/2018,A,2138
40020,Harlem-Lake,05/10/2018,W,3868
40020,Harlem-Lake,04/24/2018,W,3786
40020,Harlem-Lake,05/15/2018,W,3776
40020,Harlem-Lake,04/27/2018,W,3925
40020,Harlem-Lake,04/17/2018,W,3697
40020,Harlem-Lake,05/25/2018,W,3795
40020,Harlem-Lake,04/29/2018,U,1695
40020,Harlem-Lake,04/03/2018,W,3532
40020,Harlem-Lake,06/22/2018,W,3605
40020,Harlem-Lake,05/05/2018,A,2360
