station_id,stationname,date,daytype,rides
41490,Harrison,12/30/2017,A,1627
41490,Harrison,12/02/2017,A,3086
41490,Harrison,12/27/2017,W,1653
41490,Harrison,12/21/2017,W,3053
41490,Harrison,12/13/2017,W,4337
41490,Harrison,12/10/2017,U,1948
41490,Harrison,12/12/2017,W,4407
41490,Harrison,12/22/2017,W,2738
41490,Harrison,12/07/2017,W,4663
41490,Harrison,12/15/2017,W,4074
41490,Harrison,12/04/2017,W,4311
41490,Harrison,12/28/2017,W,1924
41490,Harrison,12/25/2017,U,485
41490,Harrison,12/29/2017,W,1958
41490,Harrison,12/03/2017,U,2413
41490,Harrison,12/18/2017,W,3217
41490,Harrison,12/17/2017,U,1765
41490,Harrison,12/19/2017,W,3156
41490,Harrison,12/11/2017,W,4181
41490,Harrison,12/08/2017,W,4333
41490,Harrison,12/14/2017,W,4597
41490,Harrison,12/20/2017,W,3214
41490,Harrison,12/09/2017,A,2841
41490,Harrison,12/26/2017,W,1379
41490,Harrison,12/31/2017,U,1458
41490,Harrison,12/05/2017,W,4563
41490,Harrison,12/23/2017,A,1600
41490,Harrison,12/01/2017,W,4475
41490,Harrison,12/24/2017,U,1027
41490,Harrison,12/16/2017,A,2406
41490,Harrison,12/06/2017,W,4531
41490,Harrison,03/30/2018,W,3379
41490,Harrison,02/16/2018,W,4271
41490,Harrison,01/09/2018,W,3305
41490,Harrison,01/03/2018,W,2548
41490,Harrison,02/15/2018,W,4519
41490,Harrison,02/25/2018,U,2139
41490,Harrison,02/18/2018,U,2187
41490,Harrison,01/11/2018,W,3419
41490,Harrison,03/03/2018,A,2943
41490,Harrison,03/24/2018,A,2443
41490,Harrison,03/20/2018,W,3344
41490,Harrison,03/04/2018,U,1936
41490,Harrison,01/16/2018,W,3465
41490,Harrison,02/14/2018,W,4579
41490,Harrison,03/29/2018,W,3908
41490,Harrison,03/02/2018,W,4261
41490,Harrison,03/25/2018,U,2756
41490,Harrison,02/17/2018,A,3075
41490,Harrison,01/26/2018,W,4423
41490,Harrison,03/05/2018,W,4069
41490,Harrison,03/16/2018,W,4218
41490,Harrison,01/17/2018,W,3702
41490,Harrison,03/07/2018,W,4564
41490,Harrison,02/22/2018,W,4572
41490,Harrison,03/09/2018,W,4181
41490,Harrison,03/23/2018,W,3871
41490,Harrison,03/12/2018,W,4028
41490,Harrison,02/28/2018,W,4543
41490,Harrison,03/21/2018,W,3449
41490,Harrison,03/31/2018,A,2476
41490,Harrison,01/22/2018,W,4150
41490,Harrison,02/13/2018,W,4402
41490,Harrison,01/31/2018,W,4462
41490,Harrison,03/14/2018,W,4411
41490,Harrison,01/02/2018,W,2183
41490,Harrison,03/13/2018,W,4404
41490,Harrison,01/07/2018,U,1372
41490,Harrison,01/04/2018,W,2554
41490,Harrison,03/15/2018,W,4241
41490,Harrison,01/21/2018,U,1925
41490,Harrison,01/01/2018,U,1198
41490,Harrison,01/05/2018,W,2456
41490,Harrison,02/12/2018,W,4118
41490,Harrison,01/29/2018,W,4320
41490,Harrison,01/27/2018,A,2851
41490,Harrison,01/24/2018,W,4535
41490,Harrison,01/20/2018,A,3237
41490,Harrison,02/11/2018,U,1911
41490,Harrison,02/07/2018,W,4510
41490,Harrison,02/19/2018,W,3058
41490,Harrison,03/22/2018,W,3703
41490,Harrison,03/11/2018,U,2053
41490,Harrison,01/10/2018,W,3301
41490,Harrison,02/06/2018,W,4449
41490,Harrison,02/23/2018,W,4277
41490,Harrison,02/02/2018,W,3577
41490,Harrison,01/06/2018,A,1764
41490,Harrison,03/17/2018,A,4509
41490,Harrison,02/26/2018,W,4173
41490,Harrison,02/24/2018,A,2988
41490,Harrison,02/03/2018,A,2545
41490,Harrison,02/21/2018,W,4553
41490,Harrison,01/13/2018,A,2005
41490,Harrison,01/15/2018,W,1929
41490,Harrison,03/01/2018,W,4555
41490,Harrison,03/28/2018,W,3910
41490,Harrison,01/18/2018,W,3780
41490,Harrison,01/12/2018,W,3295
41490,Harrison,01/28/2018,U,1963
41490,Harrison,02/04/2018,U,1886
41490,Harrison,02/05/2018,W,4206
41490,Harrison,02/27/2018,W,4350
41490,Harrison,03/26/2018,W,3442
41490,Harrison,03/10/2018,A,2930
41490,Harrison,01/14/2018,U,1684
41490,Harrison,03/18/2018,U,2025
41490,Harrison,01/08/2018,W,3204
41490,Harrison,03/06/2018,W,4343
41490,Harrison,02/20/2018,W,4376
41490,Harrison,01/19/2018,W,3648
41490,Harrison,03/08/2018,W,4467
41490,Harrison,01/30/2018,W,4604
41490,Harrison,02/08/2018,W,4504
41490,Harrison,02/09/2018,W,2874
41490,Harrison,02/10/2018,A,2726
41490,Harrison,01/23/2018,W,4535
41490,Harrison,03/19/2018,W,3273
41490,Harrison,03/27/2018,W,3691
41490,Harrison,02/01/2018,W,4684
41490,Harrison,01/25/2018,W,4609
41490,Harrison,05/25/2018,W,4018
41490,Harrison,06/23/2018,A,2768
41490,Harrison,06/10/2018,U,2589
41490,Harrison,04/03/2018,W,4507
41490,Harrison,05/12/2018,A,2843
41490,Harrison,06/16/2018,A,2766
41490,Harrison,06/01/2018,W,4200
41490,Harrison,04/21/2018,A,2997
41490,Harrison,06/15/2018,W,3654
41490,Harrison,06/27/2018,W,3318
41490,Harrison,06/06/2018,W,4157
41490,Harrison,05/21/2018,W,3216
41490,Harrison,06/22/2018,W,3268
41490,Harrison,06/19/2018,W,4092
41490,Harrison,06/25/2018,W,2918
41490,Harrison,06/03/2018,U,2145
41490,Harrison,06/17/2018,U,1995
41490,Harrison,04/19/2018,W,4352
41490,Harrison,05/15/2018,W,3667
41490,Harrison,05/10/2018,W,4691
41490,Harrison,05/04/2018,W,4237
41490,Harrison,05/17/2018,W,3701
41490,Harrison,05/03/2018,W,4465
41490,Harrison,05/02/2018,W,4435
41490,Harrison,05/05/2018,A,3249
41490,Harrison,04/04/2018,W,4578
41490,Harrison,05/09/2018,W,4783
41490,Harrison,05/30/2018,W,3380
41490,Harrison,05/24/2018,W,4485
41490,Harrison,06/21/2018,W,3261
41490,Harrison,06/09/2018,A,3776
41490,Harrison,05/26/2018,A,3637
41490,Harrison,04/16/2018,W,4178
41490,Harrison,04/20/2018,W,4426
41490,Harrison,05/31/2018,W,3618
41490,Harrison,04/10/2018,W,4038
41490,Harrison,04/26/2018,W,4893
41490,Harrison,04/24/2018,W,4352
41490,Harrison,04/11/2018,W,4834
41490,Harrison,04/15/2018,U,1793
41490,Harrison,05/01/2018,W,4682
41490,Harrison,04/12/2018,W,4651
41490,Harrison,04/06/2018,W,4360
41490,Harrison,04/02/2018,W,4079
41490,Harrison,06/05/2018,W,4081
41490,Harrison,04/09/2018,W,4204
41490,Harrison,06/07/2018,W,4245
41490,Harrison,05/06/2018,U,2110
41490,Harrison,06/12/2018,W,3579
41490,Harrison,04/17/2018,W,4692
41490,Harrison,05/23/2018,W,3907
41490,Harrison,05/19/2018,A,2367
41490,Harrison,04/08/2018,U,2081
41490,Harrison,05/13/2018,U,1783
41490,Harrison,06/28/2018,W,3437
41490,Harrison,06/18/2018,W,4079
41490,Harrison,04/23/2018,W,4165
41490,Harrison,06/02/2018,A,3165
41490,Harrison,04/01/2018,U,1533
41490,Harrison,04/30/2018,W,4185
41490,Harrison,04/29/2018,U,2168
41490,Harrison,04/25/2018,W,4300
41490,Harrison,04/18/2018,W,4636
41490,Harrison,05/22/2018,W,3833
41490,Harrison,04/07/2018,A,2960
41490,Harrison,05/11/2018,W,5003
41490,Harrison,04/28/2018,A,3406
41490,Harrison,04/27/2018,W,4344
41490,Harrison,06/13/2018,W,3962
41490,Harrison,05/08/2018,W,4825
41490,Harrison,06/30/2018,A,3617
41490,Harrison,05/14/2018,W,3242
41490,Harrison,04/13/2018,W,3731
41490,Harrison,05/27/2018,U,2929
41490,Harrison,06/20/2018,W,3379
41490,Harrison,05/29/2018,W,3330
41490,Harrison,04/22/2018,U,2114
41490,Harrison,06/26/2018,W,3248
41490,Harrison,05/20/2018,U,1600
41490,Harrison,06/04/2018,W,3504
41490,Harrison,06/29/2018,W,3731
41490,Harrison,05/16/2018,W,3564
41490,Harrison,05/28/2018,U,2037
41490,Harrison,06/11/2018,W,3641
41490,Harrison,05/18/2018,W,3526
41490,Harrison,06/24/2018,U,2958
41490,Harrison,06/14/2018,W,3797
41490,Harrison,04/14/2018,A,3163
41490,Harrison,05/07/2018,W,4319
41490,Harrison,04/05/2018,W,4683
