station_id,stationname,date,daytype,rides
40900,Howard,12/29/2017,W,4159
40900,Howard,12/31/2017,U,2692
40900,Howard,12/10/2017,U,2967
40900,Howard,12/27/2017,W,3709
40900,Howard,12/28/2017,W,3940
40900,Howard,12/21/2017,W,5328
40900,Howard,12/24/2017,U,2295
40900,Howard,12/25/2017,U,1548
40900,Howard,12/30/2017,A,2882
40900,Howard,12/13/2017,W,5595
40900,Howard,12/01/2017,W,6084
40900,Howard,12/20/2017,W,5331
40900,Howard,12/05/2017,W,5694
40900,Howard,12/23/2017,A,3472
40900,Howard,12/04/2017,W,5680
40900,Howard,12/19/2017,W,5358
40900,Howard,12/12/2017,W,5498
40900,Howard,12/08/2017,W,5660
40900,Howard,12/18/2017,W,5291
40900,Howard,12/07/2017,W,5611
40900,Howard,12/03/2017,U,3167
40900,Howard,12/15/2017,W,5629
40900,Howard,12/06/2017,W,5628
40900,Howard,12/26/2017,W,3256
40900,Howard,12/02/2017,A,4107
40900,Howard,12/11/2017,W,5433
40900,Howard,12/22/2017,W,5339
40900,Howard,12/09/2017,A,3786
40900,Howard,12/14/2017,W,5621
40900,Howard,12/17/2017,U,3002
40900,Howard,12/16/2017,A,4255
40900,Howard,03/31/2018,A,3288
40900,Howard,01/04/2018,W,4547
40900,Howard,03/13/2018,W,5431
40900,Howard,03/28/2018,W,5087
40900,Howard,03/12/2018,W,5103
40900,Howard,01/03/2018,W,4457
40900,Howard,03/01/2018,W,5320
40900,Howard,03/16/2018,W,5316
40900,Howard,02/28/2018,W,5429
40900,Howard,01/28/2018,U,2691
40900,Howard,02/14/2018,W,5736
40900,Howard,03/11/2018,U,2783
40900,Howard,03/18/2018,U,3035
40900,Howard,01/08/2018,W,4869
40900,Howard,03/02/2018,W,5458
40900,Howard,01/25/2018,W,5652
40900,Howard,01/09/2018,W,5256
40900,Howard,02/26/2018,W,5288
40900,Howard,03/03/2018,A,3741
40900,Howard,01/06/2018,A,3058
40900,Howard,03/09/2018,W,5400
40900,Howard,03/20/2018,W,5602
40900,Howard,01/30/2018,W,5341
40900,Howard,02/11/2018,U,2595
40900,Howard,03/08/2018,W,5404
40900,Howard,02/23/2018,W,5439
40900,Howard,02/12/2018,W,5096
40900,Howard,02/25/2018,U,2723
40900,Howard,01/23/2018,W,5455
40900,Howard,03/05/2018,W,5183
40900,Howard,02/04/2018,U,2353
40900,Howard,01/16/2018,W,5301
