station_id,stationname,date,daytype,rides
40560,Jackson/State,12/04/2017,W,8365
40560,Jackson/State,12/27/2017,W,4336
40560,Jackson/State,12/03/2017,U,2619
40560,Jackson/State,12/02/2017,A,3534
40560,Jackson/State,12/07/2017,W,8080
40560,Jackson/State,12/05/2017,W,8535
40560,Jackson/State,12/14/2017,W,8362
40560,Jackson/State,12/13/2017,W,7927
40560,Jackson/State,12/08/2017,W,7331
40560,Jackson/State,12/10/2017,U,2202
40560,Jackson/State,12/09/2017,A,3400
40560,Jackson/State,12/18/2017,W,7067
40560,Jackson/State,12/15/2017,W,7308
40560,Jackson/State,12/31/2017,U,1685
40560,Jackson/State,12/19/2017,W,7359
40560,Jackson/State,12/24/2017,U,1298
40560,Jackson/State,12/25/2017,U,865
40560,Jackson/State,12/28/2017,W,4761
40560,Jackson/State,12/16/2017,A,3098
40560,Jackson/State,12/20/2017,W,7170
40560,Jackson/State,12/23/2017,A,2095
40560,Jackson/State,12/17/2017,U,2120
40560,Jackson/State,12/01/2017,W,7884
40560,Jackson/State,12/21/2017,W,6517
40560,Jackson/State,12/12/2017,W,8051
40560,Jackson/State,12/30/2017,A,2134
40560,Jackson/State,12/29/2017,W,4424
40560,Jackson/State,12/06/2017,W,8282
40560,Jackson/State,12/26/2017,W,3362
40560,Jackson/State,12/11/2017,W,7911
40560,Jackson/State,12/22/2017,W,5029
40560,Jackson/State,01/28/2018,U,2266
40560,Jackson/State,01/22/2018,W,10777
40560,Jackson/State,03/18/2018,U,2450
40560,Jackson/State,03/13/2018,W,9860
40560,Jackson/State,03/12/2018,W,10213
40560,Jackson/State,03/22/2018,W,8221
40560,Jackson/State,02/08/2018,W,10692
40560,Jackson/State,03/25/2018,U,4186
40560,Jackson/State,01/18/2018,W,10635
40560,Jackson/State,03/10/2018,A,3496
40560,Jackson/State,01/19/2018,W,7573
40560,Jackson/State,02/11/2018,U,1989
40560,Jackson/State,01/27/2018,A,3181
40560,Jackson/State,02/22/2018,W,10691
