station_id,stationname,date,daytype,rides
41190,Jarvis,12/26/2017,W,778
41190,Jarvis,12/16/2017,A,1236
41190,Jarvis,12/06/2017,W,1640
41190,Jarvis,12/08/2017,W,1662
41190,Jarvis,12/15/2017,W,1646
41190,Jarvis,12/07/2017,W,1643
41190,Jarvis,12/23/2017,A,988
41190,Jarvis,12/04/2017,W,1610
41190,Jarvis,12/03/2017,U,1025
41190,Jarvis,12/29/2017,W,1143
41190,Jarvis,12/11/2017,W,1568
41190,Jarvis,12/30/2017,A,880
41190,Jarvis,12/31/2017,U,921
41190,Jarvis,12/25/2017,U,447
41190,Jarvis,12/20/2017,W,1481
41190,Jarvis,12/28/2017,W,1044
41190,Jarvis,12/02/2017,A,1325
41190,Jarvis,12/12/2017,W,1546
41190,Jarvis,12/10/2017,U,935
41190,Jarvis,12/19/2017,W,1479
41190,Jarvis,12/01/2017,W,1734
41190,Jarvis,12/14/2017,W,1565
41190,Jarvis,12/13/2017,W,1595
41190,Jarvis,12/18/2017,W,1438
41190,Jarvis,12/22/2017,W,1389
41190,Jarvis,12/27/2017,W,1021
41190,Jarvis,12/05/2017,W,1617
41190,Jarvis,12/17/2017,U,950
41190,Jarvis,12/21/2017,W,1390
41190,Jarvis,12/24/2017,U,679
41190,Jarvis,12/09/2017,A,1214
41190,Jarvis,01/10/2018,W,1499
41190,Jarvis,01/07/2018,U,787
41190,Jarvis,03/12/2018,W,1491
41190,Jarvis,02/14/2018,W,1642
41190,Jarvis,01/26/2018,W,1592
41190,Jarvis,03/14/2018,W,1577
41190,Jarvis,03/28/2018,W,1452
41190,Jarvis,01/01/2018,U,596
41190,Jarvis,02/06/2018,W,1469
41190,Jarvis,01/19/2018,W,1504
41190,Jarvis,02/20/2018,W,1478
41190,Jarvis,02/16/2018,W,1584
41190,Jarvis,02/11/2018,U,891
41190,Jarvis,03/02/2018,W,1576
41190,Jarvis,02/13/2018,W,1521
41190,Jarvis,01/14/2018,U,772
41190,Jarvis,03/30/2018,W,1380
41190,Jarvis,03/31/2018,A,1095
41190,Jarvis,02/27/2018,W,1540
41190,Jarvis,03/24/2018,A,1158
41190,Jarvis,01/09/2018,W,1375
41190,Jarvis,02/07/2018,W,1496
41190,Jarvis,01/21/2018,U,828
41190,Jarvis,02/04/2018,U,842
41190,Jarvis,01/16/2018,W,1482
41190,Jarvis,01/20/2018,A,1311
41190,Jarvis,01/25/2018,W,1621
41190,Jarvis,02/21/2018,W,1572
41190,Jarvis,03/10/2018,A,1089
41190,Jarvis,01/11/2018,W,1549
41190,Jarvis,01/23/2018,W,1517
41190,Jarvis,01/04/2018,W,1294
41190,Jarvis,02/23/2018,W,1584
41190,Jarvis,02/01/2018,W,1533
41190,Jarvis,02/08/2018,W,1567
41190,Jarvis,02/19/2018,W,1184
41190,Jarvis,03/03/2018,A,1176
41190,Jarvis,03/05/2018,W,1434
41190,Jarvis,03/06/2018,W,1467
41190,Jarvis,03/11/2018,U,880
41190,Jarvis,02/09/2018,W,1334
41190,Jarvis,02/17/2018,A,1095
41190,Jarvis,03/20/2018,W,1488
41190,Jarvis,03/08/2018,W,1600
41190,Jarvis,01/13/2018,A,1078
41190,Jarvis,01/22/2018,W,1461
41190,Jarvis,03/13/2018,W,1554
41190,Jarvis,03/09/2018,W,1587
41190,Jarvis,03/18/2018,U,960
41190,Jarvis,01/18/2018,W,1555
41190,Jarvis,03/26/2018,W,1322
41190,Jarvis,03/23/2018,W,1495
41190,Jarvis,01/29/2018,W,1509
41190,Jarvis,02/02/2018,W,1493
41190,Jarvis,03/17/2018,A,1412
41190,Jarvis,02/03/2018,A,1138
41190,Jarvis,02/25/2018,U,897
41190,Jarvis,02/24/2018,A,1211
41190,Jarvis,02/15/2018,W,1550
41190,Jarvis,02/26/2018,W,1501
41190,Jarvis,02/22/2018,W,1574
41190,Jarvis,01/08/2018,W,1414
41190,Jarvis,02/05/2018,W,1438
41190,Jarvis,03/25/2018,U,886
41190,Jarvis,01/03/2018,W,1333
41190,Jarvis,01/02/2018,W,1114
41190,Jarvis,01/05/2018,W,1260
41190,Jarvis,01/24/2018,W,1551
41190,Jarvis,01/17/2018,W,1614
41190,Jarvis,02/28/2018,W,1540
41190,Jarvis,03/22/2018,W,1567
41190,Jarvis,01/06/2018,A,983
41190,Jarvis,01/30/2018,W,1511
41190,Jarvis,03/15/2018,W,1603
41190,Jarvis,03/07/2018,W,1536
41190,Jarvis,03/01/2018,W,1652
41190,Jarvis,03/04/2018,U,917
41190,Jarvis,02/18/2018,U,1022
41190,Jarvis,01/15/2018,W,1025
41190,Jarvis,03/29/2018,W,1419
41190,Jarvis,02/12/2018,W,1443
41190,Jarvis,03/16/2018,W,1542
41190,Jarvis,01/28/2018,U,840
41190,Jarvis,02/10/2018,A,1086
41190,Jarvis,03/21/2018,W,1553
41190,Jarvis,01/31/2018,W,1581
41190,Jarvis,01/27/2018,A,1160
41190,Jarvis,01/12/2018,W,1166
41190,Jarvis,03/27/2018,W,1355
41190,Jarvis,03/19/2018,W,1493
41190,Jarvis,05/12/2018,A,1105
41190,Jarvis,04/08/2018,U,908
41190,Jarvis,06/26/2018,W,1498
41190,Jarvis,05/28/2018,U,967
41190,Jarvis,04/12/2018,W,1624
41190,Jarvis,05/02/2018,W,1592
41190,Jarvis,06/25/2018,W,1422
41190,Jarvis,05/22/2018,W,1533
41190,Jarvis,05/29/2018,W,1469
41190,Jarvis,06/24/2018,U,1345
41190,Jarvis,05/23/2018,W,1586
41190,Jarvis,05/10/2018,W,1567
41190,Jarvis,05/09/2018,W,1587
41190,Jarvis,05/08/2018,W,1597
41190,Jarvis,04/11/2018,W,1641
41190,Jarvis,05/04/2018,W,1547
41190,Jarvis,05/20/2018,U,861
41190,Jarvis,04/16/2018,W,1421
41190,Jarvis,04/18/2018,W,1511
41190,Jarvis,04/10/2018,W,1600
41190,Jarvis,06/28/2018,W,1967
41190,Jarvis,06/05/2018,W,1557
41190,Jarvis,05/11/2018,W,1537
41190,Jarvis,06/06/2018,W,1528
41190,Jarvis,06/01/2018,W,1567
41190,Jarvis,05/15/2018,W,1489
41190,Jarvis,05/03/2018,W,1582
41190,Jarvis,06/15/2018,W,1480
41190,Jarvis,05/17/2018,W,1526
41190,Jarvis,05/05/2018,A,1261
41190,Jarvis,06/22/2018,W,1418
41190,Jarvis,04/28/2018,A,1256
41190,Jarvis,04/13/2018,W,1548
41190,Jarvis,05/13/2018,U,895
41190,Jarvis,04/15/2018,U,816
41190,Jarvis,06/10/2018,U,946
41190,Jarvis,06/03/2018,U,1000
41190,Jarvis,05/14/2018,W,1401
41190,Jarvis,06/13/2018,W,1575
41190,Jarvis,06/07/2018,W,1611
41190,Jarvis,04/01/2018,U,740
41190,Jarvis,04/07/2018,A,1228
41190,Jarvis,04/30/2018,W,1519
41190,Jarvis,05/27/2018,U,1028
41190,Jarvis,06/18/2018,W,1424
41190,Jarvis,05/26/2018,A,1310
41190,Jarvis,06/29/2018,W,1195
41190,Jarvis,05/18/2018,W,1513
41190,Jarvis,06/21/2018,W,1418
41190,Jarvis,04/20/2018,W,1551
41190,Jarvis,04/21/2018,A,1121
41190,Jarvis,06/19/2018,W,1582
41190,Jarvis,04/14/2018,A,1076
41190,Jarvis,06/08/2018,W,1589
41190,Jarvis,04/24/2018,W,1484
41190,Jarvis,04/06/2018,W,1556
41190,Jarvis,06/30/2018,A,1352
41190,Jarvis,04/03/2018,W,1481
41190,Jarvis,05/19/2018,A,1247
41190,Jarvis,06/09/2018,A,1329
41190,Jarvis,05/30/2018,W,1514
41190,Jarvis,06/27/2018,W,1484
41190,Jarvis,06/02/2018,A,1217
41190,Jarvis,06/20/2018,W,1570
41190,Jarvis,06/04/2018,W,1450
41190,Jarvis,04/22/2018,U,914
41190,Jarvis,05/07/2018,W,1518
41190,Jarvis,06/17/2018,U,913
41190,Jarvis,06/14/2018,W,1542
41190,Jarvis,04/23/2018,W,1435
41190,Jarvis,06/11/2018,W,1511
