station_id,stationname,date,daytype,rides
41180,Kedzie-Brown,12/15/2017,W,2034
41180,Kedzie-Brown,12/22/2017,W,1791
41180,Kedzie-Brown,12/11/2017,W,1952
41180,Kedzie-Brown,12/27/2017,W,1244
41180,Kedzie-Brown,12/02/2017,A,1618
41180,Kedzie-Brown,12/16/2017,A,1444
41180,Kedzie-Brown,12/17/2017,U,967
41180,Kedzie-Brown,12/12/2017,W,1958
41180,Kedzie-Brown,12/07/2017,W,2001
41180,Kedzie-Brown,12/06/2017,W,2031
41180,Kedzie-Brown,12/05/2017,W,1952
41180,Kedzie-Brown,12/28/2017,W,1419
41180,Kedzie-Brown,12/08/2017,W,2134
41180,Kedzie-Brown,12/23/2017,A,1133
41180,Kedzie-Brown,12/26/2017,W,1037
41180,Kedzie-Brown,12/01/2017,W,2265
41180,Kedzie-Brown,12/18/2017,W,1821
41180,Kedzie-Brown,12/21/2017,W,1829
41180,Kedzie-Brown,12/13/2017,W,2015
41180,Kedzie-Brown,12/19/2017,W,1929
41180,Kedzie-Brown,12/29/2017,W,1433
41180,Kedzie-Brown,12/09/2017,A,1349
41180,Kedzie-Brown,12/10/2017,U,953
41180,Kedzie-Brown,12/03/2017,U,1122
41180,Kedzie-Brown,12/31/2017,U,963
41180,Kedzie-Brown,12/20/2017,W,1949
41180,Kedzie-Brown,12/30/2017,A,1049
41180,Kedzie-Brown,12/25/2017,U,331
41180,Kedzie-Brown,12/24/2017,U,641
41180,Kedzie-Brown,12/04/2017,W,2003
41180,Kedzie-Brown,12/14/2017,W,2047
41180,Kedzie-Brown,03/27/2018,W,1875
41180,Kedzie-Brown,03/08/2018,W,2054
41180,Kedzie-Brown,02/08/2018,W,1946
41180,Kedzie-Brown,01/01/2018,U,520
41180,Kedzie-Brown,01/22/2018,W,1870
41180,Kedzie-Brown,03/03/2018,A,1378
41180,Kedzie-Brown,03/10/2018,A,1283
41180,Kedzie-Brown,01/23/2018,W,1938
41180,Kedzie-Brown,03/21/2018,W,1961
41180,Kedzie-Brown,02/22/2018,W,2045
41180,Kedzie-Brown,02/04/2018,U,808
41180,Kedzie-Brown,01/29/2018,W,1883
41180,Kedzie-Brown,02/15/2018,W,2038
41180,Kedzie-Brown,01/10/2018,W,1926
41180,Kedzie-Brown,02/03/2018,A,1220
41180,Kedzie-Brown,01/28/2018,U,902
41180,Kedzie-Brown,03/14/2018,W,2011
41180,Kedzie-Brown,03/15/2018,W,2036
41180,Kedzie-Brown,01/17/2018,W,1909
41180,Kedzie-Brown,02/09/2018,W,1609
41180,Kedzie-Brown,03/02/2018,W,2043
41180,Kedzie-Brown,01/24/2018,W,1964
41180,Kedzie-Brown,01/13/2018,A,1118
41180,Kedzie-Brown,01/16/2018,W,1903
41180,Kedzie-Brown,01/15/2018,W,1377
41180,Kedzie-Brown,02/26/2018,W,1991
41180,Kedzie-Brown,01/05/2018,W,1594
41180,Kedzie-Brown,01/25/2018,W,2035
41180,Kedzie-Brown,03/12/2018,W,1896
41180,Kedzie-Brown,02/23/2018,W,2042
41180,Kedzie-Brown,02/13/2018,W,1962
41180,Kedzie-Brown,02/01/2018,W,1949
