station_id,stationname,date,daytype,rides
41040,Kedzie-Cermak,12/18/2017,W,945
41040,Kedzie-Cermak,12/05/2017,W,1091
41040,Kedzie-Cermak,12/29/2017,W,801
41040,Kedzie-Cermak,12/16/2017,A,698
41040,Kedzie-Cermak,12/30/2017,A,491
41040,Kedzie-Cermak,12/08/2017,W,1002
41040,Kedzie-Cermak,12/27/2017,W,673
41040,Kedzie-Cermak,12/09/2017,A,688
41040,Kedzie-Cermak,12/31/2017,U,440
41040,Kedzie-Cermak,12/01/2017,W,1139
41040,Kedzie-Cermak,12/12/2017,W,1013
41040,Kedzie-Cermak,12/23/2017,A,676
41040,Kedzie-Cermak,12/02/2017,A,794
41040,Kedzie-Cermak,12/22/2017,W,995
41040,Kedzie-Cermak,12/24/2017,U,398
41040,Kedzie-Cermak,12/17/2017,U,510
41040,Kedzie-Cermak,12/07/2017,W,1098
41040,Kedzie-Cermak,12/21/2017,W,1008
41040,Kedzie-Cermak,12/26/2017,W,627
41040,Kedzie-Cermak,12/13/2017,W,1024
41040,Kedzie-Cermak,12/10/2017,U,524
41040,Kedzie-Cermak,12/11/2017,W,992
41040,Kedzie-Cermak,12/19/2017,W,1020
41040,Kedzie-Cermak,12/15/2017,W,1011
41040,Kedzie-Cermak,12/28/2017,W,741
41040,Kedzie-Cermak,12/03/2017,U,553
41040,Kedzie-Cermak,12/20/2017,W,1025
41040,Kedzie-Cermak,12/06/2017,W,1103
41040,Kedzie-Cermak,12/25/2017,U,233
41040,Kedzie-Cermak,12/04/2017,W,1053
41040,Kedzie-Cermak,12/14/2017,W,1054
41040,Kedzie-Cermak,01/18/2018,W,1004
41040,Kedzie-Cermak,01/24/2018,W,1016
41040,Kedzie-Cermak,01/07/2018,U,392
41040,Kedzie-Cermak,03/10/2018,A,580
41040,Kedzie-Cermak,03/29/2018,W,923
41040,Kedzie-Cermak,01/23/2018,W,960
41040,Kedzie-Cermak,02/09/2018,W,755
41040,Kedzie-Cermak,02/02/2018,W,870
41040,Kedzie-Cermak,02/27/2018,W,1022
41040,Kedzie-Cermak,01/12/2018,W,939
41040,Kedzie-Cermak,02/24/2018,A,652
41040,Kedzie-Cermak,02/25/2018,U,484
41040,Kedzie-Cermak,03/07/2018,W,1030
41040,Kedzie-Cermak,01/25/2018,W,1074
41040,Kedzie-Cermak,01/21/2018,U,454
41040,Kedzie-Cermak,02/19/2018,W,720
41040,Kedzie-Cermak,03/22/2018,W,1027
41040,Kedzie-Cermak,03/02/2018,W,1060
41040,Kedzie-Cermak,02/05/2018,W,866
41040,Kedzie-Cermak,03/24/2018,A,642
