station_id,stationname,date,daytype,rides
40160,LaSalle/Van Buren,12/05/2017,W,3326
40160,LaSalle/Van Buren,12/30/2017,A,342
40160,LaSalle/Van Buren,12/24/2017,U,208
40160,LaSalle/Van Buren,12/08/2017,W,2839
40160,LaSalle/Van Buren,12/17/2017,U,311
40160,LaSalle/Van Buren,12/06/2017,W,3329
40160,LaSalle/Van Buren,12/12/2017,W,3295
40160,LaSalle/Van Buren,12/29/2017,W,1844
40160,LaSalle/Van Buren,12/31/2017,U,336
40160,LaSalle/Van Buren,12/10/2017,U,344
40160,LaSalle/Van Buren,12/23/2017,A,332
40160,LaSalle/Van Buren,12/02/2017,A,551
40160,LaSalle/Van Buren,12/26/2017,W,1446
40160,LaSalle/Van Buren,12/04/2017,W,3084
40160,LaSalle/Van Buren,12/20/2017,W,2929
40160,LaSalle/Van Buren,12/14/2017,W,3180
40160,LaSalle/Van Buren,12/11/2017,W,3158
40160,LaSalle/Van Buren,12/28/2017,W,2023
40160,LaSalle/Van Buren,12/19/2017,W,3047
40160,LaSalle/Van Buren,12/22/2017,W,2007
40160,LaSalle/Van Buren,12/01/2017,W,2892
40160,LaSalle/Van Buren,12/25/2017,U,194
40160,LaSalle/Van Buren,12/15/2017,W,2668
40160,LaSalle/Van Buren,12/18/2017,W,2931
40160,LaSalle/Van Buren,12/21/2017,W,2749
40160,LaSalle/Van Buren,12/27/2017,W,1947
40160,LaSalle/Van Buren,12/03/2017,U,381
40160,LaSalle/Van Buren,12/07/2017,W,3283
40160,LaSalle/Van Buren,12/13/2017,W,3187
40160,LaSalle/Van Buren,12/16/2017,A,502
40160,LaSalle/Van Buren,12/09/2017,A,549
40160,LaSalle/Van Buren,03/18/2018,U,381
40160,LaSalle/Van Buren,01/10/2018,W,3180
40160,LaSalle/Van Buren,03/14/2018,W,3382
40160,LaSalle/Van Buren,02/28/2018,W,3212
40160,LaSalle/Van Buren,03/17/2018,A,922
40160,LaSalle/Van Buren,01/03/2018,W,2909
40160,LaSalle/Van Buren,01/14/2018,U,324
40160,LaSalle/Van Buren,02/15/2018,W,3343
40160,LaSalle/Van Buren,03/13/2018,W,3397
40160,LaSalle/Van Buren,02/23/2018,W,2847
40160,LaSalle/Van Buren,01/31/2018,W,3228
40160,LaSalle/Van Buren,01/26/2018,W,2881
40160,LaSalle/Van Buren,01/02/2018,W,2621
40160,LaSalle/Van Buren,01/30/2018,W,3395
40160,LaSalle/Van Buren,02/16/2018,W,2872
40160,LaSalle/Van Buren,01/23/2018,W,3384
