station_id,stationname,date,daytype,rides
41660,Lake/State,12/30/2017,A,8615
41660,Lake/State,12/19/2017,W,20579
41660,Lake/State,12/01/2017,W,23640
41660,Lake/State,12/13/2017,W,21432
41660,Lake/State,12/11/2017,W,21613
41660,Lake/State,12/31/2017,U,7151
41660,Lake/State,12/26/2017,W,10275
41660,Lake/State,12/08/2017,W,22411
41660,Lake/State,12/07/2017,W,21092
41660,Lake/State,12/03/2017,U,9793
41660,Lake/State,12/02/2017,A,15047
41660,Lake/State,12/29/2017,W,14794
41660,Lake/State,12/27/2017,W,12867
41660,Lake/State,12/06/2017,W,21971
41660,Lake/State,12/24/2017,U,6051
41660,Lake/State,12/14/2017,W,21611
41660,Lake/State,12/12/2017,W,21991
41660,Lake/State,12/22/2017,W,17551
41660,Lake/State,12/23/2017,A,10317
41660,Lake/State,12/25/2017,U,3303
41660,Lake/State,12/17/2017,U,9050
41660,Lake/State,12/15/2017,W,21175
41660,Lake/State,12/21/2017,W,19602
41660,Lake/State,12/28/2017,W,14183
41660,Lake/State,12/20/2017,W,20417
41660,Lake/State,12/10/2017,U,9538
41660,Lake/State,12/09/2017,A,13601
41660,Lake/State,12/16/2017,A,13728
41660,Lake/State,12/04/2017,W,21203
41660,Lake/State,12/18/2017,W,20046
41660,Lake/State,12/05/2017,W,22163
41660,Lake/State,02/23/2018,W,20153
41660,Lake/State,01/12/2018,W,19057
41660,Lake/State,01/10/2018,W,18976
41660,Lake/State,03/27/2018,W,19651
41660,Lake/State,02/27/2018,W,20098
41660,Lake/State,02/15/2018,W,20744
41660,Lake/State,03/05/2018,W,19033
41660,Lake/State,01/04/2018,W,17948
41660,Lake/State,01/20/2018,A,12309
41660,Lake/State,01/14/2018,U,6611
41660,Lake/State,01/16/2018,W,20395
41660,Lake/State,01/15/2018,W,11464
41660,Lake/State,03/29/2018,W,19481
41660,Lake/State,02/22/2018,W,20686
41660,Lake/State,03/17/2018,A,22488
41660,Lake/State,01/02/2018,W,15996
41660,Lake/State,03/21/2018,W,20546
41660,Lake/State,01/09/2018,W,18984
41660,Lake/State,03/20/2018,W,20283
41660,Lake/State,03/06/2018,W,20347
41660,Lake/State,02/07/2018,W,19878
41660,Lake/State,02/19/2018,W,13498
41660,Lake/State,01/17/2018,W,20633
41660,Lake/State,02/18/2018,U,8308
41660,Lake/State,01/29/2018,W,20010
41660,Lake/State,03/31/2018,A,9626
41660,Lake/State,01/21/2018,U,6655
41660,Lake/State,01/31/2018,W,20349
41660,Lake/State,01/07/2018,U,5922
41660,Lake/State,03/11/2018,U,7427
41660,Lake/State,01/28/2018,U,7276
41660,Lake/State,01/18/2018,W,19843
41660,Lake/State,01/08/2018,W,18298
41660,Lake/State,01/01/2018,U,5381
41660,Lake/State,01/03/2018,W,17874
41660,Lake/State,02/06/2018,W,19674
41660,Lake/State,02/28/2018,W,20540
41660,Lake/State,01/26/2018,W,19880
41660,Lake/State,01/27/2018,A,9963
41660,Lake/State,01/24/2018,W,20388
41660,Lake/State,03/25/2018,U,8097
41660,Lake/State,03/12/2018,W,20510
41660,Lake/State,03/26/2018,W,19099
41660,Lake/State,03/09/2018,W,19975
41660,Lake/State,02/13/2018,W,21075
41660,Lake/State,02/02/2018,W,19885
41660,Lake/State,03/01/2018,W,19801
41660,Lake/State,01/06/2018,A,8166
41660,Lake/State,01/30/2018,W,20610
41660,Lake/State,02/09/2018,W,13742
41660,Lake/State,01/11/2018,W,19317
41660,Lake/State,01/19/2018,W,19622
41660,Lake/State,02/25/2018,U,7495
41660,Lake/State,03/18/2018,U,8416
41660,Lake/State,02/05/2018,W,19922
41660,Lake/State,01/25/2018,W,20702
41660,Lake/State,02/21/2018,W,20737
41660,Lake/State,02/14/2018,W,21594
41660,Lake/State,03/10/2018,A,10408
41660,Lake/State,03/08/2018,W,20617
41660,Lake/State,01/05/2018,W,17591
41660,Lake/State,03/03/2018,A,11269
41660,Lake/State,02/10/2018,A,9568
41660,Lake/State,03/14/2018,W,21148
41660,Lake/State,03/15/2018,W,21262
41660,Lake/State,03/24/2018,A,11837
41660,Lake/State,02/16/2018,W,20651
41660,Lake/State,02/26/2018,W,19780
41660,Lake/State,03/13/2018,W,21250
41660,Lake/State,02/12/2018,W,18838
41660,Lake/State,02/24/2018,A,10600
41660,Lake/State,03/07/2018,W,20626
41660,Lake/State,02/01/2018,W,20806
41660,Lake/State,02/03/2018,A,10068
41660,Lake/State,02/08/2018,W,20525
41660,Lake/State,01/22/2018,W,19996
41660,Lake/State,01/23/2018,W,20522
41660,Lake/State,03/19/2018,W,20118
41660,Lake/State,03/30/2018,W,17780
41660,Lake/State,02/11/2018,U,6853
41660,Lake/State,02/04/2018,U,6060
41660,Lake/State,03/04/2018,U,7237
41660,Lake/State,03/23/2018,W,19423
41660,Lake/State,03/16/2018,W,21612
41660,Lake/State,02/17/2018,A,10816
41660,Lake/State,03/22/2018,W,20365
41660,Lake/State,03/02/2018,W,20098
41660,Lake/State,02/20/2018,W,20397
41660,Lake/State,01/13/2018,A,9174
41660,Lake/State,03/28/2018,W,19740
41660,Lake/State,05/13/2018,U,8470
41660,Lake/State,04/04/2018,W,20847
41660,Lake/State,04/30/2018,W,20731
41660,Lake/State,06/08/2018,W,23034
41660,Lake/State,06/17/2018,U,9155
41660,Lake/State,05/23/2018,W,21821
41660,Lake/State,05/28/2018,U,8365
41660,Lake/State,06/26/2018,W,21666
41660,Lake/State,05/15/2018,W,19871
41660,Lake/State,06/22/2018,W,20137
41660,Lake/State,06/02/2018,A,11073
41660,Lake/State,04/27/2018,W,21572
41660,Lake/State,05/16/2018,W,19744
41660,Lake/State,06/04/2018,W,19709
41660,Lake/State,04/15/2018,U,6741
41660,Lake/State,04/01/2018,U,6213
41660,Lake/State,05/10/2018,W,20701
41660,Lake/State,04/08/2018,U,7547
41660,Lake/State,06/06/2018,W,22992
41660,Lake/State,06/13/2018,W,21873
41660,Lake/State,06/01/2018,W,21683
41660,Lake/State,06/09/2018,A,14158
41660,Lake/State,04/14/2018,A,11423
41660,Lake/State,04/19/2018,W,20762
41660,Lake/State,04/22/2018,U,7589
41660,Lake/State,04/17/2018,W,21419
41660,Lake/State,06/12/2018,W,21513
41660,Lake/State,05/26/2018,A,14357
41660,Lake/State,04/21/2018,A,10372
41660,Lake/State,05/20/2018,U,7605
41660,Lake/State,05/22/2018,W,22000
41660,Lake/State,05/30/2018,W,19524
41660,Lake/State,04/26/2018,W,21893
41660,Lake/State,06/11/2018,W,21756
41660,Lake/State,05/24/2018,W,20186
41660,Lake/State,04/09/2018,W,20157
41660,Lake/State,04/25/2018,W,20149
41660,Lake/State,04/23/2018,W,19933
41660,Lake/State,06/29/2018,W,24108
41660,Lake/State,05/11/2018,W,22005
41660,Lake/State,04/03/2018,W,20480
41660,Lake/State,05/21/2018,W,19305
41660,Lake/State,05/17/2018,W,20345
41660,Lake/State,06/05/2018,W,22637
41660,Lake/State,04/16/2018,W,19917
41660,Lake/State,06/14/2018,W,21859
41660,Lake/State,05/19/2018,A,10897
41660,Lake/State,05/25/2018,W,21114
41660,Lake/State,05/03/2018,W,20519
41660,Lake/State,04/12/2018,W,21400
41660,Lake/State,04/24/2018,W,20062
41660,Lake/State,06/30/2018,A,15648
41660,Lake/State,05/14/2018,W,20133
41660,Lake/State,06/25/2018,W,20583
41660,Lake/State,06/03/2018,U,9045
41660,Lake/State,04/05/2018,W,21433
41660,Lake/State,06/07/2018,W,23617
41660,Lake/State,04/20/2018,W,19927
41660,Lake/State,04/13/2018,W,21580
41660,Lake/State,04/07/2018,A,11462
41660,Lake/State,06/21/2018,W,20695
41660,Lake/State,06/28/2018,W,22695
41660,Lake/State,04/11/2018,W,21494
41660,Lake/State,05/04/2018,W,19934
41660,Lake/State,06/10/2018,U,9941
41660,Lake/State,06/18/2018,W,22163
41660,Lake/State,06/15/2018,W,21396
41660,Lake/State,04/10/2018,W,21610
41660,Lake/State,05/01/2018,W,22172
41660,Lake/State,05/27/2018,U,11343
41660,Lake/State,05/18/2018,W,20301
41660,Lake/State,06/27/2018,W,21902
41660,Lake/State,05/02/2018,W,20935
41660,Lake/State,05/06/2018,U,8020
41660,Lake/State,04/02/2018,W,19608
41660,Lake/State,06/23/2018,A,12615
41660,Lake/State,06/16/2018,A,12613
41660,Lake/State,04/06/2018,W,20501
41660,Lake/State,04/28/2018,A,12364
41660,Lake/State,04/18/2018,W,20433
41660,Lake/State,06/19/2018,W,23632
41660,Lake/State,06/20/2018,W,23721
41660,Lake/State,05/29/2018,W,19352
41660,Lake/State,05/31/2018,W,20603
41660,Lake/State,05/12/2018,A,11610
41660,Lake/State,05/09/2018,W,21676
41660,Lake/State,05/08/2018,W,22853
41660,Lake/State,04/29/2018,U,9068
41660,Lake/State,05/05/2018,A,11840
41660,Lake/State,05/07/2018,W,21147
41660,Lake/State,06/24/2018,U,15902
41660,Lake/State,07/01/2018,U,9607
41660,Lake/State,07/02/2018,W,20133
41660,Lake/State,07/03/2018,W,22566
41660,Lake/State,07/04/2018,U,11055
41660,Lake/State,07/05/2018,W,18708
41660,Lake/State,07/06/2018,W,21590
41660,Lake/State,07/07/2018,A,12955
41660,Lake/State,07/08/2018,U,9700
41660,Lake/State,07/09/2018,W,20668
41660,Lake/State,07/10/2018,W,22360
41660,Lake/State,07/11/2018,W,22795
41660,Lake/State,07/12/2018,W,22126
41660,Lake/State,07/13/2018,W,23744
41660,Lake/State,07/14/2018,A,13001
41660,Lake/State,07/15/2018,U,9600
41660,Lake/State,07/16/2018,W,20902
41660,Lake/State,07/17/2018,W,22084
41660,Lake/State,07/18/2018,W,22047
41660,Lake/State,07/19/2018,W,24689
41660,Lake/State,07/20/2018,W,24085
41660,Lake/State,07/21/2018,A,15867
41660,Lake/State,07/22/2018,U,10644
41660,Lake/State,07/23/2018,W,23348
41660,Lake/State,07/24/2018,W,24841
41660,Lake/State,07/25/2018,W,23680
41660,Lake/State,07/26/2018,W,24533
41660,Lake/State,07/27/2018,W,22340
41660,Lake/State,07/28/2018,A,12080
41660,Lake/State,07/29/2018,U,7724
