station_id,stationname,date,daytype,rides
40770,Lawrence,12/21/2017,W,2958
40770,Lawrence,12/09/2017,A,2734
40770,Lawrence,12/17/2017,U,2032
40770,Lawrence,12/06/2017,W,3258
40770,Lawrence,12/22/2017,W,2496
40770,Lawrence,12/04/2017,W,3153
40770,Lawrence,12/05/2017,W,3284
40770,Lawrence,12/24/2017,U,1411
40770,Lawrence,12/14/2017,W,3272
40770,Lawrence,12/25/2017,U,684
40770,Lawrence,12/15/2017,W,3655
40770,Lawrence,12/07/2017,W,3576
40770,Lawrence,12/26/2017,W,1549
40770,Lawrence,12/27/2017,W,1879
40770,Lawrence,12/12/2017,W,3225
40770,Lawrence,12/30/2017,A,1799
40770,Lawrence,12/01/2017,W,4638
40770,Lawrence,12/02/2017,A,3160
40770,Lawrence,12/23/2017,A,1713
40770,Lawrence,12/29/2017,W,2251
40770,Lawrence,12/13/2017,W,3215
40770,Lawrence,12/31/2017,U,1748
40770,Lawrence,12/19/2017,W,3183
40770,Lawrence,12/11/2017,W,3144
40770,Lawrence,12/03/2017,U,1929
40770,Lawrence,12/18/2017,W,3084
40770,Lawrence,12/08/2017,W,3363
40770,Lawrence,12/16/2017,A,2303
40770,Lawrence,12/20/2017,W,3076
40770,Lawrence,12/10/2017,U,1874
40770,Lawrence,12/28/2017,W,2136
40770,Lawrence,01/27/2018,A,2613
40770,Lawrence,02/22/2018,W,3212
40770,Lawrence,01/02/2018,W,2367
40770,Lawrence,01/07/2018,U,1394
40770,Lawrence,02/20/2018,W,3408
40770,Lawrence,01/29/2018,W,2901
40770,Lawrence,01/30/2018,W,3156
40770,Lawrence,03/22/2018,W,3134
40770,Lawrence,03/05/2018,W,3082
40770,Lawrence,02/28/2018,W,3228
40770,Lawrence,03/04/2018,U,1827
40770,Lawrence,03/17/2018,A,2558
40770,Lawrence,02/24/2018,A,2691
40770,Lawrence,01/05/2018,W,2635
40770,Lawrence,02/06/2018,W,3419
40770,Lawrence,02/04/2018,U,1504
40770,Lawrence,02/27/2018,W,3228
40770,Lawrence,03/25/2018,U,1652
40770,Lawrence,01/09/2018,W,3061
40770,Lawrence,01/22/2018,W,2902
40770,Lawrence,03/20/2018,W,3085
40770,Lawrence,02/13/2018,W,3163
40770,Lawrence,02/18/2018,U,1935
40770,Lawrence,03/01/2018,W,3192
40770,Lawrence,03/02/2018,W,4152
40770,Lawrence,03/19/2018,W,3026
40770,Lawrence,01/17/2018,W,3328
40770,Lawrence,03/18/2018,U,1780
40770,Lawrence,03/23/2018,W,3285
40770,Lawrence,02/09/2018,W,2508
40770,Lawrence,02/05/2018,W,2960
40770,Lawrence,02/16/2018,W,4011
40770,Lawrence,02/26/2018,W,2965
40770,Lawrence,03/24/2018,A,1673
40770,Lawrence,01/11/2018,W,3080
40770,Lawrence,01/19/2018,W,3187
40770,Lawrence,03/08/2018,W,3089
40770,Lawrence,03/28/2018,W,2935
40770,Lawrence,01/10/2018,W,3171
40770,Lawrence,02/01/2018,W,3161
40770,Lawrence,02/14/2018,W,3513
40770,Lawrence,03/13/2018,W,3207
40770,Lawrence,03/26/2018,W,2864
40770,Lawrence,03/16/2018,W,3534
40770,Lawrence,02/23/2018,W,3589
40770,Lawrence,01/25/2018,W,3184
40770,Lawrence,03/11/2018,U,1717
40770,Lawrence,02/19/2018,W,2369
40770,Lawrence,01/28/2018,U,1578
40770,Lawrence,03/31/2018,A,2210
40770,Lawrence,01/31/2018,W,3222
40770,Lawrence,01/14/2018,U,1529
40770,Lawrence,02/15/2018,W,3182
40770,Lawrence,03/09/2018,W,3800
40770,Lawrence,03/07/2018,W,3128
40770,Lawrence,01/23/2018,W,3228
40770,Lawrence,01/08/2018,W,2971
40770,Lawrence,02/02/2018,W,3261
40770,Lawrence,03/14/2018,W,3167
40770,Lawrence,02/03/2018,A,2466
40770,Lawrence,03/12/2018,W,3030
40770,Lawrence,02/25/2018,U,1825
40770,Lawrence,03/15/2018,W,3262
40770,Lawrence,03/29/2018,W,2916
