station_id,stationname,date,daytype,rides
41050,Linden,12/29/2017,W,617
41050,Linden,12/22/2017,W,870
41050,Linden,12/01/2017,W,913
41050,Linden,12/08/2017,W,860
41050,Linden,12/12/2017,W,778
41050,Linden,12/16/2017,A,783
41050,Linden,12/13/2017,W,893
41050,Linden,12/02/2017,A,530
41050,Linden,12/31/2017,U,427
41050,Linden,12/10/2017,U,310
41050,Linden,12/28/2017,W,565
41050,Linden,12/25/2017,U,125
41050,Linden,12/30/2017,A,296
41050,Linden,12/20/2017,W,882
41050,Linden,12/21/2017,W,1089
41050,Linden,12/23/2017,A,475
41050,Linden,12/19/2017,W,905
41050,Linden,12/24/2017,U,217
41050,Linden,12/06/2017,W,874
41050,Linden,12/18/2017,W,829
41050,Linden,12/11/2017,W,807
41050,Linden,12/17/2017,U,308
41050,Linden,12/05/2017,W,812
41050,Linden,12/15/2017,W,1048
41050,Linden,12/14/2017,W,858
41050,Linden,12/04/2017,W,878
41050,Linden,12/09/2017,A,459
41050,Linden,12/27/2017,W,541
41050,Linden,12/03/2017,U,334
41050,Linden,12/07/2017,W,849
41050,Linden,12/26/2017,W,458
41050,Linden,01/18/2018,W,818
41050,Linden,02/14/2018,W,882
41050,Linden,03/11/2018,U,320
41050,Linden,02/05/2018,W,844
41050,Linden,03/22/2018,W,851
41050,Linden,01/09/2018,W,789
41050,Linden,03/30/2018,W,656
41050,Linden,03/17/2018,A,802
41050,Linden,02/06/2018,W,829
41050,Linden,02/13/2018,W,874
41050,Linden,01/21/2018,U,227
41050,Linden,02/17/2018,A,365
41050,Linden,03/04/2018,U,302
41050,Linden,03/02/2018,W,838
41050,Linden,01/16/2018,W,819
41050,Linden,02/27/2018,W,877
41050,Linden,02/22/2018,W,870
41050,Linden,02/01/2018,W,840
41050,Linden,03/08/2018,W,840
41050,Linden,01/02/2018,W,586
41050,Linden,02/28/2018,W,848
41050,Linden,01/31/2018,W,839
41050,Linden,03/09/2018,W,873
41050,Linden,01/24/2018,W,854
41050,Linden,02/12/2018,W,855
41050,Linden,01/22/2018,W,812
41050,Linden,01/26/2018,W,818
41050,Linden,01/15/2018,W,553
41050,Linden,03/28/2018,W,834
41050,Linden,03/29/2018,W,756
41050,Linden,01/25/2018,W,909
41050,Linden,02/16/2018,W,724
41050,Linden,03/21/2018,W,908
41050,Linden,01/04/2018,W,684
41050,Linden,02/19/2018,W,612
