station_id,stationname,date,daytype,rides
40810,Medical Center,12/24/2017,U,307
40810,Medical Center,12/05/2017,W,2452
40810,Medical Center,12/25/2017,U,240
40810,Medical Center,12/17/2017,U,579
40810,Medical Center,12/06/2017,W,2339
40810,Medical Center,12/11/2017,W,2602
40810,Medical Center,12/14/2017,W,2144
40810,Medical Center,12/08/2017,W,2117
40810,Medical Center,12/09/2017,A,872
40810,Medical Center,12/10/2017,U,516
40810,Medical Center,12/02/2017,A,665
40810,Medical Center,12/31/2017,U,369
40810,Medical Center,12/29/2017,W,1203
40810,Medical Center,12/03/2017,U,595
40810,Medical Center,12/30/2017,A,405
40810,Medical Center,12/15/2017,W,1732
40810,Medical Center,12/26/2017,W,806
40810,Medical Center,12/16/2017,A,687
40810,Medical Center,12/23/2017,A,412
40810,Medical Center,12/12/2017,W,2370
40810,Medical Center,12/27/2017,W,1147
40810,Medical Center,12/07/2017,W,2313
40810,Medical Center,12/21/2017,W,1679
40810,Medical Center,12/19/2017,W,1886
40810,Medical Center,12/28/2017,W,1031
40810,Medical Center,12/04/2017,W,2741
40810,Medical Center,12/22/2017,W,1528
40810,Medical Center,12/13/2017,W,2379
40810,Medical Center,12/18/2017,W,2074
40810,Medical Center,12/20/2017,W,1935
40810,Medical Center,12/01/2017,W,2353
40810,Medical Center,01/12/2018,W,1777
40810,Medical Center,03/31/2018,A,467
40810,Medical Center,02/16/2018,W,1917
40810,Medical Center,01/04/2018,W,1219
40810,Medical Center,03/15/2018,W,2249
40810,Medical Center,01/10/2018,W,2008
40810,Medical Center,02/04/2018,U,367
40810,Medical Center,03/23/2018,W,2248
40810,Medical Center,02/12/2018,W,2074
40810,Medical Center,01/13/2018,A,710
40810,Medical Center,02/24/2018,A,575
40810,Medical Center,03/14/2018,W,2294
40810,Medical Center,01/16/2018,W,2720
40810,Medical Center,01/21/2018,U,495
40810,Medical Center,02/07/2018,W,2209
40810,Medical Center,02/13/2018,W,2371
40810,Medical Center,02/10/2018,A,774
40810,Medical Center,03/16/2018,W,1987
40810,Medical Center,02/14/2018,W,2469
40810,Medical Center,03/20/2018,W,2393
40810,Medical Center,03/27/2018,W,1611
40810,Medical Center,01/07/2018,U,450
40810,Medical Center,02/09/2018,W,1424
40810,Medical Center,02/15/2018,W,2416
40810,Medical Center,01/02/2018,W,1114
40810,Medical Center,03/10/2018,A,798
40810,Medical Center,03/28/2018,W,1606
40810,Medical Center,01/19/2018,W,2043
40810,Medical Center,01/15/2018,W,820
40810,Medical Center,02/25/2018,U,395
40810,Medical Center,01/09/2018,W,1872
40810,Medical Center,02/06/2018,W,2420
40810,Medical Center,01/05/2018,W,1165
40810,Medical Center,02/01/2018,W,2259
40810,Medical Center,03/22/2018,W,2421
40810,Medical Center,03/09/2018,W,2175
40810,Medical Center,03/26/2018,W,1628
40810,Medical Center,03/29/2018,W,1619
40810,Medical Center,02/17/2018,A,806
40810,Medical Center,01/22/2018,W,2546
40810,Medical Center,02/21/2018,W,2455
40810,Medical Center,03/01/2018,W,2124
40810,Medical Center,02/20/2018,W,2219
40810,Medical Center,03/12/2018,W,2159
40810,Medical Center,01/20/2018,A,809
40810,Medical Center,03/17/2018,A,1212
40810,Medical Center,02/11/2018,U,351
40810,Medical Center,02/26/2018,W,2333
40810,Medical Center,01/26/2018,W,2171
40810,Medical Center,02/19/2018,W,985
40810,Medical Center,01/11/2018,W,2045
40810,Medical Center,02/02/2018,W,1892
40810,Medical Center,03/08/2018,W,2380
40810,Medical Center,01/27/2018,A,666
40810,Medical Center,03/05/2018,W,2465
40810,Medical Center,01/29/2018,W,2304
40810,Medical Center,03/18/2018,U,604
40810,Medical Center,03/04/2018,U,434
40810,Medical Center,02/22/2018,W,2585
40810,Medical Center,01/01/2018,U,426
40810,Medical Center,03/19/2018,W,2267
40810,Medical Center,03/30/2018,W,1204
40810,Medical Center,01/28/2018,U,621
40810,Medical Center,02/23/2018,W,2095
40810,Medical Center,02/05/2018,W,2151
40810,Medical Center,01/17/2018,W,2673
40810,Medical Center,01/06/2018,A,437
40810,Medical Center,02/27/2018,W,2353
40810,Medical Center,02/08/2018,W,2406
40810,Medical Center,03/07/2018,W,2484
40810,Medical Center,03/25/2018,U,420
40810,Medical Center,01/31/2018,W,2328
40810,Medical Center,03/21/2018,W,2386
40810,Medical Center,01/18/2018,W,2447
40810,Medical Center,01/03/2018,W,1328
40810,Medical Center,01/08/2018,W,2052
40810,Medical Center,01/24/2018,W,2522
40810,Medical Center,01/30/2018,W,2275
40810,Medical Center,03/24/2018,A,662
40810,Medical Center,01/25/2018,W,2346
40810,Medical Center,02/03/2018,A,609
40810,Medical Center,01/14/2018,U,491
40810,Medical Center,03/02/2018,W,2168
40810,Medical Center,01/23/2018,W,2416
40810,Medical Center,03/06/2018,W,2464
40810,Medical Center,02/18/2018,U,418
40810,Medical Center,02/28/2018,W,2307
40810,Medical Center,03/13/2018,W,2452
40810,Medical Center,03/11/2018,U,542
40810,Medical Center,03/03/2018,A,752
40810,Medical Center,06/04/2018,W,1944
40810,Medical Center,04/18/2018,W,2220
40810,Medical Center,05/27/2018,U,404
40810,Medical Center,05/09/2018,W,2151
40810,Medical Center,04/05/2018,W,2151
40810,Medical Center,04/20/2018,W,1959
40810,Medical Center,04/23/2018,W,2209
40810,Medical Center,05/19/2018,A,685
40810,Medical Center,06/02/2018,A,602
40810,Medical Center,06/15/2018,W,1566
40810,Medical Center,04/24/2018,W,2274
40810,Medical Center,06/27/2018,W,1973
40810,Medical Center,06/25/2018,W,1813
40810,Medical Center,06/19/2018,W,1966
40810,Medical Center,05/30/2018,W,1898
40810,Medical Center,04/02/2018,W,1964
40810,Medical Center,06/17/2018,U,378
40810,Medical Center,04/01/2018,U,590
40810,Medical Center,04/07/2018,A,864
40810,Medical Center,04/17/2018,W,2237
40810,Medical Center,05/17/2018,W,1904
40810,Medical Center,04/22/2018,U,426
40810,Medical Center,05/16/2018,W,1926
40810,Medical Center,04/16/2018,W,2103
40810,Medical Center,06/26/2018,W,1854
40810,Medical Center,05/22/2018,W,2250
40810,Medical Center,06/24/2018,U,446
40810,Medical Center,05/20/2018,U,357
40810,Medical Center,06/11/2018,W,2043
40810,Medical Center,06/22/2018,W,1537
40810,Medical Center,06/12/2018,W,2197
40810,Medical Center,04/08/2018,U,383
40810,Medical Center,06/30/2018,A,780
40810,Medical Center,04/25/2018,W,2324
40810,Medical Center,06/01/2018,W,2073
40810,Medical Center,04/19/2018,W,2126
40810,Medical Center,05/13/2018,U,377
40810,Medical Center,05/07/2018,W,2224
40810,Medical Center,04/12/2018,W,2171
40810,Medical Center,05/10/2018,W,2214
40810,Medical Center,06/16/2018,A,555
40810,Medical Center,05/08/2018,W,2300
40810,Medical Center,05/21/2018,W,1740
40810,Medical Center,04/14/2018,A,723
40810,Medical Center,05/29/2018,W,1866
40810,Medical Center,06/18/2018,W,1736
40810,Medical Center,06/08/2018,W,1953
40810,Medical Center,05/24/2018,W,1864
40810,Medical Center,05/06/2018,U,440
40810,Medical Center,06/21/2018,W,1797
40810,Medical Center,05/02/2018,W,2183
40810,Medical Center,05/15/2018,W,1995
40810,Medical Center,06/03/2018,U,396
40810,Medical Center,05/31/2018,W,1933
40810,Medical Center,05/12/2018,A,596
