station_id,stationname,date,daytype,rides
40790,Monroe/Dearborn,12/04/2017,W,8266
40790,Monroe/Dearborn,12/21/2017,W,7520
40790,Monroe/Dearborn,12/19/2017,W,7961
40790,Monroe/Dearborn,12/27/2017,W,4738
40790,Monroe/Dearborn,12/18/2017,W,7894
40790,Monroe/Dearborn,12/03/2017,U,2110
40790,Monroe/Dearborn,12/02/2017,A,2701
40790,Monroe/Dearborn,12/22/2017,W,5931
40790,Monroe/Dearborn,12/20/2017,W,7794
40790,Monroe/Dearborn,12/07/2017,W,8752
40790,Monroe/Dearborn,12/29/2017,W,4921
40790,Monroe/Dearborn,12/10/2017,U,1828
40790,Monroe/Dearborn,12/09/2017,A,2418
40790,Monroe/Dearborn,12/30/2017,A,1564
40790,Monroe/Dearborn,12/06/2017,W,8490
40790,Monroe/Dearborn,12/16/2017,A,2426
40790,Monroe/Dearborn,12/14/2017,W,8456
40790,Monroe/Dearborn,12/25/2017,U,543
40790,Monroe/Dearborn,12/13/2017,W,8334
40790,Monroe/Dearborn,12/08/2017,W,8009
40790,Monroe/Dearborn,12/15/2017,W,7779
40790,Monroe/Dearborn,12/23/2017,A,1857
40790,Monroe/Dearborn,12/28/2017,W,5214
40790,Monroe/Dearborn,12/31/2017,U,1199
40790,Monroe/Dearborn,12/17/2017,U,1805
40790,Monroe/Dearborn,12/05/2017,W,8445
40790,Monroe/Dearborn,12/24/2017,U,1121
40790,Monroe/Dearborn,12/26/2017,W,3247
40790,Monroe/Dearborn,12/11/2017,W,8324
40790,Monroe/Dearborn,12/12/2017,W,8332
40790,Monroe/Dearborn,12/01/2017,W,8500
40790,Monroe/Dearborn,03/31/2018,A,2014
40790,Monroe/Dearborn,03/20/2018,W,8551
40790,Monroe/Dearborn,01/03/2018,W,7120
40790,Monroe/Dearborn,03/10/2018,A,2178
40790,Monroe/Dearborn,01/31/2018,W,8736
40790,Monroe/Dearborn,03/16/2018,W,8149
40790,Monroe/Dearborn,03/21/2018,W,8498
40790,Monroe/Dearborn,02/08/2018,W,8929
40790,Monroe/Dearborn,03/25/2018,U,1889
40790,Monroe/Dearborn,02/11/2018,U,1431
40790,Monroe/Dearborn,01/29/2018,W,8224
40790,Monroe/Dearborn,02/14/2018,W,8839
40790,Monroe/Dearborn,01/04/2018,W,7527
40790,Monroe/Dearborn,02/05/2018,W,8267
40790,Monroe/Dearborn,02/23/2018,W,8379
40790,Monroe/Dearborn,01/27/2018,A,2033
40790,Monroe/Dearborn,01/12/2018,W,7773
40790,Monroe/Dearborn,02/03/2018,A,1864
40790,Monroe/Dearborn,03/26/2018,W,7844
