station_id,stationname,date,daytype,rides
41510,Morgan-Lake,12/22/2017,W,2425
41510,Morgan-Lake,12/06/2017,W,3045
41510,Morgan-Lake,12/02/2017,A,1947
41510,Morgan-Lake,12/15/2017,W,2978
41510,Morgan-Lake,12/23/2017,A,1290
41510,Morgan-Lake,12/04/2017,W,2777
41510,Morgan-Lake,12/03/2017,U,1498
41510,Morgan-Lake,12/05/2017,W,2876
41510,Morgan-Lake,12/17/2017,U,1298
41510,Morgan-Lake,12/01/2017,W,3336
41510,Morgan-Lake,12/29/2017,W,2011
41510,Morgan-Lake,12/16/2017,A,1689
41510,Morgan-Lake,12/28/2017,W,1934
41510,Morgan-Lake,12/24/2017,U,522
41510,Morgan-Lake,12/26/2017,W,1215
41510,Morgan-Lake,12/12/2017,W,2900
41510,Morgan-Lake,12/11/2017,W,2763
41510,Morgan-Lake,12/08/2017,W,3081
41510,Morgan-Lake,12/27/2017,W,1639
41510,Morgan-Lake,12/14/2017,W,3012
41510,Morgan-Lake,12/20/2017,W,2896
41510,Morgan-Lake,12/10/2017,U,1450
41510,Morgan-Lake,12/25/2017,U,265
41510,Morgan-Lake,12/18/2017,W,2779
41510,Morgan-Lake,12/09/2017,A,1742
41510,Morgan-Lake,12/07/2017,W,2928
41510,Morgan-Lake,12/30/2017,A,1305
41510,Morgan-Lake,12/19/2017,W,2831
41510,Morgan-Lake,12/13/2017,W,3010
41510,Morgan-Lake,12/31/2017,U,847
41510,Morgan-Lake,12/21/2017,W,2667
41510,Morgan-Lake,01/08/2018,W,2536
41510,Morgan-Lake,03/18/2018,U,1530
41510,Morgan-Lake,03/04/2018,U,1423
41510,Morgan-Lake,03/29/2018,W,3026
41510,Morgan-Lake,02/11/2018,U,1339
41510,Morgan-Lake,03/03/2018,A,1947
41510,Morgan-Lake,01/15/2018,W,1971
41510,Morgan-Lake,01/04/2018,W,2481
41510,Morgan-Lake,02/17/2018,A,1733
41510,Morgan-Lake,02/24/2018,A,1771
41510,Morgan-Lake,01/18/2018,W,2844
41510,Morgan-Lake,01/14/2018,U,1158
41510,Morgan-Lake,03/26/2018,W,2863
41510,Morgan-Lake,01/13/2018,A,1412
41510,Morgan-Lake,03/09/2018,W,3065
41510,Morgan-Lake,02/10/2018,A,1657
41510,Morgan-Lake,01/26/2018,W,3072
41510,Morgan-Lake,01/24/2018,W,2877
41510,Morgan-Lake,03/01/2018,W,2994
41510,Morgan-Lake,03/24/2018,A,4228
41510,Morgan-Lake,01/21/2018,U,1207
41510,Morgan-Lake,01/29/2018,W,2605
41510,Morgan-Lake,02/02/2018,W,2824
41510,Morgan-Lake,01/20/2018,A,1995
41510,Morgan-Lake,02/12/2018,W,2770
41510,Morgan-Lake,02/03/2018,A,1607
41510,Morgan-Lake,01/06/2018,A,1375
41510,Morgan-Lake,01/25/2018,W,2999
41510,Morgan-Lake,02/07/2018,W,2973
41510,Morgan-Lake,03/21/2018,W,3251
41510,Morgan-Lake,01/31/2018,W,2918
41510,Morgan-Lake,03/16/2018,W,3465
41510,Morgan-Lake,02/16/2018,W,3156
41510,Morgan-Lake,03/08/2018,W,3165
41510,Morgan-Lake,03/22/2018,W,3047
41510,Morgan-Lake,02/01/2018,W,2896
41510,Morgan-Lake,03/17/2018,A,2490
41510,Morgan-Lake,02/18/2018,U,1462
41510,Morgan-Lake,03/23/2018,W,3142
41510,Morgan-Lake,01/05/2018,W,2464
41510,Morgan-Lake,03/19/2018,W,3001
41510,Morgan-Lake,02/23/2018,W,3099
41510,Morgan-Lake,02/13/2018,W,3094
41510,Morgan-Lake,01/28/2018,U,1368
41510,Morgan-Lake,03/13/2018,W,3076
41510,Morgan-Lake,02/14/2018,W,3127
41510,Morgan-Lake,01/10/2018,W,2848
41510,Morgan-Lake,01/30/2018,W,2822
41510,Morgan-Lake,03/27/2018,W,3015
41510,Morgan-Lake,01/22/2018,W,2723
41510,Morgan-Lake,03/30/2018,W,2987
41510,Morgan-Lake,03/28/2018,W,3117
41510,Morgan-Lake,01/02/2018,W,1921
41510,Morgan-Lake,02/22/2018,W,2971
41510,Morgan-Lake,01/12/2018,W,2724
41510,Morgan-Lake,03/12/2018,W,2903
41510,Morgan-Lake,02/25/2018,U,1385
41510,Morgan-Lake,03/20/2018,W,3232
41510,Morgan-Lake,02/27/2018,W,3026
41510,Morgan-Lake,01/17/2018,W,2898
41510,Morgan-Lake,02/09/2018,W,2432
41510,Morgan-Lake,02/19/2018,W,2186
41510,Morgan-Lake,03/11/2018,U,1427
41510,Morgan-Lake,01/19/2018,W,2830
41510,Morgan-Lake,01/09/2018,W,2683
41510,Morgan-Lake,02/08/2018,W,3051
41510,Morgan-Lake,03/25/2018,U,1482
41510,Morgan-Lake,03/02/2018,W,3142
41510,Morgan-Lake,01/23/2018,W,2764
41510,Morgan-Lake,01/01/2018,U,720
41510,Morgan-Lake,01/16/2018,W,2764
41510,Morgan-Lake,03/05/2018,W,2764
41510,Morgan-Lake,02/05/2018,W,2555
41510,Morgan-Lake,03/14/2018,W,3190
41510,Morgan-Lake,03/06/2018,W,3012
41510,Morgan-Lake,02/26/2018,W,2798
41510,Morgan-Lake,03/10/2018,A,1764
41510,Morgan-Lake,03/07/2018,W,3108
