station_id,stationname,date,daytype,rides
40180,Oak Park-Forest Park,12/17/2017,U,442
40180,Oak Park-Forest Park,12/19/2017,W,1770
40180,Oak Park-Forest Park,12/03/2017,U,553
40180,Oak Park-Forest Park,12/16/2017,A,660
40180,Oak Park-Forest Park,12/11/2017,W,1859
40180,Oak Park-Forest Park,12/18/2017,W,1730
40180,Oak Park-Forest Park,12/23/2017,A,653
40180,Oak Park-Forest Park,12/10/2017,U,418
40180,Oak Park-Forest Park,12/08/2017,W,1918
40180,Oak Park-Forest Park,12/04/2017,W,1952
40180,Oak Park-Forest Park,12/22/2017,W,1365
40180,Oak Park-Forest Park,12/24/2017,U,336
40180,Oak Park-Forest Park,12/25/2017,U,178
40180,Oak Park-Forest Park,12/26/2017,W,718
40180,Oak Park-Forest Park,12/28/2017,W,966
40180,Oak Park-Forest Park,12/30/2017,A,383
40180,Oak Park-Forest Park,12/29/2017,W,967
40180,Oak Park-Forest Park,12/06/2017,W,1944
40180,Oak Park-Forest Park,12/07/2017,W,1975
40180,Oak Park-Forest Park,12/05/2017,W,1900
40180,Oak Park-Forest Park,12/20/2017,W,1673
40180,Oak Park-Forest Park,12/15/2017,W,1706
40180,Oak Park-Forest Park,12/21/2017,W,1625
40180,Oak Park-Forest Park,12/01/2017,W,2445
40180,Oak Park-Forest Park,12/13/2017,W,1817
40180,Oak Park-Forest Park,12/09/2017,A,766
40180,Oak Park-Forest Park,12/27/2017,W,880
40180,Oak Park-Forest Park,12/31/2017,U,403
40180,Oak Park-Forest Park,12/14/2017,W,1853
40180,Oak Park-Forest Park,12/12/2017,W,1835
40180,Oak Park-Forest Park,12/02/2017,A,739
40180,Oak Park-Forest Park,02/27/2018,W,1918
40180,Oak Park-Forest Park,02/06/2018,W,1834
40180,Oak Park-Forest Park,03/16/2018,W,1726
40180,Oak Park-Forest Park,02/14/2018,W,1864
40180,Oak Park-Forest Park,02/11/2018,U,354
40180,Oak Park-Forest Park,03/30/2018,W,1243
40180,Oak Park-Forest Park,01/22/2018,W,1896
40180,Oak Park-Forest Park,03/07/2018,W,1855
40180,Oak Park-Forest Park,01/09/2018,W,1722
40180,Oak Park-Forest Park,02/05/2018,W,1734
40180,Oak Park-Forest Park,02/01/2018,W,1823
40180,Oak Park-Forest Park,03/08/2018,W,1882
40180,Oak Park-Forest Park,02/09/2018,W,1135
40180,Oak Park-Forest Park,01/23/2018,W,1905
40180,Oak Park-Forest Park,01/06/2018,A,396
40180,Oak Park-Forest Park,03/15/2018,W,1913
40180,Oak Park-Forest Park,02/20/2018,W,1844
40180,Oak Park-Forest Park,03/21/2018,W,1862
40180,Oak Park-Forest Park,03/20/2018,W,1878
40180,Oak Park-Forest Park,03/13/2018,W,1905
40180,Oak Park-Forest Park,02/16/2018,W,1681
40180,Oak Park-Forest Park,01/12/2018,W,1557
40180,Oak Park-Forest Park,03/31/2018,A,433
40180,Oak Park-Forest Park,03/17/2018,A,978
40180,Oak Park-Forest Park,03/24/2018,A,554
40180,Oak Park-Forest Park,01/20/2018,A,1143
40180,Oak Park-Forest Park,03/18/2018,U,429
40180,Oak Park-Forest Park,03/23/2018,W,1676
40180,Oak Park-Forest Park,01/18/2018,W,1894
40180,Oak Park-Forest Park,01/11/2018,W,1732
40180,Oak Park-Forest Park,01/26/2018,W,1820
40180,Oak Park-Forest Park,02/28/2018,W,1877
40180,Oak Park-Forest Park,01/16/2018,W,1873
40180,Oak Park-Forest Park,02/03/2018,A,445
40180,Oak Park-Forest Park,01/30/2018,W,1950
40180,Oak Park-Forest Park,03/06/2018,W,1916
40180,Oak Park-Forest Park,02/24/2018,A,489
40180,Oak Park-Forest Park,01/13/2018,A,480
40180,Oak Park-Forest Park,01/24/2018,W,1828
40180,Oak Park-Forest Park,02/23/2018,W,1713
40180,Oak Park-Forest Park,03/10/2018,A,564
40180,Oak Park-Forest Park,02/15/2018,W,1839
40180,Oak Park-Forest Park,01/10/2018,W,1639
40180,Oak Park-Forest Park,03/12/2018,W,1835
40180,Oak Park-Forest Park,01/17/2018,W,1822
40180,Oak Park-Forest Park,03/29/2018,W,1606
40180,Oak Park-Forest Park,02/04/2018,U,330
40180,Oak Park-Forest Park,01/01/2018,U,201
40180,Oak Park-Forest Park,03/14/2018,W,1893
40180,Oak Park-Forest Park,02/07/2018,W,1814
40180,Oak Park-Forest Park,02/21/2018,W,1810
40180,Oak Park-Forest Park,02/18/2018,U,434
40180,Oak Park-Forest Park,03/22/2018,W,1869
40180,Oak Park-Forest Park,02/22/2018,W,1889
40180,Oak Park-Forest Park,01/31/2018,W,1876
40180,Oak Park-Forest Park,03/03/2018,A,571
40180,Oak Park-Forest Park,02/10/2018,A,457
40180,Oak Park-Forest Park,01/21/2018,U,376
40180,Oak Park-Forest Park,01/15/2018,W,875
40180,Oak Park-Forest Park,03/05/2018,W,1770
40180,Oak Park-Forest Park,01/25/2018,W,1935
40180,Oak Park-Forest Park,02/12/2018,W,1760
40180,Oak Park-Forest Park,01/07/2018,U,339
40180,Oak Park-Forest Park,03/25/2018,U,430
40180,Oak Park-Forest Park,01/28/2018,U,427
40180,Oak Park-Forest Park,02/08/2018,W,1795
40180,Oak Park-Forest Park,01/03/2018,W,1363
40180,Oak Park-Forest Park,02/26/2018,W,1867
40180,Oak Park-Forest Park,03/26/2018,W,1548
40180,Oak Park-Forest Park,03/09/2018,W,1732
40180,Oak Park-Forest Park,01/04/2018,W,1421
40180,Oak Park-Forest Park,03/19/2018,W,1824
40180,Oak Park-Forest Park,03/27/2018,W,1594
40180,Oak Park-Forest Park,03/11/2018,U,389
40180,Oak Park-Forest Park,03/01/2018,W,1830
40180,Oak Park-Forest Park,03/28/2018,W,1592
40180,Oak Park-Forest Park,02/17/2018,A,527
40180,Oak Park-Forest Park,01/19/2018,W,1777
40180,Oak Park-Forest Park,01/08/2018,W,1636
40180,Oak Park-Forest Park,01/05/2018,W,1353
40180,Oak Park-Forest Park,01/02/2018,W,1182
40180,Oak Park-Forest Park,03/04/2018,U,396
40180,Oak Park-Forest Park,02/19/2018,W,1214
40180,Oak Park-Forest Park,01/14/2018,U,371
40180,Oak Park-Forest Park,03/02/2018,W,1790
40180,Oak Park-Forest Park,01/29/2018,W,1828
40180,Oak Park-Forest Park,02/13/2018,W,1887
40180,Oak Park-Forest Park,01/27/2018,A,531
40180,Oak Park-Forest Park,02/02/2018,W,1645
40180,Oak Park-Forest Park,02/25/2018,U,382
40180,Oak Park-Forest Park,04/20/2018,W,1853
40180,Oak Park-Forest Park,06/24/2018,U,756
40180,Oak Park-Forest Park,06/25/2018,W,1881
40180,Oak Park-Forest Park,06/01/2018,W,1819
40180,Oak Park-Forest Park,05/05/2018,A,663
40180,Oak Park-Forest Park,06/13/2018,W,1947
40180,Oak Park-Forest Park,05/01/2018,W,2003
40180,Oak Park-Forest Park,05/25/2018,W,1726
40180,Oak Park-Forest Park,05/20/2018,U,375
40180,Oak Park-Forest Park,04/17/2018,W,1923
40180,Oak Park-Forest Park,04/09/2018,W,1802
40180,Oak Park-Forest Park,04/08/2018,U,413
40180,Oak Park-Forest Park,04/01/2018,U,298
40180,Oak Park-Forest Park,05/11/2018,W,1773
40180,Oak Park-Forest Park,06/06/2018,W,1935
40180,Oak Park-Forest Park,05/14/2018,W,1807
40180,Oak Park-Forest Park,04/30/2018,W,1974
40180,Oak Park-Forest Park,04/13/2018,W,1760
40180,Oak Park-Forest Park,06/04/2018,W,1894
40180,Oak Park-Forest Park,04/28/2018,A,602
40180,Oak Park-Forest Park,04/18/2018,W,1864
40180,Oak Park-Forest Park,06/08/2018,W,1749
40180,Oak Park-Forest Park,06/20/2018,W,1919
40180,Oak Park-Forest Park,05/27/2018,U,555
40180,Oak Park-Forest Park,04/04/2018,W,1832
40180,Oak Park-Forest Park,06/12/2018,W,1994
40180,Oak Park-Forest Park,06/27/2018,W,1918
40180,Oak Park-Forest Park,06/17/2018,U,437
40180,Oak Park-Forest Park,04/11/2018,W,1968
40180,Oak Park-Forest Park,06/21/2018,W,1752
40180,Oak Park-Forest Park,04/05/2018,W,1889
40180,Oak Park-Forest Park,04/26/2018,W,1981
40180,Oak Park-Forest Park,05/18/2018,W,1678
40180,Oak Park-Forest Park,05/28/2018,U,495
40180,Oak Park-Forest Park,06/15/2018,W,1737
40180,Oak Park-Forest Park,05/03/2018,W,1988
40180,Oak Park-Forest Park,04/15/2018,U,344
40180,Oak Park-Forest Park,05/24/2018,W,1944
40180,Oak Park-Forest Park,06/10/2018,U,493
40180,Oak Park-Forest Park,06/28/2018,W,1969
40180,Oak Park-Forest Park,05/10/2018,W,1912
40180,Oak Park-Forest Park,06/23/2018,A,657
