station_id,stationname,date,daytype,rides
41680,Oakton-Skokie,12/24/2017,U,235
41680,Oakton-Skokie,12/21/2017,W,857
41680,Oakton-Skokie,12/29/2017,W,599
41680,Oakton-Skokie,12/23/2017,A,422
41680,Oakton-Skokie,12/06/2017,W,977
41680,Oakton-Skokie,12/04/2017,W,1018
41680,Oakton-Skokie,12/28/2017,W,649
41680,Oakton-Skokie,12/19/2017,W,883
41680,Oakton-Skokie,12/08/2017,W,936
41680,Oakton-Skokie,12/02/2017,A,456
41680,Oakton-Skokie,12/20/2017,W,841
41680,Oakton-Skokie,12/07/2017,W,1007
41680,Oakton-Skokie,12/12/2017,W,911
41680,Oakton-Skokie,12/14/2017,W,894
41680,Oakton-Skokie,12/01/2017,W,995
41680,Oakton-Skokie,12/27/2017,W,567
41680,Oakton-Skokie,12/31/2017,U,214
41680,Oakton-Skokie,12/11/2017,W,987
41680,Oakton-Skokie,12/13/2017,W,908
41680,Oakton-Skokie,12/10/2017,U,259
41680,Oakton-Skokie,12/18/2017,W,859
41680,Oakton-Skokie,12/30/2017,A,258
41680,Oakton-Skokie,12/16/2017,A,448
41680,Oakton-Skokie,12/25/2017,U,110
41680,Oakton-Skokie,12/22/2017,W,921
41680,Oakton-Skokie,12/17/2017,U,279
41680,Oakton-Skokie,12/15/2017,W,935
41680,Oakton-Skokie,12/09/2017,A,365
41680,Oakton-Skokie,12/26/2017,W,418
41680,Oakton-Skokie,12/03/2017,U,308
41680,Oakton-Skokie,12/05/2017,W,1008
41680,Oakton-Skokie,01/19/2018,W,930
41680,Oakton-Skokie,03/02/2018,W,968
41680,Oakton-Skokie,01/29/2018,W,982
41680,Oakton-Skokie,03/10/2018,A,370
41680,Oakton-Skokie,02/16/2018,W,950
41680,Oakton-Skokie,02/28/2018,W,1002
41680,Oakton-Skokie,03/04/2018,U,275
41680,Oakton-Skokie,03/08/2018,W,1043
41680,Oakton-Skokie,02/05/2018,W,973
41680,Oakton-Skokie,03/05/2018,W,938
41680,Oakton-Skokie,03/01/2018,W,990
41680,Oakton-Skokie,03/03/2018,A,409
41680,Oakton-Skokie,03/19/2018,W,986
41680,Oakton-Skokie,02/02/2018,W,878
41680,Oakton-Skokie,02/21/2018,W,1025
41680,Oakton-Skokie,01/01/2018,U,123
41680,Oakton-Skokie,02/10/2018,A,339
41680,Oakton-Skokie,01/28/2018,U,242
41680,Oakton-Skokie,01/03/2018,W,747
41680,Oakton-Skokie,03/26/2018,W,903
41680,Oakton-Skokie,03/18/2018,U,309
41680,Oakton-Skokie,02/24/2018,A,390
41680,Oakton-Skokie,03/16/2018,W,950
41680,Oakton-Skokie,03/07/2018,W,1030
41680,Oakton-Skokie,01/09/2018,W,882
41680,Oakton-Skokie,03/21/2018,W,965
41680,Oakton-Skokie,03/27/2018,W,933
41680,Oakton-Skokie,03/14/2018,W,975
41680,Oakton-Skokie,01/30/2018,W,1002
41680,Oakton-Skokie,02/25/2018,U,252
41680,Oakton-Skokie,03/30/2018,W,748
41680,Oakton-Skokie,03/28/2018,W,965
41680,Oakton-Skokie,03/15/2018,W,1015
41680,Oakton-Skokie,01/21/2018,U,227
41680,Oakton-Skokie,02/13/2018,W,1075
41680,Oakton-Skokie,01/23/2018,W,1050
41680,Oakton-Skokie,03/06/2018,W,972
41680,Oakton-Skokie,03/24/2018,A,389
41680,Oakton-Skokie,01/12/2018,W,807
41680,Oakton-Skokie,01/08/2018,W,818
41680,Oakton-Skokie,01/06/2018,A,264
41680,Oakton-Skokie,01/02/2018,W,651
41680,Oakton-Skokie,01/24/2018,W,1000
41680,Oakton-Skokie,01/07/2018,U,213
41680,Oakton-Skokie,03/29/2018,W,947
41680,Oakton-Skokie,03/09/2018,W,933
41680,Oakton-Skokie,03/20/2018,W,927
41680,Oakton-Skokie,03/25/2018,U,269
41680,Oakton-Skokie,02/20/2018,W,1001
41680,Oakton-Skokie,01/22/2018,W,987
41680,Oakton-Skokie,01/15/2018,W,577
41680,Oakton-Skokie,03/11/2018,U,232
41680,Oakton-Skokie,01/31/2018,W,974
41680,Oakton-Skokie,01/04/2018,W,701
41680,Oakton-Skokie,02/27/2018,W,1085
41680,Oakton-Skokie,01/10/2018,W,899
41680,Oakton-Skokie,01/25/2018,W,1005
41680,Oakton-Skokie,02/14/2018,W,1041
41680,Oakton-Skokie,01/13/2018,A,314
41680,Oakton-Skokie,01/17/2018,W,982
41680,Oakton-Skokie,01/11/2018,W,930
41680,Oakton-Skokie,02/04/2018,U,210
41680,Oakton-Skokie,03/12/2018,W,968
41680,Oakton-Skokie,02/22/2018,W,1044
41680,Oakton-Skokie,02/06/2018,W,1047
41680,Oakton-Skokie,03/13/2018,W,954
41680,Oakton-Skokie,01/14/2018,U,223
41680,Oakton-Skokie,02/26/2018,W,993
41680,Oakton-Skokie,03/31/2018,A,347
41680,Oakton-Skokie,02/18/2018,U,275
41680,Oakton-Skokie,01/27/2018,A,376
41680,Oakton-Skokie,02/23/2018,W,908
41680,Oakton-Skokie,03/22/2018,W,975
41680,Oakton-Skokie,02/11/2018,U,230
41680,Oakton-Skokie,02/08/2018,W,1033
41680,Oakton-Skokie,01/16/2018,W,1003
41680,Oakton-Skokie,02/12/2018,W,982
41680,Oakton-Skokie,02/17/2018,A,373
41680,Oakton-Skokie,01/18/2018,W,1005
41680,Oakton-Skokie,02/03/2018,A,360
41680,Oakton-Skokie,02/15/2018,W,1021
41680,Oakton-Skokie,03/17/2018,A,825
41680,Oakton-Skokie,02/19/2018,W,772
41680,Oakton-Skokie,02/01/2018,W,986
41680,Oakton-Skokie,01/20/2018,A,438
41680,Oakton-Skokie,03/23/2018,W,909
41680,Oakton-Skokie,01/05/2018,W,689
41680,Oakton-Skokie,01/26/2018,W,971
41680,Oakton-Skokie,02/07/2018,W,1024
41680,Oakton-Skokie,02/09/2018,W,638
41680,Oakton-Skokie,05/23/2018,W,996
41680,Oakton-Skokie,04/24/2018,W,1025
41680,Oakton-Skokie,04/22/2018,U,292
41680,Oakton-Skokie,04/02/2018,W,979
41680,Oakton-Skokie,06/27/2018,W,1020
41680,Oakton-Skokie,04/12/2018,W,1061
41680,Oakton-Skokie,05/22/2018,W,958
41680,Oakton-Skokie,04/03/2018,W,986
41680,Oakton-Skokie,06/30/2018,A,475
41680,Oakton-Skokie,04/25/2018,W,1002
41680,Oakton-Skokie,04/18/2018,W,981
41680,Oakton-Skokie,06/19/2018,W,988
41680,Oakton-Skokie,05/29/2018,W,918
41680,Oakton-Skokie,05/01/2018,W,1054
41680,Oakton-Skokie,05/30/2018,W,840
41680,Oakton-Skokie,06/08/2018,W,932
41680,Oakton-Skokie,05/08/2018,W,1017
41680,Oakton-Skokie,05/04/2018,W,925
41680,Oakton-Skokie,06/12/2018,W,972
41680,Oakton-Skokie,05/07/2018,W,947
41680,Oakton-Skokie,05/26/2018,A,464
41680,Oakton-Skokie,06/07/2018,W,983
41680,Oakton-Skokie,06/10/2018,U,328
41680,Oakton-Skokie,06/20/2018,W,1081
41680,Oakton-Skokie,04/20/2018,W,928
41680,Oakton-Skokie,05/28/2018,U,345
41680,Oakton-Skokie,05/02/2018,W,980
41680,Oakton-Skokie,06/13/2018,W,961
41680,Oakton-Skokie,05/21/2018,W,824
41680,Oakton-Skokie,04/17/2018,W,1010
41680,Oakton-Skokie,04/06/2018,W,905
41680,Oakton-Skokie,04/11/2018,W,1079
41680,Oakton-Skokie,06/02/2018,A,447
41680,Oakton-Skokie,05/10/2018,W,973
41680,Oakton-Skokie,06/06/2018,W,1027
41680,Oakton-Skokie,05/06/2018,U,269
41680,Oakton-Skokie,06/23/2018,A,444
41680,Oakton-Skokie,06/25/2018,W,870
41680,Oakton-Skokie,05/03/2018,W,991
41680,Oakton-Skokie,04/27/2018,W,931
41680,Oakton-Skokie,06/03/2018,U,318
41680,Oakton-Skokie,06/26/2018,W,892
41680,Oakton-Skokie,04/10/2018,W,1084
41680,Oakton-Skokie,06/01/2018,W,912
41680,Oakton-Skokie,06/05/2018,W,1057
41680,Oakton-Skokie,05/27/2018,U,299
41680,Oakton-Skokie,04/05/2018,W,1025
41680,Oakton-Skokie,04/30/2018,W,1030
41680,Oakton-Skokie,05/25/2018,W,946
41680,Oakton-Skokie,06/14/2018,W,944
41680,Oakton-Skokie,05/16/2018,W,952
41680,Oakton-Skokie,06/24/2018,U,481
41680,Oakton-Skokie,05/15/2018,W,929
41680,Oakton-Skokie,04/28/2018,A,380
41680,Oakton-Skokie,06/17/2018,U,271
41680,Oakton-Skokie,04/21/2018,A,384
41680,Oakton-Skokie,04/07/2018,A,393
41680,Oakton-Skokie,04/01/2018,U,240
41680,Oakton-Skokie,05/20/2018,U,277
41680,Oakton-Skokie,04/13/2018,W,926
41680,Oakton-Skokie,04/09/2018,W,964
41680,Oakton-Skokie,04/26/2018,W,1075
41680,Oakton-Skokie,06/28/2018,W,1017
41680,Oakton-Skokie,06/09/2018,A,447
41680,Oakton-Skokie,04/29/2018,U,334
41680,Oakton-Skokie,06/29/2018,W,936
41680,Oakton-Skokie,06/15/2018,W,875
41680,Oakton-Skokie,05/31/2018,W,981
41680,Oakton-Skokie,04/14/2018,A,343
41680,Oakton-Skokie,04/04/2018,W,1002
41680,Oakton-Skokie,04/23/2018,W,1021
41680,Oakton-Skokie,05/11/2018,W,936
41680,Oakton-Skokie,06/11/2018,W,899
41680,Oakton-Skokie,06/16/2018,A,384
41680,Oakton-Skokie,05/13/2018,U,307
41680,Oakton-Skokie,06/21/2018,W,860
41680,Oakton-Skokie,05/05/2018,A,436
41680,Oakton-Skokie,05/24/2018,W,935
41680,Oakton-Skokie,05/14/2018,W,877
41680,Oakton-Skokie,05/09/2018,W,1029
41680,Oakton-Skokie,06/18/2018,W,938
41680,Oakton-Skokie,06/04/2018,W,955
41680,Oakton-Skokie,04/15/2018,U,236
41680,Oakton-Skokie,04/08/2018,U,258
41680,Oakton-Skokie,06/22/2018,W,672
41680,Oakton-Skokie,05/17/2018,W,947
41680,Oakton-Skokie,05/19/2018,A,435
41680,Oakton-Skokie,04/19/2018,W,1013
41680,Oakton-Skokie,04/16/2018,W,902
41680,Oakton-Skokie,05/12/2018,A,372
41680,Oakton-Skokie,05/18/2018,W,889
41680,Oakton-Skokie,07/01/2018,U,359
41680,Oakton-Skokie,07/02/2018,W,935
41680,Oakton-Skokie,07/03/2018,W,945
41680,Oakton-Skokie,07/04/2018,U,409
