station_id,stationname,date,daytype,rides
41310,Paulina,12/10/2017,U,1001
41310,Paulina,12/13/2017,W,2805
41310,Paulina,12/08/2017,W,2858
41310,Paulina,12/21/2017,W,2616
41310,Paulina,12/24/2017,U,513
41310,Paulina,12/31/2017,U,800
41310,Paulina,12/28/2017,W,1583
41310,Paulina,12/20/2017,W,2760
41310,Paulina,12/12/2017,W,2825
41310,Paulina,12/02/2017,A,1897
41310,Paulina,12/06/2017,W,2842
41310,Paulina,12/23/2017,A,1066
41310,Paulina,12/25/2017,U,205
41310,Paulina,12/29/2017,W,1649
41310,Paulina,12/18/2017,W,2677
41310,Paulina,12/09/2017,A,1622
41310,Paulina,12/27/2017,W,1364
41310,Paulina,12/15/2017,W,2724
41310,Paulina,12/03/2017,U,1085
41310,Paulina,12/17/2017,U,997
41310,Paulina,12/26/2017,W,904
41310,Paulina,12/07/2017,W,2805
41310,Paulina,12/30/2017,A,945
41310,Paulina,12/01/2017,W,3031
41310,Paulina,12/11/2017,W,2755
41310,Paulina,12/14/2017,W,2781
41310,Paulina,12/05/2017,W,2875
41310,Paulina,12/22/2017,W,2083
41310,Paulina,12/16/2017,A,1624
41310,Paulina,12/19/2017,W,2863
41310,Paulina,12/04/2017,W,2871
41310,Paulina,03/22/2018,W,2785
41310,Paulina,01/20/2018,A,1855
41310,Paulina,01/22/2018,W,2662
41310,Paulina,02/23/2018,W,2824
41310,Paulina,01/26/2018,W,2745
41310,Paulina,02/19/2018,W,1970
41310,Paulina,03/27/2018,W,2697
41310,Paulina,01/25/2018,W,2899
41310,Paulina,03/11/2018,U,979
41310,Paulina,03/25/2018,U,989
41310,Paulina,03/07/2018,W,2904
41310,Paulina,02/06/2018,W,2796
41310,Paulina,01/15/2018,W,1792
41310,Paulina,03/06/2018,W,2871
41310,Paulina,02/18/2018,U,1035
41310,Paulina,01/03/2018,W,2471
41310,Paulina,03/19/2018,W,2738
41310,Paulina,01/06/2018,A,1192
41310,Paulina,03/31/2018,A,1230
41310,Paulina,01/17/2018,W,2839
41310,Paulina,01/05/2018,W,2290
41310,Paulina,01/01/2018,U,595
41310,Paulina,03/14/2018,W,2960
41310,Paulina,03/20/2018,W,2792
41310,Paulina,01/31/2018,W,2913
41310,Paulina,02/09/2018,W,2016
41310,Paulina,01/14/2018,U,840
41310,Paulina,02/07/2018,W,2837
41310,Paulina,03/02/2018,W,2816
41310,Paulina,02/11/2018,U,1017
41310,Paulina,01/08/2018,W,2622
41310,Paulina,02/04/2018,U,880
41310,Paulina,02/05/2018,W,2564
41310,Paulina,02/21/2018,W,2904
41310,Paulina,03/01/2018,W,2801
41310,Paulina,02/20/2018,W,2710
41310,Paulina,03/23/2018,W,2606
41310,Paulina,01/13/2018,A,1222
41310,Paulina,02/22/2018,W,2991
41310,Paulina,02/08/2018,W,2805
41310,Paulina,03/08/2018,W,2894
41310,Paulina,03/17/2018,A,2510
41310,Paulina,03/12/2018,W,2712
41310,Paulina,01/12/2018,W,2617
41310,Paulina,03/29/2018,W,2658
41310,Paulina,03/15/2018,W,2923
41310,Paulina,03/28/2018,W,2721
41310,Paulina,02/12/2018,W,2850
41310,Paulina,02/01/2018,W,2724
41310,Paulina,01/04/2018,W,2448
41310,Paulina,01/21/2018,U,918
41310,Paulina,02/16/2018,W,2731
41310,Paulina,02/10/2018,A,1578
41310,Paulina,03/24/2018,A,1363
41310,Paulina,01/30/2018,W,2792
41310,Paulina,01/28/2018,U,926
41310,Paulina,03/05/2018,W,2700
41310,Paulina,03/16/2018,W,2801
41310,Paulina,03/26/2018,W,2625
41310,Paulina,02/27/2018,W,2942
41310,Paulina,02/15/2018,W,2979
41310,Paulina,02/28/2018,W,2901
41310,Paulina,02/13/2018,W,3101
41310,Paulina,01/19/2018,W,2806
41310,Paulina,02/17/2018,A,1425
41310,Paulina,03/13/2018,W,2911
41310,Paulina,01/16/2018,W,2841
41310,Paulina,03/21/2018,W,2809
41310,Paulina,02/26/2018,W,2739
41310,Paulina,01/09/2018,W,2780
41310,Paulina,02/25/2018,U,1022
41310,Paulina,01/11/2018,W,2826
41310,Paulina,01/02/2018,W,1987
41310,Paulina,01/18/2018,W,2812
41310,Paulina,02/14/2018,W,2983
41310,Paulina,01/23/2018,W,2862
41310,Paulina,03/30/2018,W,2254
41310,Paulina,01/24/2018,W,2920
41310,Paulina,03/04/2018,U,1041
41310,Paulina,02/24/2018,A,1451
41310,Paulina,01/27/2018,A,1506
41310,Paulina,02/02/2018,W,2422
41310,Paulina,01/07/2018,U,793
41310,Paulina,03/10/2018,A,1610
41310,Paulina,03/18/2018,U,1048
41310,Paulina,03/03/2018,A,1544
41310,Paulina,03/09/2018,W,2707
41310,Paulina,01/10/2018,W,2875
41310,Paulina,02/03/2018,A,1354
41310,Paulina,01/29/2018,W,2670
41310,Paulina,06/30/2018,A,1552
41310,Paulina,05/01/2018,W,2905
41310,Paulina,04/29/2018,U,1009
41310,Paulina,05/16/2018,W,2993
41310,Paulina,06/08/2018,W,2908
41310,Paulina,06/12/2018,W,3018
41310,Paulina,04/28/2018,A,1544
41310,Paulina,05/06/2018,U,1001
41310,Paulina,04/12/2018,W,2905
41310,Paulina,06/06/2018,W,3100
41310,Paulina,05/21/2018,W,2466
41310,Paulina,05/11/2018,W,2829
41310,Paulina,05/27/2018,U,1183
41310,Paulina,06/22/2018,W,2633
41310,Paulina,05/02/2018,W,2868
41310,Paulina,06/04/2018,W,2938
41310,Paulina,06/13/2018,W,3085
41310,Paulina,06/19/2018,W,2975
41310,Paulina,05/04/2018,W,2708
41310,Paulina,04/04/2018,W,2883
41310,Paulina,06/25/2018,W,2814
41310,Paulina,05/26/2018,A,1543
41310,Paulina,06/23/2018,A,1769
41310,Paulina,05/25/2018,W,2499
41310,Paulina,06/10/2018,U,1061
41310,Paulina,05/24/2018,W,2989
41310,Paulina,06/14/2018,W,3028
41310,Paulina,05/03/2018,W,2876
41310,Paulina,05/12/2018,A,1305
41310,Paulina,05/17/2018,W,3013
41310,Paulina,05/31/2018,W,2957
41310,Paulina,06/16/2018,A,1560
41310,Paulina,04/24/2018,W,2939
41310,Paulina,04/01/2018,U,667
41310,Paulina,05/29/2018,W,2895
41310,Paulina,04/19/2018,W,2829
41310,Paulina,06/07/2018,W,3097
41310,Paulina,04/18/2018,W,2748
41310,Paulina,05/09/2018,W,2882
41310,Paulina,04/13/2018,W,2599
41310,Paulina,04/17/2018,W,2826
41310,Paulina,05/20/2018,U,944
