station_id,stationname,date,daytype,rides
40150,Pulaski-Cermak,12/16/2017,A,715
40150,Pulaski-Cermak,12/13/2017,W,1102
40150,Pulaski-Cermak,12/23/2017,A,639
40150,Pulaski-Cermak,12/10/2017,U,507
40150,Pulaski-Cermak,12/07/2017,W,1133
40150,Pulaski-Cermak,12/06/2017,W,1192
40150,Pulaski-Cermak,12/30/2017,A,498
40150,Pulaski-Cermak,12/31/2017,U,451
40150,Pulaski-Cermak,12/22/2017,W,989
40150,Pulaski-Cermak,12/29/2017,W,833
40150,Pulaski-Cermak,12/28/2017,W,765
40150,Pulaski-Cermak,12/26/2017,W,576
40150,Pulaski-Cermak,12/04/2017,W,1150
40150,Pulaski-Cermak,12/01/2017,W,1211
40150,Pulaski-Cermak,12/11/2017,W,1087
40150,Pulaski-Cermak,12/14/2017,W,1130
40150,Pulaski-Cermak,12/20/2017,W,1044
40150,Pulaski-Cermak,12/08/2017,W,1072
40150,Pulaski-Cermak,12/27/2017,W,700
40150,Pulaski-Cermak,12/05/2017,W,1102
40150,Pulaski-Cermak,12/17/2017,U,494
40150,Pulaski-Cermak,12/02/2017,A,758
40150,Pulaski-Cermak,12/09/2017,A,662
40150,Pulaski-Cermak,12/18/2017,W,1034
40150,Pulaski-Cermak,12/12/2017,W,1086
40150,Pulaski-Cermak,12/24/2017,U,433
40150,Pulaski-Cermak,12/21/2017,W,1066
40150,Pulaski-Cermak,12/15/2017,W,1060
40150,Pulaski-Cermak,12/03/2017,U,603
40150,Pulaski-Cermak,12/19/2017,W,1063
40150,Pulaski-Cermak,12/25/2017,U,324
40150,Pulaski-Cermak,02/07/2018,W,1052
40150,Pulaski-Cermak,03/23/2018,W,994
40150,Pulaski-Cermak,01/12/2018,W,902
40150,Pulaski-Cermak,01/01/2018,U,368
40150,Pulaski-Cermak,02/16/2018,W,965
40150,Pulaski-Cermak,03/30/2018,W,876
40150,Pulaski-Cermak,03/19/2018,W,984
40150,Pulaski-Cermak,02/01/2018,W,1050
40150,Pulaski-Cermak,01/11/2018,W,1025
40150,Pulaski-Cermak,01/29/2018,W,1016
40150,Pulaski-Cermak,03/22/2018,W,1017
40150,Pulaski-Cermak,01/26/2018,W,1016
40150,Pulaski-Cermak,03/24/2018,A,625
40150,Pulaski-Cermak,02/19/2018,W,777
40150,Pulaski-Cermak,01/09/2018,W,974
40150,Pulaski-Cermak,01/04/2018,W,824
40150,Pulaski-Cermak,01/10/2018,W,1034
40150,Pulaski-Cermak,01/25/2018,W,1062
40150,Pulaski-Cermak,03/09/2018,W,993
40150,Pulaski-Cermak,02/18/2018,U,461
40150,Pulaski-Cermak,01/30/2018,W,1043
40150,Pulaski-Cermak,02/12/2018,W,989
40150,Pulaski-Cermak,01/27/2018,A,661
40150,Pulaski-Cermak,03/18/2018,U,498
40150,Pulaski-Cermak,03/11/2018,U,432
40150,Pulaski-Cermak,02/15/2018,W,1069
40150,Pulaski-Cermak,03/07/2018,W,1048
40150,Pulaski-Cermak,02/28/2018,W,1086
40150,Pulaski-Cermak,01/20/2018,A,607
40150,Pulaski-Cermak,02/27/2018,W,1100
40150,Pulaski-Cermak,01/24/2018,W,1040
40150,Pulaski-Cermak,03/26/2018,W,903
40150,Pulaski-Cermak,03/16/2018,W,980
40150,Pulaski-Cermak,03/21/2018,W,981
40150,Pulaski-Cermak,02/05/2018,W,953
40150,Pulaski-Cermak,03/28/2018,W,965
40150,Pulaski-Cermak,01/08/2018,W,948
