station_id,stationname,date,daytype,rides
40030,Pulaski-Lake,12/24/2017,U,595
40030,Pulaski-Lake,12/27/2017,W,860
40030,Pulaski-Lake,12/11/2017,W,1280
40030,Pulaski-Lake,12/26/2017,W,789
40030,Pulaski-Lake,12/08/2017,W,1398
40030,Pulaski-Lake,12/25/2017,U,486
40030,Pulaski-Lake,12/28/2017,W,914
40030,Pulaski-Lake,12/21/2017,W,1295
40030,Pulaski-Lake,12/14/2017,W,1281
40030,Pulaski-Lake,12/19/2017,W,1263
40030,Pulaski-Lake,12/03/2017,U,752
40030,Pulaski-Lake,12/05/2017,W,1348
40030,Pulaski-Lake,12/06/2017,W,1477
40030,Pulaski-Lake,12/13/2017,W,1368
40030,Pulaski-Lake,12/09/2017,A,819
40030,Pulaski-Lake,12/17/2017,U,683
40030,Pulaski-Lake,12/15/2017,W,1347
40030,Pulaski-Lake,12/30/2017,A,673
40030,Pulaski-Lake,12/16/2017,A,968
40030,Pulaski-Lake,12/23/2017,A,845
40030,Pulaski-Lake,12/04/2017,W,1384
40030,Pulaski-Lake,12/10/2017,U,663
40030,Pulaski-Lake,12/18/2017,W,1292
40030,Pulaski-Lake,12/12/2017,W,1244
40030,Pulaski-Lake,12/01/2017,W,1560
40030,Pulaski-Lake,12/02/2017,A,988
40030,Pulaski-Lake,12/22/2017,W,1319
40030,Pulaski-Lake,12/07/2017,W,1315
40030,Pulaski-Lake,12/29/2017,W,998
40030,Pulaski-Lake,12/20/2017,W,1378
40030,Pulaski-Lake,12/31/2017,U,525
40030,Pulaski-Lake,02/28/2018,W,1344
40030,Pulaski-Lake,01/28/2018,U,684
40030,Pulaski-Lake,03/09/2018,W,1337
40030,Pulaski-Lake,03/05/2018,W,1257
40030,Pulaski-Lake,01/05/2018,W,1014
40030,Pulaski-Lake,01/09/2018,W,1300
40030,Pulaski-Lake,03/21/2018,W,1298
40030,Pulaski-Lake,02/17/2018,A,846
40030,Pulaski-Lake,02/20/2018,W,1254
40030,Pulaski-Lake,03/20/2018,W,1236
40030,Pulaski-Lake,03/04/2018,U,675
40030,Pulaski-Lake,01/24/2018,W,1337
40030,Pulaski-Lake,02/01/2018,W,1331
40030,Pulaski-Lake,01/12/2018,W,1214
40030,Pulaski-Lake,01/17/2018,W,1249
40030,Pulaski-Lake,01/03/2018,W,992
40030,Pulaski-Lake,02/15/2018,W,1430
40030,Pulaski-Lake,03/16/2018,W,1369
40030,Pulaski-Lake,03/25/2018,U,635
40030,Pulaski-Lake,02/06/2018,W,1286
40030,Pulaski-Lake,02/05/2018,W,1133
40030,Pulaski-Lake,03/03/2018,A,859
40030,Pulaski-Lake,03/31/2018,A,829
40030,Pulaski-Lake,03/17/2018,A,954
40030,Pulaski-Lake,01/25/2018,W,1359
40030,Pulaski-Lake,03/12/2018,W,1269
40030,Pulaski-Lake,01/01/2018,U,414
40030,Pulaski-Lake,01/13/2018,A,720
40030,Pulaski-Lake,01/16/2018,W,1241
40030,Pulaski-Lake,02/12/2018,W,1180
40030,Pulaski-Lake,02/27/2018,W,1430
40030,Pulaski-Lake,03/23/2018,W,1367
40030,Pulaski-Lake,03/26/2018,W,1181
40030,Pulaski-Lake,01/06/2018,A,715
40030,Pulaski-Lake,03/01/2018,W,1293
40030,Pulaski-Lake,02/19/2018,W,1014
40030,Pulaski-Lake,03/13/2018,W,1263
40030,Pulaski-Lake,03/02/2018,W,1426
