station_id,stationname,date,daytype,rides
40040,Quincy/Wells,12/03/2017,U,1142
40040,Quincy/Wells,12/19/2017,W,8056
40040,Quincy/Wells,12/28/2017,W,5122
40040,Quincy/Wells,12/07/2017,W,8099
40040,Quincy/Wells,12/13/2017,W,8000
40040,Quincy/Wells,12/06/2017,W,8346
40040,Quincy/Wells,12/27/2017,W,4917
40040,Quincy/Wells,12/24/2017,U,578
40040,Quincy/Wells,12/15/2017,W,6924
40040,Quincy/Wells,12/05/2017,W,8513
40040,Quincy/Wells,12/14/2017,W,7892
40040,Quincy/Wells,12/25/2017,U,658
40040,Quincy/Wells,12/20/2017,W,7734
40040,Quincy/Wells,12/01/2017,W,7666
40040,Quincy/Wells,12/21/2017,W,6974
40040,Quincy/Wells,12/26/2017,W,3326
40040,Quincy/Wells,12/23/2017,A,1028
40040,Quincy/Wells,12/11/2017,W,8324
40040,Quincy/Wells,12/18/2017,W,7866
40040,Quincy/Wells,12/04/2017,W,8357
40040,Quincy/Wells,12/22/2017,W,4538
40040,Quincy/Wells,12/08/2017,W,7291
40040,Quincy/Wells,12/02/2017,A,1322
40040,Quincy/Wells,12/09/2017,A,1263
40040,Quincy/Wells,12/17/2017,U,974
40040,Quincy/Wells,12/31/2017,U,1082
40040,Quincy/Wells,12/16/2017,A,1219
40040,Quincy/Wells,12/29/2017,W,4404
40040,Quincy/Wells,12/12/2017,W,8381
40040,Quincy/Wells,12/30/2017,A,1377
40040,Quincy/Wells,12/10/2017,U,920
40040,Quincy/Wells,03/04/2018,U,1084
40040,Quincy/Wells,02/23/2018,W,7327
40040,Quincy/Wells,01/01/2018,U,873
40040,Quincy/Wells,03/01/2018,W,7678
40040,Quincy/Wells,01/09/2018,W,8331
40040,Quincy/Wells,02/09/2018,W,4694
40040,Quincy/Wells,01/04/2018,W,8106
40040,Quincy/Wells,01/30/2018,W,8168
40040,Quincy/Wells,03/29/2018,W,7682
40040,Quincy/Wells,02/16/2018,W,7263
40040,Quincy/Wells,02/14/2018,W,8201
40040,Quincy/Wells,02/02/2018,W,7169
40040,Quincy/Wells,02/18/2018,U,1331
40040,Quincy/Wells,02/11/2018,U,976
40040,Quincy/Wells,01/25/2018,W,8154
40040,Quincy/Wells,02/06/2018,W,7942
40040,Quincy/Wells,02/25/2018,U,1071
40040,Quincy/Wells,03/02/2018,W,7144
40040,Quincy/Wells,01/02/2018,W,7196
40040,Quincy/Wells,03/28/2018,W,8132
40040,Quincy/Wells,01/03/2018,W,7864
40040,Quincy/Wells,03/30/2018,W,5980
40040,Quincy/Wells,03/17/2018,A,2174
40040,Quincy/Wells,02/22/2018,W,8030
40040,Quincy/Wells,03/18/2018,U,1317
40040,Quincy/Wells,03/19/2018,W,8377
40040,Quincy/Wells,01/31/2018,W,7870
40040,Quincy/Wells,03/24/2018,A,1458
40040,Quincy/Wells,03/31/2018,A,1367
40040,Quincy/Wells,03/14/2018,W,8122
40040,Quincy/Wells,01/24/2018,W,8219
40040,Quincy/Wells,01/28/2018,U,995
40040,Quincy/Wells,03/27/2018,W,8065
40040,Quincy/Wells,02/20/2018,W,7997
40040,Quincy/Wells,03/16/2018,W,7842
40040,Quincy/Wells,01/06/2018,A,1011
40040,Quincy/Wells,03/25/2018,U,1298
40040,Quincy/Wells,01/23/2018,W,8245
40040,Quincy/Wells,01/10/2018,W,8170
40040,Quincy/Wells,03/06/2018,W,8120
40040,Quincy/Wells,02/04/2018,U,846
40040,Quincy/Wells,01/11/2018,W,8166
40040,Quincy/Wells,01/22/2018,W,7945
40040,Quincy/Wells,02/26/2018,W,8067
40040,Quincy/Wells,02/19/2018,W,4706
40040,Quincy/Wells,01/08/2018,W,8267
40040,Quincy/Wells,01/26/2018,W,7378
40040,Quincy/Wells,03/08/2018,W,8072
40040,Quincy/Wells,03/22/2018,W,8014
40040,Quincy/Wells,02/28/2018,W,8105
40040,Quincy/Wells,01/07/2018,U,804
40040,Quincy/Wells,02/10/2018,A,1140
40040,Quincy/Wells,03/26/2018,W,8235
40040,Quincy/Wells,03/11/2018,U,1201
40040,Quincy/Wells,03/20/2018,W,8328
40040,Quincy/Wells,03/09/2018,W,7371
40040,Quincy/Wells,01/12/2018,W,7472
40040,Quincy/Wells,01/21/2018,U,878
40040,Quincy/Wells,03/12/2018,W,8190
40040,Quincy/Wells,01/16/2018,W,8329
40040,Quincy/Wells,02/27/2018,W,8108
40040,Quincy/Wells,01/17/2018,W,8245
40040,Quincy/Wells,02/24/2018,A,1292
40040,Quincy/Wells,02/03/2018,A,1114
40040,Quincy/Wells,01/18/2018,W,7783
40040,Quincy/Wells,02/07/2018,W,8086
40040,Quincy/Wells,02/05/2018,W,8324
40040,Quincy/Wells,02/08/2018,W,8378
40040,Quincy/Wells,02/12/2018,W,8295
40040,Quincy/Wells,01/20/2018,A,1792
40040,Quincy/Wells,02/21/2018,W,8148
40040,Quincy/Wells,03/05/2018,W,8233
40040,Quincy/Wells,03/15/2018,W,8177
40040,Quincy/Wells,03/03/2018,A,1361
40040,Quincy/Wells,01/15/2018,W,3922
40040,Quincy/Wells,02/13/2018,W,8362
40040,Quincy/Wells,01/19/2018,W,7433
40040,Quincy/Wells,03/13/2018,W,8304
40040,Quincy/Wells,03/07/2018,W,8143
40040,Quincy/Wells,02/17/2018,A,1172
40040,Quincy/Wells,01/13/2018,A,1323
40040,Quincy/Wells,03/23/2018,W,7324
40040,Quincy/Wells,01/05/2018,W,7328
40040,Quincy/Wells,03/10/2018,A,1430
40040,Quincy/Wells,02/01/2018,W,7913
40040,Quincy/Wells,02/15/2018,W,7833
40040,Quincy/Wells,01/14/2018,U,1062
40040,Quincy/Wells,03/21/2018,W,8130
40040,Quincy/Wells,01/29/2018,W,8195
40040,Quincy/Wells,01/27/2018,A,1214
40040,Quincy/Wells,04/05/2018,W,8273
40040,Quincy/Wells,06/01/2018,W,7692
40040,Quincy/Wells,04/18/2018,W,8409
40040,Quincy/Wells,05/01/2018,W,8017
40040,Quincy/Wells,06/24/2018,U,2270
40040,Quincy/Wells,04/25/2018,W,8062
40040,Quincy/Wells,05/26/2018,A,1721
40040,Quincy/Wells,06/03/2018,U,1345
40040,Quincy/Wells,05/04/2018,W,6905
40040,Quincy/Wells,04/22/2018,U,1130
40040,Quincy/Wells,06/06/2018,W,8721
40040,Quincy/Wells,04/06/2018,W,7527
40040,Quincy/Wells,05/27/2018,U,1710
40040,Quincy/Wells,06/25/2018,W,8242
40040,Quincy/Wells,04/23/2018,W,7856
40040,Quincy/Wells,06/21/2018,W,8300
