station_id,stationname,date,daytype,rides
40610,Ridgeland,12/25/2017,U,134
40610,Ridgeland,12/28/2017,W,789
40610,Ridgeland,12/22/2017,W,1117
40610,Ridgeland,12/21/2017,W,1310
40610,Ridgeland,12/24/2017,U,285
40610,Ridgeland,12/16/2017,A,590
40610,Ridgeland,12/06/2017,W,1424
40610,Ridgeland,12/05/2017,W,1408
40610,Ridgeland,12/26/2017,W,491
40610,Ridgeland,12/15/2017,W,1341
40610,Ridgeland,12/07/2017,W,1466
40610,Ridgeland,12/27/2017,W,774
40610,Ridgeland,12/29/2017,W,767
40610,Ridgeland,12/10/2017,U,350
40610,Ridgeland,12/03/2017,U,400
40610,Ridgeland,12/04/2017,W,1458
40610,Ridgeland,12/20/2017,W,1429
40610,Ridgeland,12/14/2017,W,1417
40610,Ridgeland,12/01/2017,W,1432
40610,Ridgeland,12/18/2017,W,1349
40610,Ridgeland,12/17/2017,U,360
40610,Ridgeland,12/08/2017,W,1434
40610,Ridgeland,12/19/2017,W,1426
40610,Ridgeland,12/12/2017,W,1425
40610,Ridgeland,12/09/2017,A,482
40610,Ridgeland,12/13/2017,W,1427
40610,Ridgeland,12/30/2017,A,287
40610,Ridgeland,12/23/2017,A,534
40610,Ridgeland,12/31/2017,U,324
40610,Ridgeland,12/11/2017,W,1396
40610,Ridgeland,12/02/2017,A,569
40610,Ridgeland,03/29/2018,W,1153
40610,Ridgeland,01/19/2018,W,1327
40610,Ridgeland,02/01/2018,W,1399
40610,Ridgeland,03/24/2018,A,924
40610,Ridgeland,02/19/2018,W,868
40610,Ridgeland,03/26/2018,W,1160
40610,Ridgeland,01/15/2018,W,735
40610,Ridgeland,03/25/2018,U,334
40610,Ridgeland,01/21/2018,U,234
40610,Ridgeland,03/10/2018,A,505
40610,Ridgeland,03/22/2018,W,1419
40610,Ridgeland,01/07/2018,U,213
40610,Ridgeland,01/01/2018,U,144
40610,Ridgeland,03/20/2018,W,1352
40610,Ridgeland,02/25/2018,U,313
40610,Ridgeland,02/21/2018,W,1434
40610,Ridgeland,03/18/2018,U,335
40610,Ridgeland,01/08/2018,W,1342
40610,Ridgeland,01/25/2018,W,1412
