station_id,stationname,date,daytype,rides
41400,Roosevelt,12/31/2017,U,4775
41400,Roosevelt,12/27/2017,W,6404
41400,Roosevelt,12/14/2017,W,10434
41400,Roosevelt,12/09/2017,A,7331
41400,Roosevelt,12/18/2017,W,9385
41400,Roosevelt,12/02/2017,A,8747
41400,Roosevelt,12/08/2017,W,11275
41400,Roosevelt,12/28/2017,W,7382
41400,Roosevelt,12/06/2017,W,10861
41400,Roosevelt,12/15/2017,W,10670
41400,Roosevelt,12/16/2017,A,8071
41400,Roosevelt,12/10/2017,U,5770
41400,Roosevelt,12/05/2017,W,10721
41400,Roosevelt,12/17/2017,U,5627
41400,Roosevelt,12/01/2017,W,11844
41400,Roosevelt,12/24/2017,U,7317
41400,Roosevelt,12/21/2017,W,9766
41400,Roosevelt,12/29/2017,W,8067
41400,Roosevelt,12/19/2017,W,9745
41400,Roosevelt,12/25/2017,U,1949
41400,Roosevelt,12/04/2017,W,10637
41400,Roosevelt,12/13/2017,W,10250
41400,Roosevelt,12/20/2017,W,9817
41400,Roosevelt,12/30/2017,A,5507
41400,Roosevelt,12/03/2017,U,9972
41400,Roosevelt,12/23/2017,A,6323
41400,Roosevelt,12/26/2017,W,5535
41400,Roosevelt,12/12/2017,W,10052
41400,Roosevelt,12/11/2017,W,10001
41400,Roosevelt,12/07/2017,W,10647
41400,Roosevelt,12/22/2017,W,9569
41400,Roosevelt,02/09/2018,W,7550
41400,Roosevelt,03/03/2018,A,8131
41400,Roosevelt,01/23/2018,W,10239
41400,Roosevelt,01/19/2018,W,10342
41400,Roosevelt,01/09/2018,W,9271
41400,Roosevelt,01/22/2018,W,9872
41400,Roosevelt,03/01/2018,W,10402
41400,Roosevelt,03/06/2018,W,10145
41400,Roosevelt,03/12/2018,W,10200
41400,Roosevelt,02/02/2018,W,10035
41400,Roosevelt,01/04/2018,W,8260
41400,Roosevelt,02/08/2018,W,10358
41400,Roosevelt,02/06/2018,W,9888
41400,Roosevelt,03/16/2018,W,11222
41400,Roosevelt,03/27/2018,W,10365
41400,Roosevelt,01/11/2018,W,9445
41400,Roosevelt,01/08/2018,W,8959
41400,Roosevelt,03/18/2018,U,6290
41400,Roosevelt,02/05/2018,W,9137
41400,Roosevelt,01/29/2018,W,9462
41400,Roosevelt,03/21/2018,W,9771
41400,Roosevelt,01/27/2018,A,7592
41400,Roosevelt,03/09/2018,W,10763
41400,Roosevelt,01/14/2018,U,4838
41400,Roosevelt,01/06/2018,A,5904
41400,Roosevelt,01/07/2018,U,4552
41400,Roosevelt,03/31/2018,A,7214
41400,Roosevelt,02/13/2018,W,10606
41400,Roosevelt,01/17/2018,W,9320
41400,Roosevelt,02/11/2018,U,5016
41400,Roosevelt,03/29/2018,W,10443
41400,Roosevelt,01/24/2018,W,10197
41400,Roosevelt,03/30/2018,W,10313
41400,Roosevelt,02/20/2018,W,10253
41400,Roosevelt,03/14/2018,W,10469
41400,Roosevelt,01/12/2018,W,9282
41400,Roosevelt,02/22/2018,W,10740
41400,Roosevelt,03/13/2018,W,10565
41400,Roosevelt,02/23/2018,W,10733
41400,Roosevelt,02/03/2018,A,6633
41400,Roosevelt,02/27/2018,W,10535
41400,Roosevelt,02/17/2018,A,8069
41400,Roosevelt,01/31/2018,W,10158
41400,Roosevelt,01/30/2018,W,9847
41400,Roosevelt,02/07/2018,W,9892
41400,Roosevelt,01/25/2018,W,10466
41400,Roosevelt,03/19/2018,W,9835
41400,Roosevelt,03/25/2018,U,7024
41400,Roosevelt,02/26/2018,W,9991
41400,Roosevelt,02/01/2018,W,10077
41400,Roosevelt,03/17/2018,A,9753
41400,Roosevelt,03/08/2018,W,10313
41400,Roosevelt,03/07/2018,W,10388
41400,Roosevelt,01/20/2018,A,8979
41400,Roosevelt,02/25/2018,U,6186
41400,Roosevelt,03/26/2018,W,9880
41400,Roosevelt,01/02/2018,W,7109
