station_id,stationname,date,daytype,rides
40080,Sheridan,12/07/2017,W,5232
40080,Sheridan,12/05/2017,W,5105
40080,Sheridan,12/30/2017,A,2127
40080,Sheridan,12/02/2017,A,3588
40080,Sheridan,12/29/2017,W,2994
40080,Sheridan,12/25/2017,U,720
40080,Sheridan,12/17/2017,U,2397
40080,Sheridan,12/15/2017,W,4934
40080,Sheridan,12/03/2017,U,2517
40080,Sheridan,12/31/2017,U,2040
40080,Sheridan,12/23/2017,A,2026
40080,Sheridan,12/09/2017,A,3145
40080,Sheridan,12/12/2017,W,4975
40080,Sheridan,12/24/2017,U,1242
40080,Sheridan,12/10/2017,U,2245
40080,Sheridan,12/04/2017,W,4988
40080,Sheridan,12/01/2017,W,5531
40080,Sheridan,12/14/2017,W,5073
40080,Sheridan,12/16/2017,A,3451
40080,Sheridan,12/06/2017,W,5015
40080,Sheridan,12/27/2017,W,2517
40080,Sheridan,12/13/2017,W,5005
40080,Sheridan,12/22/2017,W,3785
40080,Sheridan,12/21/2017,W,4463
40080,Sheridan,12/28/2017,W,2975
40080,Sheridan,12/08/2017,W,5209
40080,Sheridan,12/19/2017,W,4924
40080,Sheridan,12/11/2017,W,4870
40080,Sheridan,12/18/2017,W,4659
40080,Sheridan,12/26/2017,W,1730
40080,Sheridan,12/20/2017,W,4579
40080,Sheridan,02/22/2018,W,5180
40080,Sheridan,03/06/2018,W,4883
40080,Sheridan,01/15/2018,W,2994
40080,Sheridan,01/19/2018,W,5023
40080,Sheridan,03/26/2018,W,4592
40080,Sheridan,01/29/2018,W,4872
40080,Sheridan,01/24/2018,W,5159
40080,Sheridan,03/30/2018,W,4225
40080,Sheridan,03/12/2018,W,4904
40080,Sheridan,02/18/2018,U,2391
40080,Sheridan,01/26/2018,W,5098
40080,Sheridan,02/23/2018,W,5057
40080,Sheridan,03/31/2018,A,2712
40080,Sheridan,03/24/2018,A,2786
40080,Sheridan,03/20/2018,W,4803
40080,Sheridan,01/21/2018,U,2068
40080,Sheridan,02/01/2018,W,4987
40080,Sheridan,03/14/2018,W,5166
40080,Sheridan,01/11/2018,W,4894
40080,Sheridan,03/05/2018,W,4735
40080,Sheridan,02/11/2018,U,2178
40080,Sheridan,03/21/2018,W,4858
40080,Sheridan,02/12/2018,W,4987
40080,Sheridan,02/13/2018,W,5215
40080,Sheridan,03/11/2018,U,2203
40080,Sheridan,02/04/2018,U,2004
40080,Sheridan,02/05/2018,W,4726
40080,Sheridan,02/16/2018,W,5011
40080,Sheridan,03/01/2018,W,5032
40080,Sheridan,01/04/2018,W,4257
40080,Sheridan,01/02/2018,W,3714
40080,Sheridan,01/18/2018,W,5198
40080,Sheridan,03/02/2018,W,5210
40080,Sheridan,01/27/2018,A,3171
40080,Sheridan,02/14/2018,W,5328
40080,Sheridan,01/05/2018,W,4223
40080,Sheridan,03/28/2018,W,4860
40080,Sheridan,02/03/2018,A,2745
40080,Sheridan,03/19/2018,W,4731
40080,Sheridan,03/10/2018,A,3217
40080,Sheridan,01/08/2018,W,4704
40080,Sheridan,01/12/2018,W,3970
40080,Sheridan,01/30/2018,W,5155
40080,Sheridan,02/26/2018,W,4911
40080,Sheridan,01/23/2018,W,5200
40080,Sheridan,03/22/2018,W,4911
40080,Sheridan,01/06/2018,A,2441
40080,Sheridan,02/08/2018,W,4935
40080,Sheridan,01/13/2018,A,2780
40080,Sheridan,01/16/2018,W,5001
40080,Sheridan,03/03/2018,A,3160
40080,Sheridan,03/18/2018,U,2548
40080,Sheridan,01/22/2018,W,5003
40080,Sheridan,03/08/2018,W,5112
40080,Sheridan,02/15/2018,W,5172
40080,Sheridan,03/16/2018,W,5140
40080,Sheridan,03/07/2018,W,5110
40080,Sheridan,03/29/2018,W,4795
40080,Sheridan,02/10/2018,A,2982
40080,Sheridan,01/10/2018,W,5006
40080,Sheridan,01/14/2018,U,1988
40080,Sheridan,03/13/2018,W,5070
40080,Sheridan,02/25/2018,U,2269
40080,Sheridan,02/17/2018,A,3034
40080,Sheridan,03/09/2018,W,4988
40080,Sheridan,02/20/2018,W,4951
40080,Sheridan,02/24/2018,A,3168
40080,Sheridan,02/09/2018,W,3790
40080,Sheridan,03/25/2018,U,2330
40080,Sheridan,01/28/2018,U,2105
40080,Sheridan,01/01/2018,U,1565
40080,Sheridan,01/07/2018,U,1809
40080,Sheridan,02/28/2018,W,5076
40080,Sheridan,03/15/2018,W,5154
40080,Sheridan,02/06/2018,W,4949
40080,Sheridan,03/27/2018,W,4858
40080,Sheridan,01/17/2018,W,4963
40080,Sheridan,02/07/2018,W,5085
40080,Sheridan,03/04/2018,U,2159
40080,Sheridan,01/31/2018,W,5171
40080,Sheridan,01/25/2018,W,5215
40080,Sheridan,02/21/2018,W,5150
40080,Sheridan,01/09/2018,W,5016
40080,Sheridan,02/19/2018,W,3764
40080,Sheridan,03/17/2018,A,4757
40080,Sheridan,02/02/2018,W,4665
40080,Sheridan,01/03/2018,W,4226
40080,Sheridan,02/27/2018,W,5094
40080,Sheridan,01/20/2018,A,3386
40080,Sheridan,03/23/2018,W,4709
40080,Sheridan,05/01/2018,W,5464
40080,Sheridan,04/18/2018,W,4985
40080,Sheridan,04/25/2018,W,5201
40080,Sheridan,06/14/2018,W,5023
40080,Sheridan,05/05/2018,A,3415
40080,Sheridan,04/27/2018,W,5134
40080,Sheridan,06/17/2018,U,2523
40080,Sheridan,05/26/2018,A,3693
40080,Sheridan,04/15/2018,U,1847
40080,Sheridan,05/23/2018,W,5508
40080,Sheridan,05/03/2018,W,5163
40080,Sheridan,04/14/2018,A,2813
40080,Sheridan,05/27/2018,U,3102
40080,Sheridan,06/27/2018,W,4899
40080,Sheridan,05/31/2018,W,5182
40080,Sheridan,04/01/2018,U,1687
40080,Sheridan,06/12/2018,W,4961
40080,Sheridan,05/20/2018,U,2071
40080,Sheridan,04/20/2018,W,4982
40080,Sheridan,04/06/2018,W,4946
40080,Sheridan,04/19/2018,W,5105
40080,Sheridan,05/24/2018,W,5230
40080,Sheridan,06/28/2018,W,4990
40080,Sheridan,04/28/2018,A,3396
40080,Sheridan,06/11/2018,W,4803
40080,Sheridan,06/24/2018,U,8026
40080,Sheridan,04/08/2018,U,2124
40080,Sheridan,05/14/2018,W,4899
40080,Sheridan,05/07/2018,W,5271
40080,Sheridan,06/10/2018,U,2535
40080,Sheridan,06/22/2018,W,4660
40080,Sheridan,04/09/2018,W,4780
40080,Sheridan,06/07/2018,W,5599
40080,Sheridan,04/21/2018,A,3132
40080,Sheridan,04/07/2018,A,3003
40080,Sheridan,06/06/2018,W,5357
40080,Sheridan,04/24/2018,W,5052
40080,Sheridan,06/08/2018,W,5269
40080,Sheridan,05/29/2018,W,4807
40080,Sheridan,05/13/2018,U,2205
40080,Sheridan,06/25/2018,W,4693
40080,Sheridan,06/23/2018,A,3390
40080,Sheridan,05/06/2018,U,2403
40080,Sheridan,05/16/2018,W,4999
40080,Sheridan,06/29/2018,W,5216
40080,Sheridan,05/19/2018,A,3181
40080,Sheridan,05/08/2018,W,5550
40080,Sheridan,04/17/2018,W,5112
40080,Sheridan,06/18/2018,W,4908
40080,Sheridan,05/25/2018,W,5340
40080,Sheridan,04/11/2018,W,5385
40080,Sheridan,05/22/2018,W,5261
40080,Sheridan,06/01/2018,W,5334
40080,Sheridan,05/15/2018,W,5080
40080,Sheridan,06/16/2018,A,3515
40080,Sheridan,06/20/2018,W,5243
40080,Sheridan,06/04/2018,W,4853
40080,Sheridan,05/17/2018,W,5079
40080,Sheridan,04/30/2018,W,5095
40080,Sheridan,05/28/2018,U,2126
40080,Sheridan,05/21/2018,W,4588
40080,Sheridan,06/26/2018,W,4803
40080,Sheridan,05/12/2018,A,2915
40080,Sheridan,05/18/2018,W,4898
40080,Sheridan,05/04/2018,W,5064
40080,Sheridan,04/10/2018,W,5171
40080,Sheridan,04/03/2018,W,4775
40080,Sheridan,04/29/2018,U,2495
40080,Sheridan,04/05/2018,W,5074
40080,Sheridan,04/23/2018,W,4816
40080,Sheridan,05/30/2018,W,5067
40080,Sheridan,06/21/2018,W,4726
40080,Sheridan,06/02/2018,A,3384
40080,Sheridan,06/05/2018,W,5243
40080,Sheridan,04/04/2018,W,4949
40080,Sheridan,04/12/2018,W,5302
40080,Sheridan,05/09/2018,W,5150
40080,Sheridan,05/10/2018,W,5146
