station_id,stationname,date,daytype,rides
40840,South Boulevard,12/27/2017,W,391
40840,South Boulevard,12/08/2017,W,763
40840,South Boulevard,12/26/2017,W,324
40840,South Boulevard,12/22/2017,W,616
40840,South Boulevard,12/31/2017,U,218
40840,South Boulevard,12/10/2017,U,260
40840,South Boulevard,12/18/2017,W,680
40840,South Boulevard,12/16/2017,A,417
40840,South Boulevard,12/23/2017,A,298
40840,South Boulevard,12/04/2017,W,789
40840,South Boulevard,12/11/2017,W,756
40840,South Boulevard,12/15/2017,W,816
40840,South Boulevard,12/12/2017,W,759
40840,South Boulevard,12/17/2017,U,236
40840,South Boulevard,12/25/2017,U,117
40840,South Boulevard,12/02/2017,A,413
40840,South Boulevard,12/09/2017,A,357
40840,South Boulevard,12/13/2017,W,777
40840,South Boulevard,12/21/2017,W,769
40840,South Boulevard,12/19/2017,W,729
40840,South Boulevard,12/24/2017,U,227
40840,South Boulevard,12/01/2017,W,788
40840,South Boulevard,12/05/2017,W,775
40840,South Boulevard,12/20/2017,W,749
40840,South Boulevard,12/28/2017,W,495
40840,South Boulevard,12/06/2017,W,806
40840,South Boulevard,12/03/2017,U,248
40840,South Boulevard,12/30/2017,A,231
40840,South Boulevard,12/14/2017,W,720
40840,South Boulevard,12/07/2017,W,737
40840,South Boulevard,12/29/2017,W,493
40840,South Boulevard,01/23/2018,W,821
40840,South Boulevard,02/26/2018,W,775
40840,South Boulevard,03/18/2018,U,257
40840,South Boulevard,03/05/2018,W,750
40840,South Boulevard,03/12/2018,W,773
40840,South Boulevard,01/07/2018,U,222
40840,South Boulevard,02/11/2018,U,291
40840,South Boulevard,03/02/2018,W,791
40840,South Boulevard,03/16/2018,W,776
40840,South Boulevard,02/24/2018,A,338
40840,South Boulevard,03/15/2018,W,809
40840,South Boulevard,01/11/2018,W,767
40840,South Boulevard,01/29/2018,W,750
40840,South Boulevard,03/03/2018,A,390
40840,South Boulevard,02/21/2018,W,812
40840,South Boulevard,01/25/2018,W,791
40840,South Boulevard,03/31/2018,A,337
40840,South Boulevard,03/01/2018,W,790
40840,South Boulevard,01/19/2018,W,791
40840,South Boulevard,02/17/2018,A,371
40840,South Boulevard,03/06/2018,W,794
40840,South Boulevard,02/08/2018,W,785
40840,South Boulevard,02/19/2018,W,609
40840,South Boulevard,02/14/2018,W,848
40840,South Boulevard,03/10/2018,A,414
40840,South Boulevard,01/04/2018,W,641
40840,South Boulevard,01/05/2018,W,629
40840,South Boulevard,03/13/2018,W,829
40840,South Boulevard,01/16/2018,W,770
40840,South Boulevard,01/14/2018,U,212
40840,South Boulevard,03/30/2018,W,657
40840,South Boulevard,03/04/2018,U,251
40840,South Boulevard,03/20/2018,W,765
40840,South Boulevard,02/18/2018,U,249
40840,South Boulevard,01/28/2018,U,260
40840,South Boulevard,01/26/2018,W,756
40840,South Boulevard,03/22/2018,W,792
40840,South Boulevard,03/23/2018,W,783
40840,South Boulevard,02/02/2018,W,740
40840,South Boulevard,01/10/2018,W,734
40840,South Boulevard,03/08/2018,W,790
40840,South Boulevard,01/06/2018,A,280
40840,South Boulevard,03/14/2018,W,839
40840,South Boulevard,02/03/2018,A,351
40840,South Boulevard,01/21/2018,U,216
40840,South Boulevard,01/13/2018,A,322
40840,South Boulevard,02/05/2018,W,757
40840,South Boulevard,03/25/2018,U,249
40840,South Boulevard,02/07/2018,W,769
40840,South Boulevard,02/10/2018,A,382
40840,South Boulevard,01/24/2018,W,807
40840,South Boulevard,03/19/2018,W,778
40840,South Boulevard,02/06/2018,W,761
40840,South Boulevard,01/15/2018,W,485
40840,South Boulevard,01/18/2018,W,804
40840,South Boulevard,02/25/2018,U,254
40840,South Boulevard,02/22/2018,W,843
40840,South Boulevard,03/17/2018,A,523
40840,South Boulevard,03/26/2018,W,732
40840,South Boulevard,02/28/2018,W,821
40840,South Boulevard,01/09/2018,W,784
40840,South Boulevard,01/02/2018,W,536
40840,South Boulevard,02/09/2018,W,642
40840,South Boulevard,02/01/2018,W,780
40840,South Boulevard,03/11/2018,U,254
