station_id,stationname,date,daytype,rides
40260,State/Lake,12/06/2017,W,12646
40260,State/Lake,12/11/2017,W,12074
40260,State/Lake,12/10/2017,U,4406
40260,State/Lake,12/17/2017,U,4532
40260,State/Lake,12/22/2017,W,8874
40260,State/Lake,12/26/2017,W,4625
40260,State/Lake,12/24/2017,U,2902
40260,State/Lake,12/07/2017,W,13473
40260,State/Lake,12/03/2017,U,5157
40260,State/Lake,12/23/2017,A,5147
40260,State/Lake,12/14/2017,W,11971
40260,State/Lake,12/27/2017,W,6077
40260,State/Lake,12/21/2017,W,9960
40260,State/Lake,12/04/2017,W,12710
40260,State/Lake,12/01/2017,W,12171
40260,State/Lake,12/25/2017,U,1398
40260,State/Lake,12/08/2017,W,11728
40260,State/Lake,12/19/2017,W,10820
40260,State/Lake,12/30/2017,A,4126
40260,State/Lake,12/15/2017,W,10625
40260,State/Lake,12/28/2017,W,7146
40260,State/Lake,12/29/2017,W,7044
40260,State/Lake,12/20/2017,W,10301
40260,State/Lake,12/02/2017,A,7035
40260,State/Lake,12/05/2017,W,12375
40260,State/Lake,12/09/2017,A,6153
40260,State/Lake,12/12/2017,W,12029
40260,State/Lake,12/13/2017,W,12181
40260,State/Lake,12/31/2017,U,3250
40260,State/Lake,12/16/2017,A,6321
40260,State/Lake,12/18/2017,W,10523
40260,State/Lake,02/01/2018,W,11591
40260,State/Lake,02/26/2018,W,11684
40260,State/Lake,01/11/2018,W,10394
40260,State/Lake,02/10/2018,A,5088
40260,State/Lake,02/03/2018,A,4989
40260,State/Lake,01/14/2018,U,3338
40260,State/Lake,03/22/2018,W,12155
40260,State/Lake,01/21/2018,U,3605
40260,State/Lake,03/14/2018,W,12710
40260,State/Lake,02/12/2018,W,11662
40260,State/Lake,01/23/2018,W,11932
40260,State/Lake,03/21/2018,W,12339
40260,State/Lake,03/09/2018,W,11005
40260,State/Lake,02/21/2018,W,12141
40260,State/Lake,03/25/2018,U,4264
40260,State/Lake,01/10/2018,W,10182
40260,State/Lake,01/05/2018,W,8764
40260,State/Lake,03/28/2018,W,11300
40260,State/Lake,02/11/2018,U,3336
40260,State/Lake,02/16/2018,W,10822
40260,State/Lake,03/18/2018,U,5360
40260,State/Lake,02/06/2018,W,11413
40260,State/Lake,02/18/2018,U,4604
40260,State/Lake,01/30/2018,W,11751
40260,State/Lake,01/29/2018,W,11181
40260,State/Lake,03/11/2018,U,3998
40260,State/Lake,03/27/2018,W,10622
40260,State/Lake,01/08/2018,W,9850
40260,State/Lake,01/31/2018,W,12173
40260,State/Lake,01/17/2018,W,11734
40260,State/Lake,03/13/2018,W,12312
40260,State/Lake,03/23/2018,W,11105
40260,State/Lake,01/28/2018,U,3834
40260,State/Lake,03/06/2018,W,11896
40260,State/Lake,02/02/2018,W,10102
40260,State/Lake,03/15/2018,W,12565
40260,State/Lake,03/07/2018,W,12191
40260,State/Lake,01/06/2018,A,3900
40260,State/Lake,01/22/2018,W,11833
