station_id,stationname,date,daytype,rides
41480,Western-Brown,12/06/2017,W,4210
41480,Western-Brown,12/03/2017,U,2086
41480,Western-Brown,12/30/2017,A,1738
41480,Western-Brown,12/22/2017,W,3592
41480,Western-Brown,12/25/2017,U,600
41480,Western-Brown,12/04/2017,W,4191
41480,Western-Brown,12/07/2017,W,4156
41480,Western-Brown,12/08/2017,W,4132
41480,Western-Brown,12/26/2017,W,1851
41480,Western-Brown,12/28/2017,W,2697
41480,Western-Brown,12/15/2017,W,4114
41480,Western-Brown,12/17/2017,U,1878
41480,Western-Brown,12/27/2017,W,2395
41480,Western-Brown,12/13/2017,W,4231
41480,Western-Brown,12/20/2017,W,4082
41480,Western-Brown,12/24/2017,U,1222
41480,Western-Brown,12/23/2017,A,2122
41480,Western-Brown,12/16/2017,A,2839
41480,Western-Brown,12/29/2017,W,2707
41480,Western-Brown,12/01/2017,W,4397
41480,Western-Brown,12/21/2017,W,3954
41480,Western-Brown,12/02/2017,A,3114
41480,Western-Brown,12/31/2017,U,1473
41480,Western-Brown,12/09/2017,A,2747
41480,Western-Brown,12/11/2017,W,3969
41480,Western-Brown,12/14/2017,W,4150
41480,Western-Brown,12/12/2017,W,3979
41480,Western-Brown,12/19/2017,W,4167
41480,Western-Brown,12/05/2017,W,4140
41480,Western-Brown,12/10/2017,U,1876
41480,Western-Brown,12/18/2017,W,3931
41480,Western-Brown,01/24/2018,W,4254
41480,Western-Brown,01/31/2018,W,4136
41480,Western-Brown,03/02/2018,W,4063
41480,Western-Brown,03/24/2018,A,2451
41480,Western-Brown,03/05/2018,W,3820
41480,Western-Brown,01/25/2018,W,4164
41480,Western-Brown,02/05/2018,W,3817
41480,Western-Brown,02/19/2018,W,3044
41480,Western-Brown,01/22/2018,W,3913
41480,Western-Brown,01/15/2018,W,2605
41480,Western-Brown,03/20/2018,W,3988
41480,Western-Brown,01/18/2018,W,3980
41480,Western-Brown,01/05/2018,W,3323
41480,Western-Brown,02/08/2018,W,4057
41480,Western-Brown,03/04/2018,U,1684
41480,Western-Brown,01/28/2018,U,1652
41480,Western-Brown,03/25/2018,U,1797
41480,Western-Brown,02/02/2018,W,3610
41480,Western-Brown,02/01/2018,W,4090
41480,Western-Brown,02/24/2018,A,2546
41480,Western-Brown,03/15/2018,W,4247
41480,Western-Brown,02/23/2018,W,3927
41480,Western-Brown,01/20/2018,A,3001
41480,Western-Brown,02/10/2018,A,2488
41480,Western-Brown,02/25/2018,U,1781
41480,Western-Brown,03/06/2018,W,4133
41480,Western-Brown,03/16/2018,W,3969
41480,Western-Brown,01/07/2018,U,1393
41480,Western-Brown,03/30/2018,W,3418
41480,Western-Brown,03/23/2018,W,3959
41480,Western-Brown,02/20/2018,W,3969
41480,Western-Brown,03/10/2018,A,2562
41480,Western-Brown,03/26/2018,W,3654
41480,Western-Brown,01/23/2018,W,4073
41480,Western-Brown,03/12/2018,W,3890
41480,Western-Brown,02/18/2018,U,1945
41480,Western-Brown,01/29/2018,W,3870
41480,Western-Brown,02/04/2018,U,1443
41480,Western-Brown,03/11/2018,U,1769
41480,Western-Brown,03/21/2018,W,4182
41480,Western-Brown,02/15/2018,W,4149
41480,Western-Brown,02/22/2018,W,4113
41480,Western-Brown,02/27/2018,W,4203
41480,Western-Brown,02/14/2018,W,4335
41480,Western-Brown,01/02/2018,W,2915
41480,Western-Brown,03/09/2018,W,3987
41480,Western-Brown,02/28/2018,W,4266
41480,Western-Brown,03/28/2018,W,4007
41480,Western-Brown,01/06/2018,A,1976
41480,Western-Brown,03/08/2018,W,4175
41480,Western-Brown,01/21/2018,U,1621
41480,Western-Brown,01/14/2018,U,1563
41480,Western-Brown,01/11/2018,W,4027
41480,Western-Brown,03/14/2018,W,4167
41480,Western-Brown,03/07/2018,W,4177
41480,Western-Brown,03/03/2018,A,2504
41480,Western-Brown,03/18/2018,U,1836
41480,Western-Brown,01/19/2018,W,3947
41480,Western-Brown,02/11/2018,U,1678
41480,Western-Brown,01/10/2018,W,4102
41480,Western-Brown,01/13/2018,A,2222
41480,Western-Brown,01/12/2018,W,3778
41480,Western-Brown,03/31/2018,A,2156
41480,Western-Brown,02/03/2018,A,2253
41480,Western-Brown,03/22/2018,W,4122
41480,Western-Brown,01/16/2018,W,3977
41480,Western-Brown,03/01/2018,W,4063
41480,Western-Brown,03/17/2018,A,3388
41480,Western-Brown,03/29/2018,W,3920
41480,Western-Brown,02/13/2018,W,4190
41480,Western-Brown,01/09/2018,W,3988
41480,Western-Brown,01/30/2018,W,3978
41480,Western-Brown,01/08/2018,W,3881
41480,Western-Brown,03/19/2018,W,3901
41480,Western-Brown,01/26/2018,W,3997
41480,Western-Brown,02/26/2018,W,3969
41480,Western-Brown,03/13/2018,W,4110
41480,Western-Brown,03/27/2018,W,3851
41480,Western-Brown,01/03/2018,W,3389
41480,Western-Brown,02/09/2018,W,3035
41480,Western-Brown,02/21/2018,W,4147
41480,Western-Brown,02/07/2018,W,4107
41480,Western-Brown,02/12/2018,W,3958
41480,Western-Brown,01/27/2018,A,2660
41480,Western-Brown,02/17/2018,A,2571
41480,Western-Brown,01/04/2018,W,3474
41480,Western-Brown,01/17/2018,W,4017
41480,Western-Brown,02/06/2018,W,3950
41480,Western-Brown,02/16/2018,W,4045
41480,Western-Brown,01/01/2018,U,952
41480,Western-Brown,05/04/2018,W,4168
41480,Western-Brown,05/31/2018,W,4259
41480,Western-Brown,06/03/2018,U,2796
41480,Western-Brown,04/30/2018,W,4060
41480,Western-Brown,06/06/2018,W,4312
41480,Western-Brown,06/25/2018,W,3917
41480,Western-Brown,05/09/2018,W,4185
41480,Western-Brown,05/22/2018,W,4253
