station_id,stationname,date,daytype,rides
40830,18th,12/30/2017,A,790
40830,18th,12/20/2017,W,1613
40830,18th,12/03/2017,U,1006
40830,18th,12/02/2017,A,1450
40830,18th,12/31/2017,U,659
40830,18th,12/06/2017,W,1802
40830,18th,12/22/2017,W,1465
40830,18th,12/18/2017,W,1654
40830,18th,12/27/2017,W,1020
40830,18th,12/10/2017,U,788
40830,18th,12/09/2017,A,1150
40830,18th,12/04/2017,W,1768
40830,18th,12/25/2017,U,320
40830,18th,12/12/2017,W,1683
40830,18th,12/05/2017,W,1829
40830,18th,12/21/2017,W,1625
40830,18th,12/16/2017,A,1194
40830,18th,12/17/2017,U,789
40830,18th,12/08/2017,W,1869
40830,18th,12/07/2017,W,1791
40830,18th,12/15/2017,W,1753
40830,18th,12/23/2017,A,901
40830,18th,12/29/2017,W,1196
40830,18th,12/28/2017,W,1145
40830,18th,12/13/2017,W,1729
40830,18th,12/01/2017,W,2019
40830,18th,12/24/2017,U,538
40830,18th,12/14/2017,W,1746
40830,18th,12/11/2017,W,1693
40830,18th,12/19/2017,W,1647
40830,18th,12/26/2017,W,859
40830,18th,03/30/2018,W,1703
40830,18th,02/09/2018,W,1356
40830,18th,02/04/2018,U,604
40830,18th,02/14/2018,W,1794
40830,18th,03/22/2018,W,1736
40830,18th,02/13/2018,W,1763
40830,18th,03/09/2018,W,1749
40830,18th,02/20/2018,W,1684
40830,18th,01/29/2018,W,1532
40830,18th,01/22/2018,W,1650
40830,18th,01/23/2018,W,1697
40830,18th,03/12/2018,W,1564
40830,18th,01/08/2018,W,1472
40830,18th,01/25/2018,W,1771
40830,18th,02/08/2018,W,1654
40830,18th,02/15/2018,W,1806
40830,18th,02/25/2018,U,868
40830,18th,01/02/2018,W,1160
40830,18th,02/24/2018,A,1090
40830,18th,02/02/2018,W,1496
40830,18th,01/09/2018,W,1566
40830,18th,03/04/2018,U,836
40830,18th,02/23/2018,W,1737
40830,18th,01/01/2018,U,396
40830,18th,03/03/2018,A,1262
40830,18th,03/05/2018,W,1666
40830,18th,01/21/2018,U,801
40830,18th,03/26/2018,W,1497
40830,18th,03/28/2018,W,1637
40830,18th,01/15/2018,W,1022
40830,18th,01/24/2018,W,1660
40830,18th,03/14/2018,W,1823
40830,18th,01/14/2018,U,696
40830,18th,01/07/2018,U,628
40830,18th,03/20/2018,W,1701
40830,18th,01/12/2018,W,1523
40830,18th,02/01/2018,W,1744
40830,18th,03/21/2018,W,1720
40830,18th,02/18/2018,U,860
40830,18th,01/20/2018,A,1250
40830,18th,03/11/2018,U,762
40830,18th,01/18/2018,W,1675
40830,18th,02/06/2018,W,1644
40830,18th,01/31/2018,W,1690
40830,18th,03/15/2018,W,1811
40830,18th,03/31/2018,A,975
40830,18th,03/06/2018,W,1722
40830,18th,03/19/2018,W,1615
40830,18th,03/10/2018,A,1059
40830,18th,01/13/2018,A,891
40830,18th,01/04/2018,W,1297
40830,18th,02/10/2018,A,964
40830,18th,01/27/2018,A,1136
40830,18th,02/27/2018,W,1679
