station_id,stationname,date,daytype,rides
41230,47th-Dan Ryan,12/13/2017,W,2889
41230,47th-Dan Ryan,12/10/2017,U,1482
41230,47th-Dan Ryan,12/16/2017,A,2096
41230,47th-Dan Ryan,12/31/2017,U,1276
41230,47th-Dan Ryan,12/24/2017,U,1351
41230,47th-Dan Ryan,12/07/2017,W,2896
41230,47th-Dan Ryan,12/09/2017,A,1987
41230,47th-Dan Ryan,12/15/2017,W,3010
41230,47th-Dan Ryan,12/14/2017,W,2883
41230,47th-Dan Ryan,12/18/2017,W,2842
41230,47th-Dan Ryan,12/30/2017,A,1564
41230,47th-Dan Ryan,12/17/2017,U,1537
41230,47th-Dan Ryan,12/03/2017,U,1629
41230,47th-Dan Ryan,12/22/2017,W,2911
41230,47th-Dan Ryan,12/02/2017,A,2196
41230,47th-Dan Ryan,12/21/2017,W,2839
41230,47th-Dan Ryan,12/04/2017,W,3007
41230,47th-Dan Ryan,12/01/2017,W,3340
41230,47th-Dan Ryan,12/06/2017,W,2957
41230,47th-Dan Ryan,12/27/2017,W,1890
41230,47th-Dan Ryan,12/23/2017,A,1942
41230,47th-Dan Ryan,12/28/2017,W,2039
41230,47th-Dan Ryan,12/26/2017,W,1641
41230,47th-Dan Ryan,12/12/2017,W,2798
41230,47th-Dan Ryan,12/29/2017,W,2215
41230,47th-Dan Ryan,12/05/2017,W,2862
41230,47th-Dan Ryan,12/11/2017,W,2857
41230,47th-Dan Ryan,12/08/2017,W,3055
41230,47th-Dan Ryan,12/19/2017,W,2951
41230,47th-Dan Ryan,12/25/2017,U,862
41230,47th-Dan Ryan,12/20/2017,W,2878
41230,47th-Dan Ryan,03/15/2018,W,2883
41230,47th-Dan Ryan,03/24/2018,A,1839
41230,47th-Dan Ryan,03/03/2018,A,1992
41230,47th-Dan Ryan,01/25/2018,W,2843
41230,47th-Dan Ryan,03/07/2018,W,2820
41230,47th-Dan Ryan,01/23/2018,W,2781
41230,47th-Dan Ryan,01/08/2018,W,2628
41230,47th-Dan Ryan,02/19/2018,W,1967
41230,47th-Dan Ryan,01/29/2018,W,2608
41230,47th-Dan Ryan,01/02/2018,W,1812
41230,47th-Dan Ryan,03/16/2018,W,2940
41230,47th-Dan Ryan,02/14/2018,W,2855
41230,47th-Dan Ryan,01/10/2018,W,2832
41230,47th-Dan Ryan,01/13/2018,A,1680
41230,47th-Dan Ryan,01/27/2018,A,1942
41230,47th-Dan Ryan,02/06/2018,W,2663
41230,47th-Dan Ryan,02/16/2018,W,2827
41230,47th-Dan Ryan,02/20/2018,W,2743
41230,47th-Dan Ryan,03/11/2018,U,1399
41230,47th-Dan Ryan,02/17/2018,A,1972
41230,47th-Dan Ryan,03/25/2018,U,1443
41230,47th-Dan Ryan,03/18/2018,U,1562
41230,47th-Dan Ryan,03/10/2018,A,1974
41230,47th-Dan Ryan,03/12/2018,W,2789
41230,47th-Dan Ryan,03/27/2018,W,2441
41230,47th-Dan Ryan,01/01/2018,U,1035
41230,47th-Dan Ryan,03/26/2018,W,2430
41230,47th-Dan Ryan,01/14/2018,U,1318
41230,47th-Dan Ryan,02/07/2018,W,2651
41230,47th-Dan Ryan,01/15/2018,W,1721
41230,47th-Dan Ryan,02/23/2018,W,2954
41230,47th-Dan Ryan,01/17/2018,W,2793
41230,47th-Dan Ryan,02/05/2018,W,2505
41230,47th-Dan Ryan,03/28/2018,W,2553
41230,47th-Dan Ryan,03/22/2018,W,2882
41230,47th-Dan Ryan,01/20/2018,A,1893
41230,47th-Dan Ryan,01/24/2018,W,2781
41230,47th-Dan Ryan,03/06/2018,W,2752
41230,47th-Dan Ryan,01/03/2018,W,2143
41230,47th-Dan Ryan,03/01/2018,W,2816
41230,47th-Dan Ryan,03/19/2018,W,2800
41230,47th-Dan Ryan,03/14/2018,W,2913
41230,47th-Dan Ryan,01/07/2018,U,1328
41230,47th-Dan Ryan,01/21/2018,U,1472
41230,47th-Dan Ryan,03/17/2018,A,2085
41230,47th-Dan Ryan,02/01/2018,W,2827
41230,47th-Dan Ryan,02/27/2018,W,2790
41230,47th-Dan Ryan,01/06/2018,A,1677
41230,47th-Dan Ryan,03/02/2018,W,2927
41230,47th-Dan Ryan,02/09/2018,W,1780
41230,47th-Dan Ryan,03/31/2018,A,1790
41230,47th-Dan Ryan,03/23/2018,W,2782
41230,47th-Dan Ryan,01/05/2018,W,2226
41230,47th-Dan Ryan,02/10/2018,A,1648
41230,47th-Dan Ryan,02/18/2018,U,1492
41230,47th-Dan Ryan,03/08/2018,W,2851
41230,47th-Dan Ryan,03/09/2018,W,2926
41230,47th-Dan Ryan,02/24/2018,A,2039
41230,47th-Dan Ryan,02/04/2018,U,1280
41230,47th-Dan Ryan,03/05/2018,W,2665
41230,47th-Dan Ryan,01/30/2018,W,2763
41230,47th-Dan Ryan,01/28/2018,U,1445
41230,47th-Dan Ryan,01/09/2018,W,2793
41230,47th-Dan Ryan,01/26/2018,W,3050
41230,47th-Dan Ryan,02/11/2018,U,1317
41230,47th-Dan Ryan,02/08/2018,W,2724
41230,47th-Dan Ryan,03/29/2018,W,2443
41230,47th-Dan Ryan,01/11/2018,W,2880
41230,47th-Dan Ryan,01/18/2018,W,2792
41230,47th-Dan Ryan,02/26/2018,W,2848
41230,47th-Dan Ryan,03/30/2018,W,2566
41230,47th-Dan Ryan,02/21/2018,W,2820
41230,47th-Dan Ryan,02/28/2018,W,2843
41230,47th-Dan Ryan,01/04/2018,W,2156
41230,47th-Dan Ryan,01/12/2018,W,2710
41230,47th-Dan Ryan,03/20/2018,W,2755
41230,47th-Dan Ryan,02/13/2018,W,2879
41230,47th-Dan Ryan,03/04/2018,U,1485
41230,47th-Dan Ryan,01/16/2018,W,2673
41230,47th-Dan Ryan,01/19/2018,W,2903
41230,47th-Dan Ryan,02/12/2018,W,2611
41230,47th-Dan Ryan,03/21/2018,W,2752
41230,47th-Dan Ryan,01/22/2018,W,2769
41230,47th-Dan Ryan,02/03/2018,A,1845
41230,47th-Dan Ryan,02/02/2018,W,2582
41230,47th-Dan Ryan,02/15/2018,W,2866
41230,47th-Dan Ryan,02/22/2018,W,2882
41230,47th-Dan Ryan,01/31/2018,W,2809
41230,47th-Dan Ryan,03/13/2018,W,2810
41230,47th-Dan Ryan,02/25/2018,U,1497
41230,47th-Dan Ryan,06/02/2018,A,2134
41230,47th-Dan Ryan,06/01/2018,W,3298
41230,47th-Dan Ryan,04/23/2018,W,2895
41230,47th-Dan Ryan,04/08/2018,U,1419
41230,47th-Dan Ryan,05/24/2018,W,3172
41230,47th-Dan Ryan,04/25/2018,W,2946
41230,47th-Dan Ryan,06/23/2018,A,2217
41230,47th-Dan Ryan,06/30/2018,A,2086
41230,47th-Dan Ryan,06/26/2018,W,2769
41230,47th-Dan Ryan,04/30/2018,W,2934
41230,47th-Dan Ryan,05/08/2018,W,3077
41230,47th-Dan Ryan,04/14/2018,A,1879
41230,47th-Dan Ryan,06/13/2018,W,2978
41230,47th-Dan Ryan,04/18/2018,W,2760
41230,47th-Dan Ryan,06/10/2018,U,1559
41230,47th-Dan Ryan,04/29/2018,U,1592
41230,47th-Dan Ryan,06/21/2018,W,2458
41230,47th-Dan Ryan,05/07/2018,W,2876
41230,47th-Dan Ryan,06/19/2018,W,2931
41230,47th-Dan Ryan,06/09/2018,A,2056
41230,47th-Dan Ryan,05/28/2018,U,1564
41230,47th-Dan Ryan,06/05/2018,W,3141
41230,47th-Dan Ryan,05/22/2018,W,3037
41230,47th-Dan Ryan,05/15/2018,W,3049
41230,47th-Dan Ryan,04/15/2018,U,1328
41230,47th-Dan Ryan,04/01/2018,U,1313
41230,47th-Dan Ryan,04/03/2018,W,2757
41230,47th-Dan Ryan,04/04/2018,W,2842
41230,47th-Dan Ryan,04/13/2018,W,2685
41230,47th-Dan Ryan,06/18/2018,W,2762
41230,47th-Dan Ryan,05/10/2018,W,3039
41230,47th-Dan Ryan,06/07/2018,W,3220
41230,47th-Dan Ryan,05/21/2018,W,2711
41230,47th-Dan Ryan,05/05/2018,A,2202
41230,47th-Dan Ryan,06/20/2018,W,2868
41230,47th-Dan Ryan,05/11/2018,W,2971
41230,47th-Dan Ryan,04/12/2018,W,3018
41230,47th-Dan Ryan,05/27/2018,U,1833
41230,47th-Dan Ryan,06/24/2018,U,2405
41230,47th-Dan Ryan,06/12/2018,W,2992
41230,47th-Dan Ryan,05/31/2018,W,3137
41230,47th-Dan Ryan,06/04/2018,W,3021
41230,47th-Dan Ryan,05/30/2018,W,2935
41230,47th-Dan Ryan,04/19/2018,W,2805
41230,47th-Dan Ryan,04/22/2018,U,1452
41230,47th-Dan Ryan,06/08/2018,W,2988
41230,47th-Dan Ryan,05/29/2018,W,2927
41230,47th-Dan Ryan,06/14/2018,W,2995
41230,47th-Dan Ryan,04/16/2018,W,2642
41230,47th-Dan Ryan,05/25/2018,W,3083
41230,47th-Dan Ryan,04/07/2018,A,1985
41230,47th-Dan Ryan,06/22/2018,W,2544
41230,47th-Dan Ryan,05/18/2018,W,3110
41230,47th-Dan Ryan,06/28/2018,W,2948
41230,47th-Dan Ryan,06/25/2018,W,2705
41230,47th-Dan Ryan,06/29/2018,W,2946
41230,47th-Dan Ryan,05/26/2018,A,2238
41230,47th-Dan Ryan,05/23/2018,W,3265
41230,47th-Dan Ryan,04/27/2018,W,2961
41230,47th-Dan Ryan,06/15/2018,W,2975
41230,47th-Dan Ryan,05/03/2018,W,2903
41230,47th-Dan Ryan,06/27/2018,W,2891
41230,47th-Dan Ryan,04/26/2018,W,3072
41230,47th-Dan Ryan,06/16/2018,A,2200
41230,47th-Dan Ryan,05/16/2018,W,3090
41230,47th-Dan Ryan,06/11/2018,W,2942
41230,47th-Dan Ryan,05/01/2018,W,3223
41230,47th-Dan Ryan,04/28/2018,A,2067
41230,47th-Dan Ryan,05/02/2018,W,2964
41230,47th-Dan Ryan,05/17/2018,W,3114
41230,47th-Dan Ryan,05/06/2018,U,1568
41230,47th-Dan Ryan,05/09/2018,W,2904
41230,47th-Dan Ryan,04/24/2018,W,2994
41230,47th-Dan Ryan,05/04/2018,W,2964
41230,47th-Dan Ryan,04/11/2018,W,3009
41230,47th-Dan Ryan,04/17/2018,W,2958
41230,47th-Dan Ryan,05/12/2018,A,1963
41230,47th-Dan Ryan,05/14/2018,W,2720
41230,47th-Dan Ryan,05/20/2018,U,1447
41230,47th-Dan Ryan,04/02/2018,W,2571
41230,47th-Dan Ryan,04/10/2018,W,2731
41230,47th-Dan Ryan,04/05/2018,W,2816
41230,47th-Dan Ryan,04/21/2018,A,2011
41230,47th-Dan Ryan,05/13/2018,U,1578
41230,47th-Dan Ryan,04/20/2018,W,2998
41230,47th-Dan Ryan,04/06/2018,W,2889
41230,47th-Dan Ryan,06/17/2018,U,1632
41230,47th-Dan Ryan,06/06/2018,W,3140
41230,47th-Dan Ryan,04/09/2018,W,2642
41230,47th-Dan Ryan,06/03/2018,U,1747
