station_id,stationname,date,daytype,rides
40910,63rd-Dan Ryan,12/06/2017,W,3082
40910,63rd-Dan Ryan,12/20/2017,W,3006
40910,63rd-Dan Ryan,12/25/2017,U,1055
40910,63rd-Dan Ryan,12/11/2017,W,2996
40910,63rd-Dan Ryan,12/04/2017,W,3052
40910,63rd-Dan Ryan,12/03/2017,U,1776
40910,63rd-Dan Ryan,12/18/2017,W,2906
40910,63rd-Dan Ryan,12/21/2017,W,2963
40910,63rd-Dan Ryan,12/24/2017,U,1554
40910,63rd-Dan Ryan,12/02/2017,A,2169
40910,63rd-Dan Ryan,12/12/2017,W,2908
40910,63rd-Dan Ryan,12/31/2017,U,1469
40910,63rd-Dan Ryan,12/15/2017,W,2912
40910,63rd-Dan Ryan,12/08/2017,W,2971
40910,63rd-Dan Ryan,12/17/2017,U,1712
40910,63rd-Dan Ryan,12/09/2017,A,1980
40910,63rd-Dan Ryan,12/14/2017,W,3033
40910,63rd-Dan Ryan,12/30/2017,A,1695
40910,63rd-Dan Ryan,12/10/2017,U,1604
40910,63rd-Dan Ryan,12/13/2017,W,3068
40910,63rd-Dan Ryan,12/07/2017,W,3025
40910,63rd-Dan Ryan,12/28/2017,W,2004
40910,63rd-Dan Ryan,12/05/2017,W,3167
40910,63rd-Dan Ryan,12/29/2017,W,2205
40910,63rd-Dan Ryan,12/22/2017,W,2850
40910,63rd-Dan Ryan,12/27/2017,W,1891
40910,63rd-Dan Ryan,12/16/2017,A,2088
40910,63rd-Dan Ryan,12/01/2017,W,3396
40910,63rd-Dan Ryan,12/23/2017,A,2026
40910,63rd-Dan Ryan,12/19/2017,W,2839
40910,63rd-Dan Ryan,12/26/2017,W,1711
40910,63rd-Dan Ryan,02/02/2018,W,2644
40910,63rd-Dan Ryan,02/28/2018,W,3024
40910,63rd-Dan Ryan,01/23/2018,W,2915
40910,63rd-Dan Ryan,01/05/2018,W,2193
40910,63rd-Dan Ryan,02/19/2018,W,2049
40910,63rd-Dan Ryan,03/21/2018,W,3043
40910,63rd-Dan Ryan,01/07/2018,U,1360
40910,63rd-Dan Ryan,03/19/2018,W,2881
40910,63rd-Dan Ryan,01/24/2018,W,2981
40910,63rd-Dan Ryan,01/30/2018,W,2824
40910,63rd-Dan Ryan,02/14/2018,W,3116
40910,63rd-Dan Ryan,01/02/2018,W,1864
40910,63rd-Dan Ryan,02/22/2018,W,2998
40910,63rd-Dan Ryan,01/19/2018,W,2922
40910,63rd-Dan Ryan,01/01/2018,U,1109
40910,63rd-Dan Ryan,02/24/2018,A,2036
40910,63rd-Dan Ryan,01/16/2018,W,2800
40910,63rd-Dan Ryan,02/21/2018,W,3005
40910,63rd-Dan Ryan,02/16/2018,W,2993
40910,63rd-Dan Ryan,03/02/2018,W,2920
40910,63rd-Dan Ryan,03/13/2018,W,2935
40910,63rd-Dan Ryan,03/05/2018,W,2906
40910,63rd-Dan Ryan,03/20/2018,W,2941
40910,63rd-Dan Ryan,01/15/2018,W,1718
40910,63rd-Dan Ryan,02/04/2018,U,1380
40910,63rd-Dan Ryan,03/07/2018,W,3012
40910,63rd-Dan Ryan,02/01/2018,W,2918
40910,63rd-Dan Ryan,01/27/2018,A,1982
40910,63rd-Dan Ryan,01/20/2018,A,2007
40910,63rd-Dan Ryan,02/12/2018,W,2714
40910,63rd-Dan Ryan,03/18/2018,U,1725
40910,63rd-Dan Ryan,03/30/2018,W,2495
40910,63rd-Dan Ryan,01/12/2018,W,2790
40910,63rd-Dan Ryan,01/18/2018,W,2781
40910,63rd-Dan Ryan,01/21/2018,U,1468
40910,63rd-Dan Ryan,01/17/2018,W,2871
40910,63rd-Dan Ryan,02/09/2018,W,1852
40910,63rd-Dan Ryan,03/27/2018,W,2529
40910,63rd-Dan Ryan,02/07/2018,W,2891
40910,63rd-Dan Ryan,01/10/2018,W,2934
40910,63rd-Dan Ryan,01/09/2018,W,2970
40910,63rd-Dan Ryan,02/23/2018,W,3130
40910,63rd-Dan Ryan,01/08/2018,W,2654
40910,63rd-Dan Ryan,01/22/2018,W,2897
40910,63rd-Dan Ryan,01/03/2018,W,2177
40910,63rd-Dan Ryan,03/17/2018,A,2019
40910,63rd-Dan Ryan,01/11/2018,W,2851
40910,63rd-Dan Ryan,03/10/2018,A,2041
40910,63rd-Dan Ryan,02/26/2018,W,3034
40910,63rd-Dan Ryan,03/26/2018,W,2429
40910,63rd-Dan Ryan,03/12/2018,W,2829
40910,63rd-Dan Ryan,02/08/2018,W,2785
40910,63rd-Dan Ryan,03/09/2018,W,2972
