station_id,stationname,date,daytype,rides
41420,Addison-North Main,12/19/2017,W,6034
41420,Addison-North Main,12/06/2017,W,6136
41420,Addison-North Main,12/22/2017,W,4848
41420,Addison-North Main,12/13/2017,W,5979
41420,Addison-North Main,12/21/2017,W,5496
41420,Addison-North Main,12/18/2017,W,5802
41420,Addison-North Main,12/23/2017,A,3100
41420,Addison-North Main,12/04/2017,W,6152
41420,Addison-North Main,12/01/2017,W,6815
41420,Addison-North Main,12/31/2017,U,2690
41420,Addison-North Main,12/10/2017,U,3530
41420,Addison-North Main,12/25/2017,U,668
41420,Addison-North Main,12/11/2017,W,5987
41420,Addison-North Main,12/16/2017,A,5212
41420,Addison-North Main,12/26/2017,W,1914
41420,Addison-North Main,12/12/2017,W,5912
41420,Addison-North Main,12/20/2017,W,5881
41420,Addison-North Main,12/07/2017,W,6168
41420,Addison-North Main,12/09/2017,A,5458
41420,Addison-North Main,12/29/2017,W,3914
41420,Addison-North Main,12/02/2017,A,5921
41420,Addison-North Main,12/05/2017,W,5990
41420,Addison-North Main,12/03/2017,U,4203
41420,Addison-North Main,12/17/2017,U,3703
41420,Addison-North Main,12/24/2017,U,1514
41420,Addison-North Main,12/28/2017,W,3458
41420,Addison-North Main,12/08/2017,W,6610
41420,Addison-North Main,12/15/2017,W,6306
41420,Addison-North Main,12/27/2017,W,2851
41420,Addison-North Main,12/14/2017,W,6259
41420,Addison-North Main,12/30/2017,A,2762
41420,Addison-North Main,02/19/2018,W,4685
41420,Addison-North Main,02/08/2018,W,6145
41420,Addison-North Main,03/26/2018,W,6161
41420,Addison-North Main,02/05/2018,W,5692
41420,Addison-North Main,03/30/2018,W,5757
41420,Addison-North Main,01/01/2018,U,2975
41420,Addison-North Main,01/30/2018,W,6141
41420,Addison-North Main,03/31/2018,A,3849
41420,Addison-North Main,01/28/2018,U,2868
41420,Addison-North Main,02/13/2018,W,6299
41420,Addison-North Main,02/20/2018,W,6239
41420,Addison-North Main,03/12/2018,W,6246
41420,Addison-North Main,03/20/2018,W,5932
41420,Addison-North Main,01/31/2018,W,6220
41420,Addison-North Main,02/16/2018,W,6362
41420,Addison-North Main,01/22/2018,W,6203
41420,Addison-North Main,02/27/2018,W,6628
41420,Addison-North Main,03/11/2018,U,3262
41420,Addison-North Main,03/10/2018,A,4267
41420,Addison-North Main,03/29/2018,W,6595
41420,Addison-North Main,03/21/2018,W,5915
41420,Addison-North Main,02/10/2018,A,4034
41420,Addison-North Main,03/08/2018,W,6366
41420,Addison-North Main,01/05/2018,W,4950
41420,Addison-North Main,02/07/2018,W,6122
41420,Addison-North Main,02/26/2018,W,6095
41420,Addison-North Main,02/28/2018,W,6415
41420,Addison-North Main,02/02/2018,W,5482
41420,Addison-North Main,02/17/2018,A,4036
41420,Addison-North Main,01/16/2018,W,6119
41420,Addison-North Main,02/06/2018,W,6126
41420,Addison-North Main,02/25/2018,U,3115
41420,Addison-North Main,01/25/2018,W,6422
41420,Addison-North Main,02/23/2018,W,6140
41420,Addison-North Main,02/15/2018,W,6580
41420,Addison-North Main,01/19/2018,W,6115
41420,Addison-North Main,01/03/2018,W,5192
41420,Addison-North Main,01/29/2018,W,5971
41420,Addison-North Main,03/19/2018,W,6181
41420,Addison-North Main,03/06/2018,W,6108
41420,Addison-North Main,02/21/2018,W,6356
41420,Addison-North Main,03/17/2018,A,12323
41420,Addison-North Main,01/08/2018,W,5895
41420,Addison-North Main,01/14/2018,U,2628
41420,Addison-North Main,03/05/2018,W,5846
41420,Addison-North Main,01/27/2018,A,4126
41420,Addison-North Main,01/24/2018,W,6277
41420,Addison-North Main,01/13/2018,A,3324
41420,Addison-North Main,03/13/2018,W,6428
41420,Addison-North Main,02/12/2018,W,6060
41420,Addison-North Main,01/18/2018,W,6192
41420,Addison-North Main,03/01/2018,W,6366
41420,Addison-North Main,02/22/2018,W,6435
41420,Addison-North Main,03/25/2018,U,3098
41420,Addison-North Main,02/03/2018,A,3607
41420,Addison-North Main,02/04/2018,U,2592
41420,Addison-North Main,01/09/2018,W,6000
41420,Addison-North Main,03/28/2018,W,6436
41420,Addison-North Main,01/11/2018,W,6061
41420,Addison-North Main,01/17/2018,W,6054
41420,Addison-North Main,03/09/2018,W,6161
41420,Addison-North Main,03/24/2018,A,4013
41420,Addison-North Main,02/09/2018,W,4556
41420,Addison-North Main,01/26/2018,W,6122
41420,Addison-North Main,03/16/2018,W,7108
41420,Addison-North Main,01/04/2018,W,5224
41420,Addison-North Main,02/24/2018,A,4195
41420,Addison-North Main,03/02/2018,W,6261
41420,Addison-North Main,03/23/2018,W,6135
41420,Addison-North Main,02/18/2018,U,3414
41420,Addison-North Main,03/07/2018,W,6183
41420,Addison-North Main,01/06/2018,A,2835
41420,Addison-North Main,01/12/2018,W,4451
41420,Addison-North Main,01/07/2018,U,2291
41420,Addison-North Main,01/15/2018,W,3715
41420,Addison-North Main,03/18/2018,U,4506
41420,Addison-North Main,03/14/2018,W,6516
41420,Addison-North Main,03/03/2018,A,4228
41420,Addison-North Main,02/14/2018,W,6430
41420,Addison-North Main,01/23/2018,W,6361
41420,Addison-North Main,02/11/2018,U,2913
41420,Addison-North Main,03/22/2018,W,6099
41420,Addison-North Main,01/20/2018,A,4348
41420,Addison-North Main,01/21/2018,U,2928
41420,Addison-North Main,02/01/2018,W,6171
41420,Addison-North Main,03/04/2018,U,3056
41420,Addison-North Main,03/15/2018,W,6663
41420,Addison-North Main,01/10/2018,W,6003
41420,Addison-North Main,03/27/2018,W,6337
41420,Addison-North Main,01/02/2018,W,4448
41420,Addison-North Main,06/29/2018,W,17567
41420,Addison-North Main,04/12/2018,W,11968
41420,Addison-North Main,04/23/2018,W,6270
41420,Addison-North Main,06/19/2018,W,17728
41420,Addison-North Main,04/28/2018,A,12071
41420,Addison-North Main,06/06/2018,W,14825
41420,Addison-North Main,05/04/2018,W,6686
41420,Addison-North Main,05/22/2018,W,14268
41420,Addison-North Main,05/19/2018,A,5100
41420,Addison-North Main,04/18/2018,W,7041
41420,Addison-North Main,05/01/2018,W,13276
41420,Addison-North Main,04/27/2018,W,13307
41420,Addison-North Main,05/14/2018,W,11529
41420,Addison-North Main,04/30/2018,W,11643
41420,Addison-North Main,04/10/2018,W,12581
41420,Addison-North Main,04/01/2018,U,2357
41420,Addison-North Main,06/09/2018,A,13838
41420,Addison-North Main,06/05/2018,W,14775
41420,Addison-North Main,04/20/2018,W,6747
41420,Addison-North Main,06/17/2018,U,6485
