station_id,stationname,date,daytype,rides
40340,Berwyn,12/20/2017,W,3113
40340,Berwyn,12/21/2017,W,3010
40340,Berwyn,12/26/2017,W,1576
40340,Berwyn,12/13/2017,W,3374
40340,Berwyn,12/03/2017,U,1919
40340,Berwyn,12/02/2017,A,2640
40340,Berwyn,12/30/2017,A,1686
40340,Berwyn,12/31/2017,U,1588
40340,Berwyn,12/17/2017,U,1744
40340,Berwyn,12/05/2017,W,3359
40340,Berwyn,12/15/2017,W,3317
40340,Berwyn,12/27/2017,W,1919
40340,Berwyn,12/10/2017,U,1884
40340,Berwyn,12/14/2017,W,3346
40340,Berwyn,12/08/2017,W,3477
40340,Berwyn,12/12/2017,W,3289
40340,Berwyn,12/19/2017,W,3191
40340,Berwyn,12/25/2017,U,606
40340,Berwyn,12/29/2017,W,2371
40340,Berwyn,12/23/2017,A,1845
40340,Berwyn,12/09/2017,A,2373
40340,Berwyn,12/22/2017,W,2835
40340,Berwyn,12/01/2017,W,3646
40340,Berwyn,12/06/2017,W,3452
40340,Berwyn,12/18/2017,W,3143
40340,Berwyn,12/11/2017,W,3309
40340,Berwyn,12/24/2017,U,1248
40340,Berwyn,12/28/2017,W,2088
40340,Berwyn,12/07/2017,W,3383
40340,Berwyn,12/04/2017,W,3403
40340,Berwyn,12/16/2017,A,2404
40340,Berwyn,02/08/2018,W,3428
40340,Berwyn,03/28/2018,W,3259
40340,Berwyn,01/15/2018,W,2254
40340,Berwyn,03/20/2018,W,3198
40340,Berwyn,01/13/2018,A,1912
40340,Berwyn,03/31/2018,A,2141
40340,Berwyn,03/15/2018,W,3357
40340,Berwyn,03/21/2018,W,3262
40340,Berwyn,02/02/2018,W,3159
40340,Berwyn,01/09/2018,W,3096
40340,Berwyn,01/14/2018,U,1520
40340,Berwyn,01/25/2018,W,3296
40340,Berwyn,02/03/2018,A,2153
40340,Berwyn,03/07/2018,W,3283
40340,Berwyn,03/06/2018,W,3238
40340,Berwyn,01/12/2018,W,3016
40340,Berwyn,02/18/2018,U,1835
40340,Berwyn,03/14/2018,W,3457
40340,Berwyn,01/23/2018,W,3389
40340,Berwyn,02/09/2018,W,2694
40340,Berwyn,03/02/2018,W,3470
40340,Berwyn,02/20/2018,W,3253
40340,Berwyn,03/23/2018,W,3313
40340,Berwyn,03/16/2018,W,3363
40340,Berwyn,03/11/2018,U,1686
40340,Berwyn,01/07/2018,U,1556
40340,Berwyn,02/13/2018,W,3450
40340,Berwyn,02/10/2018,A,2248
40340,Berwyn,01/27/2018,A,2251
40340,Berwyn,01/21/2018,U,1642
40340,Berwyn,02/04/2018,U,1564
40340,Berwyn,02/24/2018,A,2366
40340,Berwyn,01/04/2018,W,2756
40340,Berwyn,03/29/2018,W,3045
40340,Berwyn,02/15/2018,W,3404
40340,Berwyn,01/03/2018,W,2883
40340,Berwyn,03/03/2018,A,2378
40340,Berwyn,01/28/2018,U,1716
40340,Berwyn,03/27/2018,W,3128
40340,Berwyn,02/16/2018,W,3310
40340,Berwyn,03/09/2018,W,3260
40340,Berwyn,03/30/2018,W,2945
40340,Berwyn,02/07/2018,W,3345
40340,Berwyn,02/06/2018,W,3254
40340,Berwyn,02/19/2018,W,2531
40340,Berwyn,01/18/2018,W,3337
40340,Berwyn,02/23/2018,W,3281
40340,Berwyn,02/17/2018,A,2170
40340,Berwyn,02/12/2018,W,3344
40340,Berwyn,03/17/2018,A,2836
40340,Berwyn,01/29/2018,W,3114
40340,Berwyn,05/21/2009,W,3287
40340,Berwyn,01/30/2018,W,3271
40340,Berwyn,02/25/2018,U,1702
40340,Berwyn,01/20/2018,A,2684
40340,Berwyn,02/28/2018,W,3387
40340,Berwyn,01/02/2018,W,2383
40340,Berwyn,03/18/2018,U,1862
40340,Berwyn,01/01/2018,U,1054
40340,Berwyn,03/08/2018,W,3271
40340,Berwyn,01/22/2018,W,3304
40340,Berwyn,02/26/2018,W,3287
40340,Berwyn,01/24/2018,W,3361
40340,Berwyn,03/10/2018,A,2339
40340,Berwyn,02/27/2018,W,3400
40340,Berwyn,01/17/2018,W,3285
40340,Berwyn,01/16/2018,W,3250
40340,Berwyn,03/25/2018,U,1777
40340,Berwyn,01/10/2018,W,3226
40340,Berwyn,01/11/2018,W,3124
40340,Berwyn,01/19/2018,W,3333
40340,Berwyn,01/06/2018,A,1808
40340,Berwyn,03/26/2018,W,3083
40340,Berwyn,03/24/2018,A,2291
40340,Berwyn,02/11/2018,U,1778
40340,Berwyn,02/01/2018,W,3232
40340,Berwyn,01/05/2018,W,2722
40340,Berwyn,03/05/2018,W,3116
40340,Berwyn,03/22/2018,W,3306
40340,Berwyn,01/08/2018,W,3045
40340,Berwyn,01/31/2018,W,3350
40340,Berwyn,02/14/2018,W,3404
40340,Berwyn,03/01/2018,W,3417
40340,Berwyn,03/19/2018,W,3224
40340,Berwyn,02/05/2018,W,3067
40340,Berwyn,03/04/2018,U,1669
40340,Berwyn,03/13/2018,W,3295
40340,Berwyn,02/22/2018,W,3288
40340,Berwyn,01/26/2018,W,3366
40340,Berwyn,03/12/2018,W,3130
40340,Berwyn,02/21/2018,W,3354
40340,Berwyn,04/08/2018,U,1675
40340,Berwyn,04/09/2018,W,3295
40340,Berwyn,05/22/2018,W,3241
40340,Berwyn,05/09/2018,W,3287
40340,Berwyn,06/16/2018,A,2591
40340,Berwyn,04/12/2018,W,3351
40340,Berwyn,06/11/2018,W,3227
40340,Berwyn,04/24/2018,W,3254
40340,Berwyn,06/29/2018,W,3435
40340,Berwyn,05/01/2018,W,3397
40340,Berwyn,06/26/2018,W,3147
40340,Berwyn,05/25/2018,W,3263
40340,Berwyn,04/04/2018,W,3315
40340,Berwyn,06/18/2018,W,3191
40340,Berwyn,04/11/2018,W,3387
40340,Berwyn,05/18/2018,W,3132
40340,Berwyn,04/26/2018,W,3341
40340,Berwyn,04/29/2018,U,1871
40340,Berwyn,04/30/2018,W,3341
40340,Berwyn,06/14/2018,W,3331
40340,Berwyn,04/27/2018,W,3271
40340,Berwyn,06/02/2018,A,2339
40340,Berwyn,04/05/2018,W,3361
40340,Berwyn,05/24/2018,W,3294
40340,Berwyn,05/21/2018,W,3030
40340,Berwyn,06/10/2018,U,2152
40340,Berwyn,05/20/2018,U,1692
40340,Berwyn,06/08/2018,W,3667
40340,Berwyn,05/26/2018,A,2429
40340,Berwyn,04/21/2018,A,2179
40340,Berwyn,06/30/2018,A,2514
40340,Berwyn,06/23/2018,A,2526
40340,Berwyn,05/31/2018,W,3357
40340,Berwyn,06/17/2018,U,1891
40340,Berwyn,04/13/2018,W,3153
40340,Berwyn,05/23/2018,W,3328
40340,Berwyn,05/05/2018,A,2492
40340,Berwyn,05/12/2018,A,2032
40340,Berwyn,04/03/2018,W,3211
40340,Berwyn,05/19/2018,A,2229
40340,Berwyn,06/09/2018,A,3237
40340,Berwyn,05/15/2018,W,3172
40340,Berwyn,06/22/2018,W,3112
40340,Berwyn,04/06/2018,W,3304
40340,Berwyn,04/23/2018,W,3094
40340,Berwyn,05/04/2018,W,3378
40340,Berwyn,06/24/2018,U,3149
40340,Berwyn,04/28/2018,A,2391
40340,Berwyn,06/07/2018,W,3432
40340,Berwyn,05/28/2018,U,1846
40340,Berwyn,05/03/2018,W,3337
40340,Berwyn,04/17/2018,W,3368
40340,Berwyn,04/20/2018,W,3275
40340,Berwyn,06/15/2018,W,3497
40340,Berwyn,05/10/2018,W,3280
40340,Berwyn,05/02/2018,W,3310
40340,Berwyn,05/29/2018,W,3156
40340,Berwyn,06/21/2018,W,3118
40340,Berwyn,06/25/2018,W,3116
40340,Berwyn,04/02/2018,W,3227
40340,Berwyn,04/18/2018,W,3165
40340,Berwyn,05/11/2018,W,3285
40340,Berwyn,06/28/2018,W,3358
40340,Berwyn,06/05/2018,W,3400
40340,Berwyn,05/27/2018,U,2183
40340,Berwyn,04/10/2018,W,3358
40340,Berwyn,05/08/2018,W,3343
40340,Berwyn,06/01/2018,W,3651
40340,Berwyn,06/12/2018,W,3267
40340,Berwyn,05/17/2018,W,3209
40340,Berwyn,06/19/2018,W,3337
40340,Berwyn,04/15/2018,U,1590
40340,Berwyn,04/01/2018,U,1539
40340,Berwyn,04/16/2018,W,3224
40340,Berwyn,06/20/2018,W,3374
40340,Berwyn,05/07/2018,W,3317
40340,Berwyn,06/13/2018,W,3371
40340,Berwyn,04/25/2018,W,3205
40340,Berwyn,06/03/2018,U,1885
40340,Berwyn,06/04/2018,W,3338
40340,Berwyn,04/22/2018,U,1733
40340,Berwyn,05/06/2018,U,1907
40340,Berwyn,06/06/2018,W,3381
40340,Berwyn,05/30/2018,W,3303
40340,Berwyn,05/16/2018,W,3311
40340,Berwyn,04/14/2018,A,2018
40340,Berwyn,04/07/2018,A,2286
40340,Berwyn,05/13/2018,U,1766
40340,Berwyn,05/14/2018,W,3142
40340,Berwyn,06/27/2018,W,3222
40340,Berwyn,04/19/2018,W,3220
40340,Berwyn,07/01/2018,U,1836
40340,Berwyn,07/02/2018,W,3038
40340,Berwyn,07/03/2018,W,3271
