station_id,stationname,date,daytype,rides
40440,California-Cermak,12/02/2017,A,841
40440,California-Cermak,12/18/2017,W,1337
40440,California-Cermak,12/27/2017,W,848
40440,California-Cermak,12/16/2017,A,818
40440,California-Cermak,12/15/2017,W,1336
40440,California-Cermak,12/05/2017,W,1427
40440,California-Cermak,12/28/2017,W,983
40440,California-Cermak,12/09/2017,A,712
40440,California-Cermak,12/20/2017,W,1345
40440,California-Cermak,12/31/2017,U,461
40440,California-Cermak,12/19/2017,W,1319
40440,California-Cermak,12/12/2017,W,1315
40440,California-Cermak,12/14/2017,W,1351
40440,California-Cermak,12/06/2017,W,1390
40440,California-Cermak,12/22/2017,W,1231
40440,California-Cermak,12/17/2017,U,573
40440,California-Cermak,12/24/2017,U,469
40440,California-Cermak,12/07/2017,W,1412
40440,California-Cermak,12/01/2017,W,1462
40440,California-Cermak,12/03/2017,U,699
40440,California-Cermak,12/26/2017,W,701
40440,California-Cermak,12/10/2017,U,596
40440,California-Cermak,12/04/2017,W,1379
40440,California-Cermak,12/25/2017,U,311
40440,California-Cermak,12/23/2017,A,674
40440,California-Cermak,12/08/2017,W,1379
40440,California-Cermak,12/30/2017,A,546
40440,California-Cermak,12/13/2017,W,1387
40440,California-Cermak,12/11/2017,W,1378
40440,California-Cermak,12/29/2017,W,958
40440,California-Cermak,12/21/2017,W,1254
40440,California-Cermak,01/18/2018,W,1258
40440,California-Cermak,01/12/2018,W,1224
40440,California-Cermak,02/07/2018,W,1320
40440,California-Cermak,02/17/2018,A,743
40440,California-Cermak,01/13/2018,A,599
40440,California-Cermak,01/22/2018,W,1336
40440,California-Cermak,03/12/2018,W,1351
40440,California-Cermak,03/28/2018,W,1200
40440,California-Cermak,01/31/2018,W,1383
40440,California-Cermak,02/21/2018,W,1377
40440,California-Cermak,01/28/2018,U,526
40440,California-Cermak,02/18/2018,U,527
40440,California-Cermak,02/13/2018,W,1417
40440,California-Cermak,01/04/2018,W,1019
40440,California-Cermak,02/08/2018,W,1321
40440,California-Cermak,01/24/2018,W,1278
40440,California-Cermak,01/03/2018,W,1004
40440,California-Cermak,03/18/2018,U,593
40440,California-Cermak,01/19/2018,W,1346
40440,California-Cermak,03/23/2018,W,1351
40440,California-Cermak,01/25/2018,W,1340
40440,California-Cermak,02/10/2018,A,675
40440,California-Cermak,02/11/2018,U,524
40440,California-Cermak,02/26/2018,W,1360
40440,California-Cermak,01/10/2018,W,1240
40440,California-Cermak,01/26/2018,W,1406
40440,California-Cermak,03/26/2018,W,1226
40440,California-Cermak,02/03/2018,A,701
40440,California-Cermak,03/30/2018,W,1112
40440,California-Cermak,03/11/2018,U,502
40440,California-Cermak,03/13/2018,W,1406
40440,California-Cermak,02/06/2018,W,1299
40440,California-Cermak,01/11/2018,W,1290
40440,California-Cermak,03/31/2018,A,671
40440,California-Cermak,02/28/2018,W,1410
40440,California-Cermak,03/04/2018,U,585
40440,California-Cermak,03/09/2018,W,1357
40440,California-Cermak,03/20/2018,W,1318
40440,California-Cermak,01/17/2018,W,1287
40440,California-Cermak,01/06/2018,A,602
40440,California-Cermak,02/02/2018,W,1205
40440,California-Cermak,01/27/2018,A,736
40440,California-Cermak,03/03/2018,A,764
40440,California-Cermak,01/30/2018,W,1315
40440,California-Cermak,03/16/2018,W,1418
40440,California-Cermak,01/02/2018,W,826
40440,California-Cermak,03/27/2018,W,1180
40440,California-Cermak,02/20/2018,W,1367
40440,California-Cermak,03/17/2018,A,921
40440,California-Cermak,03/02/2018,W,1327
40440,California-Cermak,01/14/2018,U,477
40440,California-Cermak,03/22/2018,W,1366
40440,California-Cermak,01/23/2018,W,1284
40440,California-Cermak,02/22/2018,W,1449
40440,California-Cermak,03/06/2018,W,1361
40440,California-Cermak,02/15/2018,W,1354
40440,California-Cermak,02/16/2018,W,1335
40440,California-Cermak,02/24/2018,A,782
40440,California-Cermak,02/12/2018,W,1183
40440,California-Cermak,01/08/2018,W,1224
40440,California-Cermak,01/21/2018,U,511
40440,California-Cermak,01/20/2018,A,753
40440,California-Cermak,02/09/2018,W,960
40440,California-Cermak,01/15/2018,W,779
40440,California-Cermak,03/14/2018,W,1405
40440,California-Cermak,03/05/2018,W,1269
40440,California-Cermak,03/10/2018,A,708
40440,California-Cermak,01/09/2018,W,1269
40440,California-Cermak,01/07/2018,U,475
40440,California-Cermak,03/25/2018,U,576
40440,California-Cermak,01/01/2018,U,385
40440,California-Cermak,02/25/2018,U,544
40440,California-Cermak,02/19/2018,W,926
40440,California-Cermak,02/04/2018,U,452
40440,California-Cermak,02/05/2018,W,1223
40440,California-Cermak,03/19/2018,W,1301
40440,California-Cermak,03/21/2018,W,1366
40440,California-Cermak,01/29/2018,W,1290
40440,California-Cermak,03/01/2018,W,1346
40440,California-Cermak,02/01/2018,W,1340
40440,California-Cermak,03/07/2018,W,1323
40440,California-Cermak,03/08/2018,W,1382
40440,California-Cermak,01/16/2018,W,1296
40440,California-Cermak,03/15/2018,W,1445
40440,California-Cermak,03/29/2018,W,1210
40440,California-Cermak,02/23/2018,W,1344
40440,California-Cermak,02/27/2018,W,1471
40440,California-Cermak,03/24/2018,A,740
40440,California-Cermak,01/05/2018,W,1071
40440,California-Cermak,02/14/2018,W,1349
40440,California-Cermak,05/01/2018,W,1433
40440,California-Cermak,04/02/2018,W,1280
40440,California-Cermak,04/17/2018,W,1432
40440,California-Cermak,04/29/2018,U,568
40440,California-Cermak,06/06/2018,W,1444
40440,California-Cermak,05/23/2018,W,1435
40440,California-Cermak,05/29/2018,W,1407
40440,California-Cermak,06/25/2018,W,1376
40440,California-Cermak,06/14/2018,W,1420
40440,California-Cermak,04/30/2018,W,1410
40440,California-Cermak,04/21/2018,A,733
40440,California-Cermak,04/14/2018,A,658
40440,California-Cermak,05/31/2018,W,1491
40440,California-Cermak,05/11/2018,W,1354
40440,California-Cermak,06/24/2018,U,806
40440,California-Cermak,06/18/2018,W,1401
40440,California-Cermak,06/23/2018,A,892
40440,California-Cermak,05/25/2018,W,1424
40440,California-Cermak,06/22/2018,W,1293
40440,California-Cermak,05/05/2018,A,825
40440,California-Cermak,05/18/2018,W,1435
40440,California-Cermak,06/13/2018,W,1461
40440,California-Cermak,05/24/2018,W,1431
40440,California-Cermak,05/17/2018,W,1433
40440,California-Cermak,04/07/2018,A,739
40440,California-Cermak,04/11/2018,W,1339
40440,California-Cermak,04/05/2018,W,1344
40440,California-Cermak,06/26/2018,W,1387
40440,California-Cermak,06/01/2018,W,1509
40440,California-Cermak,05/26/2018,A,902
40440,California-Cermak,05/21/2018,W,1243
40440,California-Cermak,06/08/2018,W,1457
40440,California-Cermak,06/16/2018,A,885
40440,California-Cermak,06/20/2018,W,1386
40440,California-Cermak,04/08/2018,U,603
40440,California-Cermak,05/08/2018,W,1509
40440,California-Cermak,05/14/2018,W,1245
40440,California-Cermak,06/07/2018,W,1459
40440,California-Cermak,06/10/2018,U,598
40440,California-Cermak,04/25/2018,W,1493
40440,California-Cermak,06/03/2018,U,712
40440,California-Cermak,05/12/2018,A,790
40440,California-Cermak,05/13/2018,U,524
40440,California-Cermak,04/06/2018,W,1323
40440,California-Cermak,06/29/2018,W,1414
40440,California-Cermak,05/04/2018,W,1425
40440,California-Cermak,04/15/2018,U,505
40440,California-Cermak,05/19/2018,A,826
40440,California-Cermak,04/19/2018,W,1389
40440,California-Cermak,04/12/2018,W,1403
40440,California-Cermak,05/16/2018,W,1418
40440,California-Cermak,04/26/2018,W,1464
40440,California-Cermak,06/05/2018,W,1461
40440,California-Cermak,04/01/2018,U,515
40440,California-Cermak,04/20/2018,W,1413
40440,California-Cermak,04/27/2018,W,1392
40440,California-Cermak,06/21/2018,W,1224
40440,California-Cermak,05/07/2018,W,1421
40440,California-Cermak,05/30/2018,W,1447
40440,California-Cermak,05/20/2018,U,548
40440,California-Cermak,04/18/2018,W,1352
40440,California-Cermak,05/06/2018,U,592
40440,California-Cermak,06/19/2018,W,1394
40440,California-Cermak,06/02/2018,A,952
40440,California-Cermak,06/30/2018,A,822
40440,California-Cermak,06/11/2018,W,1365
40440,California-Cermak,05/27/2018,U,707
40440,California-Cermak,06/27/2018,W,1474
40440,California-Cermak,06/17/2018,U,594
40440,California-Cermak,06/28/2018,W,1436
40440,California-Cermak,04/22/2018,U,609
40440,California-Cermak,05/10/2018,W,1359
40440,California-Cermak,05/03/2018,W,1421
40440,California-Cermak,05/15/2018,W,1427
40440,California-Cermak,04/13/2018,W,1331
40440,California-Cermak,05/28/2018,U,588
40440,California-Cermak,04/04/2018,W,1360
40440,California-Cermak,04/03/2018,W,1358
40440,California-Cermak,04/10/2018,W,1302
40440,California-Cermak,05/22/2018,W,1436
40440,California-Cermak,06/09/2018,A,833
40440,California-Cermak,06/12/2018,W,1385
40440,California-Cermak,04/16/2018,W,1329
40440,California-Cermak,04/28/2018,A,740
40440,California-Cermak,04/09/2018,W,1265
40440,California-Cermak,06/04/2018,W,1456
40440,California-Cermak,05/09/2018,W,1478
40440,California-Cermak,04/24/2018,W,1484
40440,California-Cermak,04/23/2018,W,1293
40440,California-Cermak,05/02/2018,W,1401
40440,California-Cermak,06/15/2018,W,1503
40440,California-Cermak,07/01/2018,U,591
40440,California-Cermak,07/02/2018,W,1321
40440,California-Cermak,07/03/2018,W,1346
40440,California-Cermak,07/04/2018,U,692
40440,California-Cermak,07/05/2018,W,1208
40440,California-Cermak,07/06/2018,W,1346
40440,California-Cermak,07/07/2018,A,778
40440,California-Cermak,07/08/2018,U,553
40440,California-Cermak,07/09/2018,W,1319
40440,California-Cermak,07/10/2018,W,1456
40440,California-Cermak,07/11/2018,W,1426
40440,California-Cermak,07/12/2018,W,1454
40440,California-Cermak,07/13/2018,W,1398
40440,California-Cermak,07/14/2018,A,822
40440,California-Cermak,07/15/2018,U,663
40440,California-Cermak,07/16/2018,W,1311
40440,California-Cermak,07/17/2018,W,1433
