station_id,stationname,date,daytype,rides
41250,Central-Evanston,12/20/2017,W,704
41250,Central-Evanston,12/15/2017,W,749
41250,Central-Evanston,12/27/2017,W,461
41250,Central-Evanston,12/13/2017,W,757
41250,Central-Evanston,12/30/2017,A,234
41250,Central-Evanston,12/23/2017,A,278
41250,Central-Evanston,12/06/2017,W,734
41250,Central-Evanston,12/02/2017,A,368
41250,Central-Evanston,12/12/2017,W,759
41250,Central-Evanston,12/21/2017,W,758
41250,Central-Evanston,12/22/2017,W,621
41250,Central-Evanston,12/26/2017,W,376
41250,Central-Evanston,12/28/2017,W,497
41250,Central-Evanston,12/09/2017,A,314
41250,Central-Evanston,12/05/2017,W,783
41250,Central-Evanston,12/07/2017,W,743
41250,Central-Evanston,12/18/2017,W,727
41250,Central-Evanston,12/31/2017,U,216
41250,Central-Evanston,12/10/2017,U,212
41250,Central-Evanston,12/17/2017,U,234
41250,Central-Evanston,12/19/2017,W,706
41250,Central-Evanston,12/29/2017,W,511
41250,Central-Evanston,12/16/2017,A,365
41250,Central-Evanston,12/24/2017,U,181
41250,Central-Evanston,12/14/2017,W,748
41250,Central-Evanston,12/03/2017,U,247
41250,Central-Evanston,12/01/2017,W,801
41250,Central-Evanston,12/04/2017,W,726
41250,Central-Evanston,12/08/2017,W,751
41250,Central-Evanston,12/11/2017,W,720
41250,Central-Evanston,12/25/2017,U,99
41250,Central-Evanston,02/07/2018,W,771
41250,Central-Evanston,01/10/2018,W,721
41250,Central-Evanston,03/27/2018,W,690
41250,Central-Evanston,01/19/2018,W,761
41250,Central-Evanston,02/01/2018,W,680
41250,Central-Evanston,01/23/2018,W,736
41250,Central-Evanston,01/12/2018,W,686
41250,Central-Evanston,01/25/2018,W,738
41250,Central-Evanston,03/19/2018,W,693
41250,Central-Evanston,02/11/2018,U,223
41250,Central-Evanston,03/31/2018,A,265
41250,Central-Evanston,03/22/2018,W,722
41250,Central-Evanston,02/19/2018,W,637
41250,Central-Evanston,01/09/2018,W,699
41250,Central-Evanston,02/09/2018,W,697
41250,Central-Evanston,01/21/2018,U,241
41250,Central-Evanston,01/01/2018,U,133
41250,Central-Evanston,01/22/2018,W,668
41250,Central-Evanston,03/15/2018,W,735
41250,Central-Evanston,02/10/2018,A,328
41250,Central-Evanston,01/31/2018,W,757
41250,Central-Evanston,02/13/2018,W,778
41250,Central-Evanston,01/28/2018,U,218
41250,Central-Evanston,01/14/2018,U,186
41250,Central-Evanston,02/14/2018,W,792
41250,Central-Evanston,02/08/2018,W,744
41250,Central-Evanston,01/03/2018,W,597
41250,Central-Evanston,02/27/2018,W,796
41250,Central-Evanston,03/08/2018,W,691
41250,Central-Evanston,03/20/2018,W,747
41250,Central-Evanston,03/26/2018,W,696
41250,Central-Evanston,03/13/2018,W,765
41250,Central-Evanston,02/25/2018,U,223
41250,Central-Evanston,01/05/2018,W,612
41250,Central-Evanston,02/17/2018,A,327
41250,Central-Evanston,02/02/2018,W,674
41250,Central-Evanston,02/24/2018,A,322
41250,Central-Evanston,02/26/2018,W,720
41250,Central-Evanston,02/18/2018,U,248
41250,Central-Evanston,02/05/2018,W,718
41250,Central-Evanston,01/16/2018,W,698
41250,Central-Evanston,03/14/2018,W,772
41250,Central-Evanston,03/12/2018,W,749
41250,Central-Evanston,02/04/2018,U,183
41250,Central-Evanston,01/07/2018,U,186
41250,Central-Evanston,01/29/2018,W,696
41250,Central-Evanston,03/16/2018,W,744
41250,Central-Evanston,03/24/2018,A,355
41250,Central-Evanston,03/30/2018,W,616
41250,Central-Evanston,01/15/2018,W,536
41250,Central-Evanston,01/30/2018,W,766
41250,Central-Evanston,01/24/2018,W,784
41250,Central-Evanston,01/27/2018,A,309
41250,Central-Evanston,03/01/2018,W,741
41250,Central-Evanston,02/20/2018,W,734
41250,Central-Evanston,01/13/2018,A,241
41250,Central-Evanston,02/06/2018,W,727
41250,Central-Evanston,02/15/2018,W,853
41250,Central-Evanston,01/26/2018,W,781
41250,Central-Evanston,03/10/2018,A,314
41250,Central-Evanston,03/07/2018,W,719
41250,Central-Evanston,02/23/2018,W,782
41250,Central-Evanston,01/08/2018,W,694
41250,Central-Evanston,01/02/2018,W,538
41250,Central-Evanston,03/06/2018,W,732
41250,Central-Evanston,02/16/2018,W,724
41250,Central-Evanston,01/17/2018,W,719
41250,Central-Evanston,03/05/2018,W,703
