station_id,stationname,date,daytype,rides
40280,Central-Lake,12/02/2017,A,1270
40280,Central-Lake,12/03/2017,U,983
40280,Central-Lake,12/12/2017,W,1854
40280,Central-Lake,12/19/2017,W,1992
40280,Central-Lake,12/30/2017,A,908
40280,Central-Lake,12/09/2017,A,1116
40280,Central-Lake,12/27/2017,W,1317
40280,Central-Lake,12/07/2017,W,1964
40280,Central-Lake,12/28/2017,W,1485
40280,Central-Lake,12/16/2017,A,1271
40280,Central-Lake,12/17/2017,U,945
40280,Central-Lake,12/06/2017,W,1975
40280,Central-Lake,12/13/2017,W,1927
40280,Central-Lake,12/01/2017,W,2176
40280,Central-Lake,12/05/2017,W,1971
40280,Central-Lake,12/29/2017,W,1594
40280,Central-Lake,12/04/2017,W,2020
40280,Central-Lake,12/24/2017,U,854
40280,Central-Lake,12/25/2017,U,660
40280,Central-Lake,12/11/2017,W,1904
40280,Central-Lake,12/21/2017,W,1895
40280,Central-Lake,12/23/2017,A,1116
40280,Central-Lake,12/15/2017,W,2003
40280,Central-Lake,12/26/2017,W,1221
40280,Central-Lake,12/08/2017,W,1999
40280,Central-Lake,12/22/2017,W,1840
40280,Central-Lake,12/18/2017,W,1970
40280,Central-Lake,12/14/2017,W,2001
40280,Central-Lake,12/31/2017,U,795
40280,Central-Lake,12/20/2017,W,2026
40280,Central-Lake,12/10/2017,U,875
40280,Central-Lake,03/30/2018,W,1838
40280,Central-Lake,03/25/2018,U,935
40280,Central-Lake,02/18/2018,U,924
40280,Central-Lake,02/09/2018,W,1311
40280,Central-Lake,01/05/2018,W,1665
40280,Central-Lake,01/16/2018,W,1854
40280,Central-Lake,01/13/2018,A,1097
40280,Central-Lake,03/18/2018,U,895
40280,Central-Lake,03/03/2018,A,1291
40280,Central-Lake,01/07/2018,U,773
40280,Central-Lake,03/14/2018,W,2127
40280,Central-Lake,01/30/2018,W,1987
40280,Central-Lake,02/08/2018,W,1903
40280,Central-Lake,03/20/2018,W,1892
40280,Central-Lake,02/02/2018,W,1848
40280,Central-Lake,02/15/2018,W,1982
40280,Central-Lake,02/22/2018,W,2044
40280,Central-Lake,01/24/2018,W,1951
40280,Central-Lake,03/08/2018,W,1988
40280,Central-Lake,03/24/2018,A,1170
40280,Central-Lake,03/07/2018,W,2026
40280,Central-Lake,01/06/2018,A,943
40280,Central-Lake,02/14/2018,W,2046
40280,Central-Lake,03/13/2018,W,1930
40280,Central-Lake,02/16/2018,W,2071
40280,Central-Lake,02/20/2018,W,1963
40280,Central-Lake,01/02/2018,W,1394
40280,Central-Lake,02/21/2018,W,2153
40280,Central-Lake,03/12/2018,W,1898
40280,Central-Lake,01/12/2018,W,1834
40280,Central-Lake,02/23/2018,W,2113
40280,Central-Lake,02/12/2018,W,1684
40280,Central-Lake,01/08/2018,W,1790
40280,Central-Lake,03/29/2018,W,1763
40280,Central-Lake,03/21/2018,W,2035
40280,Central-Lake,03/16/2018,W,2011
40280,Central-Lake,01/01/2018,U,574
40280,Central-Lake,03/17/2018,A,1235
40280,Central-Lake,03/05/2018,W,1886
40280,Central-Lake,02/24/2018,A,1288
40280,Central-Lake,01/15/2018,W,1176
40280,Central-Lake,01/03/2018,W,1626
40280,Central-Lake,02/05/2018,W,1727
40280,Central-Lake,03/10/2018,A,1186
40280,Central-Lake,01/27/2018,A,1203
40280,Central-Lake,03/09/2018,W,2039
40280,Central-Lake,02/13/2018,W,1965
40280,Central-Lake,03/11/2018,U,909
40280,Central-Lake,01/21/2018,U,876
40280,Central-Lake,03/15/2018,W,2093
40280,Central-Lake,02/26/2018,W,2006
40280,Central-Lake,01/17/2018,W,1927
40280,Central-Lake,03/19/2018,W,1921
40280,Central-Lake,03/31/2018,A,1131
40280,Central-Lake,02/28/2018,W,2079
40280,Central-Lake,02/07/2018,W,1916
40280,Central-Lake,02/11/2018,U,778
40280,Central-Lake,03/22/2018,W,2018
40280,Central-Lake,02/03/2018,A,1111
40280,Central-Lake,02/25/2018,U,938
40280,Central-Lake,01/23/2018,W,1941
40280,Central-Lake,03/26/2018,W,1766
40280,Central-Lake,03/23/2018,W,2000
40280,Central-Lake,01/29/2018,W,1842
40280,Central-Lake,02/06/2018,W,1866
40280,Central-Lake,01/31/2018,W,2032
40280,Central-Lake,01/26/2018,W,2083
40280,Central-Lake,01/10/2018,W,1902
40280,Central-Lake,01/18/2018,W,1891
40280,Central-Lake,02/04/2018,U,794
40280,Central-Lake,02/17/2018,A,1144
40280,Central-Lake,03/28/2018,W,1866
40280,Central-Lake,03/04/2018,U,995
40280,Central-Lake,02/10/2018,A,1031
40280,Central-Lake,01/09/2018,W,1846
40280,Central-Lake,01/04/2018,W,1559
40280,Central-Lake,02/19/2018,W,1409
40280,Central-Lake,02/01/2018,W,1976
40280,Central-Lake,02/27/2018,W,2138
40280,Central-Lake,01/22/2018,W,2021
40280,Central-Lake,01/11/2018,W,1895
40280,Central-Lake,03/27/2018,W,1747
40280,Central-Lake,01/20/2018,A,1123
40280,Central-Lake,01/25/2018,W,2025
40280,Central-Lake,03/01/2018,W,2033
40280,Central-Lake,03/02/2018,W,2189
40280,Central-Lake,03/06/2018,W,2040
40280,Central-Lake,01/28/2018,U,864
40280,Central-Lake,01/19/2018,W,1956
40280,Central-Lake,01/14/2018,U,813
40280,Central-Lake,04/01/2018,U,879
40280,Central-Lake,06/30/2018,A,1231
40280,Central-Lake,05/22/2018,W,2118
40280,Central-Lake,04/19/2018,W,1920
40280,Central-Lake,05/05/2018,A,1435
40280,Central-Lake,04/02/2018,W,1844
40280,Central-Lake,05/09/2018,W,1979
40280,Central-Lake,05/21/2018,W,1857
40280,Central-Lake,06/15/2018,W,2134
40280,Central-Lake,04/30/2018,W,2061
40280,Central-Lake,05/31/2018,W,2143
40280,Central-Lake,05/13/2018,U,956
40280,Central-Lake,05/01/2018,W,2172
40280,Central-Lake,04/17/2018,W,2003
40280,Central-Lake,04/28/2018,A,1201
40280,Central-Lake,06/27/2018,W,2050
40280,Central-Lake,06/17/2018,U,1040
40280,Central-Lake,05/26/2018,A,1413
40280,Central-Lake,06/01/2018,W,2222
40280,Central-Lake,05/10/2018,W,2082
40280,Central-Lake,04/07/2018,A,1270
40280,Central-Lake,06/02/2018,A,1302
40280,Central-Lake,05/16/2018,W,2162
40280,Central-Lake,05/11/2018,W,1914
40280,Central-Lake,06/21/2018,W,1708
40280,Central-Lake,05/04/2018,W,2167
40280,Central-Lake,05/25/2018,W,2147
40280,Central-Lake,05/24/2018,W,2116
40280,Central-Lake,06/20/2018,W,2067
40280,Central-Lake,06/26/2018,W,1877
40280,Central-Lake,04/14/2018,A,1052
40280,Central-Lake,04/27/2018,W,2023
40280,Central-Lake,06/06/2018,W,2116
40280,Central-Lake,04/06/2018,W,1929
40280,Central-Lake,06/19/2018,W,2109
40280,Central-Lake,04/25/2018,W,2070
40280,Central-Lake,05/12/2018,A,1221
40280,Central-Lake,06/18/2018,W,1912
40280,Central-Lake,04/18/2018,W,1947
40280,Central-Lake,05/19/2018,A,1267
40280,Central-Lake,04/15/2018,U,848
40280,Central-Lake,05/28/2018,U,1033
40280,Central-Lake,04/21/2018,A,1254
40280,Central-Lake,04/26/2018,W,2147
40280,Central-Lake,04/08/2018,U,931
40280,Central-Lake,05/29/2018,W,1995
40280,Central-Lake,04/24/2018,W,2092
40280,Central-Lake,06/24/2018,U,1179
40280,Central-Lake,05/06/2018,U,1003
40280,Central-Lake,04/13/2018,W,1885
40280,Central-Lake,05/27/2018,U,1036
40280,Central-Lake,04/11/2018,W,2015
40280,Central-Lake,06/09/2018,A,1234
40280,Central-Lake,06/13/2018,W,2143
40280,Central-Lake,06/08/2018,W,1939
40280,Central-Lake,04/29/2018,U,903
40280,Central-Lake,04/09/2018,W,1838
40280,Central-Lake,06/10/2018,U,883
40280,Central-Lake,06/14/2018,W,2072
40280,Central-Lake,06/23/2018,A,1416
40280,Central-Lake,06/29/2018,W,2049
40280,Central-Lake,05/23/2018,W,2215
40280,Central-Lake,06/12/2018,W,2074
40280,Central-Lake,06/22/2018,W,1902
40280,Central-Lake,06/03/2018,U,1091
40280,Central-Lake,05/20/2018,U,916
40280,Central-Lake,05/02/2018,W,2107
