station_id,stationname,date,daytype,rides
40780,Central Park,12/30/2017,A,528
40780,Central Park,12/05/2017,W,1254
40780,Central Park,12/02/2017,A,772
40780,Central Park,12/09/2017,A,679
40780,Central Park,12/01/2017,W,1197
40780,Central Park,12/20/2017,W,1108
40780,Central Park,12/28/2017,W,758
40780,Central Park,12/08/2017,W,1136
40780,Central Park,12/16/2017,A,736
40780,Central Park,12/04/2017,W,1271
40780,Central Park,12/17/2017,U,507
40780,Central Park,12/15/2017,W,1137
40780,Central Park,12/06/2017,W,1203
40780,Central Park,12/12/2017,W,1153
40780,Central Park,12/14/2017,W,1172
40780,Central Park,12/26/2017,W,660
40780,Central Park,12/21/2017,W,1090
40780,Central Park,12/25/2017,U,307
40780,Central Park,12/10/2017,U,505
40780,Central Park,12/11/2017,W,1181
40780,Central Park,12/31/2017,U,438
40780,Central Park,12/22/2017,W,975
40780,Central Park,12/13/2017,W,1198
40780,Central Park,12/19/2017,W,1117
40780,Central Park,12/24/2017,U,431
40780,Central Park,12/18/2017,W,1119
40780,Central Park,12/29/2017,W,810
40780,Central Park,12/07/2017,W,1226
40780,Central Park,12/27/2017,W,731
40780,Central Park,12/23/2017,A,700
40780,Central Park,12/03/2017,U,579
40780,Central Park,02/18/2018,U,501
40780,Central Park,03/02/2018,W,1145
40780,Central Park,03/23/2018,W,1068
40780,Central Park,01/01/2018,U,316
40780,Central Park,01/27/2018,A,700
40780,Central Park,02/17/2018,A,667
40780,Central Park,03/31/2018,A,607
40780,Central Park,01/28/2018,U,431
40780,Central Park,01/24/2018,W,1111
40780,Central Park,02/19/2018,W,853
40780,Central Park,03/17/2018,A,716
40780,Central Park,02/27/2018,W,1241
40780,Central Park,03/05/2018,W,1053
40780,Central Park,03/25/2018,U,470
40780,Central Park,01/09/2018,W,1058
40780,Central Park,03/16/2018,W,1111
40780,Central Park,01/10/2018,W,1121
40780,Central Park,03/21/2018,W,1166
40780,Central Park,03/15/2018,W,1199
40780,Central Park,02/24/2018,A,658
40780,Central Park,01/05/2018,W,866
40780,Central Park,03/27/2018,W,1021
40780,Central Park,01/26/2018,W,1112
40780,Central Park,03/09/2018,W,1107
40780,Central Park,02/10/2018,A,603
40780,Central Park,01/25/2018,W,1127
40780,Central Park,03/10/2018,A,603
40780,Central Park,02/22/2018,W,1170
40780,Central Park,02/01/2018,W,1190
40780,Central Park,03/26/2018,W,1040
40780,Central Park,02/28/2018,W,1197
40780,Central Park,01/31/2018,W,1150
40780,Central Park,03/20/2018,W,1127
40780,Central Park,02/07/2018,W,1140
40780,Central Park,01/23/2018,W,1085
40780,Central Park,01/07/2018,U,398
40780,Central Park,02/12/2018,W,1065
40780,Central Park,01/17/2018,W,1163
40780,Central Park,02/20/2018,W,1186
40780,Central Park,02/21/2018,W,1188
40780,Central Park,01/08/2018,W,1010
40780,Central Park,03/24/2018,A,616
40780,Central Park,02/14/2018,W,1258
40780,Central Park,03/14/2018,W,1189
40780,Central Park,01/20/2018,A,637
40780,Central Park,03/04/2018,U,563
40780,Central Park,02/03/2018,A,644
40780,Central Park,03/22/2018,W,1178
40780,Central Park,03/30/2018,W,902
40780,Central Park,02/09/2018,W,767
40780,Central Park,01/14/2018,U,429
40780,Central Park,03/13/2018,W,1158
40780,Central Park,01/12/2018,W,1033
40780,Central Park,03/19/2018,W,1074
40780,Central Park,03/06/2018,W,1185
40780,Central Park,03/07/2018,W,1123
40780,Central Park,01/30/2018,W,1149
40780,Central Park,02/26/2018,W,1165
40780,Central Park,01/04/2018,W,896
40780,Central Park,01/15/2018,W,633
40780,Central Park,01/19/2018,W,1152
40780,Central Park,02/25/2018,U,519
40780,Central Park,01/29/2018,W,1095
40780,Central Park,01/22/2018,W,1116
40780,Central Park,01/21/2018,U,467
40780,Central Park,02/11/2018,U,437
40780,Central Park,02/16/2018,W,1143
40780,Central Park,01/11/2018,W,1084
40780,Central Park,02/15/2018,W,1187
