station_id,stationname,date,daytype,rides
41690,Cermak-McCormick Place,12/19/2017,W,1304
41690,Cermak-McCormick Place,12/23/2017,A,789
41690,Cermak-McCormick Place,12/17/2017,U,462
41690,Cermak-McCormick Place,12/07/2017,W,1223
41690,Cermak-McCormick Place,12/14/2017,W,1179
41690,Cermak-McCormick Place,12/08/2017,W,1370
41690,Cermak-McCormick Place,12/13/2017,W,1195
41690,Cermak-McCormick Place,12/26/2017,W,559
41690,Cermak-McCormick Place,12/06/2017,W,1320
41690,Cermak-McCormick Place,12/21/2017,W,1552
41690,Cermak-McCormick Place,12/27/2017,W,810
41690,Cermak-McCormick Place,12/02/2017,A,1035
41690,Cermak-McCormick Place,12/25/2017,U,208
41690,Cermak-McCormick Place,12/28/2017,W,789
41690,Cermak-McCormick Place,12/22/2017,W,1505
41690,Cermak-McCormick Place,12/15/2017,W,1248
41690,Cermak-McCormick Place,12/29/2017,W,798
41690,Cermak-McCormick Place,12/01/2017,W,1518
41690,Cermak-McCormick Place,12/18/2017,W,1107
41690,Cermak-McCormick Place,12/30/2017,A,477
41690,Cermak-McCormick Place,12/05/2017,W,1212
41690,Cermak-McCormick Place,12/12/2017,W,1174
41690,Cermak-McCormick Place,12/09/2017,A,717
41690,Cermak-McCormick Place,12/03/2017,U,621
41690,Cermak-McCormick Place,12/24/2017,U,404
41690,Cermak-McCormick Place,12/31/2017,U,379
41690,Cermak-McCormick Place,12/20/2017,W,1587
41690,Cermak-McCormick Place,12/10/2017,U,493
41690,Cermak-McCormick Place,12/04/2017,W,1410
41690,Cermak-McCormick Place,12/16/2017,A,1343
41690,Cermak-McCormick Place,12/11/2017,W,1227
41690,Cermak-McCormick Place,03/23/2018,W,2032
41690,Cermak-McCormick Place,02/24/2018,A,1286
41690,Cermak-McCormick Place,02/25/2018,U,746
41690,Cermak-McCormick Place,02/04/2018,U,439
41690,Cermak-McCormick Place,02/17/2018,A,1652
41690,Cermak-McCormick Place,03/25/2018,U,568
41690,Cermak-McCormick Place,03/26/2018,W,1235
41690,Cermak-McCormick Place,01/11/2018,W,1216
41690,Cermak-McCormick Place,02/08/2018,W,1048
41690,Cermak-McCormick Place,03/20/2018,W,1417
41690,Cermak-McCormick Place,03/24/2018,A,1265
41690,Cermak-McCormick Place,02/20/2018,W,1254
41690,Cermak-McCormick Place,03/17/2018,A,1219
41690,Cermak-McCormick Place,02/15/2018,W,1616
41690,Cermak-McCormick Place,01/29/2018,W,1188
41690,Cermak-McCormick Place,03/27/2018,W,1492
41690,Cermak-McCormick Place,02/02/2018,W,1121
41690,Cermak-McCormick Place,01/23/2018,W,1733
41690,Cermak-McCormick Place,02/03/2018,A,615
41690,Cermak-McCormick Place,02/07/2018,W,1004
41690,Cermak-McCormick Place,02/28/2018,W,1263
41690,Cermak-McCormick Place,03/15/2018,W,1377
41690,Cermak-McCormick Place,01/31/2018,W,1282
41690,Cermak-McCormick Place,02/05/2018,W,1086
41690,Cermak-McCormick Place,03/03/2018,A,1122
41690,Cermak-McCormick Place,02/21/2018,W,1264
41690,Cermak-McCormick Place,02/11/2018,U,963
41690,Cermak-McCormick Place,01/07/2018,U,381
41690,Cermak-McCormick Place,01/27/2018,A,763
41690,Cermak-McCormick Place,03/31/2018,A,1078
41690,Cermak-McCormick Place,01/08/2018,W,1066
41690,Cermak-McCormick Place,01/05/2018,W,996
41690,Cermak-McCormick Place,03/01/2018,W,1259
41690,Cermak-McCormick Place,02/14/2018,W,1699
41690,Cermak-McCormick Place,03/09/2018,W,1642
41690,Cermak-McCormick Place,01/06/2018,A,862
41690,Cermak-McCormick Place,03/22/2018,W,1329
41690,Cermak-McCormick Place,01/09/2018,W,1161
41690,Cermak-McCormick Place,03/21/2018,W,1361
41690,Cermak-McCormick Place,02/26/2018,W,1242
41690,Cermak-McCormick Place,01/02/2018,W,1023
41690,Cermak-McCormick Place,01/18/2018,W,1195
41690,Cermak-McCormick Place,01/16/2018,W,1167
