station_id,stationname,date,daytype,rides
40630,Clark/Division,12/29/2017,W,5479
40630,Clark/Division,12/03/2017,U,5305
40630,Clark/Division,12/12/2017,W,7512
40630,Clark/Division,12/26/2017,W,3369
40630,Clark/Division,12/01/2017,W,8958
40630,Clark/Division,12/31/2017,U,3551
40630,Clark/Division,12/10/2017,U,4721
40630,Clark/Division,12/27/2017,W,4443
40630,Clark/Division,12/17/2017,U,4596
40630,Clark/Division,12/23/2017,A,4373
40630,Clark/Division,12/24/2017,U,2724
40630,Clark/Division,12/02/2017,A,7255
40630,Clark/Division,12/21/2017,W,7404
40630,Clark/Division,12/07/2017,W,7822
40630,Clark/Division,12/15/2017,W,8088
40630,Clark/Division,12/30/2017,A,4065
40630,Clark/Division,12/28/2017,W,4961
40630,Clark/Division,12/11/2017,W,7577
40630,Clark/Division,12/09/2017,A,6184
40630,Clark/Division,12/13/2017,W,7889
40630,Clark/Division,12/08/2017,W,8371
40630,Clark/Division,12/16/2017,A,6407
40630,Clark/Division,12/14/2017,W,7789
40630,Clark/Division,12/05/2017,W,7722
40630,Clark/Division,12/04/2017,W,7890
40630,Clark/Division,12/18/2017,W,7344
40630,Clark/Division,12/19/2017,W,7687
40630,Clark/Division,12/22/2017,W,6802
40630,Clark/Division,12/20/2017,W,7795
40630,Clark/Division,12/06/2017,W,8097
40630,Clark/Division,12/25/2017,U,1292
40630,Clark/Division,03/30/2018,W,6859
40630,Clark/Division,03/07/2018,W,7749
40630,Clark/Division,03/21/2018,W,7629
40630,Clark/Division,01/26/2018,W,8219
40630,Clark/Division,01/05/2018,W,6305
40630,Clark/Division,02/05/2018,W,7087
40630,Clark/Division,01/15/2018,W,5225
40630,Clark/Division,01/01/2018,U,3107
40630,Clark/Division,02/21/2018,W,7934
40630,Clark/Division,01/09/2018,W,7249
40630,Clark/Division,03/20/2018,W,7485
40630,Clark/Division,02/04/2018,U,4054
40630,Clark/Division,03/12/2018,W,7515
40630,Clark/Division,01/22/2018,W,7530
40630,Clark/Division,02/19/2018,W,5729
40630,Clark/Division,03/15/2018,W,7934
40630,Clark/Division,01/20/2018,A,5965
40630,Clark/Division,03/24/2018,A,5587
40630,Clark/Division,01/16/2018,W,7692
40630,Clark/Division,01/24/2018,W,7809
40630,Clark/Division,02/26/2018,W,7386
40630,Clark/Division,01/25/2018,W,7961
40630,Clark/Division,02/03/2018,A,5426
40630,Clark/Division,03/23/2018,W,7596
40630,Clark/Division,02/16/2018,W,7901
40630,Clark/Division,01/28/2018,U,4271
40630,Clark/Division,02/20/2018,W,7444
40630,Clark/Division,03/09/2018,W,7829
40630,Clark/Division,01/03/2018,W,6257
40630,Clark/Division,03/03/2018,A,5834
40630,Clark/Division,03/19/2018,W,7308
40630,Clark/Division,01/11/2018,W,7378
40630,Clark/Division,02/13/2018,W,7849
40630,Clark/Division,03/26/2018,W,6592
40630,Clark/Division,01/07/2018,U,3658
40630,Clark/Division,03/16/2018,W,8168
40630,Clark/Division,02/09/2018,W,5739
40630,Clark/Division,03/22/2018,W,7748
40630,Clark/Division,01/23/2018,W,7843
40630,Clark/Division,01/02/2018,W,5365
40630,Clark/Division,01/27/2018,A,5730
40630,Clark/Division,03/28/2018,W,7264
40630,Clark/Division,03/05/2018,W,7094
40630,Clark/Division,02/06/2018,W,7516
40630,Clark/Division,02/24/2018,A,5751
40630,Clark/Division,03/31/2018,A,5074
40630,Clark/Division,03/10/2018,A,5933
40630,Clark/Division,02/12/2018,W,7428
40630,Clark/Division,01/30/2018,W,7775
40630,Clark/Division,02/22/2018,W,7800
40630,Clark/Division,02/08/2018,W,7648
40630,Clark/Division,02/17/2018,A,5764
40630,Clark/Division,01/17/2018,W,7735
40630,Clark/Division,03/13/2018,W,7718
40630,Clark/Division,02/10/2018,A,5374
40630,Clark/Division,02/18/2018,U,4869
40630,Clark/Division,03/27/2018,W,7010
40630,Clark/Division,03/25/2018,U,4601
40630,Clark/Division,01/13/2018,A,4865
40630,Clark/Division,03/01/2018,W,7583
40630,Clark/Division,01/10/2018,W,7567
40630,Clark/Division,03/29/2018,W,7164
40630,Clark/Division,01/12/2018,W,7446
40630,Clark/Division,03/02/2018,W,8308
40630,Clark/Division,02/11/2018,U,4191
40630,Clark/Division,01/14/2018,U,4028
40630,Clark/Division,03/11/2018,U,4503
40630,Clark/Division,03/08/2018,W,7850
40630,Clark/Division,01/29/2018,W,7365
40630,Clark/Division,03/17/2018,A,8390
40630,Clark/Division,03/06/2018,W,7498
40630,Clark/Division,03/18/2018,U,5262
40630,Clark/Division,01/08/2018,W,7050
40630,Clark/Division,02/01/2018,W,7706
40630,Clark/Division,01/18/2018,W,7763
40630,Clark/Division,03/14/2018,W,8125
40630,Clark/Division,01/19/2018,W,7894
40630,Clark/Division,02/23/2018,W,8165
40630,Clark/Division,02/02/2018,W,6987
40630,Clark/Division,01/31/2018,W,7847
40630,Clark/Division,02/28/2018,W,7641
40630,Clark/Division,01/04/2018,W,6040
40630,Clark/Division,01/06/2018,A,4561
40630,Clark/Division,03/04/2018,U,4359
40630,Clark/Division,01/21/2018,U,4176
40630,Clark/Division,02/25/2018,U,4673
40630,Clark/Division,02/14/2018,W,8019
40630,Clark/Division,02/27/2018,W,7655
40630,Clark/Division,02/15/2018,W,8107
40630,Clark/Division,02/07/2018,W,7625
40630,Clark/Division,06/19/2018,W,8558
40630,Clark/Division,04/20/2018,W,7901
40630,Clark/Division,05/17/2018,W,7889
40630,Clark/Division,05/21/2018,W,7365
40630,Clark/Division,04/27/2018,W,8025
40630,Clark/Division,04/10/2018,W,7588
40630,Clark/Division,04/15/2018,U,3609
40630,Clark/Division,04/07/2018,A,5934
40630,Clark/Division,04/05/2018,W,7854
40630,Clark/Division,05/27/2018,U,5880
40630,Clark/Division,06/07/2018,W,8724
40630,Clark/Division,06/29/2018,W,8879
40630,Clark/Division,04/29/2018,U,5058
40630,Clark/Division,05/11/2018,W,8297
40630,Clark/Division,05/10/2018,W,8132
40630,Clark/Division,04/30/2018,W,7726
40630,Clark/Division,05/14/2018,W,7339
40630,Clark/Division,05/08/2018,W,8578
40630,Clark/Division,04/12/2018,W,8110
40630,Clark/Division,04/04/2018,W,7929
40630,Clark/Division,06/22/2018,W,7561
40630,Clark/Division,04/08/2018,U,4403
40630,Clark/Division,06/27/2018,W,7939
40630,Clark/Division,06/25/2018,W,7288
40630,Clark/Division,04/17/2018,W,7971
40630,Clark/Division,05/26/2018,A,6743
40630,Clark/Division,06/12/2018,W,8028
40630,Clark/Division,06/17/2018,U,5313
40630,Clark/Division,04/11/2018,W,8137
40630,Clark/Division,06/23/2018,A,6767
40630,Clark/Division,06/11/2018,W,7961
40630,Clark/Division,04/02/2018,W,6898
40630,Clark/Division,04/19/2018,W,7620
40630,Clark/Division,05/31/2018,W,8498
40630,Clark/Division,04/06/2018,W,7750
40630,Clark/Division,04/03/2018,W,7326
40630,Clark/Division,06/02/2018,A,6274
40630,Clark/Division,05/13/2018,U,4569
40630,Clark/Division,04/24/2018,W,7773
40630,Clark/Division,04/28/2018,A,6174
40630,Clark/Division,06/01/2018,W,9181
40630,Clark/Division,06/14/2018,W,8575
40630,Clark/Division,05/12/2018,A,5790
40630,Clark/Division,06/21/2018,W,7257
40630,Clark/Division,05/03/2018,W,7832
40630,Clark/Division,06/08/2018,W,8731
40630,Clark/Division,05/05/2018,A,6482
40630,Clark/Division,04/25/2018,W,7963
40630,Clark/Division,06/05/2018,W,8454
40630,Clark/Division,05/23/2018,W,8573
40630,Clark/Division,05/18/2018,W,8089
40630,Clark/Division,05/24/2018,W,7985
40630,Clark/Division,06/30/2018,A,6913
40630,Clark/Division,05/25/2018,W,9061
40630,Clark/Division,05/20/2018,U,4257
40630,Clark/Division,04/09/2018,W,7303
40630,Clark/Division,04/16/2018,W,7403
40630,Clark/Division,05/16/2018,W,8028
40630,Clark/Division,06/20/2018,W,8004
40630,Clark/Division,05/07/2018,W,7857
40630,Clark/Division,05/02/2018,W,7966
40630,Clark/Division,06/13/2018,W,8637
40630,Clark/Division,04/21/2018,A,5824
40630,Clark/Division,04/13/2018,W,7369
40630,Clark/Division,05/30/2018,W,7815
40630,Clark/Division,04/23/2018,W,7382
40630,Clark/Division,06/09/2018,A,7923
40630,Clark/Division,06/16/2018,A,7148
40630,Clark/Division,04/26/2018,W,7993
40630,Clark/Division,04/14/2018,A,5541
40630,Clark/Division,05/04/2018,W,8155
40630,Clark/Division,06/15/2018,W,8551
40630,Clark/Division,05/19/2018,A,5715
40630,Clark/Division,05/15/2018,W,7848
40630,Clark/Division,05/06/2018,U,4695
40630,Clark/Division,06/28/2018,W,8071
40630,Clark/Division,06/18/2018,W,8179
40630,Clark/Division,06/03/2018,U,5129
40630,Clark/Division,06/10/2018,U,5319
40630,Clark/Division,06/24/2018,U,6733
40630,Clark/Division,05/28/2018,U,6265
40630,Clark/Division,05/01/2018,W,8399
40630,Clark/Division,04/18/2018,W,7620
40630,Clark/Division,05/29/2018,W,7759
40630,Clark/Division,06/04/2018,W,8068
40630,Clark/Division,05/09/2018,W,8180
40630,Clark/Division,04/01/2018,U,3619
40630,Clark/Division,06/06/2018,W,8579
40630,Clark/Division,04/22/2018,U,4487
40630,Clark/Division,06/26/2018,W,7662
40630,Clark/Division,05/22/2018,W,8228
40630,Clark/Division,07/01/2018,U,5121
40630,Clark/Division,07/02/2018,W,7090
40630,Clark/Division,07/03/2018,W,8075
40630,Clark/Division,07/04/2018,U,6068
40630,Clark/Division,07/05/2018,W,6599
40630,Clark/Division,07/06/2018,W,7944
40630,Clark/Division,07/07/2018,A,6747
40630,Clark/Division,07/08/2018,U,5402
40630,Clark/Division,07/09/2018,W,7313
40630,Clark/Division,07/10/2018,W,7768
40630,Clark/Division,07/11/2018,W,8150
40630,Clark/Division,07/12/2018,W,7970
40630,Clark/Division,07/13/2018,W,8885
40630,Clark/Division,07/14/2018,A,6652
40630,Clark/Division,07/15/2018,U,5776
40630,Clark/Division,07/16/2018,W,7182
40630,Clark/Division,07/17/2018,W,7709
40630,Clark/Division,07/18/2018,W,7855
40630,Clark/Division,07/19/2018,W,8325
40630,Clark/Division,07/20/2018,W,8329
40630,Clark/Division,07/21/2018,A,7567
40630,Clark/Division,07/22/2018,U,5098
40630,Clark/Division,07/23/2018,W,7722
40630,Clark/Division,07/24/2018,W,8250
40630,Clark/Division,07/25/2018,W,8424
40630,Clark/Division,07/26/2018,W,8380
40630,Clark/Division,07/27/2018,W,8240
40630,Clark/Division,07/28/2018,A,6875
40630,Clark/Division,07/29/2018,U,3827
40630,Clark/Division,07/30/2018,W,7404
40630,Clark/Division,07/31/2018,W,7529
40630,Clark/Division,08/01/2018,W,7984
40630,Clark/Division,08/02/2018,W,9174
40630,Clark/Division,08/03/2018,W,9260
40630,Clark/Division,08/04/2018,A,7829
40630,Clark/Division,08/05/2018,U,6002
40630,Clark/Division,08/06/2018,W,7267
40630,Clark/Division,08/07/2018,W,7331
40630,Clark/Division,08/08/2018,W,7747
40630,Clark/Division,08/09/2018,W,7543
40630,Clark/Division,08/10/2018,W,8856
40630,Clark/Division,08/11/2018,A,7473
40630,Clark/Division,08/12/2018,U,5576
40630,Clark/Division,08/13/2018,W,7445
40630,Clark/Division,08/14/2018,W,7965
40630,Clark/Division,08/15/2018,W,7471
40630,Clark/Division,08/16/2018,W,7600
40630,Clark/Division,08/17/2018,W,7952
40630,Clark/Division,08/18/2018,A,8478
40630,Clark/Division,08/19/2018,U,7147
40630,Clark/Division,08/20/2018,W,7497
40630,Clark/Division,08/21/2018,W,7596
40630,Clark/Division,08/22/2018,W,7701
40630,Clark/Division,08/23/2018,W,8109
40630,Clark/Division,08/24/2018,W,7859
40630,Clark/Division,08/25/2018,A,6376
40630,Clark/Division,08/26/2018,U,5174
40630,Clark/Division,08/27/2018,W,7732
40630,Clark/Division,08/28/2018,W,8092
40630,Clark/Division,08/29/2018,W,7912
40630,Clark/Division,08/30/2018,W,7883
40630,Clark/Division,08/31/2018,W,7751
40630,Clark/Division,09/01/2018,A,5752
40630,Clark/Division,09/02/2018,U,5324
40630,Clark/Division,09/03/2018,U,3957
40630,Clark/Division,09/04/2018,W,8092
40630,Clark/Division,09/05/2018,W,8079
40630,Clark/Division,09/06/2018,W,8649
40630,Clark/Division,09/07/2018,W,9111
40630,Clark/Division,09/08/2018,A,6480
40630,Clark/Division,09/09/2018,U,4753
40630,Clark/Division,09/10/2018,W,8200
40630,Clark/Division,09/11/2018,W,8584
40630,Clark/Division,09/12/2018,W,8970
40630,Clark/Division,09/13/2018,W,8680
40630,Clark/Division,09/14/2018,W,9132
40630,Clark/Division,09/15/2018,A,6989
40630,Clark/Division,09/16/2018,U,5301
40630,Clark/Division,09/17/2018,W,8331
40630,Clark/Division,09/18/2018,W,8280
40630,Clark/Division,09/19/2018,W,8032
40630,Clark/Division,09/20/2018,W,8595
40630,Clark/Division,09/21/2018,W,8767
40630,Clark/Division,09/22/2018,A,6483
40630,Clark/Division,09/23/2018,U,3791
40630,Clark/Division,09/24/2018,W,8455
40630,Clark/Division,09/25/2018,W,8289
40630,Clark/Division,09/26/2018,W,8913
40630,Clark/Division,09/27/2018,W,8998
40630,Clark/Division,09/28/2018,W,8730
40630,Clark/Division,09/29/2018,A,7078
40630,Clark/Division,09/30/2018,U,5228
40630,Clark/Division,10/01/2018,W,8389
40630,Clark/Division,10/02/2018,W,8928
40630,Clark/Division,10/03/2018,W,8465
40630,Clark/Division,10/04/2018,W,8671
40630,Clark/Division,10/05/2018,W,8222
40630,Clark/Division,10/06/2018,A,6242
40630,Clark/Division,10/07/2018,U,10380
40630,Clark/Division,10/08/2018,W,7414
40630,Clark/Division,10/09/2018,W,8430
40630,Clark/Division,10/10/2018,W,8381
40630,Clark/Division,10/11/2018,W,8662
40630,Clark/Division,10/12/2018,W,8365
40630,Clark/Division,10/13/2018,A,6269
40630,Clark/Division,10/14/2018,U,4956
40630,Clark/Division,10/15/2018,W,8030
40630,Clark/Division,10/16/2018,W,8310
40630,Clark/Division,10/17/2018,W,8439
40630,Clark/Division,10/18/2018,W,8411
40630,Clark/Division,10/19/2018,W,8598
40630,Clark/Division,10/20/2018,A,6288
40630,Clark/Division,10/21/2018,U,4771
40630,Clark/Division,10/22/2018,W,8047
40630,Clark/Division,10/23/2018,W,8232
40630,Clark/Division,10/24/2018,W,8403
40630,Clark/Division,10/25/2018,W,8473
40630,Clark/Division,10/26/2018,W,8568
40630,Clark/Division,10/27/2018,A,6333
40630,Clark/Division,10/28/2018,U,4857
40630,Clark/Division,10/29/2018,W,7849
40630,Clark/Division,10/30/2018,W,8016
40630,Clark/Division,10/31/2018,W,8435
40630,Clark/Division,11/01/2018,W,8397
40630,Clark/Division,11/02/2018,W,7710
40630,Clark/Division,11/03/2018,A,4631
40630,Clark/Division,11/04/2018,U,2844
40630,Clark/Division,11/05/2018,W,7729
40630,Clark/Division,11/06/2018,W,7860
40630,Clark/Division,11/07/2018,W,8208
40630,Clark/Division,11/08/2018,W,8268
40630,Clark/Division,11/09/2018,W,8266
40630,Clark/Division,11/10/2018,A,5608
40630,Clark/Division,11/11/2018,U,4756
40630,Clark/Division,11/12/2018,W,6688
40630,Clark/Division,11/13/2018,W,7993
40630,Clark/Division,11/14/2018,W,8175
40630,Clark/Division,11/15/2018,W,7941
40630,Clark/Division,11/16/2018,W,8591
40630,Clark/Division,11/17/2018,A,6906
40630,Clark/Division,11/18/2018,U,4891
40630,Clark/Division,11/19/2018,W,7791
40630,Clark/Division,11/20/2018,W,7786
40630,Clark/Division,11/21/2018,W,6038
40630,Clark/Division,11/22/2018,U,2474
40630,Clark/Division,11/23/2018,W,4486
40630,Clark/Division,11/24/2018,A,4514
40630,Clark/Division,11/25/2018,U,3464
40630,Clark/Division,11/26/2018,W,7027
40630,Clark/Division,11/27/2018,W,7776
40630,Clark/Division,11/28/2018,W,7927
40630,Clark/Division,11/29/2018,W,8224
40630,Clark/Division,11/30/2018,W,8509
40630,Clark/Division,12/01/2018,A,5245
40630,Clark/Division,12/02/2018,U,4484
40630,Clark/Division,12/03/2018,W,7611
40630,Clark/Division,12/04/2018,W,7761
40630,Clark/Division,12/05/2018,W,8027
40630,Clark/Division,12/06/2018,W,8147
40630,Clark/Division,12/07/2018,W,8389
40630,Clark/Division,12/08/2018,A,5991
40630,Clark/Division,12/09/2018,U,4518
40630,Clark/Division,12/10/2018,W,7568
40630,Clark/Division,12/11/2018,W,7876
40630,Clark/Division,12/12/2018,W,7811
40630,Clark/Division,12/13/2018,W,8067
40630,Clark/Division,12/14/2018,W,8363
40630,Clark/Division,12/15/2018,A,6513
40630,Clark/Division,12/16/2018,U,4749
40630,Clark/Division,12/17/2018,W,7294
40630,Clark/Division,12/18/2018,W,7711
40630,Clark/Division,12/19/2018,W,7683
40630,Clark/Division,12/20/2018,W,7591
40630,Clark/Division,12/21/2018,W,7446
40630,Clark/Division,12/22/2018,A,4716
40630,Clark/Division,12/23/2018,U,3403
40630,Clark/Division,12/24/2018,W,3206
40630,Clark/Division,12/25/2018,U,1465
40630,Clark/Division,12/26/2018,W,4093
40630,Clark/Division,12/27/2018,W,4690
40630,Clark/Division,12/28/2018,W,5340
40630,Clark/Division,12/29/2018,A,4240
40630,Clark/Division,12/30/2018,U,3784
40630,Clark/Division,12/31/2018,W,4555
40630,Clark/Division,01/01/2019,U,3637
40630,Clark/Division,01/02/2019,W,5781
40630,Clark/Division,01/03/2019,W,6580
40630,Clark/Division,01/04/2019,W,6864
40630,Clark/Division,01/05/2019,A,5237
40630,Clark/Division,01/06/2019,U,4084
40630,Clark/Division,01/07/2019,W,7166
40630,Clark/Division,01/08/2019,W,7332
40630,Clark/Division,01/09/2019,W,7229
40630,Clark/Division,01/10/2019,W,7450
40630,Clark/Division,01/11/2019,W,7584
40630,Clark/Division,01/12/2019,A,4995
40630,Clark/Division,01/13/2019,U,3930
40630,Clark/Division,01/14/2019,W,7190
40630,Clark/Division,01/15/2019,W,7358
40630,Clark/Division,01/16/2019,W,7538
40630,Clark/Division,01/17/2019,W,7632
40630,Clark/Division,01/18/2019,W,7551
40630,Clark/Division,01/19/2019,A,4687
40630,Clark/Division,01/20/2019,U,3841
40630,Clark/Division,01/21/2019,W,4686
40630,Clark/Division,01/22/2019,W,7361
40630,Clark/Division,01/23/2019,W,7604
40630,Clark/Division,01/24/2019,W,7329
40630,Clark/Division,01/25/2019,W,6713
40630,Clark/Division,01/26/2019,A,4512
40630,Clark/Division,01/27/2019,U,3415
40630,Clark/Division,01/28/2019,W,7930
40630,Clark/Division,01/29/2019,W,6232
40630,Clark/Division,01/30/2019,W,1198
40630,Clark/Division,01/31/2019,W,2856
40630,Clark/Division,02/01/2019,W,7090
40630,Clark/Division,02/02/2019,A,5286
40630,Clark/Division,02/03/2019,U,4132
40630,Clark/Division,02/04/2019,W,7392
40630,Clark/Division,02/05/2019,W,7384
40630,Clark/Division,02/06/2019,W,7680
40630,Clark/Division,02/07/2019,W,7566
40630,Clark/Division,02/08/2019,W,7227
40630,Clark/Division,02/09/2019,A,5064
40630,Clark/Division,02/10/2019,U,3903
40630,Clark/Division,02/11/2019,W,7174
40630,Clark/Division,02/12/2019,W,7442
40630,Clark/Division,02/13/2019,W,7660
40630,Clark/Division,02/14/2019,W,7855
40630,Clark/Division,02/15/2019,W,7694
40630,Clark/Division,02/16/2019,A,5030
40630,Clark/Division,02/17/2019,U,3894
40630,Clark/Division,02/18/2019,W,5476
40630,Clark/Division,02/19/2019,W,7464
40630,Clark/Division,02/20/2019,W,7663
40630,Clark/Division,02/21/2019,W,7670
40630,Clark/Division,02/22/2019,W,7704
40630,Clark/Division,02/23/2019,A,4731
40630,Clark/Division,02/24/2019,U,3650
40630,Clark/Division,02/25/2019,W,6983
40630,Clark/Division,02/26/2019,W,7279
40630,Clark/Division,02/27/2019,W,7381
40630,Clark/Division,02/28/2019,W,7392
40630,Clark/Division,03/01/2019,W,7473
40630,Clark/Division,03/02/2019,A,4964
40630,Clark/Division,03/03/2019,U,3793
40630,Clark/Division,03/04/2019,W,7206
40630,Clark/Division,03/05/2019,W,7278
40630,Clark/Division,03/06/2019,W,7626
40630,Clark/Division,03/07/2019,W,7406
40630,Clark/Division,03/08/2019,W,7588
40630,Clark/Division,03/09/2019,A,4650
40630,Clark/Division,03/10/2019,U,3621
40630,Clark/Division,03/11/2019,W,6987
40630,Clark/Division,03/12/2019,W,7587
40630,Clark/Division,03/13/2019,W,7598
40630,Clark/Division,03/14/2019,W,7344
40630,Clark/Division,03/15/2019,W,7717
40630,Clark/Division,03/16/2019,A,7323
40630,Clark/Division,03/17/2019,U,4404
40630,Clark/Division,03/18/2019,W,7333
40630,Clark/Division,03/19/2019,W,7434
40630,Clark/Division,03/20/2019,W,7416
40630,Clark/Division,03/21/2019,W,7441
40630,Clark/Division,03/22/2019,W,7485
40630,Clark/Division,03/23/2019,A,5481
40630,Clark/Division,03/24/2019,U,4107
40630,Clark/Division,03/25/2019,W,6865
40630,Clark/Division,03/26/2019,W,7084
40630,Clark/Division,03/27/2019,W,7189
40630,Clark/Division,03/28/2019,W,7027
40630,Clark/Division,03/29/2019,W,7104
40630,Clark/Division,03/30/2019,A,4937
40630,Clark/Division,03/31/2019,U,3764
40630,Clark/Division,04/01/2019,W,7181
40630,Clark/Division,04/02/2019,W,7375
40630,Clark/Division,04/03/2019,W,7647
40630,Clark/Division,04/04/2019,W,7534
40630,Clark/Division,04/05/2019,W,7411
40630,Clark/Division,04/06/2019,A,5915
40630,Clark/Division,04/07/2019,U,3915
40630,Clark/Division,04/08/2019,W,7699
40630,Clark/Division,04/09/2019,W,7264
40630,Clark/Division,04/10/2019,W,7473
40630,Clark/Division,04/11/2019,W,7452
40630,Clark/Division,04/12/2019,W,7889
40630,Clark/Division,04/13/2019,A,5849
40630,Clark/Division,04/14/2019,U,3064
40630,Clark/Division,04/15/2019,W,6517
40630,Clark/Division,04/16/2019,W,6674
40630,Clark/Division,04/17/2019,W,6941
40630,Clark/Division,04/18/2019,W,6563
40630,Clark/Division,04/19/2019,W,6484
40630,Clark/Division,04/20/2019,A,5176
40630,Clark/Division,04/21/2019,U,3688
40630,Clark/Division,04/22/2019,W,6821
40630,Clark/Division,04/23/2019,W,7725
40630,Clark/Division,04/24/2019,W,7940
40630,Clark/Division,04/25/2019,W,7838
40630,Clark/Division,04/26/2019,W,8048
40630,Clark/Division,04/27/2019,A,4584
40630,Clark/Division,04/28/2019,U,4158
40630,Clark/Division,04/29/2019,W,7042
40630,Clark/Division,04/30/2019,W,7214
40630,Clark/Division,05/01/2019,W,6905
40630,Clark/Division,05/02/2019,W,7516
40630,Clark/Division,05/03/2019,W,8234
40630,Clark/Division,05/04/2019,A,6353
40630,Clark/Division,05/05/2019,U,5100
40630,Clark/Division,05/06/2019,W,7440
40630,Clark/Division,05/07/2019,W,7771
40630,Clark/Division,05/08/2019,W,8039
40630,Clark/Division,05/09/2019,W,7926
40630,Clark/Division,05/10/2019,W,8224
40630,Clark/Division,05/11/2019,A,5742
40630,Clark/Division,05/12/2019,U,4119
40630,Clark/Division,05/13/2019,W,7163
40630,Clark/Division,05/14/2019,W,7484
40630,Clark/Division,05/15/2019,W,7566
40630,Clark/Division,05/16/2019,W,7458
40630,Clark/Division,05/17/2019,W,7613
40630,Clark/Division,05/18/2019,A,5381
40630,Clark/Division,05/19/2019,U,4281
40630,Clark/Division,05/20/2019,W,7735
40630,Clark/Division,05/21/2019,W,7702
40630,Clark/Division,05/22/2019,W,8397
40630,Clark/Division,05/23/2019,W,8231
40630,Clark/Division,05/24/2019,W,7847
40630,Clark/Division,05/25/2019,A,5505
40630,Clark/Division,05/26/2019,U,4860
40630,Clark/Division,05/27/2019,U,3331
40630,Clark/Division,05/28/2019,W,7205
40630,Clark/Division,05/29/2019,W,7683
40630,Clark/Division,05/30/2019,W,7978
40630,Clark/Division,05/31/2019,W,9372
40630,Clark/Division,06/01/2019,A,5512
40630,Clark/Division,06/02/2019,U,4558
40630,Clark/Division,06/03/2019,W,7564
40630,Clark/Division,06/04/2019,W,8025
40630,Clark/Division,06/05/2019,W,8170
40630,Clark/Division,06/06/2019,W,8118
40630,Clark/Division,06/07/2019,W,8586
40630,Clark/Division,06/08/2019,A,8307
40630,Clark/Division,06/09/2019,U,5279
40630,Clark/Division,06/10/2019,W,7458
40630,Clark/Division,06/11/2019,W,7967
40630,Clark/Division,06/12/2019,W,7378
40630,Clark/Division,06/13/2019,W,7973
40630,Clark/Division,06/14/2019,W,9022
40630,Clark/Division,06/15/2019,A,6001
40630,Clark/Division,06/16/2019,U,4597
40630,Clark/Division,06/17/2019,W,7171
40630,Clark/Division,06/18/2019,W,8269
40630,Clark/Division,06/19/2019,W,7828
40630,Clark/Division,06/20/2019,W,8098
40630,Clark/Division,06/21/2019,W,8314
40630,Clark/Division,06/22/2019,A,6927
40630,Clark/Division,06/23/2019,U,4745
40630,Clark/Division,06/24/2019,W,7175
40630,Clark/Division,06/25/2019,W,8466
40630,Clark/Division,06/26/2019,W,8304
40630,Clark/Division,06/27/2019,W,7941
40630,Clark/Division,06/28/2019,W,7803
40630,Clark/Division,06/29/2019,A,6399
40630,Clark/Division,06/30/2019,U,5946
40630,Clark/Division,07/01/2019,W,7128
40630,Clark/Division,07/02/2019,W,7253
40630,Clark/Division,07/03/2019,W,7460
40630,Clark/Division,07/04/2019,U,5175
40630,Clark/Division,07/05/2019,W,5901
40630,Clark/Division,07/06/2019,A,5559
40630,Clark/Division,07/07/2019,U,4554
40630,Clark/Division,07/08/2019,W,6915
40630,Clark/Division,07/09/2019,W,7537
40630,Clark/Division,07/10/2019,W,7791
40630,Clark/Division,07/11/2019,W,7958
40630,Clark/Division,07/12/2019,W,8412
40630,Clark/Division,07/13/2019,A,6838
40630,Clark/Division,07/14/2019,U,5484
40630,Clark/Division,07/15/2019,W,7529
40630,Clark/Division,07/16/2019,W,7742
40630,Clark/Division,07/17/2019,W,8093
40630,Clark/Division,07/18/2019,W,7630
40630,Clark/Division,07/19/2019,W,8094
40630,Clark/Division,07/20/2019,A,6299
40630,Clark/Division,07/21/2019,U,4949
40630,Clark/Division,07/22/2019,W,7154
40630,Clark/Division,07/23/2019,W,7682
40630,Clark/Division,07/24/2019,W,7711
40630,Clark/Division,07/25/2019,W,8030
40630,Clark/Division,07/26/2019,W,8029
